,complaintid,buildingid,boroughid,borough,housenumber,streetname,zip,block,lot,apartment,communityboard,receiveddate,statusid,status,statusdate
108,7419283,51000,2,BRONX,1025,BOYNTON AVENUE,10472,3714,54,6B,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
109,7419284,51000,2,BRONX,1025,BOYNTON AVENUE,10472,3714,54,BLDG,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
110,7419285,51000,2,BRONX,1025,BOYNTON AVENUE,10472,3714,54,BLDG,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
111,7419286,27333,1,MANHATTAN,684,RIVERSIDE DRIVE,10031,2092,46,BLDG,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-10T00:00:00.000
112,7419287,268552,3,BROOKLYN,369,EAST 52 STREET,11203,4700,66,2F,17,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
113,7419288,118817,2,BRONX,2074,WALLACE AVENUE,10462,4292,1,BLDG,11,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
114,7419289,75968,2,BRONX,1121,ELDER AVENUE,10472,3739,67,BLDG,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-01T00:00:00.000
115,7419290,689230,4,QUEENS,115-08,POPPENHUSEN AVENUE,11356,3933,44,TOPFL,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-06T00:00:00.000
116,7419291,61016,2,BRONX,3343,DECATUR AVENUE,10467,3352,66,3C,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
117,7419293,81910,2,BRONX,2955,GRAND CONCOURSE,10468,3310,81,B54,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
118,7419294,47783,2,BRONX,4007,BARNES AVENUE,10466,4840,8,2FL,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-15T00:00:00.000
119,7419295,292358,3,BROOKLYN,1655,FLATBUSH AVENUE,11210,7579,10,604,18,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
120,7419296,31123,1,MANHATTAN,309,WEST 21 STREET,10011,745,29,1A,4,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
121,7419297,652848,4,QUEENS,88-35,ELMHURST AVENUE,11373,1512,26,6A,4,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
122,7419298,87408,2,BRONX,3053,HULL AVENUE,10467,3333,59,1N,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
123,7419299,42167,1,MANHATTAN,519,WEST 147 STREET,10031,2079,19,3,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
124,7419300,118817,2,BRONX,2074,WALLACE AVENUE,10462,4292,1,BLDG,11,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
125,7419301,55144,2,BRONX,3975,CARPENTER AVENUE,10466,4820,12,2C,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
