school_year,location_name,location_code,borough,geographical_district_code,register,schools,nypd_site_code,nypd_site_name,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,building_name
2016 - 17,PASSAGES ACADEMY AT BELMONT(BN),X695,K,7,618,1,211,PS 077K,Brooklyn College Academy,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.815701', 'longitude': '-73.914526', 'human_address': '{""address"": ""560 BROOK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",10933.0,49.0,5.0,43.0,23.0,,,,,,,,,,
2016 - 17,P.S. Q086,Q086,Q,28,646,1,746,MS 074Q,P.S. 082 Hammond,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '41.12133', 'longitude': '-72.339742', 'human_address': '{""address"": ""87 41 PARSONS BOULEVARD"", ""city"": """", ""state"": """", ""zip"": """"}'}",26159.0,,,,,11432.0,40.708898,-73.803938,8.0,24.0,448.0,4438678.0,4097740001.0,Briarwood-Jamaica Hills                                                    ,
2016 - 17,P.S. 001 The Bergen,K001,K,15,1334,1,198,PS 001K,P.S. 001 The Bergen,0,0,1,0,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '41.574857', 'longitude': '-93.767342', 'human_address': '{""address"": ""309 47 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",22209.0,,,,,,,,,,,,,,
2016 - 17,P.S. 001 Alfred E. Smith,M001,M,2,533,1,1398,Sunset Park HS,P.S. Q256,0,1,0,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '41.398617', 'longitude': '-73.465855', 'human_address': '{""address"": ""8 HENRY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",6632.0,,,,,,,,,,,,,,
2016 - 17,P.S. 035,M035,M,2,833,1,663,JHS 056M,James Weldon Johnson,0,1,3,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"{'latitude': '41.799996', 'longitude': '-87.633867', 'human_address': '{""address"": ""317 WEST 52ND STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",14924.0,,,,,10019.0,40.763866,-73.985939,4.0,3.0,133.0,1025241.0,1010430022.0,Clinton                                                                    ,
2016 - 17,The Urban Assembly School for Collaborative Health,K764,K,19,215,5,315,SAMUEL J. TILDEN HS,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '27.783609', 'longitude': '-80.501816', 'human_address': '{""address"": ""999 JAMAICA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",22275.0,,,,,11208.0,40.691146,-73.868328,5.0,37.0,1180.0,3090738.0,3040940001.0,park-cemetery-etc-Brooklyn                                                 ,999 JAMAICA AVENUE CONSOLIDATED LOCATION
2016 - 17,Brooklyn High School of the Arts,K656,K,15,522,2,1226,Academy for Health Careers(Dist.13 Office),The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'latitude': '31.226762', 'longitude': '-84.221511', 'human_address': '{""address"": ""345 DEAN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",33103.0,,,,,11217.0,40.683559,-73.98027,2.0,33.0,39.0,3001190.0,3001920013.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,345 DEAN STREET CONSOLIDATED LOCATION
2016 - 17,P.S. 183 Robert L. Stevenson,M183,M,2,704,2,619,PS 171M,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.763596', 'longitude': '-73.957856', 'human_address': '{""address"": ""419 EAST 66 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",10090.0,23.0,4.0,1.0,11.0,10065.0,40.763736,-73.95815,8.0,5.0,116.0,1045569.0,1014610007.0,Lenox Hill-Roosevelt Island                                                ,4862 BROADWAY CONSOLIDATED LOCATION
2016 - 17,J.H.S. 162 The Willoughby,K162,K,32,414,2,237,PS 160K,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.70727', 'longitude': '-73.919792', 'human_address': '{""address"": ""1390 WILLOUGHBY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13828.0,42.0,2.0,30.0,53.0,11237.0,40.707229,-73.919805,4.0,34.0,445.0,3073018.0,3032120001.0,Bushwick North                                                             ,330 CROWN STREET CONSOLIDATED LOCATION
2016 - 17,P.S. 236 Mill Basin,K236,K,22,1262,1,168,IS 232K,P.S. 235 Lenox School,1,1,1,1,1,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '29.464895', 'longitude': '-94.983575', 'human_address': '{""address"": ""6302 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",11350.0,,,,,11234.0,40.615998,-73.912989,18.0,46.0,698.0,3326821.0,3084640001.0,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,
2016 - 17,Professor Juan Bosch Public School,M178,M,6,423,2,619,PS 171M,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.859393', 'longitude': '-73.927875', 'human_address': '{""address"": ""12 18 ELLWOOD STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",13098.0,47.0,4.0,39.0,22.0,10040.0,40.859243,-73.927792,12.0,10.0,283.0,1064128.0,1021710036.0,Washington Heights North                                                   ,4862 BROADWAY CONSOLIDATED LOCATION
2016 - 17,High School of  Telecommunication Arts and Technol,K485,K,20,1144,4,152,GEORGE WINGATE HS,The Brooklyn School for Math and Research |  Academy for Environmental Leadership |  Bushwick School for Social Justice |  Academy of Urban Planning |  400 IRVING AVENUE CONSOLIDATED LOCATION,1,3,42,3,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"{'latitude': '44.048053', 'longitude': '-122.90782', 'human_address': '{""address"": ""350 67 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1720.0,,,,,,,,,,,,,,400 IRVING AVENUE CONSOLIDATED LOCATION
2016 - 17,The High School for Global Citizenship,K528,K,17,420,4,140,THOMAS JEFFERSON HS,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.67009', 'longitude': '-73.961805', 'human_address': '{""address"": ""883 CLASSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13509.0,17.0,2.0,48.0,44.0,11225.0,40.670349,-73.961695,9.0,35.0,213.0,3029686.0,3011870001.0,Crown Heights South                                                        ,883 CLASSON AVENUE CONSOLIDATED LOCATION
2016 - 17,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,K023,K,14,556,2,59,PS 022K,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.694054', 'longitude': '-73.947636', 'human_address': '{""address"": ""545 WILLOUGHBY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",17213.0,69.0,2.0,49.0,51.0,11206.0,40.69407,-73.94756,3.0,36.0,25901.0,3048818.0,3017590013.0,Bedford                                                                    ,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION
2016 - 17,"Urban Assembly School of Design and Construction,",M300,M,2,199,1,670,MURRY BERGTRAUM HS,I.S. 528 Bea Fuller Rodgers School,1,0,0,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"{'latitude': '25.826427', 'longitude': '-80.127267', 'human_address': '{""address"": ""525 WEST 50TH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",24833.0,,,,,10019.0,40.765184,-73.992953,4.0,3.0,135.0,1083802.0,1010790029.0,Clinton                                                                    ,
2016 - 17,P.S. M079 - Horan School,M079,M,5,508,1,657,IS 070M,P.S. 076 A. Philip Randolph,0,2,2,2,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'human_address': '{""address"": ""55 EAST 120 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,10035.0,40.802419,-73.942634,11.0,9.0,198.0,1053968.0,1017470001.0,East Harlem North                                                          ,
2016 - 17,P.S./I.S. 187 Hudson Cliffs,M187,M,6,591,1,1070,PS 275M,P.S. 180 Hugo Newman,0,3,1,2,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.856315', 'longitude': '-73.937375', 'human_address': '{""address"": ""349 CABRINI BOULEVARD"", ""city"": """", ""state"": """", ""zip"": """"}'}",13098.0,47.0,4.0,39.0,22.0,10040.0,40.856693,-73.937093,12.0,10.0,273.0,1064371.0,1021790365.0,Washington Heights North                                                   ,
2016 - 17,P.S. 295,K295,K,15,331,1,1067,W. E. B. DU BIOS ACADEMIC HS,P.S. K004,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"{'latitude': '35.375251', 'longitude': '-119.00591', 'human_address': '{""address"": ""330 18 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",6398.0,,,,,,,,,,,,,,
2016 - 17,800 VAN SICLEN AVE CONSOLIDATED LOCATION,K166 ,K,19,316,3,100,PS 165K,Van Siclen Community Middle School | Achivement First Brooklyn Academy Charter School |UFT Charter School |800 VAN SICLEN AVE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.660276', 'longitude': '-73.885481', 'human_address': '{""address"": ""800 VAN SICLEN AVE"", ""city"": """", ""state"": """", ""zip"": """"}'}",17214.0,45.0,2.0,25.0,47.0,11207.0,40.66011,-73.885387,5.0,42.0,1104.0,3097675.0,3043490050.0,East New York                                                              ,800 VAN SICLEN AVE CONSOLIDATED LOCATION
2016 - 17,5404 TILDEN AVENUE CONSOLIDATED LOCATION,K244,K,18,550,2,178,JHS 239K,P.S. 244 Richard R. Green|  Brooklyn Science and Engineering Academy|  5404 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'latitude': '34.172136', 'longitude': '-118.447355', 'human_address': '{""address"": ""5404 TILDEN AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",19729.0,,,,,11203.0,40.648423,-73.925948,17.0,45.0,946.0,3104513.0,3047390001.0,Rugby-Remsen Village                                                       ,5404 TILDEN AVENUE CONSOLIDATED LOCATION
2016 - 17,P.S. M169 - Robert F. Kennedy,M169,M,2,1073,2,614,PS 161M,P.S. 165 Robert E. Simon |  Mott Hall II |  234 WEST 109 STREET CONSOLIDATED LOCATION,0,2,4,0,2,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"{'latitude': '33.957188', 'longitude': '-118.273348', 'human_address': '{""address"": ""110 EAST 88 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",22352.0,,,,,10128.0,40.781227,-73.955673,8.0,4.0,14802.0,1048043.0,1015167502.0,Upper East Side-Carnegie Hill                                              ,234 WEST 109 STREET CONSOLIDATED LOCATION
2016 - 17,P.S. 200- The James Mccune Smith School,M200,M,5,468,2,1335,East Harlem Village Academy Charter School,P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.824454', 'longitude': '-73.936898', 'human_address': '{""address"": ""2589 7 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13097.0,18.0,4.0,36.0,20.0,10039.0,40.824495,-73.936997,10.0,9.0,236.0,1060198.0,1020160100.0,Central Harlem North-Polo Grounds                                          ,1700 3 AVENUE CONSOLIDATED LOCATION
2016 - 17,Riverdale Avenue Middle School,K668,K,23,374,2,247,PS 180K,Riverdale Avenue Community School | Riverdale Avenue Middle School |  76 RIVERDALE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '41.044852', 'longitude': '-73.793828', 'human_address': '{""address"": ""76 RIVERDALE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",25282.0,,,,,11212.0,40.660204,-73.913933,16.0,42.0,896.0,3082253.0,3035970011.0,Brownsville                                                                ,76 RIVERDALE AVENUE CONSOLIDATED LOCATION
2016 - 17,LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL(BN),K775,K,23,299,2,1139,PS 328 Phyllis Wheatley, Christopher Avenue Community School |Leadership Preparatory Ocean Hill Charter School  | 51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '41.71862', 'longitude': '-73.956572', 'human_address': '{""address"": ""51 CHRISTOPHER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",19779.0,,,,,11212.0,40.672462,-73.906552,16.0,37.0,908.0,3083608.0,3036930001.0,Brownsville                                                                ,51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION
2016 - 17,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL(MN),M518,M,4,214,4,575,PS 009M,Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.780479', 'longitude': '-81.931448', 'human_address': '{""address"": ""1573 MADISON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",4798.0,,,,,10029.0,40.793763,-73.949381,11.0,8.0,17401.0,1051515.0,1016120050.0,East Harlem South                                                          ,1573 MADISON AVENUE CONSOLIDATED LOCATION
2016 - 17,Vanguard High School,M449,M,2,2278,3,562,LOUIS D. BRANDEIS HS,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,1,7,17,4,3,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,"{'latitude': '39.006943', 'longitude': '-94.585196', 'human_address': '{""address"": ""317 EAST 67 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",3974.0,,,,,10065.0,40.765359,-73.960059,8.0,5.0,118.0,1083343.0,1014420001.0,Lenox Hill-Roosevelt Island                                                ,345 EAST  15TH STREET CONSOLIDATED LOCATION
2016 - 17,3000 WEST 1 STREET CONSOLIDATED LOCATION,K370,K,21,#N/A,2,1094,PS 156K,P.S. 370 |  Home Instruction - Brooklyn |  3000 WEST 1 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.577533', 'longitude': '-73.969551', 'human_address': '{""address"": ""3000 WEST 1 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",13826.0,21.0,2.0,15.0,35.0,11224.0,40.57752,-73.969517,13.0,48.0,35602.0,3196587.0,3072740107.0,West Brighton                                                              ,3000 WEST 1 STREET CONSOLIDATED LOCATION
2016 - 17,2424 BATCHELDER STREET CONSOLIDATED LOCATION ,K014,K,22,534,2,153,IS 014K,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,0,5,4,0,5,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.593353', 'longitude': '-73.937627', 'human_address': '{""address"": ""2424 BATCHELDER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",13826.0,32.0,2.0,15.0,36.0,11235.0,40.593521,-73.937672,15.0,48.0,596.0,3203617.0,3074240001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,2424 BATCHELDER STREET CONSOLIDATED LOCATION 
2016 - 17,1180 REV. J.A. POLITE AVE. CONSOLIDATED LOCATION,X099,X,12,210,3,428,CS 090X,J.H.S. 098 Herman Ridder |  Explorations Academy  |    Bronx Envision Academy |  1619 BOSTON ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'human_address': '{""address"": ""1180 REV J A POLITE AVE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,10459.0,40.827315,-73.897612,2.0,17.0,131.0,2005276.0,2026920014.0,Longwood                                                                   ,1619 BOSTON ROAD CONSOLIDATED LOCATION
2016 - 17,Clara Barton High School,K600,K,17,1252,1,1398,Sunset Park HS,Medgar Evers College Preparatory School,0,6,4,3,3,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '40.669572', 'longitude': '-73.961978', 'human_address': '{""address"": ""901 CLASSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13509.0,17.0,2.0,48.0,44.0,11225.0,40.669567,-73.961962,9.0,35.0,213.0,3029702.0,3011880001.0,Crown Heights South                                                        ,
2016 - 17,A. Philip Randolph Campus High School,M540,M,6,431,5,670,MURRY BERGTRAUM HS,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  525 WEST  50TH STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.999692', 'longitude': '-73.677695', 'human_address': '{""address"": ""443 WEST 135 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",24902.0,,,,,10031.0,40.818188,-73.950356,9.0,9.0,21703.0,1059409.0,1019570078.0,Manhattanville                                                             ,525 WEST  50TH STREET CONSOLIDATED LOCATION
2016 - 17,131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,M615,M,2,1671,1,674,PARK WEST HS,The High School of Fashion Industries,2,10,13,10,0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,"{'latitude': '40.72453', 'longitude': '-74.004702', 'human_address': '{""address"": ""131 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,57.0,4.0,10.0,1.0,10013.0,40.7244,-74.004625,2.0,3.0,37.0,1007378.0,1004910016.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,
2016 - 17,Lower Manhattan Community Middle School,M896,M,2,187,1,1461,East Side Elementary School PS 267,The River School,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"{'latitude': '42.936401', 'longitude': '-74.21444', 'human_address': '{""address"": ""26 BROADWAY"", ""city"": """", ""state"": """", ""zip"": """"}'}",23812.0,,,,,10004.0,40.70568,-74.013302,1.0,1.0,9.0,1000811.0,1000220013.0,Battery Park City-Lower Manhattan                                          ,
2016 - 17,P.S. 005 Ellen Lurie,M005,M,6,610,1,#N/A,#N/A,P.S. 004 Duke Ellington,0,1,1,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '43.75668', 'longitude': '-89.77756', 'human_address': '{""address"": ""3703 TENTH AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",14819.0,,,,,10034.0,40.85899,-73.922894,12.0,10.0,299.0,1084201.0,1021500030.0,Marble Hill-Inwood                                                         ,
2016 - 17,Van Siclen Community Middle School,K654,K,19,371,1,240,PS 164K,P.S. 165 Ida Posner,1,2,2,1,2,3C,251-500,0.27,0.9,1.67,0.63,0.44,"{'latitude': '40.660276', 'longitude': '-73.885481', 'human_address': '{""address"": ""800 VAN SICLEN AVE"", ""city"": """", ""state"": """", ""zip"": """"}'}",17214.0,45.0,2.0,25.0,47.0,11207.0,40.66011,-73.885387,5.0,42.0,1104.0,3097675.0,3043490050.0,East New York                                                              ,
2016 - 17,P.S. 181 Brooklyn,K181,K,17,333,2,101,PS 178K,The SEEALL Academy |  P.S. K231 |  5601 16 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '38.933841', 'longitude': '-74.910391', 'human_address': '{""address"": ""1023 NEW YORK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",14325.0,,,,,11203.0,40.648215,-73.946374,17.0,45.0,856.0,3327776.0,3049040010.0,East Flatbush-Farragut                                                     ,5601 16 AVENUE CONSOLIDATED LOCATION
2016 - 17,1065 ELTON STREET CONSOLIDATED LOCATION,K422,K,19,397,2,13,FRANKLIN K. LANE HS,Academy for Young Writers |  Spring Creek Community School |  1065 ELTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.656944', 'longitude': '-73.874295', 'human_address': '{""address"": ""1065 ELTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",17215.0,45.0,2.0,25.0,47.0,11208.0,40.657459,-73.874756,5.0,42.0,1070.0,3413878.0,3044490001.0,East New York                                                              ,1065 ELTON STREET CONSOLIDATED LOCATION
2016 - 17,Sunset Park Prep,K821,K,15,994,2,1037,PS 135K,I.S. 136 Charles O. Dewey | Sunset Park Prep |  4004 4 AVENUE CONSOLIDATED LOCATION,0,1,0,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"{'latitude': '40.485493', 'longitude': '-78.413348', 'human_address': '{""address"": ""4004 4 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",30153.0,,,,,11232.0,40.651977,-74.006862,7.0,38.0,82.0,3010580.0,3007130020.0,Sunset Park West                                                           ,4004 4 AVENUE CONSOLIDATED LOCATION
2016 - 17,P.S. 184 Newport,K184,K,23,115,2,247,PS 180K,Riverdale Avenue Community School | Riverdale Avenue Middle School |  76 RIVERDALE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.659953', 'longitude': '-73.904893', 'human_address': '{""address"": ""273 NEWPORT STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",17614.0,55.0,2.0,25.0,46.0,11212.0,40.659966,-73.904901,16.0,42.0,918.0,3082391.0,3036060001.0,Brownsville                                                                ,76 RIVERDALE AVENUE CONSOLIDATED LOCATION
2016 - 17,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,X401,X,12,240,3,1382,Academy for Scholarship & Entrepreneurship:A College Board School,Arturo A. Schomburg Satellite Academy Bronx|  Bronx Regional High School|  ROADS Charter School II|  1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'human_address': '{""address"": ""1010 REV J A POLITE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   ,1010 REV. J. A. POLITE AVENUE CONSOLIDATED LOCATION
2016 - 17,P.S. 089 Cypress Hills,K089,K,19,611,1,8,BROOKLYN INTERNATIONAL HS,P.S. 163 Bath Beach,0,1,1,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '44.933434', 'longitude': '-93.163182', 'human_address': '{""address"": ""265 WARWICK STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",13687.0,,,,,11207.0,40.677697,-73.886936,5.0,37.0,1170.0,3397079.0,3039520047.0,East New York                                                              ,
2016 - 17,Victory Collegiate High School,K576,K,18,372,6,145,CANARSIE HS,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.633516', 'longitude': '-73.916477', 'human_address': '{""address"": ""6565 FLATLANDS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13827.0,5.0,2.0,8.0,42.0,11236.0,40.633285,-73.916735,18.0,46.0,950.0,3224139.0,3079980005.0,Canarsie                                                                   ,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION
2016 - 17,P.S. 003 Charrette School,M003,M,2,603,1,#N/A,#N/A,P.S. 002 Meyer London,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.920019', 'longitude': '-73.937349', 'human_address': '{""address"": ""490 HUDSON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",24872.0,,,,,10014.0,40.732593,-74.006466,2.0,3.0,73.0,1009872.0,1005850041.0,West Village                                                               ,
2016 - 17,P.S. 006,K006,K,17,738,1,199,PS 006K,P.S. 006,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '41.045352', 'longitude': '-74.156585', 'human_address': '{""address"": ""43 SNYDER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",32438.0,,,,,11226.0,40.64859,-73.957138,14.0,40.0,794.0,3117230.0,3051030079.0,Erasmus                                                                    ,
2016 - 17,J.H.S. 014 Shell Bank,K014,K,22,534,2,153,IS 014K,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.593353', 'longitude': '-73.937627', 'human_address': '{""address"": ""2424 BATCHELDER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",13826.0,32.0,2.0,15.0,36.0,11235.0,40.593521,-73.937672,15.0,48.0,596.0,3203617.0,3074240001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,2424 BATCHELDER STREET CONSOLIDATED LOCATION 
2016 - 17,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,K805,K,13,361,3,232,PS 133K,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.697187', 'longitude': '-73.984992', 'human_address': '{""address"": ""49 FLATBUSH AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",16865.0,68.0,2.0,38.0,54.0,11201.0,40.697339,-73.985016,2.0,33.0,15.0,3000216.0,3001200020.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION
