school_year,location_name,location_code,borough,geographical_district_code,register,schools,nypd_site_code,nypd_site_name,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,building_name
2016 - 17,Ralph A. Fabrizio School,K170,K,20,1600,1,1066,PS 167K,P.S. 169 Sunset Park,0,1,0,1,0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,"{'latitude': '40.630549', 'longitude': '-74.01926', 'human_address': '{""address"": ""7109 6 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",17216.0,10.0,2.0,44.0,41.0,11209.0,40.630843,-74.01913,10.0,43.0,134.0,3146921.0,3058990001.0,Bay Ridge                                                                  ,
2016 - 17,P.S. 169 Sunset Park,K169,K,15,471,2,22,IS 166K,P.S. 167 The Parkway|  New Bridges Elementary|  1025 EASTERN PARKWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '42.596875', 'longitude': '-87.820448', 'human_address': '{""address"": ""4305 7 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",12435.0,,,,,11232.0,40.64629,-74.001903,7.0,38.0,92.0,3011002.0,3007320001.0,Sunset Park East                                                           ,1025 EASTERN PARKWAY CONSOLIDATED LOCATION
2016 - 17,Amistad Dual Language School,M311,M,6,155,2,545,IS 167M,P.S. 173 |  Harbor Heights |  306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.866877', 'longitude': '-73.92351', 'human_address': '{""address"": ""4862 BROADWAY"", ""city"": """", ""state"": """", ""zip"": """"}'}",13092.0,47.0,4.0,39.0,22.0,10034.0,40.866706,-73.923948,12.0,10.0,291.0,1064900.0,1022340007.0,Marble Hill-Inwood                                                         ,306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION
2016 - 17,Brooklyn Academy of Science and the Environment,K547,K,17,214,4,140,THOMAS JEFFERSON HS,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.67009', 'longitude': '-73.961805', 'human_address': '{""address"": ""883 CLASSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13509.0,17.0,2.0,48.0,44.0,11225.0,40.670349,-73.961695,9.0,35.0,213.0,3029686.0,3011870001.0,Crown Heights South                                                        ,883 CLASSON AVENUE CONSOLIDATED LOCATION
2016 - 17,P.S. 132 Juan Pablo Duarte,M132,M,6,280,2,695,PS 130M,M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.850715', 'longitude': '-73.934329', 'human_address': '{""address"": ""185 WADSWORTH AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13091.0,47.0,4.0,39.0,22.0,10033.0,40.850626,-73.934377,12.0,10.0,271.0,1063947.0,1021650026.0,Washington Heights North                                                   ,185 WADSWORTH AVENUE CONSOLIDATED LOCATION
2016 - 17,P.S. 307 Daniel Hale Williams,K307,K,13,492,1,123,PS 304K,P.S. 306 Ethan Allen,0,5,6,3,2,3C,251-500,0.27,0.9,1.67,0.63,0.44,"{'latitude': '40.701328', 'longitude': '-73.981737', 'human_address': '{""address"": ""209 YORK STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",16865.0,68.0,2.0,38.0,54.0,11201.0,40.701343,-73.982314,2.0,33.0,21.0,3000158.0,3000560007.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,
2016 - 17,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,K013,K,19,1352,2,55,PS 013K,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,0,0,1,0,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '40.674571', 'longitude': '-74.211358', 'human_address': '{""address"": ""557 PENNSYLVANIA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",8787.0,,,,,11207.0,40.663673,-73.893754,5.0,42.0,1126.0,3085070.0,3038230001.0,East New York (Pennsylvania Ave)                                           ,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION
2016 - 17,PS 503: The School of Discovery,K503,K,20,1084,2,126,PS 309K,The Urban Assembly School for Law and Justice |  Urban Assembly Institute of Math and Science for Y |  283 ADAMS STREET CONSOLIDATED LOCATION,1,6,9,2,4,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"{'latitude': '40.787083', 'longitude': '-74.014412', 'human_address': '{""address"": ""330 59 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",15571.0,,,,,,,,,,,,,,283 ADAMS STREET CONSOLIDATED LOCATION
2016 - 17,P.S. 250 George H. Lindsay,K250,K,14,901,1,191,MS 246K,P.S. 249 The Caton,0,1,1,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"{'latitude': '42.956739', 'longitude': '-78.828174', 'human_address': '{""address"": ""108 MONTROSE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",2239.0,,,,,11206.0,40.707104,-73.945475,1.0,34.0,505.0,3071199.0,3030600001.0,East Williamsburg                                                          ,
2016 - 17,P.S. 133 William A. Butler,K133,K,13,653,2,1383,The Urban Assembly of Math & Science for Young Women,P.S. 316 Elijah Stroud |  Elijah Stroud Middle School |  750 CLASSON AVENUE CONSOLIDATED LOCATION,1,0,0,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.680369', 'longitude': '-73.980337', 'human_address': '{""address"": ""610 BALTIC STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",17619.0,14.0,2.0,27.0,50.0,11217.0,40.680428,-73.980491,6.0,39.0,12901.0,3413716.0,3009400111.0,Park Slope-Gowanus                                                         ,750 CLASSON AVENUE CONSOLIDATED LOCATION
