dbn,school_name,school_type,parent_response_rate,teacher_response_rate,student_response_rate,total_safety_and_respect,total_communication_score,total_engagement_score,total_academic_expectations
dbn,locationname,NA,rr_p,rr_t,rr_s,saf_tot_12,com_tot_12,eng_tot_12,aca_tot_12
02M305,"Urban Assembly Academy Of Government And Law, The",High School,9%,100%,90%,7.1,6.4,6.8,7.2
02M308,Lower Manhattan Arts Academy,High School,13%,71%,66%,7.5,7.2,7.5,7.7
02M312,New York City Lab Middle School For Collaborative,Middle School,60%,97%,99%,8.4,7.4,7.8,8.2
02M313,"James Baldwin School, The: A School For Expedition",Transfer High School,16%,100%,54%,7.9,6.8,7.7,7.8
02M316,"Urban Assembly School Of Business For Young Women,",High School,60%,77%,80%,7.2,6.4,6.7,7.2
02M347,The 47 American Sign Language & English Lower Scho,Elementary/Middle School,32%,78%,95%,7.4,7.0,7.0,7.6
02M374,Gramercy Arts High School,High School,68%,91%,96%,7.5,6.8,7.4,7.6
02M376,Nyc Ischool,High School,37%,87%,87%,8.1,7.4,7.6,7.7
02M392,Manhattan Business Academy,High School,17%,96%,84%,7.8,7.1,7.3,7.8
02M393,Business Of Sports School,High School,26%,82%,53%,7.0,6.7,6.9,7.3
02M394,Emma Lazarus High School,Transfer High School,95%,88%,94%,9.4,8.2,8.7,9.1
02M397,Spruce Street School,Early Childhood School,82%,88%,NA,8.5,6.9,7.3,7.4
02M399,The High School For Language And Diplomacy,High School,15%,89%,78%,7.5,6.1,6.6,6.9
02M400,High School For Environmental Studies,High School,10%,99%,75%,7.8,7.0,7.4,7.8
02M407,Institute For Collaborative Education,Middle/High School,30%,96%,88%,8.1,8.1,8.2,8.5
02M408,Professional Performing Arts High School,Middle/High School,45%,100%,81%,7.8,6.9,7.3,7.6
02M411,Baruch College Campus High School,High School,29%,27%,92%,8.4,6.7,7.2,8.1
02M412,N.Y.C. Lab School For Collaborative Studies,High School,27%,88%,93%,8.1,7.7,7.8,8.0
02M413,School Of The Future High School,Middle/High School,46%,92%,92%,8.0,7.0,7.4,7.8
02M414,N.Y.C. Museum School,High School,50%,93%,100%,7.6,5.7,6.2,6.5
02M416,Eleanor Roosevelt High School,High School,39%,100%,82%,8.5,7.5,7.9,8.4
02M418,Millennium High School,High School,47%,93%,99%,8.3,7.0,7.5,8.1
02M419,Landmark High School,High School,45%,96%,79%,7.2,6.4,7.0,7.2
02M420,High School For Health Professions And Human Servi,High School,48%,95%,94%,7.5,6.8,7.1,7.6
02M422,Quest To Learn,Middle School,41%,95%,93%,7.5,7.2,7.5,7.6
02M425,Leadership And Public Service High School,High School,6%,75%,4%,6.8,6.7,7.0,7.2
02M427,Manhattan Academy For Arts & Language,High School,61%,100%,89%,8.0,7.5,7.9,8.3
02M429,Legacy School For Integrated Studies,High School,21%,44%,74%,7.0,6.2,6.3,6.7
02M432,Murray Hill Academy,Transfer High School,71%,100%,95%,8.0,7.6,7.8,8.1
02M437,Hudson High School Of Learning Technologies,High School,47%,88%,89%,8.0,7.4,7.7,7.6
02M438,International High School At Union Square,High School,28%,75%,72%,8.1,7.6,7.8,8.2
02M439,Manhattan Village Academy,High School,74%,82%,100%,8.3,6.7,7.1,7.8
02M440,Bayard Rustin Educational Complex,High School,20%,58%,66%,7.2,6.6,6.6,7.0
02M442,"Ballet Tech, Nyc Public School For Dance",Elementary/Middle School,84%,75%,97%,8.7,7.9,8.0,8.6
02M449,Vanguard High School,High School,19%,94%,89%,7.9,7.4,7.7,8.1
02M459,Manhattan International High School,High School,39%,90%,90%,8.3,7.1,7.4,7.9
02M460,Washington Irving High School,High School,24%,56%,48%,7.0,6.5,6.8,7.1
02M473,Washington Irving Yabc,YABC,1%,69%,41%,8.2,7.2,8.0,8.3
02M475,Stuyvesant High School,High School,23%,91%,92%,7.9,6.7,7.1,7.7
02M489,High School Of Economics And Finance,High School,47%,89%,83%,8.0,7.1,7.3,7.8
