dbn,school_name,school_type,parent_response_rate,teacher_response_rate,student_response_rate,total_safety_and_respect,total_communication_score,total_engagement_score,total_academic_expectations
dbn,locationname,NA,rr_p,rr_t,rr_s,saf_tot_12,com_tot_12,eng_tot_12,aca_tot_12
06M210,P.S./I.S. 210 - Twenty-First Century Academy For C,Elementary/Middle School,89%,89%,99%,8.1,7.2,8.0,8.1
06M218,I.S. 218 Salome Urena,Middle School,60%,53%,85%,7.5,6.8,6.9,7.2
06M223,The Mott Hall School,Middle School,95%,100%,99%,7.5,6.4,7.1,7.8
06M278,Paula Hedbavny School,Elementary/Middle School,87%,100%,99%,8.1,6.9,7.7,7.9
06M293,City College Academy Of The Arts,Middle/High School,54%,73%,93%,8.4,7.4,7.9,8.3
06M311,Amistad Dual Language School,Elementary/Middle School,68%,93%,100%,8.3,7.4,8.0,8.3
06M314,Muscota,Elementary School,56%,95%,NA,8.8,8.5,8.7,8.7
06M319,M.S. 319 - Maria Teresa,Middle School,95%,92%,95%,8.5,8.2,8.3,8.6
06M322,Middle School 322,Middle School,73%,79%,96%,7.4,6.8,7.3,7.5
06M324,M.S. 324 - Patria Mirabal,Middle School,95%,97%,98%,8.5,7.8,8.3,8.6
06M325,P.S. 325,Elementary School,69%,70%,NA,8.0,7.4,7.4,7.7
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,Middle School,95%,53%,90%,6.3,6.4,6.9,7.1
06M328,M.S. 328 - Manhattan Middle School For Scientific,Middle School,85%,100%,96%,8.4,8.3,8.6,8.8
06M346,Community Health Academy Of The Heights,Middle/High School,52%,97%,80%,7.8,7.3,7.4,7.8
06M348,Washington Heights Expeditionary Learning School,Middle/High School,52%,91%,95%,8.3,7.5,7.6,8.2
06M349,Harbor Heights,Middle School,99%,92%,100%,8.3,7.2,7.9,8.1
06M366,Washington Heights Academy,Elementary School,81%,85%,NA,8.7,8.1,8.1,8.3
06M368,Hamilton Heights School,Elementary School,45%,78%,NA,8.7,6.8,7.5,7.6
06M423,High School For Excellence And Innovation,Transfer High School,64%,100%,79%,7.9,7.3,7.7,7.8
06M457,George Washington Yabc,YABC,7%,61%,46%,8.3,7.9,8.2,8.4
06M462,The College Academy,High School,44%,84%,80%,7.5,6.7,7.0,7.3
06M463,High School For Media And Communications,High School,38%,92%,63%,6.9,6.6,7.0,7.3
06M467,High School For Law And Public Service,High School,40%,93%,71%,7.0,7.0,7.1,7.5
06M468,High School For Health Careers And Sciences,High School,52%,100%,88%,7.3,6.7,7.1,7.3
06M528,I.S. 528 Bea Fuller Rodgers School,Middle School,57%,78%,99%,7.8,7.4,7.7,7.9
06M540,A. Philip Randolph Campus High School,High School,9%,97%,71%,6.5,6.3,6.2,6.8
06M552,Gregorio Luperon High School For Science And Mathe,High School,65%,90%,94%,8.6,7.4,7.8,8.3
07X001,P.S. 001 Courtlandt School,Elementary School,69%,72%,NA,7.7,7.0,7.5,7.4
07X005,P.S. 005 Port Morris,Elementary School,66%,98%,NA,8.8,8.4,8.6,8.7
07X018,P.S. 018 John Peter Zenger,Elementary School,63%,51%,NA,7.7,7.2,7.5,7.7
07X025,P.S. 025 Bilingual School,Elementary School,54%,94%,NA,8.8,8.2,8.3,8.6
07X029,P.S./M.S. 029 Melrose School,Elementary/Middle School,54%,77%,91%,7.6,7.3,7.5,7.8
07X030,P.S. 030 Wilton,Elementary School,78%,89%,NA,7.9,7.7,7.8,7.9
07X031,P.S./M.S. 031 The William Lloyd Garrison,Elementary/Middle School,35%,81%,93%,7.4,7.3,7.5,7.9
07X043,P.S. 043 Jonas Bronck,Elementary School,76%,100%,NA,8.4,7.8,8.1,8.2
07X049,P.S. 049 Willis Avenue,Elementary School,56%,77%,NA,8.2,7.8,7.6,7.9
07X065,P.S. 065 Mother Hale Academy,Elementary School,99%,100%,NA,7.8,8.1,8.0,8.1
07X151,J.H.S. 151 Lou Gehrig,Middle School,13%,100%,82%,6.9,7.0,7.3,7.8
07X154,P.S. 154 Jonathan D. Hyatt,Elementary School,49%,38%,NA,6.8,6.1,6.3,6.3
07X157,P.S. 157 Grove Hill,Elementary School,52%,80%,NA,8.1,7.4,7.3,7.8
07X161,P.S. 161 Ponce De Leon,Elementary School,45%,97%,NA,7.6,7.2,7.3,7.4
07X162,J.H.S. 162 Lola Rodriguez De Tio,Middle School,21%,59%,80%,6.1,6.2,6.4,6.8
07X179,P.S. 179,Elementary School,73%,59%,NA,8.5,7.7,7.9,8.0
07X203,M.S. 203,Middle School,69%,77%,76%,6.8,6.9,7.2,7.4
07X221,South Bronx Preparatory: A College Board School,Middle/High School,47%,68%,94%,7.4,6.9,7.1,7.7
07X223,M.S. 223 The Laboratory School Of Finance And Tech,Middle School,63%,91%,99%,8.2,7.5,7.8,8.4
07X224,P.S. / I.S. 224,Middle School,88%,100%,88%,7.3,7.0,7.1,7.6
07X277,P.S. 277,Elementary School,28%,66%,NA,8.1,7.6,7.9,7.9
07X296,South Bronx Academy For Applied Media,Middle School,90%,100%,98%,7.1,7.3,7.5,7.9
07X298,Academy Of Public Relations,Middle School,86%,73%,98%,7.8,6.7,7.5,7.7
07X321,Crotona Academy High School,Transfer High School,50%,75%,86%,8.6,8.4,8.8,9.0
07X334,International Community High School,High School,46%,100%,95%,8.0,6.6,7.2,7.4
07X343,Academy Of Applied Mathematics And Technology,Middle School,41%,100%,91%,8.8,8.1,8.5,8.8
07X369,Young Leaders Elementary School,Elementary School,62%,100%,NA,7.9,7.2,7.5,7.7
07X379,Jill Chaifetz Transfer High School,Transfer High School,22%,100%,73%,8.4,7.6,8.0,8.4
07X381,Bronx Haven High School,Transfer High School,32%,100%,76%,7.8,6.8,7.7,7.9
07X385,Performance School,Elementary School,80%,68%,NA,8.0,7.3,7.2,7.4
07X427,Community School For Social Justice,High School,33%,96%,95%,8.0,7.5,7.9,8.0
07X456,Alfred E. Smith Campus Yabc,YABC,30%,50%,43%,8.2,7.5,7.9,8.2
07X473,Mott Haven Village Preparatory High School,High School,67%,100%,93%,8.0,7.1,7.6,7.9
07X495,University Heights Secondary School,High School,73%,100%,85%,8.1,6.9,7.1,7.4
07X500,Hostos-Lincoln Academy Of Science,Middle/High School,24%,64%,92%,7.7,6.3,6.8,7.2
07X520,Foreign Language Academy Of Global Studies,High School,42%,93%,89%,7.2,6.9,6.9,7.5
07X522,Bronx Design And Construction Academy,High School,41%,80%,69%,8.4,7.9,8.3,8.5
07X527,Bronx Leadership Academy Ii High School,High School,20%,68%,47%,7.2,6.6,7.0,7.4
07X547,New Explorers High School,High School,17%,80%,61%,7.5,7.0,7.4,7.7
07X548,Urban Assembly School For Careers In Sports,High School,24%,91%,87%,7.4,7.0,7.4,7.7
07X551,Bronx Academy Of Letters,Middle/High School,32%,79%,87%,7.0,6.5,6.9,7.4
07X600,Alfred E. Smith Career And Technical Education Hig,High School,15%,74%,70%,6.5,6.3,6.6,6.9
07X655,Samuel Gompers Career And Technical Education High,High School,11%,42%,55%,6.3,6.0,6.3,6.5
07X670,Health Opportunities High School,High School,83%,97%,72%,7.1,6.9,7.0,7.3
08X014,P.S. X014 Senator John Calandra,Elementary School,71%,98%,NA,8.5,8.3,8.3,8.5
08X036,P.S. 036 Unionport,Elementary School,69%,82%,NA,8.5,7.9,8.2,8.5
08X048,P.S. 048 Joseph R. Drake,Elementary School,57%,96%,NA,7.7,7.3,7.6,7.8
08X062,P.S. 062 Inocensio Casanova,Elementary School,66%,90%,NA,8.4,8.0,8.1,8.4
08X069,P.S. 069 The New Vision School,Elementary School,65%,67%,NA,8.6,8.2,8.2,8.6
08X071,P.S. 071 Rose E. Scala,Elementary/Middle School,47%,89%,95%,7.7,7.5,7.8,8.1
08X072,P.S. 072 Dr. William Dorney,Elementary School,61%,97%,NA,8.5,7.8,8.2,8.3
08X075,P.S. 075,Elementary School,73%,98%,NA,7.5,7.3,7.3,7.6
08X093,P.S. 093 Albert G. Oliver,Elementary School,100%,40%,NA,8.5,7.3,7.6,7.6
08X100,P.S. 100 Isaac Clason,Elementary School,42%,62%,NA,8.0,7.4,7.7,7.9
08X101,M.S. X101 Edward R. Byrne,Middle School,72%,94%,100%,8.2,7.7,8.0,8.4
08X107,P.S. 107,Elementary School,81%,97%,NA,7.8,7.5,7.7,7.9
08X119,P.S. 119,Elementary School,67%,59%,NA,7.8,7.2,7.4,7.6
08X123,J.H.S. 123 James M. Kieran,Middle School,65%,90%,92%,6.9,6.4,6.9,7.3
08X125,J.H.S. 125 Henry Hudson,Middle School,71%,100%,86%,6.3,6.2,6.5,6.8
08X130,P.S. 130 Abram Stevens Hewitt,Elementary School,98%,100%,NA,8.7,8.2,8.5,8.6
08X131,J.H.S. 131 Albert Einstein,Middle School,45%,97%,91%,6.6,6.5,6.8,7.2
08X138,P.S. 138 Samuel Randall,Elementary School,58%,97%,NA,8.3,8.3,8.2,8.5
08X140,P.S. X140 The Eagle School,Elementary School,63%,96%,NA,8.2,7.8,7.8,8.0
08X146,P.S. 146 Edward Collins,Elementary School,63%,93%,NA,8.3,7.9,8.0,8.3
08X152,P.S. 152 Evergreen,Elementary School,25%,71%,NA,8.8,8.0,8.2,8.5
08X182,P.S. 182,Elementary School,37%,81%,NA,8.2,7.3,7.4,7.9
08X269,Bronx Studio School For Writers And Artists,Middle/High School,43%,100%,78%,7.4,7.0,7.2,7.5
08X282,Women'S Academy Of Excellence,High School,21%,56%,89%,6.7,5.7,5.6,6.2
08X293,Renaissance High School For Musical Theater & Tech,High School,31%,67%,90%,7.6,7.1,7.4,7.9
08X295,Gateway School For Environmental Research And Tech,High School,14%,63%,62%,6.4,5.7,6.0,6.4
08X301,M.S. 301 Paul L. Dunbar,Middle School,68%,81%,75%,7.1,7.2,7.4,7.7
08X302,M.S. 302 Luisa Dessus Cruz,Middle School,61%,64%,89%,7.4,7.0,7.4,7.8
08X304,P.S. 304 Early Childhood School,Elementary School,99%,100%,NA,8.6,8.4,8.3,8.7
08X305,Pablo Neruda Academy For Architecture And World St,High School,39%,97%,83%,7.6,7.2,7.5,7.7
08X312,Millennium Art Academy,High School,16%,38%,81%,7.4,7.0,7.4,7.8
08X332,Holcombe L. Rucker School Of Community Research,High School,71%,70%,56%,7.1,6.0,6.5,6.9
08X333,P.S. 333 - The Museum School,Elementary School,62%,76%,NA,8.1,7.0,7.2,7.3
08X335,The Academy Of The Arts,Elementary School,47%,41%,NA,8.3,8.1,8.1,8.3
08X337,The School For Inquiry And Social Justice,Middle School,58%,96%,97%,7.9,7.0,7.6,8.2
08X366,Urban Assembly Academy Of Civic Engagement,Middle School,51%,60%,89%,6.8,6.4,6.8,7.3
08X367,"Archimedes Academy For Math, Science And Technolog",Middle/High School,37%,86%,92%,6.9,5.9,6.4,6.6
08X371,Urban Institute Of Mathematics,Middle School,55%,62%,98%,7.7,7.3,7.3,8.1
08X375,The Bronx Mathematics Preparatory School,Middle School,30%,94%,84%,6.4,6.4,6.4,6.8
08X376,"Antonia Pantoja Preparatory Academy, A College Boa",Middle/High School,32%,79%,85%,6.5,5.8,6.0,6.4
08X377,Bronx Community High School,Transfer High School,43%,88%,75%,8.1,8.1,8.3,8.6
08X405,Herbert H. Lehman High School,High School,5%,84%,56%,6.6,6.8,7.0,7.4
08X408,Herbert H. Lehman Yabc,YABC,43%,100%,67%,8.6,7.9,8.4,8.4
08X424,The Hunts Point School,Middle School,33%,67%,88%,7.3,7.3,7.8,8.0
08X432,Bronx Bridges High School,High School,58%,73%,90%,7.7,6.8,7.4,7.6
08X448,Soundview Academy For Culture And Scholarship,Middle School,81%,81%,89%,7.0,6.7,7.3,7.4
08X452,Bronx Guild,High School,44%,100%,71%,7.7,6.9,7.1,7.7
08X467,Mott Hall Community School,Middle School,31%,86%,89%,7.3,7.3,7.5,7.7
08X507,Stevenson Yabc,YABC,39%,80%,82%,8.9,8.0,8.6,8.9
08X519,Felisa Rincon De Gautier Institute For Law And Pub,High School,25%,64%,62%,6.8,6.4,6.4,6.9
08X530,Banana Kelly High School,High School,42%,94%,64%,6.4,5.6,6.0,6.1
08X537,Bronx Arena High School,Transfer High School,19%,88%,65%,8.2,7.4,8.0,8.3
08X540,School For Community Research And Learning,High School,2%,50%,0%,5.8,6.4,6.6,6.8
08X560,Bronx Academy High School,Transfer High School,7%,100%,72%,8.6,7.9,8.4,8.7
08X650,Jane Addams High School For Academic Careers,High School,11%,47%,63%,7.0,6.5,6.7,7.1
09X002,P.S. 002 Morrisania,Middle School,87%,100%,NA,8.5,7.9,7.9,8.4
09X004,P.S./M.S. 004 Crotona Park West,Elementary/Middle School,100%,92%,92%,7.2,6.9,7.0,7.3
09X011,P.S. 011 Highbridge,Elementary School,64%,58%,NA,8.6,8.3,8.2,8.5
09X022,J.H.S. 022 Jordan L. Mott,Middle School,29%,66%,75%,7.1,7.0,7.2,7.6
09X028,P.S. 028 Mount Hope,Elementary School,58%,70%,NA,6.9,6.8,6.9,7.1
09X035,P.S. 035 Franz Siegel,Elementary School,98%,86%,NA,8.3,7.4,7.7,7.9
09X042,P.S. 042 Claremont,Elementary School,55%,76%,NA,7.6,7.5,7.6,7.7
09X053,P.S. 053 Basheer Quisim,Elementary School,50%,83%,NA,7.6,7.3,7.5,7.8
09X055,P.S. 055 Benjamin Franklin,Elementary School,39%,82%,NA,7.5,7.1,7.2,7.3
09X058,P.S. 058,Elementary School,74%,90%,NA,7.9,7.3,7.5,7.3
09X063,P.S. 063 Author'S Academy,Elementary School,75%,100%,NA,8.2,8.1,8.3,8.5
09X064,P.S. 064 Pura Belpre,Elementary School,48%,92%,NA,6.8,6.5,6.6,6.7
09X070,P.S. 070 Max Schoenfeld,Elementary School,62%,68%,NA,7.9,7.3,7.4,7.6
09X073,P.S. 073 Bronx,Elementary School,73%,81%,NA,8.2,8.2,8.1,8.2
09X088,P.S. X088 - S. Silverstein Little Sparrow School,Early Childhood School,35%,36%,NA,8.5,7.4,7.6,8.0
09X109,P.S. 109 Sedgwick,Elementary School,95%,78%,NA,8.1,7.8,7.8,8.0
09X110,P.S. 110 Theodore Schoenfeld,Elementary School,43%,88%,NA,8.3,8.1,8.1,8.4
09X114,P.S. X114 - Luis Llorens Torres Schools,Elementary School,58%,68%,NA,7.9,7.2,7.5,7.7
09X117,I.S. 117 Joseph H. Wade,Middle School,38%,94%,92%,7.2,7.0,7.4,7.7
09X126,P.S. 126 Dr Marjorie H Dunbar,Elementary School,29%,72%,100%,7.0,7.0,7.3,7.6
09X128,Mott Hall Iii,Middle School,60%,83%,95%,7.7,7.1,7.4,8.3
09X132,P.S. 132 Garret A. Morgan,Elementary School,56%,80%,NA,7.0,6.1,6.5,6.8
09X145,J.H.S. 145 Arturo Toscanini,Middle School,76%,100%,97%,8.0,7.5,7.9,8.1
09X163,P.S. 163 Arthur A. Schomburg,Elementary School,45%,32%,NA,7.6,6.9,7.1,7.5
09X170,P.S. 170,Early Childhood School,80%,86%,NA,9.5,8.7,9.0,9.2
09X199,P.S. 199X - The Shakespeare School,Elementary School,56%,63%,NA,8.1,7.8,8.0,8.3
09X204,P.S. 204 Morris Heights,Elementary School,77%,100%,NA,9.1,8.7,8.8,9.0
09X215,Kappa,Middle School,90%,63%,99%,7.6,6.9,7.1,7.8
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,Elementary/Middle School,65%,74%,98%,7.7,7.4,7.6,8.1
09X219,I.S. 219 New Venture School,Middle School,27%,66%,91%,6.5,6.5,6.8,7.2
09X227,Bronx Expeditionary Learning High School,High School,41%,100%,74%,7.9,7.7,8.0,8.2
09X229,I.S. 229 Roland Patterson,Middle School,94%,66%,96%,6.9,6.5,7.0,7.0
09X230,P.S. 230 Dr Roland N. Patterson,Elementary School,51%,33%,NA,7.6,7.2,7.3,7.5
09X231,Eagle Academy For Young Men,Middle/High School,41%,69%,85%,7.4,7.2,7.5,7.6
09X232,I.S. 232,Middle School,94%,94%,93%,7.2,7.0,7.1,7.7
09X236,P.S. 236 Langston Hughes,Early Childhood School,83%,94%,NA,8.3,8.2,8.1,8.2
09X239,Urban Assembly Academy For History And Citizenship,High School,21%,92%,46%,7.2,6.8,7.3,7.5
09X241,Urban Assembly School For Applied Math And Science,Middle/High School,46%,96%,84%,7.7,7.0,7.1,7.7
09X250,Eximius College Preparatory Academy: A College Boa,High School,34%,73%,82%,7.2,7.0,7.0,7.5
09X252,Mott Hall Bronx High School,High School,19%,89%,79%,7.5,6.9,7.1,7.5
09X260,Bronx Center For Science And Mathematics,High School,55%,81%,98%,8.1,6.9,7.5,8.2
09X263,Validus Preparatory Academy: An Expeditionary Lear,High School,34%,88%,75%,7.6,7.0,7.4,7.8
09X276,Leadership Institute,High School,49%,78%,86%,7.1,6.4,6.9,7.1
09X297,Morris Academy For Collaborative Studies,High School,35%,89%,78%,7.3,7.0,7.1,7.6
09X303,I.S. X303 Leadership & Community Service,Middle School,82%,92%,95%,8.5,7.9,8.2,8.4
09X313,I.S. 313 School Of Leadership Development,Middle School,24%,74%,89%,6.7,6.8,7.1,7.4
09X323,Bronx Writing Academy,Middle School,55%,92%,76%,6.7,6.8,6.9,7.5
20K971,P.S. 971,Early Childhood School,93%,77%,NA,8.7,7.3,7.6,7.6
09X324,Bronx Early College Academy For Teaching & Learnin,Middle/High School,25%,55%,70%,6.7,5.5,6.1,6.4
09X325,Urban Science Academy,Middle School,59%,67%,92%,6.7,6.3,6.8,7.0
09X327,Comprehensive Model School Project M.S. 327,Middle School,73%,88%,94%,7.8,7.2,7.4,8.2
09X328,New Millennium Business Academy Middle School,Middle School,74%,88%,80%,6.8,6.5,6.9,7.4
09X329,Dreamyard Preparatory School,High School,20%,86%,72%,7.4,6.7,7.4,7.7
09X339,I.S. 339,Middle School,44%,71%,81%,6.4,6.3,6.7,7.1
09X365,Academy For Language And Technology,High School,85%,96%,93%,8.0,7.1,7.5,8.0
09X403,Bronx International High School,High School,49%,89%,94%,7.5,7.0,7.4,8.0
09X404,School For Excellence,High School,82%,77%,83%,7.7,6.9,7.1,7.4
09X412,Bronx High School Of Business,High School,27%,82%,83%,6.6,6.4,6.6,6.9
09X413,Bronx High School For Medical Science,Middle/High School,33%,100%,94%,7.4,6.9,7.1,7.5
09X414,Jonathan Levin High School For Media And Communica,High School,12%,87%,78%,6.6,6.6,6.7,7.1
09X443,The Family School,Elementary School,68%,65%,NA,7.9,7.0,7.4,7.7
09X449,Grant Avenue Elementary School,Early Childhood School,86%,88%,NA,9.3,8.9,9.2,9.2
09X454,Science And Technology Academy: A Mott Hall School,Middle School,63%,100%,97%,7.8,7.5,7.9,8.4
09X457,Sheridan Academy For Young Leaders,Elementary School,95%,93%,NA,8.3,7.0,7.5,7.7
09X505,"Bronx School For Law, Government And Justice",Middle/High School,58%,92%,85%,7.1,6.6,6.8,7.2
09X517,Frederick Douglass Academy Iii Secondary School,Middle/High School,83%,86%,95%,7.2,6.9,7.2,7.5
09X525,Bronx Leadership Academy High School,High School,16%,63%,80%,7.3,6.9,7.5,7.7
09X543,High School For Violin And Dance,High School,42%,100%,63%,6.9,6.6,6.9,7.3
10X003,P.S. 3 Raul Julia Micro Society,Elementary/Middle School,58%,65%,95%,7.2,6.6,6.7,7.1
10X007,P.S. 007 Kingsbridge,Elementary School,93%,100%,NA,9.0,8.2,8.4,8.8
10X008,P.S. 008 Issac Varian,Elementary School,46%,89%,NA,8.8,8.3,8.5,8.6
10X009,P.S. 9 Ryer Avenue Elementary School,Elementary School,72%,100%,NA,8.0,7.3,7.7,7.9
10X015,P.S. X015 Institute For Environmental Learning,Elementary/Middle School,62%,87%,99%,7.9,7.3,7.6,8.1
10X020,P.S. 20 P.O.George J. Werdan Iii,Elementary/Middle School,70%,87%,94%,7.5,7.0,7.4,7.9
10X023,P.S. 023 The New Children'S School,Early Childhood School,57%,98%,NA,7.9,7.6,7.8,8.2
10X024,P.S. 024 Spuyten Duyvil,Elementary School,50%,67%,NA,7.8,6.4,7.0,7.2
10X032,P.S. 032 Belmont,Elementary School,91%,90%,NA,8.7,8.1,8.4,8.5
10X033,P.S. 033 Timothy Dwight,Elementary School,74%,34%,NA,7.7,7.7,7.6,7.8
10X037,P.S. X037 - Multiple Intelligence School,Elementary/Middle School,54%,77%,94%,7.5,7.1,7.4,7.9
10X045,Thomas C. Giordano Middle School 45,Middle School,31%,75%,93%,6.6,6.2,6.7,7.3
10X046,P.S. 046 Edgar Allan Poe,Elementary School,67%,94%,NA,7.8,7.5,7.6,7.7
10X051,P.S. 051 Bronx New School,Elementary School,83%,90%,NA,8.1,7.3,7.6,8.2
10X054,P.S. / I.S. 54,Elementary School,71%,100%,NA,7.5,7.0,7.3,7.3
10X056,P.S. 056 Norwood Heights,Elementary School,96%,98%,NA,8.6,8.3,8.7,8.8
10X059,P.S. 059 The Community School Of Technology,Elementary School,100%,100%,NA,8.3,7.5,7.8,7.9
10X080,J.H.S. 080 The Mosholu Parkway,Middle School,25%,80%,49%,6.7,6.4,6.8,7.1
10X081,P.S. 081 Robert J. Christen,Elementary School,93%,100%,NA,8.5,8.1,8.3,8.6
10X085,P.S. 085 Great Expectations,Elementary School,45%,65%,NA,7.6,7.6,7.7,7.9
10X086,P.S. 086 Kingsbridge Heights,Elementary School,55%,100%,96%,8.9,8.5,8.9,9.1
10X091,P.S. 091 Bronx,Elementary School,66%,87%,NA,7.4,6.7,7.0,7.3
10X094,P.S. 094 Kings College School,Elementary School,65%,77%,NA,7.6,7.1,7.3,7.4
10X095,P.S. 095 Sheila Mencher,Elementary/Middle School,61%,51%,98%,6.5,6.2,6.3,6.9
10X118,J.H.S. 118 William W. Niles,Middle School,65%,95%,96%,7.3,6.5,7.1,7.5
10X141,Riverdale / Kingsbridge Academy (Middle School / H,Middle/High School,22%,60%,88%,6.9,6.6,6.8,7.0
10X159,P.S. 159 Luis Munoz Marin Biling,Elementary School,88%,100%,NA,8.7,7.8,8.0,8.1
10X205,P.S. 205 Fiorello Laguardia,Elementary School,88%,100%,NA,8.2,7.5,7.8,8.0
10X206,I.S. 206 Ann Mersereau,Middle School,100%,76%,90%,7.5,7.2,7.6,8.0
10X207,P.S. 207,Early Childhood School,71%,83%,NA,8.7,7.8,7.8,8.1
10X209,P.S. 209,Early Childhood School,93%,100%,NA,9.5,8.8,9.1,9.4
10X213,Bronx Engineering And Technology Academy,High School,26%,68%,88%,6.9,6.5,7.0,7.4
10X225,Theatre Arts Production Company School,Middle/High School,19%,57%,81%,7.0,6.9,6.9,7.2
10X226,P.S. 226,Elementary School,62%,52%,NA,7.9,7.1,7.2,7.2
10X228,Jonas Bronck Academy,Middle School,58%,65%,96%,8.2,7.5,8.0,8.3
10X237,"The Marie Curie School For Medicine, Nursing, And",High School,30%,39%,87%,7.1,6.5,6.3,7.1
10X243,West Bronx Academy For The Future,Middle/High School,43%,88%,90%,6.7,6.3,6.8,7.1
10X244,The New School For Leadership And Journalism,Middle School,27%,35%,77%,8.2,7.7,8.3,8.7
10X246,P.S. 246 Poe Center,Elementary School,50%,47%,NA,8.0,7.6,7.6,8.0
10X254,I.S. 254,Middle School,28%,97%,96%,6.9,6.2,6.8,7.1
10X268,Kingsbridge International High School,High School,58%,96%,85%,7.7,7.1,7.6,8.0
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",Elementary/Middle School,81%,100%,99%,7.1,6.7,7.1,7.3
10X280,P.S./M.S. 280 Mosholu Parkway,Elementary/Middle School,59%,90%,74%,7.7,7.3,7.8,8.1
10X284,Bronx School Of Law And Finance,High School,22%,70%,82%,7.2,6.7,6.9,7.1
10X291,P.S. 291,Elementary School,94%,100%,NA,9.2,8.5,8.9,9.1
10X306,P.S. 306,Elementary School,70%,83%,NA,7.6,7.0,7.1,7.2
10X307,P.S. X307 - Eames Place,Elementary School,100%,100%,NA,9.1,8.4,8.6,9.0
10X308,Bronx Dance Academy School,Middle School,65%,100%,86%,7.2,6.5,7.0,7.3
10X310,P.S. 310 Marble Hill,Elementary School,77%,100%,NA,8.4,7.8,8.1,8.2
10X315,P.S. 315 Lab School,Elementary/Middle School,100%,79%,99%,8.5,8.0,8.5,8.9
10X319,Providing Urban Learners Success In Education High,Transfer High School,1%,79%,68%,8.3,7.0,7.8,8.2
10X331,The Bronx School Of Science Inquiry And Investigat,Middle School,50%,91%,85%,7.6,7.3,7.5,8.0
10X340,P.S. 340,Elementary School,92%,100%,100%,8.5,7.6,8.0,8.5
10X342,International School For Liberal Arts,Middle/High School,71%,93%,93%,7.8,7.1,7.5,7.7
10X344,Ampark Neighborhood,Elementary School,55%,60%,NA,8.3,6.8,7.1,7.4
10X360,P.S. 360,Elementary School,31%,92%,99%,7.8,6.8,7.2,7.8
10X363,Academy For Personal Leadership And Excellence,Middle School,74%,88%,97%,7.8,7.2,7.2,7.8
10X368,In-Tech Academy (M.S. / High School 368),Middle/High School,37%,84%,89%,7.2,6.6,6.8,7.2
10X374,Knowledge And Power Preparatory Academy Internatio,High School,72%,96%,91%,8.0,7.0,7.4,8.0
10X382,"Elementary School For Math, Science, And Technolog",Elementary School,100%,85%,NA,8.0,7.5,7.7,8.0
10X386,School For Environmental Citizenship,Elementary School,85%,100%,NA,8.1,7.6,7.8,7.9
10X390,M.S. 390,Middle School,76%,91%,94%,6.9,7.0,7.2,7.5
10X391,The Angelo Patri Middle School,Middle School,59%,90%,86%,6.9,6.8,7.1,7.5
10X396,P.S. 396,Elementary School,89%,98%,NA,8.2,7.9,8.1,8.2
10X397,English Language Learners And International Suppor,High School,22%,48%,52%,7.6,7.2,7.6,8.1
10X433,High School For Teaching And The Professions,High School,25%,88%,78%,7.3,7.1,7.4,7.7
10X434,Belmont Preparatory High School,High School,28%,73%,52%,7.2,6.3,6.7,7.2
10X437,Fordham High School For The Arts,High School,30%,64%,69%,7.7,7.2,7.6,7.8
10X438,Fordham Leadership Academy For Business And Techno,High School,23%,72%,83%,6.4,6.2,6.4,6.8
10X439,Bronx High School For Law And Community Service,High School,27%,100%,75%,7.1,6.6,6.9,7.4
10X440,Dewitt Clinton High School,High School,17%,88%,58%,6.2,6.3,6.7,7.2
10X442,"Celia Cruz Bronx High School Of Music, The",High School,35%,97%,81%,7.1,6.1,6.6,6.8
10X445,Bronx High School Of Science,High School,41%,75%,97%,7.5,6.8,7.0,7.6
10X447,Creston Academy,Middle School,97%,89%,96%,7.5,7.6,8.0,8.4
10X459,East Fordham Academy For The Arts,Middle School,17%,88%,89%,7.4,6.7,7.3,7.5
10X475,John F. Kennedy High School,High School,16%,81%,70%,6.1,5.9,6.3,6.3
10X477,Marble Hill High School For International Studies,High School,57%,97%,89%,7.9,6.9,7.3,7.9
10X503,Walton Yabc,YABC,14%,88%,80%,8.5,7.8,8.1,8.3
10X504,Kennedy Yabc,YABC,5%,52%,90%,7.6,7.0,7.3,7.7
10X524,Crotona International High School,High School,56%,88%,99%,8.0,7.6,7.7,8.2
10X546,Bronx Theatre High School,High School,89%,97%,91%,8.0,7.6,8.0,8.4
10X549,Discovery High School,High School,5%,70%,58%,7.7,7.1,7.1,7.8
10X660,Grace Dodge Career And Technical Education High Sc,High School,14%,90%,73%,6.0,5.9,6.2,6.4
10X667,Grace Dodge Yabc,YABC,10%,88%,70%,8.3,7.6,8.2,8.4
10X696,High School Of American Studies At Lehman College,High School,31%,81%,95%,8.7,7.6,8.1,8.7
11X016,P.S. 016 Wakefield,Elementary School,45%,100%,NA,7.5,7.2,7.5,7.7
11X019,P.S. 019 Judith K. Weiss,Elementary/Middle School,57%,97%,99%,8.6,8.0,8.6,8.9
11X021,P.S. 021 Philip H. Sheridan,Elementary School,66%,82%,NA,7.7,7.5,7.7,7.9
11X041,P.S. 041 Gun Hill Road,Elementary School,86%,94%,NA,8.1,8.1,8.1,8.3
11X068,P.S. 068 Bronx,Elementary School,65%,99%,NA,7.3,7.1,7.4,7.6
