,borough,geographical_district,admin_district,ats_code,location_name,grade_level,bldg_id,bldg_name,ownership,room_number,square_feet,room_function,shared_with_other_schools,inside_v_outside,space_used_for_any_other_purpose_beside_pe
28,Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,314B,528,MULTI-PURPOSE ROOM,Y,Inside,Y
29,Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,314C,550,MULTI-PURPOSE ROOM,Y,Inside,Y
30,Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"26,472",OUTDOOR YARD,Y,Outside,N
31,Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,OUTDOOR YARD 2,"7,098",OUTDOOR YARD,Y,Outside,N
32,Manhattan,1,1,01M184,P.S. 184m Shuang Wen,K-8,M137,P.S. 137 - MANHATTAN,DOE Owned,220,"4,620",MULTI-PURPOSE NON CLASSROOM,N,Inside,Y
33,Manhattan,1,1,01M184,P.S. 184m Shuang Wen,K-8,M137,P.S. 137 - MANHATTAN,DOE Owned,209/211,"1,350",DANCE ROOM,N,Inside,N
34,Manhattan,1,1,01M184,P.S. 184m Shuang Wen,K-8,M137,P.S. 137 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"48,593",OUTDOOR YARD,N,Outside,N
35,Manhattan,1,1,01M188,P.S. 188 The Island School,K-8,M188,P.S. 188 - MANHATTAN,DOE Owned,202,"3,792",MULTI-PURPOSE ROOM,Y,Inside,Y
36,Manhattan,1,1,01M188,P.S. 188 The Island School,K-8,M188,P.S. 188 - MANHATTAN,DOE Owned,321,792,MULTI-PURPOSE CLASSROOM,Y,Inside,Y
37,Manhattan,1,1,01M188,P.S. 188 The Island School,K-8,M188,P.S. 188 - MANHATTAN,DOE Owned,520,621,MULTI-PURPOSE ROOM,Y,Inside,Y
38,Manhattan,1,1,01M188,P.S. 188 The Island School,K-8,M188,P.S. 188 - MANHATTAN,DOE Owned,GYM,"9,720",GYMNASIUM,Y,Inside,N
39,Manhattan,1,1,01M292,Orchard Collegiate Academy,High school,M056,J.H.S. 56 - MANHATTAN,DOE Owned,204,378,MULTI-PURPOSE CLASSROOM,Y,Inside,Y
40,Manhattan,1,1,01M292,Orchard Collegiate Academy,High school,M056,J.H.S. 56 - MANHATTAN,DOE Owned,300,816,DANCE ROOM,Y,Inside,N
41,Manhattan,1,1,01M292,Orchard Collegiate Academy,High school,M056,J.H.S. 56 - MANHATTAN,DOE Owned,GYM,"6,500",GYMNASIUM,Y,Inside,N
42,Manhattan,1,1,01M292,Orchard Collegiate Academy,High school,M056,J.H.S. 56 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"23,204",OUTDOOR YARD,Y,Outside,N
43,Manhattan,1,1,01M301,"Technology, Arts, and Sciences Studio",Junior High-Intermediate-Middle,M019,P.S. 19 - MANHATTAN,DOE Owned,GYM,"3,942",GYMNASIUM,Y,Inside,N
44,Manhattan,1,1,01M301,"Technology, Arts, and Sciences Studio",Junior High-Intermediate-Middle,M019,P.S. 19 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"28,121",OUTDOOR YARD,Y,Outside,N
45,Manhattan,1,1,01M315,The East Village Community School,Elementary,M061,P.S. 61 - MANHATTAN,DOE Owned,412,728,AUXILIARY EXERCISE ROOM,Y,Inside,N
46,Manhattan,1,1,01M315,The East Village Community School,Elementary,M061,P.S. 61 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"10,622",OUTDOOR YARD,Y,Outside,N
47,Manhattan,1,1,01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,M056,J.H.S. 56 - MANHATTAN,DOE Owned,204,378,MULTI-PURPOSE CLASSROOM,Y,Inside,Y
48,Manhattan,1,1,01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,M056,J.H.S. 56 - MANHATTAN,DOE Owned,300,816,DANCE ROOM,Y,Inside,N
49,Manhattan,1,1,01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,M056,J.H.S. 56 - MANHATTAN,DOE Owned,GYM,"6,500",GYMNASIUM,Y,Inside,N
