district,five_year_housing_units,ten_year_housing_units
1,7377,7377
2,24672,24941
3,2861,2922
4,3146,3770
5,5970,7221
6,2941,2941
7,7012,7055
8,4937,5040
9,4719,5229
10,6571,6779
11,1483,1550
12,3643,3643
13,6940,7360
14,13124,13124
15,6816,8521
16,1745,1755
17,6194,6895
18,86,86
19,7377,8283
20,1660,1660
21,4198,4295
22,1755,1781
23,2215,2577
24,3636,3868
25,3124,3274
26,290,290
27,4541,4983
28,3840,3840
29,1155,1168
30,19703,21502
31,4137,4137
32,4471,4471
Totals,172336,182336
