project_id,project_name,project_start_date,house_number,street_name,borough,community_board,council_district,reporting_construction_type,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,unknown_br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,building_id,postcode,bbl,census_tract,neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,project_completion_date,building_completion_date,bin
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,590,EAST 138 STREET,Bronx,BX-01,8.0,Preservation,No,Non Prevailing Wage,0,6,9,0,0,1,2,0,14,0,0,0,0,0,16,0,16,16,62841.0,10454.0,2025500017.0,2701.0,BX39,40.806419,-73.916547,40.80619,-73.916713,,,2003608.0
69122,CONFIDENTIAL,2019-09-06T00:00:00.000,----,----,Queens,QN-14,31.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,,,,,,,,,,2019-09-06T00:00:00.000,2019-09-06T00:00:00.000,
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,570,EAST 138 STREET,Bronx,BX-01,8.0,Preservation,No,Non Prevailing Wage,0,6,6,0,0,0,0,0,12,0,0,0,0,0,12,0,12,12,62835.0,10454.0,2025500007.0,2701.0,BX39,40.806661,-73.917143,40.80652,-73.917479,,,2003604.0
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,946,LEGGETT AVENUE,Bronx,BX-02,17.0,Preservation,No,Non Prevailing Wage,0,5,11,0,0,0,0,5,11,0,0,0,0,0,16,0,16,16,91417.0,10455.0,2026850050.0,83.0,BX33,40.815636,-73.900401,40.81554,-73.900715,,,2005109.0
69089,3 WEST 128TH STREET,2019-09-06T00:00:00.000,3,WEST 128 STREET,Manhattan,MN-10,9.0,New Construction,No,Non Prevailing Wage,0,0,0,0,6,0,0,5,0,1,0,0,0,0,6,0,6,20,39938.0,10027.0,1017260132.0,208.0,MN03,40.808558,-73.941368,40.80871,-73.941169,,,
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,590,EAST 169 STREET,Bronx,BX-03,16.0,Preservation,No,Non Prevailing Wage,0,2,5,0,0,0,0,4,3,0,0,0,0,0,7,0,7,7,65186.0,10456.0,2026120035.0,149.0,BX35,40.831928,-73.902581,40.83176,-73.90269,,,2004252.0
69088,340 NEPTUNE AVENUE APARTMENTS,2019-09-03T00:00:00.000,340,NEPTUNE AVENUE,Brooklyn,BK-13,48.0,New Construction,No,Non Prevailing Wage,0,0,0,0,6,0,0,3,3,0,0,0,0,0,6,0,6,20,342114.0,11235.0,3086630246.0,364.0,BK19,40.580805,-73.96535,40.58054,-73.96522,,,
68920,CONFIDENTIAL,2019-08-30T00:00:00.000,----,----,Brooklyn,BK-15,46.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,2019-08-30T00:00:00.000,2019-08-30T00:00:00.000,
67504,HP W 48 HDFC.HUDMF.FY19,2019-08-30T00:00:00.000,414,WEST 48 STREET,Manhattan,MN-04,3.0,Preservation,No,Non Prevailing Wage,40,10,2,0,0,2,0,18,21,14,1,0,0,0,54,0,54,54,33639.0,10036.0,1010570141.0,127.0,MN15,40.762527,-73.990578,40.76251,-73.991105,,,1079207.0
69086,173 MORNINGSIDE AVENUE APARTMENTS,2019-08-30T00:00:00.000,173,MORNINGSIDE AVENUE,Manhattan,MN-09,9.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,8,875065.0,10027.0,1019530062.0,21303.0,MN06,40.812494,-73.953243,40.81242,-73.952997,,,
67575,LANGSAM 11 - 2816 JEROME AVENUE.HPO.FY19,2019-08-30T00:00:00.000,760,EAST 169 STREET,Bronx,BX-03,17.0,Preservation,Yes,Non Prevailing Wage,0,2,40,0,0,1,6,30,7,0,0,0,0,0,43,0,43,43,65205.0,10456.0,2026630034.0,151.0,BX35,40.830905,-73.899879,40.83068,-73.899966,,,2004754.0
69087,54 THROOP AVENUE APARTMENTS,2019-08-30T00:00:00.000,54,THROOP AVENUE,Brooklyn,BK-01,33.0,New Construction,No,Non Prevailing Wage,0,0,5,0,0,0,1,1,3,0,0,0,0,0,5,0,5,24,980783.0,11206.0,3022507503.0,507.0,BK75,40.703201,-73.947387,40.70303,-73.947592,,,
69084,1610 NEW YORK AVENUE,2019-08-29T00:00:00.000,1610,NEW YORK AVENUE,Brooklyn,BK-17,45.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,8,343580.0,11210.0,3075600055.0,786.0,BK42,40.633326,-73.944801,40.63339,-73.945125,,,
69085,1612 NEW YORK AVENUE,2019-08-29T00:00:00.000,1612,NEW YORK AVENUE,Brooklyn,BK-17,45.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,8,990010.0,11210.0,3075600056.0,786.0,BK42,40.633291,-73.944797,40.63334,-73.945118,,,
69082,111 TROUTMAN STREET APARTMENTS,2019-08-28T00:00:00.000,111,TROUTMAN  STREET,Brooklyn,BK-04,34.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,8,988959.0,11206.0,3031720047.0,425.0,BK78,40.699465,-73.929855,40.69959,-73.930068,,,
69083,"ORCHARD, THE",2019-08-28T00:00:00.000,118,ORCHARD STREET,Manhattan,MN-03,1.0,New Construction,No,Non Prevailing Wage,0,0,3,0,6,0,0,8,0,1,0,0,0,0,9,0,9,29,989790.0,10002.0,1004100034.0,18.0,MN27,40.719267,-73.989632,40.71926,-73.989495,,,
68934,CONFIDENTIAL,2019-08-28T00:00:00.000,----,----,Brooklyn,BK-03,36.0,Preservation,No,Non Prevailing Wage,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,4,4,,,,,,,,,,,,
69081,52-22 ROOSEVELT AVENUE APARTMENTS,2019-08-27T00:00:00.000,52-22,ROOSEVELT AVENUE,Queens,QN-02,26.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,10,981904.0,11377.0,,25302.0,QN31,40.744253,-73.912175,40.74414,-73.911739,,,
69080,1250 NEW YORK AVENUE APARTMENTS,2019-08-23T00:00:00.000,1250,NEW YORK AVENUE,Brooklyn,BK-17,45.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,10,343475.0,11203.0,3049490025.0,830.0,BK91,40.64242,-73.945773,40.64227,-73.946069,,,
69079,1248 NEW YORK AVENUE APARTMENTS,2019-08-23T00:00:00.000,1248,NEW YORK AVENUE,Brooklyn,BK-17,45.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,10,990702.0,11203.0,3049490024.0,830.0,BK91,40.642459,-73.945777,40.64233,-73.946076,,,
68932,CONFIDENTIAL,2019-08-23T00:00:00.000,----,----,Brooklyn,BK-05,42.0,Preservation,No,Non Prevailing Wage,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,,,,,,,,,,,,
