dbn,school_name,grade_level,category,average_frequency,average_minutes,of_students_who_are_receiving_the_required_amount_of_physical_education_instruction_1,of_students_who_are_receiving_the_required_amount_of_physical_education_instruction_2,of_students_who_are_receiving_less_than_the_required_amount_of_physical_education_instruction_1,of_students_who_are_receiving_less_than_the_required_amount_of_physical_education_instruction_2,of_students_who_have_an_iep_that_recommends_adaptive_physical_education_1,of_students_who_have_an_iep_that_recommends_adaptive_physical_education_2
01M184,P.S. 184m Shuang Wen,1,Black,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,1,Hispanic,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,1,Other,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,1,White,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,1,Female,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,1,Male,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,1,IEP,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,1,ELL,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,2,All Students,5.00,120.00,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,2,Asian,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,2,Black,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,2,Hispanic,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,2,Other,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,2,White,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,2,Female,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,2,Male,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,2,IEP,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,2,ELL,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,3,All Students,5.00,120.00,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,3,Asian,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,3,Black,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,3,Hispanic,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,3,Other,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,3,White,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,3,Female,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,3,Male,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,3,IEP,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,3,ELL,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,4,All Students,3.00,120.00,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,4,Asian,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,4,Black,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,4,Hispanic,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,4,Other,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,4,White,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,4,Female,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,4,Male,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,4,IEP,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,4,ELL,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,5,All Students,3.00,120.00,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,5,Asian,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,5,Black,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,5,Hispanic,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,5,Other,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,5,White,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,5,Female,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,5,Male,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,5,IEP,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,5,ELL,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,6,All Students,2.00,95.00,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,6,Asian,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,6,Black,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,6,Hispanic,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,6,White,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,6,Female,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,6,Male,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,6,IEP,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,6,ELL,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,7,All Students,2.00,90.00,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,7,Asian,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,7,Black,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,7,Hispanic,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,7,Other,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,7,White,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,7,Female,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,7,Male,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,7,IEP,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,7,ELL,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,8,All Students,2.00,95.00,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,8,Asian,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,8,Black,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,8,Hispanic,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,8,Other,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,8,White,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,8,Female,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,8,Male,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,8,IEP,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,8,ELL,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,0K,All Students,5.00,120.00,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,0K,Asian,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,0K,Black,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,0K,Hispanic,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,0K,Other,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,0K,White,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,0K,Female,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,0K,Male,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,0K,IEP,-,-,s,s,s,s,s,s
01M184,P.S. 184m Shuang Wen,0K,ELL,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,1,All Students,1.00,45.00,s,s,s,s,s,s
01M188,P.S. 188 The Island School,1,Asian,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,1,Black,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,1,Hispanic,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,1,White,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,1,Female,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,1,Male,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,1,IEP,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,1,ELL,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,2,All Students,1.00,45.00,s,s,s,s,s,s
01M188,P.S. 188 The Island School,2,Asian,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,2,Black,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,2,Hispanic,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,2,White,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,2,Female,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,2,Male,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,2,IEP,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,2,ELL,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,3,All Students,0.83,43.93,s,s,s,s,s,s
01M188,P.S. 188 The Island School,3,Asian,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,3,Black,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,3,Hispanic,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,3,White,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,3,Female,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,3,Male,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,3,IEP,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,3,ELL,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,4,All Students,1.45,69.55,s,s,s,s,s,s
01M188,P.S. 188 The Island School,4,Asian,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,4,Black,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,4,Hispanic,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,4,White,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,4,Female,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,4,Male,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,4,IEP,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,4,ELL,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,5,All Students,1.00,97.94,s,s,s,s,s,s
01M188,P.S. 188 The Island School,5,Asian,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,5,Black,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,5,Hispanic,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,5,White,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,5,Female,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,5,Male,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,5,IEP,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,5,ELL,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,6,All Students,1.00,45.00,s,s,s,s,s,s
01M188,P.S. 188 The Island School,6,Black,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,6,Hispanic,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,6,White,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,6,Female,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,6,Male,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,6,IEP,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,6,ELL,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,7,All Students,1.48,68.96,23,47.92%,25,52.08%,s,s
01M188,P.S. 188 The Island School,7,Black,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,7,Hispanic,-,-,21,61.76%,13,38.24%,s,s
01M188,P.S. 188 The Island School,7,White,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,7,Female,-,-,13,54.17%,11,45.83%,s,s
01M188,P.S. 188 The Island School,7,Male,-,-,10,41.67%,14,58.33%,s,s
01M188,P.S. 188 The Island School,7,IEP,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,7,ELL,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,8,All Students,1.00,45.00,s,s,s,s,s,s
01M188,P.S. 188 The Island School,8,Black,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,8,Hispanic,-,-,s,s,s,s,s,s
02M131,M.S. 131,8,Asian,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,8,White,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,8,Female,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,8,Male,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,8,IEP,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,8,ELL,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,0K,All Students,1.00,135.00,s,s,s,s,s,s
01M188,P.S. 188 The Island School,0K,Asian,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,0K,Black,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,0K,Hispanic,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,0K,White,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,0K,Female,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,0K,Male,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,0K,IEP,-,-,s,s,s,s,s,s
01M188,P.S. 188 The Island School,0K,ELL,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,9,All Students,2.93,171.22,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,9,Asian,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,9,Black,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,9,Hispanic,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,9,Other,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,9,White,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,9,Female,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,9,Male,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,9,IEP,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,9,ELL,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,10,All Students,2.60,120.35,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,10,Asian,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,10,Black,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,10,Hispanic,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,10,White,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,10,Female,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,10,Male,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,10,IEP,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,10,ELL,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,11,All Students,4.87,260.89,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,11,Asian,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,11,Black,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,11,Hispanic,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,11,White,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,11,Female,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,11,Male,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,11,IEP,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,11,ELL,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,12,All Students,4.66,275.16,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,12,Asian,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,12,Black,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,12,Hispanic,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,12,White,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,12,Female,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,12,Male,-,-,s,s,s,s,s,s
