dbn,school_name,grade_level,category,average_frequency,average_minutes,of_students_who_are_receiving_the_required_amount_of_physical_education_instruction_1,of_students_who_are_receiving_the_required_amount_of_physical_education_instruction_2,of_students_who_are_receiving_less_than_the_required_amount_of_physical_education_instruction_1,of_students_who_are_receiving_less_than_the_required_amount_of_physical_education_instruction_2,of_students_who_have_an_iep_that_recommends_adaptive_physical_education_1,of_students_who_have_an_iep_that_recommends_adaptive_physical_education_2
01M315,The East Village Community School,4,Other,-,-,s,s,s,s,s,s
01M315,The East Village Community School,4,White,-,-,s,s,s,s,s,s
01M315,The East Village Community School,4,Female,-,-,s,s,s,s,s,s
01M315,The East Village Community School,4,Male,-,-,s,s,s,s,s,s
01M315,The East Village Community School,4,IEP,-,-,s,s,s,s,s,s
01M315,The East Village Community School,4,ELL,-,-,s,s,s,s,s,s
01M315,The East Village Community School,5,All Students,5.00,120.00,s,s,s,s,s,s
01M315,The East Village Community School,5,Asian,-,-,s,s,s,s,s,s
01M315,The East Village Community School,5,Black,-,-,s,s,s,s,s,s
01M315,The East Village Community School,5,Hispanic,-,-,s,s,s,s,s,s
01M315,The East Village Community School,5,Other,-,-,s,s,s,s,s,s
01M315,The East Village Community School,5,White,-,-,s,s,s,s,s,s
01M315,The East Village Community School,5,Female,-,-,s,s,s,s,s,s
01M315,The East Village Community School,5,Male,-,-,s,s,s,s,s,s
01M315,The East Village Community School,5,IEP,-,-,s,s,s,s,s,s
01M315,The East Village Community School,0K,All Students,5.00,120.00,s,s,s,s,s,s
01M315,The East Village Community School,0K,Asian,-,-,s,s,s,s,s,s
01M315,The East Village Community School,0K,Black,-,-,s,s,s,s,s,s
01M315,The East Village Community School,0K,Hispanic,-,-,s,s,s,s,s,s
01M315,The East Village Community School,0K,Other,-,-,s,s,s,s,s,s
01M315,The East Village Community School,0K,White,-,-,s,s,s,s,s,s
01M315,The East Village Community School,0K,Female,-,-,s,s,s,s,s,s
01M315,The East Village Community School,0K,Male,-,-,s,s,s,s,s,s
01M315,The East Village Community School,0K,IEP,-,-,s,s,s,s,s,s
01M332,University Neighborhood Middle School,6,All Students,2.00,77.38,28,44.44%,35,55.56%,s,s
01M332,University Neighborhood Middle School,6,Asian,-,-,s,s,s,s,s,s
