,dbn,school_name,school_type,program,language
257,15K088 ,J.H.S. 088 Peter Rouget ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
258,15K094 ,P.S. 094 The Henry Longfellow ,Elementary ,Dual Language ,Chinese 
259,15K094 ,P.S. 094 The Henry Longfellow ,Elementary ,Dual Language ,Spanish 
260,15K124 ,P.S. 124 Silas B. Dutcher ,Elementary ,Dual Language ,Spanish 
261,15K131 ,P.S. 131 Brooklyn ,Elementary ,Transitional Bilingual Education ,Chinese 
262,15K131 ,P.S. 131 Brooklyn ,Elementary ,Transitional Bilingual Education ,Spanish 
263,15K136 ,I.S. 136 Charles O. Dewey ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
264,15K169 ,P.S. 169 Sunset Park ,Elementary ,Dual Language ,Chinese 
265,15K169 ,P.S. 169 Sunset Park ,Elementary ,Dual Language ,Spanish 
266,15K169 ,P.S. 169 Sunset Park ,Elementary ,Transitional Bilingual Education ,Chinese 
267,15K169 ,P.S. 169 Sunset Park ,Elementary ,Transitional Bilingual Education ,Spanish 
268,15K230 ,P.S. 230 Doris L. Cohen ,Elementary ,Dual Language ,Spanish 
269,15K497 ,The Boerum Hill School for International Studies ,Secondary School ,Dual Language ,French 
270,15K516 ,Sunset Park Avenues Elementary School ,Elementary ,Dual Language ,Spanish 
271,15K592 ,Khalil Gibran International Academy ,High school ,Transitional Bilingual Education ,Arabic 
272,15K821 ,Sunset Park Prep ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
273,16K627 ,Brighter Choice Community School ,Elementary ,Dual Language ,Spanish 
274,17K061 ,M.S. 061 Dr. Gladstone H. Atwell ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Haitian Creole 
275,17K189 ,P.S. 189 The Bilingual Center ,K-8 ,Dual Language ,Haitian Creole 
276,17K189 ,P.S. 189 The Bilingual Center ,K-8 ,Dual Language ,Spanish 
277,17K246 ,M.S. 246 Walt Whitman ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Haitian Creole 
278,17K249 ,P.S. 249 The Caton ,Elementary ,Dual Language ,Spanish 
279,17K375 ,P.S. 375 Jackie Robinson School ,Elementary ,Dual Language ,Spanish 
280,17K600 ,Clara Barton High School ,High school ,Transitional Bilingual Education ,Haitian Creole 
281,17K705 ,Brooklyn Arts and Science Elementary School ,Elementary ,Dual Language ,Spanish 
282,18K068 ,I.S. 068 Isaac Bildersee ,Junior High-Intermediate-Middle ,Dual Language ,Haitian Creole 
283,18K276 ,P.S. 276 Louis Marshall ,Elementary ,Dual Language ,Haitian Creole 
284,19K007 ,P.S. 007 Abraham Lincoln ,Elementary ,Transitional Bilingual Education ,Spanish 
285,19K065 ,P.S. 065 ,Elementary ,Transitional Bilingual Education ,Spanish 
