,borough,geographical,admin_district,ats_code,location_name,grade_level,building_code,building_name,address,building_ownership,room_no,area,function,is_school_co_located,inside_v_outside,is_the_space_shared,space_used_for_any
11,M,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,114,728.0,Dance Room,true,Inside,true,False
12,M,3,3,03M452,P.S. 452,Elementary,M044,I.S. 44 - Manhattan,100 West 77 Street,DOE Owned,237,960.0,Dance Room,true,Inside,true,False
13,M,2,75,75M094,P.S. M094,K-8,M276,P.S./I.S. 276 - Manhattan,55 Battery Place,Tax Levy Lease,108,5040.0,Gymnasium,true,Inside,true,False
14,K,19,19,19K174,P.S. 174 Dumont,K-8,K174,P.S. 174 - Brooklyn,574 Dumont Avenue,DOE Owned,BGYM,2891.0,Gymnasium,true,Inside,true,False
15,K,13,13,13K595,Bedford Academy High School,High school,,Bedford Ymca,1121 Bedford Ave,,,,Bedford YMCA,false,Offsite,false,False
16,M,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,GYMB,1740.0,Gymnasium,true,Inside,true,False
17,M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,B43,1344.0,Dance Room,true,Inside,true,False
18,M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,B53,6336.0,Gymnasium,true,Inside,true,False
19,M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,Outdoor Yard 1,13310.0,Outdoor Yard,true,Outdoor,true,False
20,M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,Outdoor Yard 2,14159.0,Outdoor Yard,true,Outdoor,true,False
21,M,1,1,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - Manhattan,285 Delancy Street,DOE Owned,GYM,3367.0,Gymnasium,false,Inside,false,False
22,M,1,1,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - Manhattan,285 Delancy Street,DOE Owned,Outdoor Yard 1,4089.0,Outdoor Yard,false,Outdoor,false,False
23,M,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - Manhattan,293 East Broadway,DOE Owned,140,920.0,Dance Room,true,Inside,true,False
24,M,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - Manhattan,293 East Broadway,DOE Owned,140A,528.0,Dance Room,true,Inside,true,False
25,M,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - Manhattan,293 East Broadway,DOE Owned,GYM,3850.0,Gymnasium,true,Inside,true,False
26,M,1,1,01M140,P.S. 140 Nathan Straus,K-8,M140,P.S. 140 - Manhattan,123 Ridge Street,DOE Owned,GYM,3850.0,Gymnasium,false,Inside,false,False
27,M,1,1,01M140,P.S. 140 Nathan Straus,K-8,M140,P.S. 140 - Manhattan,123 Ridge Street,DOE Owned,Outdoor Yard 1,2890.0,Outdoor Yard,false,Outdoor,false,False
28,M,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - Manhattan,100 Attorney Street,DOE Owned,118,550.0,Dance Room,true,Inside,true,False
29,M,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - Manhattan,100 Attorney Street,DOE Owned,140,3000.0,Gymnasium,true,Inside,true,False
30,M,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - Manhattan,100 Attorney Street,DOE Owned,Outdoor Yard 1,26472.0,Outdoor Yard,true,Outdoor,true,False
31,M,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - Manhattan,100 Attorney Street,DOE Owned,Outdoor Yard 2,7098.0,Outdoor Yard,true,Outdoor,true,False
32,M,1,1,01M184,P.S. 184m Shuang Wen,K-8,M137,P.S. 137 - Manhattan,327 Cherry Street,DOE Owned,209/211,1350.0,Dance Room,false,Inside,false,False
33,M,1,1,01M184,P.S. 184m Shuang Wen,K-8,M137,P.S. 137 - Manhattan,327 Cherry Street,DOE Owned,Outdoor Yard 1,48593.0,Outdoor Yard,false,Outdoor,false,False
34,M,1,1,01M188,P.S. 188 The Island School,K-8,M188,P.S. 188 - Manhattan,442 East Houston Street,DOE Owned,GYM,9720.0,Gymnasium,true,Inside,true,False
35,M,1,1,01M292,Orchard Collegiate Academy,Secondary School,M056,J.H.S. 56 - Manhattan,220 Henry Street,DOE Owned,300,816.0,Dance Room,true,Inside,true,False
36,M,1,1,01M292,Orchard Collegiate Academy,Secondary School,M056,J.H.S. 56 - Manhattan,220 Henry Street,DOE Owned,GYM,6500.0,Gymnasium,true,Inside,true,False
37,M,1,1,01M292,Orchard Collegiate Academy,Secondary School,M056,J.H.S. 56 - Manhattan,220 Henry Street,DOE Owned,Outdoor Yard 1,23204.0,Outdoor Yard,true,Outdoor,true,False
38,M,1,1,01M301,"Technology, Arts, and Sciences Studio",Junior High-Intermediate-Middle,M019,P.S. 19 - Manhattan,185 1 Avenue,DOE Owned,GYM,3942.0,Gymnasium,true,Inside,true,False
39,M,1,1,01M301,"Technology, Arts, and Sciences Studio",Junior High-Intermediate-Middle,M019,P.S. 19 - Manhattan,185 1 Avenue,DOE Owned,Outdoor Yard 1,28121.0,Outdoor Yard,true,Outdoor,true,False
