zip_code,building_type_service_class,_consumption_therms_,_consumption_gj_,utility_data_source
"
,  10012
(40.725538020863, -73.997896410591)",Large Residential,7190053.0,758591.0,ConEd
"
,  11360
(40.780701334399, -73.782267336868)",Commercial,17858.0,1884.0,ConEd
"
,  11365
(40.739871843711, -73.794621535156)",Commercial,1336553.0,141014.0,ConEd
"
,  11436
(40.675718209128, -73.796465014948)",Large residential,225350.0,23776.0,National Grid
"
,  11209
(40.623387097237, -74.030652953471)",Commercial,2452630.0,258766.0,National Grid
"
,  11223
(40.596939623165, -73.973311472047)",Small residential,14240984.0,1502504.0,National Grid
"
,  10006
(40.708256140309, -74.013553569641)",Residential,15601.0,1646.0,ConEd
"
,  10002
(40.716121467931, -73.985831470246)",Residential,4509087.0,475734.0,ConEd
"
,  10463
(40.881871962821, -73.911207480541)",Commercial,7214349.0,761154.0,ConEd
"
,  10065
(40.764301213031, -73.963039935445)",Residential,1795744.0,189461.0,ConEd
"
,  10006
(40.708256140309, -74.013553569641)",Commercial,235511.0,24848.0,ConEd
"
,  11365
(40.739871843711, -73.794621535156)",Small residential,3378.0,356.0,National Grid
"
,  10467
(40.877047912132, -73.871532500824)",Commercial,14662.0,1547.0,ConEd
"
,  11104
(40.744893366636, -73.920541345307)",Commercial,1399157.0,147619.0,ConEd
"
,  10466
(40.890809730185, -73.846009063068)",Residential,6056272.0,638971.0,ConEd
"
,  11370
(40.75935377086, -73.8918440004)",Commercial,29295.0,3091.0,ConEd
"
,  10451
(40.820696407114, -73.923841367985)",Commercial,2168883.0,228829.0,ConEd
"
,  10065
(40.764301213031, -73.963039935445)",Residential,156086.0,16468.0,ConEd
"
,  11367
(40.730323085042, -73.82610630716)",Commercial,6820750.0,719627.0,ConEd
"
,  11693
(40.618303604728, -73.824955315236)",Small residential,948328.0,100054.0,National Grid
"
,  11379
(40.71679766548, -73.879334213103)",Small residential,6789947.0,716377.0,National Grid
"
,  11423
(40.717222295672, -73.76714149998)",Residential,261189.0,27557.0,ConEd
"
,  10021
(40.769205327664, -73.959183941086)",Residential,2002900.0,211317.0,ConEd
"
,  10025
(40.796850127631, -73.963725810598)",Commercial,8752223.0,923409.0,ConEd
"
,  11373
(40.738710402563, -73.878351155182)",Residential,5089.0,537.0,ConEd
"
,  11210
(40.627722263871, -73.946537919989)",Institutional,1837588.0,193876.0,National Grid
"
,  10302
(40.630833311108, -74.137734298699)",Institutional,644313.0,67979.0,National Grid
"
,  11221
(40.691288039511, -73.927617927925)",Industrial,50866.0,5367.0,National Grid
"
,  10459
(40.825526216162, -73.893131067844)",Residential,2246422.0,237010.0,ConEd
"
,  11231
(40.677554311782, -74.004676704366)",Small residential,5330545.0,562402.0,National Grid
"
,  10471
(40.901994423104, -73.903626500562)",Residential,2226655.0,234925.0,ConEd
"
,  11361
(40.764188848137, -73.7723255286)",Residential,290730.0,30674.0,ConEd
"
,  11232
(40.654511617018, -74.000033929122)",Commercial,3285406.0,346629.0,National Grid
"
,  10306
(40.566020489654, -74.119945669057)",Institutional,434767.0,45870.0,National Grid
"
,  10034
(40.870617109292, -73.924223258796)",Commercial,1521876.0,160566.0,ConEd
"
,  11004
(40.743237834359, -73.712015000192)",Commercial,2555500.0,269620.0,ConEd
"
,  11355
(40.751299796948, -73.821478547897)",Residential,5458878.0,575942.0,ConEd
"
,  11001
(40.721390004945, -73.707396928425)",Commercial,375299.0,39596.0,ConEd
"
,  10310
(40.632789000212, -74.11645860538)",Industrial,20001.0,2110.0,National Grid
"
,  10475
(40.874142343794, -73.827068565562)",Commercial,11525984.0,1216056.0,ConEd
"
,  11361
(40.764188848137, -73.7723255286)",Commercial,1616689.0,170570.0,ConEd
"
,  11205
(40.693882095283, -73.964334507731)",Industrial,949014.0,100126.0,National Grid
"
,  11426
(40.737041384952, -73.724156998946)",Commercial,529932.0,55911.0,ConEd
"
,  10027
(40.811549564461, -73.952900335682)",Large Residential,10352199.0,1092215.0,ConEd
"
,  10308
(40.552935295428, -74.151302759814)",Commercial,565006.0,59611.0,National Grid
"
,  11105
(40.780092072491, -73.90960650024)",Commercial,2763314.0,291545.0,ConEd
"
,  11364
(40.74592468038, -73.757902755608)",Residential,269069.0,28388.0,ConEd
"
,  11363
(40.772398418252, -73.746797887413)",Large Residential,40443.0,4267.0,ConEd
"
,  10023
(40.774536138232, -73.979943356101)",Large Residential,394079.0,41578.0,ConEd
"
,  11429
(40.709913120494, -73.738640316098)",Industrial,150862.0,15917.0,National Grid
"
,  10007
(40.713630519433, -74.009131383706)",Large Residential,12021.0,1268.0,ConEd
"
,  10464
(40.875709096797, -73.812297250418)",Commercial,602169.0,63532.0,ConEd
"
,  11209
(40.623387097237, -74.030652953471)",Institutional,2102591.0,221835.0,National Grid
"
,  11416
(40.684578097002, -73.849601668482)",Commercial,736110.0,77664.0,National Grid
"
,  11423
(40.717222295672, -73.76714149998)",Small residential,5458466.0,575899.0,National Grid
"
,  11216
(40.680758670876, -73.949267750906)",Institutional,1015256.0,107115.0,National Grid
"
,  10469
(40.868181802748, -73.846568687795)",Commercial,1.0,0.0,ConEd
"
,  10456
(40.830436680009, -73.907765199504)",Residential,600008.0,63304.0,ConEd
"
,  11229
(40.601233507321, -73.944368541175)",Large residential,13147358.0,1387120.0,National Grid
"
,  11697
(40.559624370968, -73.910062999708)",Commercial,95842.0,10112.0,National Grid
"
,  11360
(40.780701334399, -73.782267336868)",Commercial,2307963.0,243503.0,ConEd
"
,  10032
(40.836930349056, -73.949178521971)",Residential,910692.0,96083.0,ConEd
"
,  11428
(40.721396964798, -73.741937297268)",Industrial,1772.0,187.0,National Grid
"
,  11206
(40.701912016826, -73.942379198541)",Commercial,3420403.0,360872.0,National Grid
"
,  10011
(40.744715266696, -74.00460000029)",Large Residential,400282.0,42232.0,ConEd
"
,  11231
(40.677554311782, -74.004676704366)",Institutional,346781.0,36587.0,National Grid
"
,  10474
(40.810882923108, -73.882356362356)",Large Residential,3339390.0,352324.0,ConEd
"
,  11201
(40.694678258795, -73.989920868353)",Small residential,3575205.0,377204.0,National Grid
"
,  10023
(40.774536138232, -73.979943356101)",Commercial,1543305.0,162827.0,ConEd
"
,  11367
(40.730323085042, -73.82610630716)",Large Residential,1724999.0,181997.0,ConEd
"
,  10038
(40.709359291898, -74.003071862376)",Residential,24457.0,2580.0,ConEd
"
,  10307
(40.508004527487, -74.242114281948)",Commercial,359769.0,37958.0,National Grid
"
,  11422
(40.661613493968, -73.736051726406)",Small residential,7114276.0,750596.0,National Grid
"
,  10003
(40.731943947555, -73.98887214913)",Commercial,5073198.0,535251.0,ConEd
"
,  10033
(40.856219929206, -73.945859000193)",Commercial,1599674.0,168775.0,ConEd
"
,  11426
(40.737041384952, -73.724156998946)",Residential,2508430.0,264653.0,ConEd
"
,  10065
(40.764301213031, -73.963039935445)",Commercial,13811460.0,1457186.0,ConEd
"
,  10128
(40.781770000585, -73.95062814907)",Commercial,8661160.0,913801.0,ConEd
"
,  10037
(40.813297761083, -73.937282525568)",Residential,611811.0,64549.0,ConEd
"
,  10301
(40.626785508445, -74.096112910882)",Small residential,7412235.0,782032.0,National Grid
"
,  10031
(40.824954205073, -73.950124436094)",Commercial,3819653.0,402995.0,ConEd
"
,  10310
(40.632789000212, -74.11645860538)",Small residential,5137096.0,541992.0,National Grid
"
,  10011
(40.744715266696, -74.00460000029)",Commercial,9456458.0,997709.0,ConEd
"
,  10461
(40.846960590359, -73.840632836736)",Commercial,3657783.0,385917.0,ConEd
"
,  10027
(40.811549564461, -73.952900335682)",Residential,2542279.0,268225.0,ConEd
"
,  10453
(40.852786838342, -73.913426784319)",Large Residential,1136648.0,119923.0,ConEd
"
,  11252
(40.607934094183, -74.02694266727)",Commercial,38852.0,4099.0,National Grid
"
,  10030
(40.818435176043, -73.942765303576)",Residential,159864.0,16867.0,ConEd
"
,  11213
(40.671225169206, -73.936443366368)",Institutional,889348.0,93831.0,National Grid
"
,  11368
(40.749678220374, -73.853040688577)",Commercial,978.0,103.0,ConEd
"
,  10463
(40.881871962821, -73.911207480541)",Commercial,3561.0,376.0,ConEd
"
,  10470
(40.900127971928, -73.87122775026)",Residential,236066.0,24906.0,ConEd
"
,  10024
(40.783625568166, -73.966539000574)",Residential,3988908.0,420852.0,ConEd
"
,  10021
(40.769205327664, -73.959183941086)",Commercial,6581.0,694.0,ConEd
"
,  11203
(40.649721601171, -73.934276085673)",Institutional,7869164.0,830241.0,National Grid
"
,  11414
(40.658170228174, -73.844962639814)",Commercial,1151068.0,121444.0,National Grid
"
,  10452
(40.837724263364, -73.923332211412)",Commercial,1823135.0,192351.0,ConEd
"
,  11428
(40.721396964798, -73.741937297268)",Small residential,3960945.0,417902.0,National Grid
"
,  11230
(40.621929510239, -73.965511060187)",Small residential,11665262.0,1230750.0,National Grid
"
,  10026
(40.803058121635, -73.953342776048)",Commercial,1153347.0,121685.0,ConEd
"
,  11360
(40.780701334399, -73.782267336868)",Residential,2617396.0,276150.0,ConEd
"
,  10013
(40.721242188776, -74.008889000227)",Residential,228453.0,24103.0,ConEd
"
,  11435
(40.701192649122, -73.809796655791)",Small residential,6630439.0,699548.0,National Grid
"
,  10030
(40.818435176043, -73.942765303576)",Residential,2016283.0,212729.0,ConEd
"
,  10016
(40.745242969987, -73.978232985864)",Commercial,7176247.0,757134.0,ConEd
"
,  11004
(40.743237834359, -73.712015000192)",Commercial,280325.0,29576.0,ConEd
"
,  10464
(40.875709096797, -73.812297250418)",Residential,1094782.0,115506.0,ConEd
"
,  10461
(40.846960590359, -73.840632836736)",Residential,587242.0,61957.0,ConEd
"
,  11355
(40.751299796948, -73.821478547897)",Residential,503099.0,53080.0,ConEd
"
,  10308
(40.552935295428, -74.151302759814)",Small residential,6910394.0,729085.0,National Grid
"
,  10040
(40.858095531883, -73.929255489949)",Commercial,717611.0,75712.0,ConEd
"
,  11693
(40.618303604728, -73.824955315236)",Large residential,2505401.0,264334.0,National Grid
"
,  11234
(40.61636866748, -73.927732249743)",Institutional,1812535.0,191233.0,National Grid
"
,  10075
(40.772939491764, -73.956090162631)",Commercial,3374658.0,356045.0,ConEd
"
,  11358
(40.760350968822, -73.796326458199)",Residential,5983515.0,631294.0,ConEd
"
,  11430
(40.647229326173, -73.786374952542)",Industrial,563052.0,59405.0,National Grid
"
,  10034
(40.870617109292, -73.924223258796)",Large Residential,281557.0,29706.0,ConEd
"
,  10457
(40.845798371298, -73.898324186812)",Commercial,3139507.0,331236.0,ConEd
"
,  10009
(40.726649358981, -73.979111485007)",Residential,2516364.0,265491.0,ConEd
"
,  11415
(40.708286075142, -73.828556121568)",Commercial,586484.0,61877.0,National Grid
"
,  11235
(40.578414108824, -73.940260000099)",Small residential,9977961.0,1052731.0,National Grid
"
,  11211
(40.711589765256, -73.958176750756)",Small residential,9211590.0,971874.0,National Grid
"
,  11423
(40.717222295672, -73.76714149998)",Commercial,660047.0,69639.0,National Grid
"
,  10306
(40.566020489654, -74.119945669057)",Industrial,3660.0,386.0,National Grid
"
,  11379
(40.71679766548, -73.879334213103)",Large residential,659949.0,69628.0,National Grid
"
,  10301
(40.626785508445, -74.096112910882)",Institutional,1244001.0,131249.0,National Grid
"
,  11217
(40.682312101322, -73.979567188575)",Industrial,115795.0,12217.0,National Grid
"
,  10306
(40.566020489654, -74.119945669057)",Small residential,13376088.0,1411252.0,National Grid
"
,  11429
(40.709913120494, -73.738640316098)",Residential,796.0,84.0,ConEd
"
,  10036
(40.759346827194, -73.989860554421)",Commercial,10571859.0,1115390.0,ConEd
"
,  11427
(40.729310574324, -73.750676021281)",Commercial,1165892.0,123008.0,ConEd
"
,  11421
(40.691764587566, -73.85702228585)",Industrial,22617.0,2386.0,National Grid
"
,  10456
(40.830436680009, -73.907765199504)",Residential,1999484.0,210957.0,ConEd
"
,  10280
(40.709594512277, -74.020224535534)",Commercial,1396819.0,147372.0,ConEd
"
,  10305
(40.596184688173, -74.075072384883)",Small residential,8586364.0,905909.0,National Grid
"
,  11364
(40.74592468038, -73.757902755608)",Commercial,768785.0,81111.0,ConEd
"
,  11363
(40.772398418252, -73.746797887413)",Residential,54273.0,5726.0,ConEd
"
,  11373
(40.738710402563, -73.878351155182)",Commercial,,,ConEd
"
,  10075
(40.772939491764, -73.956090162631)",Residential,110074.0,11613.0,ConEd
"
,  10463
(40.881871962821, -73.911207480541)",Large Residential,219710.0,23181.0,ConEd
"
,  10007
(40.713630519433, -74.009131383706)",Commercial,1220273.0,128746.0,ConEd
"
,  10305
(40.596184688173, -74.075072384883)",Large residential,1136630.0,119921.0,National Grid
"
,  10020
(40.759498513146, -73.980074397216)",Large Residential,271824.0,28679.0,ConEd
"
,  11377
(40.745193764481, -73.90484714408)",Commercial,3893626.0,410799.0,National Grid
"
,  11374
(40.726464917022, -73.861480847563)",Small residential,3149947.0,332337.0,National Grid
"
,  10039
(40.826681928628, -73.937770907801)",Residential,81485.0,8597.0,ConEd
"
,  11428
(40.721396964798, -73.741937297268)",Large residential,172865.0,18238.0,National Grid
"
,  11363
(40.772398418252, -73.746797887413)",Commercial,538595.0,56825.0,ConEd
"
,  10469
(40.868181802748, -73.846568687795)",Large Residential,18293.0,1930.0,ConEd
"
,  10001
(40.750259021437, -73.99688630376)",Commercial,7191956.0,758792.0,ConEd
"
,  11226
(40.646505002304, -73.957190099144)",Commercial,2807970.0,296257.0,National Grid
"
,  11428
(40.721396964798, -73.741937297268)",Residential,6282.0,663.0,ConEd
"
,  11219
(40.632772955408, -73.996676811186)",Small residential,13366615.0,1410253.0,National Grid
"
,  11358
(40.760350968822, -73.796326458199)",Commercial,2055.0,217.0,ConEd
"
,  10466
(40.890809730185, -73.846009063068)",Residential,891414.0,94049.0,ConEd
"
,  11427
(40.729310574324, -73.750676021281)",Industrial,14014.0,1479.0,National Grid
"
,  11432
(40.71311535449, -73.792820999789)",Industrial,106054.0,11189.0,National Grid
"
,  10021
(40.769205327664, -73.959183941086)",Commercial,5344734.0,563899.0,ConEd
"
,  10032
(40.836930349056, -73.949178521971)",Large Residential,10872811.0,1147142.0,ConEd
"
,  10069
(40.778254000322, -73.988541999913)",Residential,44780.0,4725.0,ConEd
"
,  10022
(40.758630224006, -73.96809182218)",Large Residential,98604.0,10403.0,ConEd
"
,  10032
(40.836930349056, -73.949178521971)",Commercial,4152807.0,438144.0,ConEd
"
,  11368
(40.749678220374, -73.853040688577)",Large residential,6347326.0,669678.0,National Grid
"
,  10465
(40.827628067581, -73.822413141353)",Commercial,1220820.0,128803.0,ConEd
"
,  11370
(40.75935377086, -73.8918440004)",Small residential,5080675.0,536040.0,National Grid
"
,  10010
(40.739140782121, -73.982898456399)",Commercial,2096300.0,221171.0,ConEd
"
,  11225
(40.663170058551, -73.953701109119)",Small residential,4686218.0,494422.0,National Grid
"
,  10458
(40.862601328688, -73.884790015047)",Large Residential,2881283.0,303991.0,ConEd
"
,  11378
(40.721453104977, -73.908543500682)",Large residential,618419.0,65247.0,National Grid
"
,  11205
(40.693882095283, -73.964334507731)",Small residential,3834731.0,404586.0,National Grid
"
,  11369
(40.763413273704, -73.872378898667)",Institutional,168544.0,17782.0,National Grid
"
,  11420
(40.673345242689, -73.817707171649)",Commercial,8380985.0,884241.0,National Grid
"
,  10075
(40.772939491764, -73.956090162631)",Residential,1035531.0,109254.0,ConEd
"
,  11243
(40.685030000035, -73.978075000161)",Commercial,558.0,59.0,National Grid
"
,  10302
(40.630833311108, -74.137734298699)",Large residential,321677.0,33939.0,National Grid
"
,  10029
(40.791610720558, -73.944032281065)",Commercial,2344076.0,247313.0,ConEd
"
,  10303
(40.633032309993, -74.16834884982)",Small residential,4136073.0,436379.0,National Grid
"
,  11367
(40.730323085042, -73.82610630716)",Small residential,1753.0,185.0,National Grid
"
,  10459
(40.825526216162, -73.893131067844)",Commercial,5960440.0,628860.0,ConEd
"
,  10044
(40.761976486226, -73.949999674945)",Commercial,234470.0,24738.0,ConEd
"
,  10467
(40.877047912132, -73.871532500824)",Commercial,3067369.0,323625.0,ConEd
"
,  10461
(40.846960590359, -73.840632836736)",Residential,4848889.0,511585.0,ConEd
"
,  11230
(40.621929510239, -73.965511060187)",Large residential,12513612.0,1320256.0,National Grid
"
,  11218
(40.64322700852, -73.976448622106)",Commercial,2009772.0,212042.0,National Grid
"
,  11103
(40.762868930257, -73.91327185811)",Commercial,1904692.0,200956.0,ConEd
"
,  11694
(40.576578305644, -73.850777000558)",Small residential,4716368.0,497603.0,National Grid
"
,  11385
(40.701224891615, -73.88334858437)",Large residential,5367560.0,566308.0,National Grid
"
,  10465
(40.827628067581, -73.822413141353)",Residential,6724287.0,709450.0,ConEd
"
,  10007
(40.713630519433, -74.009131383706)",Commercial,981522.0,103556.0,ConEd
"
,  10018
(40.756840774582, -73.996691499813)",Residential,21822.0,2302.0,ConEd
"
,  11692
(40.59313388562, -73.795402084638)",Small residential,2194609.0,231544.0,National Grid
"
,  11372
(40.751630739367, -73.883612545283)",Large residential,14227014.0,1501030.0,National Grid
"
,  11106
(40.761699790013, -73.931663252957)",Residential,1827237.0,192784.0,ConEd
"
,  11426
(40.737041384952, -73.724156998946)",Commercial,1716958.0,181149.0,ConEd
"
,  10457
(40.845798371298, -73.898324186812)",Commercial,5354415.0,564921.0,ConEd
"
,  11103
(40.762868930257, -73.91327185811)",Large Residential,80092.0,8450.0,ConEd
"
,  11357
(40.786284041475, -73.811232061011)",Residential,6962862.0,734621.0,ConEd
"
,  11109
(40.744414792409, -73.957702346686)",Commercial,752231.0,79365.0,ConEd
"
,  11385
(40.701224891615, -73.88334858437)",Industrial,1048061.0,110576.0,National Grid
"
,  10308
(40.552935295428, -74.151302759814)",Large residential,77333.0,8159.0,National Grid
"
,  11105
(40.780092072491, -73.90960650024)",Large Residential,23820.0,2513.0,ConEd
"
,  11213
(40.671225169206, -73.936443366368)",Large residential,10763716.0,1135632.0,National Grid
"
,  11370
(40.75935377086, -73.8918440004)",Institutional,1231730.0,129954.0,National Grid
"
,  10302
(40.630833311108, -74.137734298699)",Small residential,3521474.0,371535.0,National Grid
"
,  10001
(40.750259021437, -73.99688630376)",Commercial,4628579.0,488341.0,ConEd
"
,  10460
(40.843090348041, -73.87860282506)",Commercial,6492444.0,684989.0,ConEd
"
,  11411
(40.694293339066, -73.735683291251)",Industrial,4193.0,442.0,National Grid
"
,  11211
(40.711589765256, -73.958176750756)",Industrial,1046750.0,110438.0,National Grid
"
,  11228
(40.616540714083, -74.013277847395)",Industrial,543497.0,57342.0,National Grid
"
,  11229
(40.601233507321, -73.944368541175)",Small residential,12866878.0,1357528.0,National Grid
"
,  11215
(40.665557251366, -73.979681535574)",Large residential,6712652.0,708222.0,National Grid
"
,  10014
(40.733586451354, -74.010199604728)",Residential,3950218.0,416770.0,ConEd
"
,  11417
(40.676363730802, -73.844542755344)",Large residential,287216.0,30303.0,National Grid
"
,  11427
(40.729310574324, -73.750676021281)",Commercial,141057.0,14882.0,National Grid
"
,  11423
(40.717222295672, -73.76714149998)",Residential,21201.0,2237.0,ConEd
"
,  11377
(40.745193764481, -73.90484714408)",Institutional,811937.0,85664.0,National Grid
"
,  10019
(40.76761164716, -73.991805500224)",Residential,1511255.0,159446.0,ConEd
"
,  10012
(40.725538020863, -73.997896410591)",Residential,178497.0,18832.0,ConEd
"
,  11106
(40.761699790013, -73.931663252957)",Commercial,2708112.0,285721.0,ConEd
"
,  11415
(40.708286075142, -73.828556121568)",Commercial,887.0,94.0,ConEd
"
,  11209
(40.623387097237, -74.030652953471)",Small residential,9963344.0,1051189.0,National Grid
"
,  11428
(40.721396964798, -73.741937297268)",Commercial,65563.0,6917.0,ConEd
"
,  10312
(40.542955977337, -74.180376817236)",Institutional,273950.0,28903.0,National Grid
"
,  11105
(40.780092072491, -73.90960650024)",Commercial,3603071.0,380144.0,ConEd
"
,  10009
(40.726649358981, -73.979111485007)",Residential,186224.0,19648.0,ConEd
"
,  10002
(40.716121467931, -73.985831470246)",Commercial,12107072.0,1277364.0,ConEd
"
,  10459
(40.825526216162, -73.893131067844)",Large Residential,62003.0,6542.0,ConEd
"
,  11224
(40.576304656335, -73.999532000401)",Institutional,455120.0,48018.0,National Grid
"
,  10471
(40.901994423104, -73.903626500562)",Commercial,2240882.0,236426.0,ConEd
"
,  10038
(40.709359291898, -74.003071862376)",Commercial,1452146.0,153210.0,ConEd
"
,  10037
(40.813297761083, -73.937282525568)",Commercial,2164822.0,228401.0,ConEd
"
,  11234
(40.61636866748, -73.927732249743)",Commercial,6157277.0,649627.0,National Grid
"
,  11421
(40.691764587566, -73.85702228585)",Small residential,7298987.0,770084.0,National Grid
"
,  10017
(40.752456527447, -73.97297648088)",Large Residential,258733.0,27298.0,ConEd
"
,  10470
(40.900127971928, -73.87122775026)",Commercial,841945.0,88830.0,ConEd
"
,  11236
(40.640021493797, -73.901121939926)",Commercial,3108542.0,327969.0,National Grid
"
,  11693
(40.618303604728, -73.824955315236)",Commercial,948937.0,100118.0,National Grid
"
,  11422
(40.661613493968, -73.736051726406)",Commercial,519522.0,54812.0,National Grid
"
,  11368
(40.749678220374, -73.853040688577)",Small residential,11110386.0,1172208.0,National Grid
"
,  11370
(40.75935377086, -73.8918440004)",Large residential,1074379.0,113353.0,National Grid
"
,  11252
(40.607934094183, -74.02694266727)",Institutional,301262.0,31785.0,National Grid
"
,  10019
(40.76761164716, -73.991805500224)",Commercial,2660.0,281.0,ConEd
