zip_code,building_type_service_class,_consumption_therms_,_consumption_gj_,utility_data_source
"
,  11385
(40.701224891615, -73.88334858437)",Small residential,15255284.0,1609518.0,National Grid
"
,  10027
(40.811549564461, -73.952900335682)",Residential,331029.0,34925.0,ConEd
"
,  10281
(40.714330000429, -74.015196999742)",Commercial,34332.0,3622.0,ConEd
"
,  11217
(40.682312101322, -73.979567188575)",Small residential,4615326.0,486943.0,National Grid
"
,  10460
(40.843090348041, -73.87860282506)",Large Residential,121201.0,12787.0,ConEd
"
,  11216
(40.680758670876, -73.949267750906)",Industrial,50669.0,5346.0,National Grid
"
,  11426
(40.737041384952, -73.724156998946)",Residential,233178.0,24602.0,ConEd
"
,  10451
(40.820696407114, -73.923841367985)",Residential,697652.0,73606.0,ConEd
"
,  10301
(40.626785508445, -74.096112910882)",Large residential,3780433.0,398857.0,National Grid
"
,  11209
(40.623387097237, -74.030652953471)",Large residential,10004300.0,1055510.0,National Grid
"
,  11205
(40.693882095283, -73.964334507731)",Institutional,566498.0,59769.0,National Grid
"
,  10128
(40.781770000585, -73.95062814907)",Residential,263835.0,27836.0,ConEd
"
,  11357
(40.786284041475, -73.811232061011)",Commercial,1271449.0,134145.0,ConEd
"
,  10474
(40.810882923108, -73.882356362356)",Residential,114041.0,12032.0,ConEd
"
,  11214
(40.604011809897, -74.000969000119)",Institutional,855968.0,90309.0,National Grid
"
,  10026
(40.803058121635, -73.953342776048)",Residential,2349135.0,247847.0,ConEd
"
,  10473
(40.817731470931, -73.860537000082)",Commercial,1408773.0,148633.0,ConEd
"
,  11228
(40.616540714083, -74.013277847395)",Large residential,761559.0,80349.0,National Grid
"
,  11363
(40.772398418252, -73.746797887413)",Commercial,151243.0,15957.0,ConEd
"
,  11207
(40.670802431187, -73.893841150049)",Industrial,1355364.0,142998.0,National Grid
"
,  10453
(40.852786838342, -73.913426784319)",Residential,1591607.0,167923.0,ConEd
"
,  11239
(40.64949607998, -73.865524999879)",Large residential,33558083.0,3540566.0,National Grid
"
,  11369
(40.763413273704, -73.872378898667)",Commercial,1994597.0,210441.0,National Grid
"
,  10280
(40.709594512277, -74.020224535534)",Commercial,103950.0,10967.0,ConEd
"
,  10463
(40.881871962821, -73.911207480541)",Residential,1918613.0,202424.0,ConEd
"
,  11235
(40.578414108824, -73.940260000099)",Large residential,15358828.0,1620442.0,National Grid
"
,  10012
(40.725538020863, -73.997896410591)",Commercial,3676344.0,387875.0,ConEd
"
,  10475
(40.874142343794, -73.827068565562)",Residential,9204.0,971.0,ConEd
"
,  11218
(40.64322700852, -73.976448622106)",Industrial,441018.0,46530.0,National Grid
"
,  10466
(40.890809730185, -73.846009063068)",Commercial,2343491.0,247251.0,ConEd
"
,  11360
(40.780701334399, -73.782267336868)",Residential,45219.0,4771.0,ConEd
"
,  11224
(40.576304656335, -73.999532000401)",Large residential,36143134.0,3813303.0,National Grid
"
,  11418
(40.696370412365, -73.840310249918)",Large residential,1398053.0,147502.0,National Grid
"
,  10281
(40.714330000429, -74.015196999742)",Commercial,37094.0,3914.0,ConEd
"
,  10305
(40.596184688173, -74.075072384883)",Institutional,8441661.0,890643.0,National Grid
"
,  11101
(40.745702449808, -73.938669029252)",Commercial,7992026.0,843203.0,ConEd
"
,  11372
(40.751630739367, -73.883612545283)",Industrial,48106.0,5075.0,National Grid
"
,  10473
(40.817731470931, -73.860537000082)",Residential,233862.0,24674.0,ConEd
"
,  11432
(40.71311535449, -73.792820999789)",Institutional,1307797.0,137980.0,National Grid
"
,  10020
(40.759498513146, -73.980074397216)",Commercial,194595.0,20531.0,ConEd
"
,  11214
(40.604011809897, -74.000969000119)",Industrial,285392.0,30110.0,National Grid
"
,  11371
(40.775567374635, -73.870865499743)",Institutional,1065320.0,112397.0,National Grid
"
,  10004
(40.688827825344, -74.019112505837)",Commercial,1726800.0,182187.0,ConEd
"
,  11378
(40.721453104977, -73.908543500682)",Industrial,2809327.0,296400.0,National Grid
"
,  11433
(40.698104881735, -73.787574033914)",Large residential,5080122.0,535981.0,National Grid
"
,  10454
(40.805846930092, -73.916285046518)",Commercial,2249303.0,237314.0,ConEd
"
,  11434
(40.676945262114, -73.775306901692)",Commercial,2955224.0,311793.0,National Grid
"
,  11435
(40.701192649122, -73.809796655791)",Commercial,79476.0,8385.0,ConEd
"
,  11427
(40.729310574324, -73.750676021281)",Large residential,2347279.0,247651.0,National Grid
"
,  11358
(40.760350968822, -73.796326458199)",Commercial,1898565.0,200309.0,ConEd
"
,  11256
(40.662351000099, -73.860115000407)",Institutional,277857.0,29315.0,National Grid
"
,  10472
(40.829730432513, -73.870132131393)",Commercial,1887751.0,199168.0,ConEd
"
,  10027
(40.811549564461, -73.952900335682)",Commercial,25473.0,2688.0,ConEd
"
,  11422
(40.661613493968, -73.736051726406)",Large residential,149873.0,15812.0,National Grid
"
,  11412
(40.698127117473, -73.759235198346)",Large residential,151333.0,15966.0,National Grid
"
,  11427
(40.729310574324, -73.750676021281)",Large Residential,1587862.0,167528.0,ConEd
"
,  10036
(40.759346827194, -73.989860554421)",Large Residential,395037.0,41679.0,ConEd
"
,  10001
(40.750259021437, -73.99688630376)",Residential,1476126.0,155740.0,ConEd
"
,  10030
(40.818435176043, -73.942765303576)",Commercial,4456113.0,470145.0,ConEd
"
,  11104
(40.744893366636, -73.920541345307)",Residential,329490.0,34763.0,ConEd
"
,  11237
(40.704095739827, -73.920994233997)",Industrial,2133783.0,225126.0,National Grid
"
,  11356
(40.784928096754, -73.841810700403)",Residential,268003.0,28276.0,ConEd
"
,  10044
(40.761976486226, -73.949999674945)",Commercial,1496982.0,157940.0,ConEd
"
,  11374
(40.726464917022, -73.861480847563)",Commercial,1938527.0,204525.0,National Grid
"
,  11201
(40.694678258795, -73.989920868353)",Commercial,13571483.0,1431867.0,National Grid
"
,  10065
(40.764301213031, -73.963039935445)",Commercial,2130613.0,224792.0,ConEd
"
,  11221
(40.691288039511, -73.927617927925)",Commercial,1761754.0,185875.0,National Grid
"
,  11212
(40.662797169953, -73.912984894337)",Small residential,7377894.0,778409.0,National Grid
"
,  10314
(40.596490302985, -74.165991118795)",Large residential,2046659.0,215934.0,National Grid
"
,  10307
(40.508004527487, -74.242114281948)",Institutional,163208.0,17219.0,National Grid
"
,  11235
(40.578414108824, -73.940260000099)",Institutional,2091533.0,220668.0,National Grid
"
,  11201
(40.694678258795, -73.989920868353)",Industrial,3887016.0,410102.0,National Grid
"
,  11430
(40.647229326173, -73.786374952542)",Commercial,7251275.0,765050.0,National Grid
"
,  11222
(40.728253121784, -73.947159783197)",Industrial,1309400.0,138149.0,National Grid
"
,  11418
(40.696370412365, -73.840310249918)",Commercial,1462567.0,154309.0,National Grid
"
,  11423
(40.717222295672, -73.76714149998)",Industrial,194292.0,20499.0,National Grid
"
,  10036
(40.759346827194, -73.989860554421)",Residential,73600.0,7765.0,ConEd
"
,  11001
(40.721390004945, -73.707396928425)",Residential,703063.0,74177.0,ConEd
"
,  10016
(40.745242969987, -73.978232985864)",Large Residential,87331.0,9214.0,ConEd
"
,  11432
(40.71311535449, -73.792820999789)",Residential,1830443.0,193122.0,ConEd
"
,  10001
(40.750259021437, -73.99688630376)",Residential,58338.0,6155.0,ConEd
"
,  11423
(40.717222295672, -73.76714149998)",Commercial,23.0,2.0,ConEd
"
,  10034
(40.870617109292, -73.924223258796)",Residential,473019.0,49906.0,ConEd
"
,  11218
(40.64322700852, -73.976448622106)",Large residential,8839578.0,932625.0,National Grid
"
,  11416
(40.684578097002, -73.849601668482)",Large residential,138988.0,14664.0,National Grid
"
,  10452
(40.837724263364, -73.923332211412)",Residential,986430.0,104074.0,ConEd
"
,  10033
(40.856219929206, -73.945859000193)",Residential,628133.0,66272.0,ConEd
"
,  11356
(40.784928096754, -73.841810700403)",Commercial,2415327.0,254831.0,ConEd
"
,  10475
(40.874142343794, -73.827068565562)",Commercial,755111.0,79668.0,ConEd
"
,  11223
(40.596939623165, -73.973311472047)",Institutional,1093448.0,115365.0,National Grid
"
,  10035
(40.793817035428, -73.919317500202)",Commercial,2154540.0,227316.0,ConEd
"
,  11421
(40.691764587566, -73.85702228585)",Institutional,154578.0,16309.0,National Grid
"
,  11238
(40.67886241347, -73.963820469639)",Commercial,2045915.0,215855.0,National Grid
"
,  10303
(40.633032309993, -74.16834884982)",Commercial,1062619.0,112112.0,National Grid
"
,  11413
(40.669711181226, -73.750873933285)",Commercial,639059.0,67424.0,National Grid
"
,  11204
(40.619055848049, -73.984798598876)",Small residential,14470621.0,1526732.0,National Grid
"
,  11363
(40.772398418252, -73.746797887413)",Residential,1706804.0,180077.0,ConEd
"
,  11238
(40.67886241347, -73.963820469639)",Institutional,1006041.0,106143.0,National Grid
"
,  11357
(40.786284041475, -73.811232061011)",Residential,324086.0,34193.0,ConEd
"
,  11419
(40.688713790409, -73.822888330532)",Large residential,221654.0,23386.0,National Grid
"
,  10022
(40.758630224006, -73.96809182218)",Commercial,2849019.0,300587.0,ConEd
"
,  10027
(40.811549564461, -73.952900335682)",Commercial,2931338.0,309273.0,ConEd
"
,  11375
(40.72070726303, -73.846284296083)",Industrial,483373.0,50999.0,National Grid
"
,  11239
(40.64949607998, -73.865524999879)",Small residential,187050.0,19735.0,National Grid
"
,  10003
(40.731943947555, -73.98887214913)",Residential,260502.0,27484.0,ConEd
"
,  10012
(40.725538020863, -73.997896410591)",Commercial,2987748.0,315224.0,ConEd
"
,  11375
(40.72070726303, -73.846284296083)",Large residential,15937171.0,1681461.0,National Grid
"
,  11217
(40.682312101322, -73.979567188575)",Large residential,7818509.0,824896.0,National Grid
"
,  10461
(40.846960590359, -73.840632836736)",Commercial,3065943.0,323474.0,ConEd
"
,  11379
(40.71679766548, -73.879334213103)",Industrial,168135.0,17739.0,National Grid
"
,  10310
(40.632789000212, -74.11645860538)",Institutional,256154.0,27026.0,National Grid
"
,  10304
(40.591229442585, -74.111328000087)",Commercial,1445743.0,152534.0,National Grid
"
,  10471
(40.901994423104, -73.903626500562)",Residential,128800.0,13589.0,ConEd
"
,  11236
(40.640021493797, -73.901121939926)",Small residential,19201617.0,2025878.0,National Grid
"
,  10312
(40.542955977337, -74.180376817236)",Commercial,1174629.0,123930.0,National Grid
"
,  10282
(40.719614557066, -74.014649282938)",Commercial,1704836.0,179870.0,ConEd
"
,  11419
(40.688713790409, -73.822888330532)",Industrial,95925.0,10121.0,National Grid
"
,  11362
(40.759074216602, -73.734300177111)",Residential,2911498.0,307179.0,ConEd
"
,  11222
(40.728253121784, -73.947159783197)",Large residential,3928747.0,414505.0,National Grid
"
,  11427
(40.729310574324, -73.750676021281)",Commercial,661448.0,69786.0,ConEd
"
,  11215
(40.665557251366, -73.979681535574)",Commercial,5232962.0,552107.0,National Grid
"
,  10007
(40.713630519433, -74.009131383706)",Residential,605082.0,63840.0,ConEd
"
,  10029
(40.791610720558, -73.944032281065)",Residential,1856481.0,195869.0,ConEd
"
,  10045
(40.70786499997, -74.008144000046)",Commercial,16246.0,1714.0,ConEd
"
,  10037
(40.813297761083, -73.937282525568)",Residential,33817.0,3568.0,ConEd
"
,  11370
(40.75935377086, -73.8918440004)",Residential,1414.0,149.0,ConEd
"
,  11433
(40.698104881735, -73.787574033914)",Small residential,5792993.0,611193.0,National Grid
"
,  10455
(40.813535754971, -73.905355252043)",Residential,226661.0,23914.0,ConEd
"
,  10469
(40.868181802748, -73.846568687795)",Commercial,8063164.0,850709.0,ConEd
"
,  10019
(40.76761164716, -73.991805500224)",Commercial,12204102.0,1287601.0,ConEd
"
,  11219
(40.632772955408, -73.996676811186)",Commercial,2866327.0,302414.0,National Grid
"
,  11040
(40.745299961824, -73.679631932268)",Residential,17466.0,1843.0,ConEd
"
,  11419
(40.688713790409, -73.822888330532)",Commercial,1174701.0,123938.0,National Grid
"
,  10033
(40.856219929206, -73.945859000193)",Commercial,1766048.0,186328.0,ConEd
"
,  11412
(40.698127117473, -73.759235198346)",Commercial,522819.0,55160.0,National Grid
"
,  10007
(40.713630519433, -74.009131383706)",Residential,12845.0,1355.0,ConEd
"
,  10006
(40.708256140309, -74.013553569641)",Commercial,1361410.0,143636.0,ConEd
"
,  11103
(40.762868930257, -73.91327185811)",Commercial,2788104.0,294161.0,ConEd
"
,  10472
(40.829730432513, -73.870132131393)",Residential,2650312.0,279623.0,ConEd
"
,  11358
(40.760350968822, -73.796326458199)",Commercial,2357195.0,248697.0,ConEd
"
,  11361
(40.764188848137, -73.7723255286)",Commercial,2049571.0,216241.0,ConEd
"
,  10024
(40.783625568166, -73.966539000574)",Commercial,926.0,98.0,ConEd
"
,  11417
(40.676363730802, -73.844542755344)",Institutional,196503.0,20732.0,National Grid
"
,  10017
(40.752456527447, -73.97297648088)",Residential,168035.0,17729.0,ConEd
"
,  11225
(40.663170058551, -73.953701109119)",Institutional,1222964.0,129030.0,National Grid
"
,  11109
(40.744414792409, -73.957702346686)",Residential,175063.0,18470.0,ConEd
"
,  11372
(40.751630739367, -73.883612545283)",Commercial,3234761.0,341285.0,National Grid
"
,  10455
(40.813535754971, -73.905355252043)",Residential,1650436.0,174130.0,ConEd
"
,  11432
(40.71311535449, -73.792820999789)",Residential,77137.0,8138.0,ConEd
"
,  11432
(40.71311535449, -73.792820999789)",Large Residential,2212791.0,233462.0,ConEd
"
,  11101
(40.745702449808, -73.938669029252)",Commercial,9475891.0,999760.0,ConEd
"
,  11433
(40.698104881735, -73.787574033914)",Commercial,1531565.0,161589.0,National Grid
"
,  11417
(40.676363730802, -73.844542755344)",Industrial,47683.0,5031.0,National Grid
"
,  11205
(40.693882095283, -73.964334507731)",Commercial,4023498.0,424502.0,National Grid
"
,  11205
(40.693882095283, -73.964334507731)",Large residential,11356025.0,1198124.0,National Grid
"
,  10014
(40.733586451354, -74.010199604728)",Commercial,6034243.0,636646.0,ConEd
"
,  11356
(40.784928096754, -73.841810700403)",Residential,2618017.0,276215.0,ConEd
"
,  11691
(40.600614338481, -73.762567774683)",Commercial,7506142.0,791940.0,National Grid
"
,  10016
(40.745242969987, -73.978232985864)",Commercial,3446607.0,363636.0,ConEd
"
,  10467
(40.877047912132, -73.871532500824)",Commercial,10790922.0,1138503.0,ConEd
"
,  10027
(40.811549564461, -73.952900335682)",Commercial,11932340.0,1258929.0,ConEd
"
,  11239
(40.64949607998, -73.865524999879)",Institutional,274144.0,28924.0,National Grid
"
,  10039
(40.826681928628, -73.937770907801)",Commercial,430554.0,45426.0,ConEd
"
,  11040
(40.745299961824, -73.679631932268)",Residential,378066.0,39888.0,ConEd
"
,  10464
(40.875709096797, -73.812297250418)",Residential,46873.0,4945.0,ConEd
"
,  10128
(40.781770000585, -73.95062814907)",Commercial,32026.0,3379.0,ConEd
"
,  10459
(40.825526216162, -73.893131067844)",Residential,317074.0,33453.0,ConEd
"
,  10040
(40.858095531883, -73.929255489949)",Commercial,1511169.0,159437.0,ConEd
"
,  10013
(40.721242188776, -74.008889000227)",Commercial,6067132.0,640116.0,ConEd
"
,  11374
(40.726464917022, -73.861480847563)",Institutional,328460.0,34654.0,National Grid
"
,  11206
(40.701912016826, -73.942379198541)",Institutional,2486776.0,262369.0,National Grid
"
,  10312
(40.542955977337, -74.180376817236)",Industrial,13482.0,1422.0,National Grid
"
,  11367
(40.730323085042, -73.82610630716)",Commercial,970445.0,102387.0,ConEd
"
,  11413
(40.669711181226, -73.750873933285)",Institutional,394872.0,41661.0,National Grid
"
,  11222
(40.728253121784, -73.947159783197)",Small residential,4373864.0,461467.0,National Grid
"
,  11233
(40.678130438169, -73.919776475504)",Large residential,10673659.0,1126131.0,National Grid
"
,  11214
(40.604011809897, -74.000969000119)",Large residential,7906290.0,834158.0,National Grid
"
,  11104
(40.744893366636, -73.920541345307)",Residential,1153072.0,121656.0,ConEd
"
,  11435
(40.701192649122, -73.809796655791)",Large residential,4902151.0,517204.0,National Grid
"
,  11040
(40.745299961824, -73.679631932268)",Large Residential,3364311.0,354954.0,ConEd
"
,  11428
(40.721396964798, -73.741937297268)",Residential,69640.0,7347.0,ConEd
"
,  11230
(40.621929510239, -73.965511060187)",Institutional,3604096.0,380252.0,National Grid
"
,  11375
(40.72070726303, -73.846284296083)",Institutional,283731.0,29935.0,National Grid
"
,  10026
(40.803058121635, -73.953342776048)",Commercial,5647551.0,595848.0,ConEd
"
,  11422
(40.661613493968, -73.736051726406)",Institutional,240378.0,25361.0,National Grid
"
,  11238
(40.67886241347, -73.963820469639)",Large residential,9649474.0,1018074.0,National Grid
"
,  10001
(40.750259021437, -73.99688630376)",Large Residential,3616905.0,381604.0,ConEd
"
,  11385
(40.701224891615, -73.88334858437)",Commercial,3526058.0,372019.0,National Grid
"
,  11368
(40.749678220374, -73.853040688577)",Institutional,1001098.0,105621.0,National Grid
"
,  11365
(40.739871843711, -73.794621535156)",Residential,222234.0,23447.0,ConEd
"
,  11370
(40.75935377086, -73.8918440004)",Commercial,1119225.0,118085.0,National Grid
"
,  11354
(40.768620220647, -73.827190280707)",Commercial,7628542.0,804854.0,ConEd
"
,  11233
(40.678130438169, -73.919776475504)",Commercial,1223131.0,129047.0,National Grid
"
,  11378
(40.721453104977, -73.908543500682)",Commercial,3345377.0,352956.0,National Grid
"
,  11106
(40.761699790013, -73.931663252957)",Large Residential,66963.0,7065.0,ConEd
"
,  10473
(40.817731470931, -73.860537000082)",Residential,3609517.0,380824.0,ConEd
"
,  10034
(40.870617109292, -73.924223258796)",Commercial,1961050.0,206902.0,ConEd
"
,  10462
(40.842258336653, -73.857996632938)",Commercial,3712204.0,391658.0,ConEd
"
,  11413
(40.669711181226, -73.750873933285)",Industrial,387601.0,40894.0,National Grid
"
,  11421
(40.691764587566, -73.85702228585)",Large residential,1299205.0,137073.0,National Grid
"
,  10456
(40.830436680009, -73.907765199504)",Commercial,14583516.0,1538643.0,ConEd
"
,  10451
(40.820696407114, -73.923841367985)",Large Residential,3433811.0,362286.0,ConEd
"
,  10458
(40.862601328688, -73.884790015047)",Residential,1068746.0,112759.0,ConEd
"
,  11417
(40.676363730802, -73.844542755344)",Small residential,6605848.0,696954.0,National Grid
"
,  10028
(40.776344978838, -73.952966679569)",Commercial,2078.0,219.0,ConEd
"
,  10472
(40.829730432513, -73.870132131393)",Residential,827862.0,87344.0,ConEd
"
,  11416
(40.684578097002, -73.849601668482)",Industrial,141055.0,14882.0,National Grid
"
,  11239
(40.64949607998, -73.865524999879)",Commercial,487427.0,51426.0,National Grid
"
,  10035
(40.793817035428, -73.919317500202)",Residential,126399.0,13336.0,ConEd
"
,  10025
(40.796850127631, -73.963725810598)",Large Residential,3058952.0,322737.0,ConEd
"
,  10452
(40.837724263364, -73.923332211412)",Commercial,8504273.0,897248.0,ConEd
"
,  10002
(40.716121467931, -73.985831470246)",Residential,550055.0,58034.0,ConEd
"
,  11377
(40.745193764481, -73.90484714408)",Commercial,358163.0,37788.0,ConEd
"
,  11435
(40.701192649122, -73.809796655791)",Residential,6659.0,703.0,ConEd
"
,  10301
(40.626785508445, -74.096112910882)",Commercial,2358335.0,248818.0,National Grid
"
,  11102
(40.771524024514, -73.926435450735)",Commercial,3509357.0,370257.0,ConEd
"
,  11203
(40.649721601171, -73.934276085673)",Industrial,268262.0,28303.0,National Grid
"
,  10005
(40.706125792072, -74.008584685835)",Residential,27868.0,2940.0,ConEd
"
,  10023
(40.774536138232, -73.979943356101)",Residential,243744.0,25716.0,ConEd
"
,  11354
(40.768620220647, -73.827190280707)",Residential,299334.0,31581.0,ConEd
"
,  10472
(40.829730432513, -73.870132131393)",Commercial,5479605.0,578129.0,ConEd
"
,  11230
(40.621929510239, -73.965511060187)",Industrial,101877.0,10749.0,National Grid
"
,  10464
(40.875709096797, -73.812297250418)",Commercial,75.0,8.0,ConEd
"
,  11236
(40.640021493797, -73.901121939926)",Industrial,805099.0,84942.0,National Grid
"
,  11232
(40.654511617018, -74.000033929122)",Institutional,1847474.0,194919.0,National Grid
"
,  11219
(40.632772955408, -73.996676811186)",Industrial,3101780.0,327255.0,National Grid
"
,  11217
(40.682312101322, -73.979567188575)",Commercial,2720173.0,286993.0,National Grid
"
,  10474
(40.810882923108, -73.882356362356)",Commercial,2094768.0,221010.0,ConEd
"
,  11435
(40.701192649122, -73.809796655791)",Commercial,2935798.0,309743.0,National Grid
"
,  11433
(40.698104881735, -73.787574033914)",Institutional,1519465.0,160312.0,National Grid
"
,  11226
(40.646505002304, -73.957190099144)",Institutional,994926.0,104970.0,National Grid
"
,  11370
(40.75935377086, -73.8918440004)",Industrial,37449.0,3951.0,National Grid
"
,  10004
(40.688827825344, -74.019112505837)",Commercial,1326154.0,139917.0,ConEd
"
,  11364
(40.74592468038, -73.757902755608)",Residential,4453633.0,469883.0,ConEd
"
,  11224
(40.576304656335, -73.999532000401)",Small residential,2671212.0,281828.0,National Grid
"
,  10458
(40.862601328688, -73.884790015047)",Commercial,4109461.0,433571.0,ConEd
"
,  10306
(40.566020489654, -74.119945669057)",Commercial,1794789.0,189360.0,National Grid
"
,  10025
(40.796850127631, -73.963725810598)",Residential,507504.0,53545.0,ConEd
"
,  11237
(40.704095739827, -73.920994233997)",Large residential,4718001.0,497776.0,National Grid
"
,  11237
(40.704095739827, -73.920994233997)",Commercial,2600827.0,274402.0,National Grid
"
,  11418
(40.696370412365, -73.840310249918)",Institutional,726983.0,76701.0,National Grid
"
,  11428
(40.721396964798, -73.741937297268)",Commercial,596996.0,62986.0,National Grid
"
,  11203
(40.649721601171, -73.934276085673)",Small residential,13346866.0,1408169.0,National Grid
"
,  10314
(40.596490302985, -74.165991118795)",Small residential,19041165.0,2008950.0,National Grid
"
,  11228
(40.616540714083, -74.013277847395)",Institutional,278441.0,29377.0,National Grid
"
,  11220
(40.641184928741, -74.016764726711)",Industrial,2234971.0,235802.0,National Grid
"
,  11235
(40.578414108824, -73.940260000099)",Commercial,3818158.0,402837.0,National Grid
"
,  10038
(40.709359291898, -74.003071862376)",Commercial,4135128.0,436279.0,ConEd
"
,  10466
(40.890809730185, -73.846009063068)",Large Residential,1382332.0,145844.0,ConEd
"
,  11357
(40.786284041475, -73.811232061011)",Commercial,2399589.0,253170.0,ConEd
"
,  10033
(40.856219929206, -73.945859000193)",Residential,658126.0,69436.0,ConEd
"
,  11370
(40.75935377086, -73.8918440004)",Commercial,84349.0,8899.0,ConEd
"
,  10459
(40.825526216162, -73.893131067844)",Commercial,1859762.0,196215.0,ConEd
"
,  10080
(40.71445199976, -74.015474999971)",Commercial,359.0,38.0,ConEd
"
,  10461
(40.846960590359, -73.840632836736)",Large Residential,9651221.0,1018258.0,ConEd
"
,  11427
(40.729310574324, -73.750676021281)",Institutional,219049.0,23111.0,National Grid
"
,  11432
(40.71311535449, -73.792820999789)",Small residential,5707516.0,602175.0,National Grid
"
,  11222
(40.728253121784, -73.947159783197)",Institutional,2368948.0,249937.0,National Grid
"
,  10314
(40.596490302985, -74.165991118795)",Commercial,42747652.0,4510117.0,National Grid
"
,  10013
(40.721242188776, -74.008889000227)",Large Residential,1137066.0,119967.0,ConEd
"
,  11428
(40.721396964798, -73.741937297268)",Institutional,196563.0,20738.0,National Grid
"
,  11355
(40.751299796948, -73.821478547897)",Commercial,4323496.0,456153.0,ConEd
"
,  11208
(40.674013182662, -73.872064930052)",Commercial,2729613.0,287989.0,National Grid
"
,  11220
(40.641184928741, -74.016764726711)",Commercial,5007824.0,528353.0,National Grid
"
,  11103
(40.762868930257, -73.91327185811)",Residential,2853904.0,301103.0,ConEd
"
,  10451
(40.820696407114, -73.923841367985)",Residential,259959.0,27427.0,ConEd
"
,  10010
(40.739140782121, -73.982898456399)",Commercial,3814933.0,402497.0,ConEd
"
,  11377
(40.745193764481, -73.90484714408)",Industrial,705930.0,74480.0,National Grid
"
,  11372
(40.751630739367, -73.883612545283)",Institutional,367432.0,38766.0,National Grid
"
,  11207
(40.670802431187, -73.893841150049)",Small residential,12107357.0,1277394.0,National Grid
"
,  10463
(40.881871962821, -73.911207480541)",Residential,507053.0,53497.0,ConEd
"
,  10014
(40.733586451354, -74.010199604728)",Commercial,17212.0,1816.0,ConEd
"
,  11366
(40.728164407262, -73.792268173937)",Commercial,636236.0,67126.0,ConEd
"
,  11214
(40.604011809897, -74.000969000119)",Commercial,3050502.0,321845.0,National Grid
"
,  11434
(40.676945262114, -73.775306901692)",Institutional,2215716.0,233770.0,National Grid
"
,  11411
(40.694293339066, -73.735683291251)",Large residential,45368.0,4787.0,National Grid
"
,  11366
(40.728164407262, -73.792268173937)",Small residential,6521.0,688.0,National Grid
"
,  10304
(40.591229442585, -74.111328000087)",Large residential,3415047.0,360307.0,National Grid
"
,  11423
(40.717222295672, -73.76714149998)",Institutional,508795.0,53681.0,National Grid
"
,  11222
(40.728253121784, -73.947159783197)",Commercial,3484625.0,367647.0,National Grid
"
,  11206
(40.701912016826, -73.942379198541)",Large residential,22360022.0,2359108.0,National Grid
"
,  10460
(40.843090348041, -73.87860282506)",Commercial,7936792.0,837376.0,ConEd
"
,  11239
(40.64949607998, -73.865524999879)",Industrial,11771.0,1242.0,National Grid
"
,  10028
(40.776344978838, -73.952966679569)",Commercial,4496346.0,474390.0,ConEd
"
,  11434
(40.676945262114, -73.775306901692)",Industrial,284067.0,29971.0,National Grid
"
,  11430
(40.647229326173, -73.786374952542)",Small residential,9195.0,970.0,National Grid
"
,  10065
(40.764301213031, -73.963039935445)",Large Residential,10486338.0,1106367.0,ConEd
"
,  10023
(40.774536138232, -73.979943356101)",Commercial,10588895.0,1117188.0,ConEd
"
,  10302
(40.630833311108, -74.137734298699)",Commercial,1185147.0,125040.0,National Grid
"
,  11415
(40.708286075142, -73.828556121568)",Residential,1303.0,137.0,ConEd
"
,  11102
(40.771524024514, -73.926435450735)",Large Residential,79519.0,8390.0,ConEd
"
,  10028
(40.776344978838, -73.952966679569)",Large Residential,420403.0,44355.0,ConEd
"
,  11373
(40.738710402563, -73.878351155182)",Commercial,3054489.0,322266.0,National Grid
"
,  11367
(40.730323085042, -73.82610630716)",Residential,2905831.0,306581.0,ConEd
"
,  11040
(40.745299961824, -73.679631932268)",Commercial,42315.0,4464.0,ConEd
"
,  11355
(40.751299796948, -73.821478547897)",Commercial,5137322.0,542016.0,ConEd
"
,  11420
(40.673345242689, -73.817707171649)",Large residential,108873.0,11487.0,National Grid
"
,  10018
(40.756840774582, -73.996691499813)",Residential,476865.0,50312.0,ConEd
"
,  11211
(40.711589765256, -73.958176750756)",Residential,,,ConEd
"
,  11370
(40.75935377086, -73.8918440004)",Residential,24585.0,2594.0,ConEd
"
,  11359
(40.791592466119, -73.776938368111)",Commercial,128.0,13.0,ConEd
"
,  11355
(40.751299796948, -73.821478547897)",Large Residential,2632163.0,277708.0,ConEd
"
,  11692
(40.59313388562, -73.795402084638)",Commercial,777179.0,81997.0,National Grid
"
,  11213
(40.671225169206, -73.936443366368)",Industrial,24515.0,2586.0,National Grid
"
,  11208
(40.674013182662, -73.872064930052)",Institutional,2265878.0,239063.0,National Grid
"
,  10011
(40.744715266696, -74.00460000029)",Residential,4029369.0,425121.0,ConEd
"
,  10014
(40.733586451354, -74.010199604728)",Residential,213234.0,22497.0,ConEd
"
,  10011
(40.744715266696, -74.00460000029)",Commercial,4672054.0,492928.0,ConEd
"
,  10028
(40.776344978838, -73.952966679569)",Commercial,1684068.0,177679.0,ConEd
"
,  10010
(40.739140782121, -73.982898456399)",Residential,61263.0,6464.0,ConEd
"
,  11230
(40.621929510239, -73.965511060187)",Commercial,2318028.0,244565.0,National Grid
"
,  11203
(40.649721601171, -73.934276085673)",Commercial,2692298.0,284053.0,National Grid
"
,  11224
(40.576304656335, -73.999532000401)",Industrial,101615.0,10721.0,National Grid
"
,  10469
(40.868181802748, -73.846568687795)",Residential,623043.0,65734.0,ConEd
