,report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
57,2018-12-31T00:00:00.000,TQ58,3,43,1,47.0
58,2018-12-31T00:00:00.000,TQ59,0,0,0,0.0
59,2018-12-31T00:00:00.000,TQ60,0,9,2,11.0
60,2018-12-31T00:00:00.000,TQ61,6,2,2,10.0
61,2018-12-31T00:00:00.000,TQ62,3,10,0,13.0
62,2018-12-31T00:00:00.000,TQ63,2,13,1,16.0
63,2018-12-31T00:00:00.000,TQ64,26,1,1,28.0
64,2018-12-31T00:00:00.000,TQ65,7,11,1,19.0
65,2018-12-31T00:00:00.000,TQ66,2,14,2,18.0
66,2018-12-31T00:00:00.000,TQ67,17,3,0,20.0
67,2018-12-31T00:00:00.000,TQ68,13,0,0,13.0
68,2018-12-31T00:00:00.000,TQ69,1,0,1,2.0
69,2018-12-31T00:00:00.000,TQ70,5,46,3,54.0
70,2018-12-31T00:00:00.000,TQ71,7,93,1,101.0
71,2018-12-31T00:00:00.000,TQ72,0,12,3,15.0
72,2018-12-31T00:00:00.000,TQ73,14,4,1,19.0
73,2018-12-31T00:00:00.000,TQ74,15,23,1,39.0
74,2018-12-31T00:00:00.000,TQ75,3,11,1,15.0
75,2018-12-31T00:00:00.000,TQ76,8,0,0,8.0
76,2018-12-31T00:00:00.000,TQ77,15,0,2,17.0
77,2018-12-31T00:00:00.000,TQ78,0,13,3,16.0
78,2018-12-31T00:00:00.000,TQ79,3,7,0,10.0
79,2018-12-31T00:00:00.000,TQ80,3,48,6,57.0
80,2018-12-31T00:00:00.000,TQ81,0,0,0,0.0
81,2018-12-31T00:00:00.000,TQ82,13,154,3,170.0
82,2018-12-31T00:00:00.000,TQ83,3,62,2,67.0
83,2018-12-31T00:00:00.000,TQ84,1,18,1,20.0
84,2018-12-31T00:00:00.000,TQ85,6,2,1,9.0
85,2018-12-31T00:00:00.000,TQ86,14,22,1,37.0
86,2018-12-31T00:00:00.000,TQ87,2,6,0,8.0
87,2018-12-31T00:00:00.000,TQ88,0,30,4,34.0
88,2018-12-31T00:00:00.000,TQ89,19,32,1,52.0
89,2018-12-31T00:00:00.000,TQ90,3,66,2,71.0
90,2018-12-31T00:00:00.000,TQ91,21,92,1,114.0
91,2018-12-31T00:00:00.000,TQ92,6,33,0,39.0
92,2018-12-31T00:00:00.000,TQ93,3,36,3,42.0
93,2018-12-31T00:00:00.000,TQ94,7,4,0,11.0
94,2018-12-31T00:00:00.000,TQ95,1,10,1,12.0
95,2018-12-31T00:00:00.000,TQ96,3,7,0,10.0
96,2018-12-31T00:00:00.000,TQ97,32,33,0,65.0
97,2018-12-31T00:00:00.000,TQ98,47,44,3,94.0
98,2018-12-31T00:00:00.000,TQ99,0,0,0,0.0
99,2018-12-31T00:00:00.000,TQ100,3,8,0,11.0
100,2018-12-31T00:00:00.000,TQ101,16,22,3,41.0
101,2018-12-31T00:00:00.000,TQ102,13,28,0,41.0
102,2018-12-31T00:00:00.000,TQ103,12,1,1,14.0
103,2018-12-31T00:00:00.000,TQ104,42,36,0,78.0
104,2018-12-31T00:00:00.000,TQ105,16,1,2,19.0
105,2018-12-31T00:00:00.000,TQ106,16,65,6,87.0
106,2018-12-31T00:00:00.000,TQ107,0,2,0,2.0
107,2018-12-31T00:00:00.000,TQ108,1,3,0,4.0
108,2018-12-31T00:00:00.000,TQ109,4,0,2,6.0
109,2018-12-31T00:00:00.000,TQ110,0,0,0,0.0
110,2018-12-31T00:00:00.000,TQ111,1,10,1,12.0
111,2018-12-31T00:00:00.000,TQ112,20,62,0,82.0
112,2018-12-31T00:00:00.000,TQ113,1,17,0,18.0
113,2018-12-31T00:00:00.000,TQ114,21,96,0,117.0
114,2018-12-31T00:00:00.000,TQ115,5,12,0,17.0
115,2018-09-30T00:00:00.000,TQ01,0,2,3,5.0
116,2018-09-30T00:00:00.000,TQ02,4,2,0,6.0
117,2018-09-30T00:00:00.000,TQ03,1,2,2,5.0
118,2018-09-30T00:00:00.000,TQ04,0,13,4,17.0
119,2018-09-30T00:00:00.000,TQ05,13,45,5,63.0
120,2018-09-30T00:00:00.000,TQ06,0,0,6,6.0
121,2018-09-30T00:00:00.000,TQ07,0,1,6,7.0
122,2018-09-30T00:00:00.000,TQ08,33,0,6,39.0
123,2018-09-30T00:00:00.000,TQ09,7,3,0,10.0
124,2018-09-30T00:00:00.000,TQ10,8,13,2,23.0
125,2018-09-30T00:00:00.000,TQ11,20,0,1,21.0
126,2018-09-30T00:00:00.000,TQ12,1,0,0,1.0
127,2018-09-30T00:00:00.000,TQ13,0,8,0,8.0
128,2018-09-30T00:00:00.000,TQ14,9,80,1,90.0
129,2018-09-30T00:00:00.000,TQ15,0,0,0,0.0
130,2018-09-30T00:00:00.000,TQ16,0,0,0,0.0
131,2018-09-30T00:00:00.000,TQ17,13,43,5,61.0
132,2018-09-30T00:00:00.000,TQ18,3,51,0,54.0
133,2018-09-30T00:00:00.000,TQ19,17,8,0,25.0
134,2018-09-30T00:00:00.000,TQ20,3,0,3,6.0
135,2018-09-30T00:00:00.000,TQ21,5,19,1,25.0
136,2018-09-30T00:00:00.000,TQ22,0,3,0,3.0
137,2018-09-30T00:00:00.000,TQ23,2,0,0,2.0
138,2018-09-30T00:00:00.000,TQ24,10,1,1,12.0
139,2018-09-30T00:00:00.000,TQ25,8,8,3,19.0
140,2018-09-30T00:00:00.000,TQ26,18,48,9,75.0
141,2018-09-30T00:00:00.000,TQ27,8,18,2,28.0
142,2018-09-30T00:00:00.000,TQ28,33,110,3,146.0
143,2018-09-30T00:00:00.000,TQ29,6,45,2,53.0
144,2018-09-30T00:00:00.000,TQ30,6,4,0,10.0
145,2018-09-30T00:00:00.000,TQ31,25,13,0,38.0
146,2018-09-30T00:00:00.000,TQ32,0,1,0,1.0
147,2018-09-30T00:00:00.000,TQ33,13,19,0,32.0
148,2018-09-30T00:00:00.000,TQ34,77,38,0,115.0
149,2018-09-30T00:00:00.000,TQ35,2,3,1,6.0
150,2018-09-30T00:00:00.000,TQ36,12,57,3,72.0
151,2018-09-30T00:00:00.000,TQ37,7,2,0,9.0
152,2018-09-30T00:00:00.000,TQ38,12,8,1,21.0
153,2018-09-30T00:00:00.000,TQ39,2,2,0,4.0
154,2018-09-30T00:00:00.000,TQ40,0,0,3,3.0
155,2018-09-30T00:00:00.000,TQ41,0,4,0,4.0
156,2018-09-30T00:00:00.000,TQ42,11,11,0,22.0
157,2018-09-30T00:00:00.000,TQ43,14,76,10,100.0
158,2018-09-30T00:00:00.000,TQ44,7,46,1,54.0
159,2018-09-30T00:00:00.000,TQ45,72,12,10,94.0
160,2018-09-30T00:00:00.000,TQ46,12,27,0,39.0
161,2018-09-30T00:00:00.000,TQ47,0,4,5,9.0
162,2018-09-30T00:00:00.000,TQ48,3,13,1,17.0
163,2018-09-30T00:00:00.000,TQ49,45,101,2,148.0
