,school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,building_name,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta
496,2015-16,M460,02M438,International High School at Union Square,M438,40 IRVING PLACE,M,2.0,356,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10003.0,40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
497,2015-16,M460,02M546,Academy for Software Engineering,M546,40 IRVING PLACE,M,2.0,451,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10003.0,40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
498,2015-16,M460,,40 IRVING PLACE CONSOLIDATED LOCATION,,40 IRVING PLACE,M,2.0,2535,40 IRVING PLACE CONSOLIDATED LOCATION,7,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,1,7,26,6,2,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,MANHATTAN,10003.0,40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
499,2015-16,M465,06M457,George Washington Yabc,M457,549 AUDUBON AVENUE,M,6.0,N/A,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10040.0,40.855954,-73.927051,12.0,10.0,277.0,1076751.0,1021600018.0,Washington Heights North                                                   
500,2015-16,M465,06M463,High School for Media and Communications,M463,549 AUDUBON AVENUE,M,6.0,427,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10040.0,40.855954,-73.927051,12.0,10.0,277.0,1076751.0,1021600018.0,Washington Heights North                                                   
501,2015-16,M465,06M467,High School for Law and Public Service,M467,549 AUDUBON AVENUE,M,6.0,615,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10040.0,40.855954,-73.927051,12.0,10.0,277.0,1076751.0,1021600018.0,Washington Heights North                                                   
502,2015-16,M470,03M403,The Global Learning Collaborative,M403,145 WEST  84 STREET,M,3.0,452,145 WEST  84 STREET CONSOLIDATED LOCATION,5,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10024.0,40.785803,-73.974614,7.0,6.0,169.0,1032128.0,1012150001.0,Upper West Side                                                            
503,2015-16,M470,03M404,Innovation Diploma Plus,M404,145 WEST  84 STREET,M,3.0,194,145 WEST  84 STREET CONSOLIDATED LOCATION,5,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10024.0,40.785803,-73.974614,7.0,6.0,169.0,1032128.0,1012150001.0,Upper West Side                                                            
504,2015-16,M470,84M523      ,Success Academy Charter School - Upper West,M577,145 WEST  84 STREET,M,3.0,542,145 WEST  84 STREET CONSOLIDATED LOCATION,5,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10024.0,40.785803,-73.974614,7.0,6.0,169.0,1032128.0,1012150001.0,Upper West Side                                                            
505,2015-16,M470,,145 WEST  84 STREET CONSOLIDATED LOCATION,,145 WEST  84 STREET,M,3.0,1907,145 WEST  84 STREET CONSOLIDATED LOCATION,5,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,4,6,27,3,5,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,MANHATTAN,10024.0,40.785803,-73.974614,7.0,6.0,169.0,1032128.0,1012150001.0,Upper West Side                                                            
506,2015-16,M475,75M226,P.S. M226,M226,345 EAST  15TH STREET,M,2.0,269,345 EAST  15TH STREET CONSOLIDATED LOCATION,3,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10003.0,40.732447,-73.983031,6.0,2.0,48.0,1020419.0,1009220008.0,Gramercy                                                                   
507,2015-16,M475,,345 EAST  15TH STREET CONSOLIDATED LOCATION,,345 EAST  15TH STREET,M,2.0,2453,345 EAST  15TH STREET CONSOLIDATED LOCATION,3,P.S. M226 |  Institute for Collaborative Education |  High School for Health Professions and Human Servi |  345 EAST  15TH STREET CONSOLIDATED LOCATION,1,6,11,3,3,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,MANHATTAN,10003.0,40.732447,-73.983031,6.0,2.0,48.0,1020419.0,1009220008.0,Gramercy                                                                   
508,2015-16,M480,02M225,Ella Baker School,M225,317 EAST  67 STREET,M,2.0,335,317 EAST  67 STREET CONSOLIDATED LOCATION,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10065.0,40.765359,-73.960059,8.0,5.0,118.0,1083343.0,1014420001.0,Lenox Hill-Roosevelt Island                                                
509,2015-16,M480,02M449,Vanguard High School,M449,317 EAST  67 STREET,M,2.0,461,317 EAST  67 STREET CONSOLIDATED LOCATION,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,MANHATTAN,10065.0,40.765359,-73.960059,8.0,5.0,118.0,1083343.0,1014420001.0,Lenox Hill-Roosevelt Island                                                
510,2015-16,K165,23K165,P.S. 165 Ida Posner,K165,76 LOTT AVENUE,K,23.0,408,,1,P.S. 165 Ida Posner,1,5,1,2,4,3C,251-500,0.27,0.9,1.67,0.63,0.44,BROOKLYN ,11212.0,40.65744,-73.911053,16.0,42.0,896.0,3082726.0,3036220023.0,Brownsville                                                                
511,2015-16,K095,21K095,P.S. 095 The Gravesend,K095,345 VAN SICKLEN STREET,K,21.0,932,,1,P.S. 095 The Gravesend,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BROOKLYN ,11223.0,40.595698,-73.97518,15.0,47.0,398.0,3192661.0,3071230066.0,Gravesend                                                                  
512,2015-16,K852,22K326,P.S. 326,K326,1800 UTICA AVENUE,K,22.0,212,,1,P.S. 326,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,BROOKLYN ,11234.0,40.628659,-73.92793,18.0,45.0,728.0,3215550.0,3077750001.0,Flatlands                                                                  
513,2015-16,K001,15K001,P.S. 001 The Bergen,K001,309 47 STREET,K,15.0,1280,,1,P.S. 001 The Bergen,0,1,0,1,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,BROOKLYN ,11220.0,40.649042,-74.012289,7.0,38.0,80.0,3011821.0,3007550022.0,Sunset Park West                                                           
514,2015-16,K002,75K141,P.S. K141,K141,655 PARKSIDE AVENUE,K,17.0,374,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11226.0,40.656183,-73.951583,9.0,40.0,802.0,3378201.0,3050500051.0,Prospect Lefferts Gardens-Wingate                                          
515,2015-16,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,K,17.0,1378,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,0,3,1,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BROOKLYN ,11226.0,40.656183,-73.951583,9.0,40.0,802.0,3378201.0,3050500051.0,Prospect Lefferts Gardens-Wingate                                          
516,2015-16,K005,16K005,P.S. 005 Dr. Ronald Mcnair,K005,820 HANCOCK STREET,K,16.0,231,,1,P.S. 005 Dr. Ronald Mcnair,0,0,2,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,BROOKLYN ,11233.0,40.685695,-73.922463,3.0,41.0,377.0,3039906.0,3014900001.0,Stuyvesant Heights                                                         
517,2015-16,K006,17K006,P.S. 006,K006,43 SNYDER AVENUE,K,17.0,712,,1,P.S. 006,0,1,2,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,BROOKLYN ,11226.0,40.64859,-73.957138,14.0,40.0,794.0,3117230.0,3051030079.0,Erasmus                                                                    
518,2015-16,K009,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,80 UNDERHILL AVENUE,K,13.0,838,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,0,1,1,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BROOKLYN ,11238.0,40.678297,-73.965541,8.0,35.0,205.0,3028204.0,3011450026.0,Prospect Heights                                                           
519,2015-16,K010,15K010,"Magnet School of Math, Science and Design Technolo",K010,511 7 AVENUE,K,15.0,942,,1,"Magnet School of Math, Science and Design Technolo",0,2,0,2,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BROOKLYN ,11215.0,40.661061,-73.986534,7.0,38.0,149.0,3016509.0,3008690001.0,Park Slope-Gowanus                                                         
520,2015-16,K012,17K012,Dr. Jacqueline Peek-Davis School,K012,430 HOWARD AVENUE,K,23.0,234,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11233.0,40.673073,-73.919594,16.0,41.0,363.0,3039174.0,3014570032.0,Ocean Hill                                                                 
521,2015-16,K012,17K484,Ronald Edmonds Learning Center II,K484,430 HOWARD AVENUE,K,23.0,141,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11233.0,40.673073,-73.919594,16.0,41.0,363.0,3039174.0,3014570032.0,Ocean Hill                                                                 
522,2015-16,K013,19K013,P.S. 013 Roberto Clemente,K013,557 PENNSYLVANIA AVENUE,K,19.0,519,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11207.0,40.663673,-73.893754,5.0,42.0,1126.0,3085070.0,3038230001.0,East New York (Pennsylvania Ave)                                           
