order,property_id,property_name,parent_property_id,parent_property_name,bbl_10_digits,nyc_borough_block_and_lot_bbl_self_reported,nyc_building_identification_number_bin,address_1_self_reported,address_2,postal_code,street_number,street_name,borough,dof_gross_floor_area,primary_property_type_self_selected,list_of_all_property_use_types_at_property,largest_property_use_type,largest_property_use_type_gross_floor_area_ft,_2nd_largest_property_use_type,_2nd_largest_property_use_gross_floor_area_ft,_3rd_largest_property_use_type,_3rd_largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings_self_reported,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,site_eui_kbtu_ft,weather_normalized_site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_source_eui_kbtu_ft,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_natural_gas_use_therms,electricity_use_grid_purchase_kbtu,weather_normalized_site_electricity_kwh,total_ghg_emissions_metric_tons_co2e,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,property_gfa_self_reported_ft,water_use_all_water_sources_kgal,water_intensity_all_water_sources_gal_ft,source_eui_kbtu_ft,release_date,water_required,dof_benchmarking_submission_status,latitude,longitude,community_board,council_district,census_tract,nta
163,3618216,435 W 119 and 434 W 120,3618216,435 W 119 and 434 W 120,,Not Available,Not Available,435 W 119th Street,Not Available,10027,,,,,Other,Other,Other,176351.0,Not Available,Not Available,Not Available,Not Available,1964,2,100,Whole Building,Not Available,Not Available,10.7,10.7,1.1,0.1,18.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1253100,12531,641633.4,188052,126.1,66.6,59.5,176351,Not Available,Not Available,18.9,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
153,3617949,College of Mt St Vincent,3617949,College of Mt St Vincent,,Not Available,Not Available,755 West 261 Street,Not Available,10471,,,,,College/University,College/University,College/University,515799.0,Not Available,Not Available,Not Available,Not Available,1848,3,100,Whole Building,Not Available,Not Available,97.7,104.8,11.8,0.3,192.9,Not Available,1.38162835E7,730000.1,Not Available,Not Available,Not Available,1.50484374E7,165212.7,20786284.3,6092110.7,3808.5,1879.5,1929.0,515799,Not Available,Not Available,185.7,2017-05-01T11:28:51.000,Yes,In Compliance,,,,,,
154,3054453,CMSV 3,3617949,College of Mt St Vincent,2059330425.0,2-05933-0425,2098646;2098647;2098644;2102084,750 West 261 Street,Not Available,10471,750.0,WEST 261 STREET,Bronx,192939.0,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,200261.0,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,59,93.6,99.2,9.9,0.5,173.9,Not Available,2994599.6,Not Available,Not Available,Not Available,Not Available,8996806,97764,6744127.4,1976590.4,1325.9,700.1,625.9,200261,Not Available,Not Available,168.0,2017-05-01T11:28:51.000,No,In Compliance,40.911797,-73.90700799999999,8.0,11.0,309.0,North Riverdale-Fieldston-Riverdale                                        
155,3054414,CMSV 1,3617949,College of Mt St Vincent,2059580001.0,2-05958-0001,2098637;2098638;2098645;2098639;2098643;2098636;2098648;2098640;2098641;2098665;2118964;2115272;2098642,6135 Riverdale Avenue,Not Available,10471,6301.0,RIVERDALE AVENUE,Bronx,237021.0,College/University,"College/University, Office",Office,117060.0,College/University,66499,Not Available,Not Available,1848,1,100,Whole Building,Not Available,Not Available,114.9,124.4,14,0.3,228.2,Not Available,6529056.1,730000.1,Not Available,Not Available,Not Available,5083589.4,54736.1,8741110.1,2561872.5,1620.7,809.5,811.2,183559,Not Available,Not Available,218.5,2017-05-01T11:28:51.000,,In Compliance,40.912828000000005,-73.902506,8.0,11.0,319.0,North Riverdale-Fieldston-Riverdale                                        
156,3054433,CMSV 2,3617949,College of Mt St Vincent,2059580010.0,2-05958-0010,2101022;2101021,755 West 261 Street,Not Available,10471,,,,,College/University,"College/University, Office, Residence Hall/Dormitory",College/University,83366.0,Residence Hall/Dormitory,29568,Office,19045,1956,1,100,Whole Building,Not Available,Not Available,80.0,85.6,11.8,0.1,172.3,Not Available,4292627.8,Not Available,Not Available,Not Available,Not Available,968041.9,10189,5301046.9,1553647.8,861.9,370.0,491.9,131979,Not Available,Not Available,166.7,2017-05-01T11:28:51.000,Yes,In Compliance,,,,,,
157,3618185,1 hoyt st,3618185,1 hoyt st,,Not Available,Not Available,1 hoyt st,Not Available,11201,,,,,Other,Other,Not Available,,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,72000,Not Available,Not Available,,2017-04-27T11:03:50.000,Yes,In Compliance,,,,,,
158,2785179,"LIU, Stores, Office",3618185,1 hoyt st,3001570009.0,3001570009,3332518,450 Fulton St,Not Available,11201,1.0,HOYT STREET,Brooklyn,70734.0,Residence Hall/Dormitory,"Office, Residence Hall/Dormitory, Retail Store",Residence Hall/Dormitory,40000.0,Retail Store,24000,Office,8000,1925,1,100,Whole Building,Not Available,23,164.9,175.5,15.9,0,292.9,Not Available,Not Available,7811145.8,Not Available,Not Available,Not Available,6037,63.3,4053230.9,1146228,964.6,588.4,376.1,72000,1460.7,20.29,286.4,2017-05-01T16:43:42.000,,In Compliance,40.690419,-73.98519,2.0,33.0,37.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
159,3618215,601 W 112 and 600 W 113,3618215,601 W 112 and 600 W 113,,Not Available,Not Available,601 West 112th Street,Not Available,10027,,,,,Other,Other,Other,338996.0,Not Available,Not Available,Not Available,Not Available,1909,3,100,Whole Building,Not Available,Not Available,38.2,41.7,0.6,0.4,47.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.22588003E7,134506.4,675466.8,197968,713.8,651.1,62.7,338996,Not Available,Not Available,44.2,2017-04-24T18:52:20.000,Yes,In Compliance,,,,,,
160,2809940,601 West 112th,3618215,601 W 112 and 600 W 113,1018950016.0,1018950016,1057336,410 West 118th Street,Not Available,10027,2881.0,BROADWAY,Manhattan,59131.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,54100.0,Not Available,Not Available,Not Available,Not Available,1939,1,100,Whole Building,Not Available,100,2.6,2.6,0.6,0,7.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,30200,302,111531.5,32688,12.0,1.6,10.4,54100,7874.7,145.56,7.1,2017-04-24T18:52:20.000,Yes,In Compliance,40.805505,-73.965739,9.0,7.0,199.0,Morningside Heights                                                        
161,2809939,600 West 113th Street,3618215,601 W 112 and 600 W 113,1018950023.0,1018950023,1057337,600 West 113th Street,Not Available,10027,2891.0,BROADWAY,Manhattan,88332.0,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,88332.0,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Not Available,61,145.0,159.9,2.1,1.5,183.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,1.21360003E7,134783.5,675576.0,188516.6,707.3,644.6,62.7,88332,11388.6,128.93,168.3,2017-04-24T18:52:20.000,Yes,In Compliance,40.805862,-73.965478,9.0,7.0,199.0,Morningside Heights                                                        
162,2809941,601 West 113th,3618215,601 W 112 and 600 W 113,1018950055.0,1018950055,1057350,410 West 118th Street,Not Available,10027,2901.0,BROADWAY,Manhattan,178897.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,188572.0,Not Available,Not Available,Not Available,Not Available,1909,1,100,Whole Building,Not Available,100,29.8,29.8,0.9,0,36.4,Not Available,4955717.8,Not Available,Not Available,Not Available,Not Available,92600,926,563935.4,165280,425.0,372.7,52.3,188572,Not Available,Not Available,36.4,2017-04-24T18:52:20.000,,In Compliance,40.80618,-73.965251,9.0,7.0,199.0,Morningside Heights                                                        
164,2809828,435 West 119th Street,3618216,435 W 119 and 434 W 120,1019620038.0,1019620038,1059510,435 West 119th Street,Not Available,10027,1201.0,AMSTERDAM AVENUE,Manhattan,87271.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,87260.0,Not Available,Not Available,Not Available,Not Available,1964,1,100,Whole Building,Whole Building,58,100.8,100.8,1,1,112.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,8507999.8,85080,290293.0,85080,478.8,451.9,26.9,87260,6990.5,80.11,112.8,2017-04-24T18:52:20.000,,In Compliance,40.808838,-73.959574,9.0,7.0,20701.0,Morningside Heights                                                        
165,2809891,434 West 120th Street,3618216,435 W 119 and 434 W 120,1019620070.0,1019620070,1059514,434 West 120th Street,Not Available,10027,1211.0,AMSTERDAM AVENUE,Manhattan,87979.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,89091.0,Not Available,Not Available,Not Available,Not Available,1967,1,100,Whole Building,Whole Building,100,17.2,17.2,1.2,0.1,26.5,Not Available,Not Available,0,Not Available,Not Available,Not Available,1177500,11775,351340.5,105215.1,95.1,62.5,32.6,89091,2659.3,29.85,26.3,2017-04-24T18:52:20.000,Yes,In Compliance,40.809065999999994,-73.959408,9.0,7.0,20701.0,Morningside Heights                                                        
167,2977495,414 West 119th Street,3618219,430 W 119 ET AL,1019620026.0,1019620026,1059507,410 West 118th Street,B-230,10027,414.0,WEST 119 STREET,Manhattan,54100.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,53676.0,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Not Available,100,3.4,3.4,1,Not Available,10.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,184186.6,53982,17.1,0.0,17.1,53676,1757.2,32.74,10.8,2017-04-24T18:52:20.000,Yes,In Compliance,40.80822,-73.95837900000001,9.0,7.0,20701.0,Morningside Heights                                                        
168,2809890,430 West 119th Street,3618219,430 W 119 ET AL,1019620031.0,1019620031,1059508,430 West 119th Street,Not Available,10027,424.0,WEST 119 STREET,Manhattan,53352.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,50292.0,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Not Available,100,5.5,5.5,1.4,0,15.6,Not Available,0,Not Available,0,Not Available,Not Available,39900,399,235728.3,69088,24.0,2.1,21.9,50292,4099.9,81.52,15.6,2017-04-24T18:52:20.000,,In Compliance,40.808269,-73.958502,9.0,7.0,20701.0,Morningside Heights                                                        
169,2809865,414 West 120th Street,3618219,430 W 119 ET AL,1019620061.0,1019620061,1059513,410 West 118th Street,Not Available,10027,414.0,WEST 120 STREET,Manhattan,64842.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,62334.0,Not Available,Not Available,Not Available,Not Available,1980,1,100,Whole Building,Not Available,85,78.9,78.9,1.2,0.7,91.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,4668999.9,46690,248796.2,72248.9,271.1,248.0,23.1,62334,3275.7,52.55,91.2,2017-04-24T18:52:20.000,Yes,In Compliance,40.808832,-73.958021,9.0,7.0,20701.0,Morningside Heights                                                        
170,3924330,Manhattan Campus,3924330,Manhattan Campus,1018600020.0,1-01860-0020,1081582,120 W. 106th St.,Not Available,10025,111.0,WEST 105 STREET,Manhattan,216559.0,Senior Care Community,Senior Care Community,Senior Care Community,288790.0,Not Available,Not Available,Not Available,Not Available,1915,3,95,Whole Building,Whole Building,66,213.4,222.2,16.8,1.6,352.6,Not Available,999396,Not Available,Not Available,Not Available,Not Available,4.37449735E7,465067.4,16880892.8,4839226,3964.2,2397.7,1566.5,288790,21137,73.19,346.1,2017-06-30T12:27:47.000,Yes,In Compliance,40.798832,-73.96397900000001,7.0,7.0,189.0,Upper West Side                                                            
178,4037976,"CubeSmart - 900 Atlantic Avenue, Brooklyn",4037976,"CubeSmart - 900 Atlantic Avenue, Brooklyn",,3-01122-0028; 3-01122-0032,3027473; 3027474,900 Atlantic Avenue,Not Available,11238,,,,,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,83095.0,Not Available,Not Available,Not Available,Not Available,2009,2,100,Whole Building,Whole Building,Not Available,13.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,297980,Not Available,839552.2,Not Available,93.7,15.8,77.9,83095,0,0,35.5,2017-05-23T09:51:20.000,Yes,In Compliance,,,,,,
179,5100178,892 Atlantic Avenue,4037976,"CubeSmart - 900 Atlantic Avenue, Brooklyn",3011220028.0,3-01122-0028,3027473,892 Atlantic Avenue,Not Available,11238,892.0,ATLANTIC AVENUE,Brooklyn,55884.0,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,55884.0,Not Available,Not Available,Not Available,Not Available,2009,1,100,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,55884,Not Available,Not Available,,2017-05-23T09:51:20.000,,In Compliance,40.681258,-73.96514300000001,8.0,35.0,203.0,Prospect Heights                                                           
180,5894105,908 Atlantic Avenue,4037976,"CubeSmart - 900 Atlantic Avenue, Brooklyn",3011220032.0,3011220032,3027474,900 Atlantic Avenue,Not Available,11238,,,,,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,27211.0,Not Available,Not Available,Not Available,Not Available,2009,1,100,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,27211,Not Available,Not Available,,2017-05-23T09:51:20.000,,In Compliance,,,,,,
181,4046078,Jacobs Academic Building,4046078,Jacobs Academic Building,3001420001.0,3001420001,3000265,329 Jay St,Not Available,11201,327.0,JAY STREET,Brooklyn,357000.0,College/University,College/University,College/University,357000.0,Not Available,Not Available,Not Available,Not Available,2000,2,100,Whole Building,Whole Building,Not Available,175.2,174.2,21.4,1,335.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.61089707E7,361089.7,26426349.3,7647969,4370.3,1917.9,2452.4,357000,Not Available,Not Available,338.6,2017-04-28T19:15:52.000,,In Compliance,40.694476,-73.98718000000001,2.0,33.0,11.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
182,5101855,JACOBS CIVIL ENGINEERING,4046078,Jacobs Academic Building,3001420050.0,3001420050,3331745,315 Jay Street,Not Available,11201,315.0,JAY STREET,Brooklyn,63000.0,College/University,College/University,College/University,63000.0,Not Available,Not Available,Not Available,Not Available,1930,0,10,Whole Building,Not Available,Not Available,992.6,986.1,121,5.7,1898.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.61089707E7,361089.7,26426349.3,7624955.4,4370.3,1917.9,2452.4,63000,Not Available,Not Available,1918.9,2017-04-28T19:15:52.000,,In Compliance,40.694685,-73.987166,2.0,33.0,11.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
183,4092487,"Bay Plaza Community Center, LLC",4092487,"Bay Plaza Community Center, LLC",2051410810.0,2-05141-0810,"2103850, 2094224",2100 Bartow Ave,Not Available,10475,2100.0,BARTOW AVENUE,Bronx,540388.0,Strip Mall,"Medical Office, Parking, Strip Mall",Strip Mall,402587.0,Medical Office,137060,Parking,0,1987,4,95,Whole Building,Not Available,Not Available,145.2,149.2,28.5,0.5,359.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.58638615E7,280479.5,52472732.6,1.53788764E7,6243.2,1373.8,4869.5,539647,Not Available,Not Available,355.6,2017-05-01T16:42:29.000,No,In Compliance,40.869429,-73.825737,10.0,12.0,46201.0,Co-op City                                                                 
184,5070492,DSW Shoe Warehouse,4092487,"Bay Plaza Community Center, LLC",2051410802.0,2-05141-0802,2103851,2134 Bartow Ave,Not Available,10475,,,,,Retail Store,Retail Store,Retail Store,21000.0,Not Available,Not Available,Not Available,Not Available,2013,1,100,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,21000,Not Available,Not Available,,2017-05-01T16:42:29.000,No,In Compliance,,,,,,
185,5070488,Chase,4092487,"Bay Plaza Community Center, LLC",2051410810.0,2-05141-0810,2000000,2130 Bartow Ave,Not Available,10475,2100.0,BARTOW AVENUE,Bronx,540388.0,Bank Branch,Bank Branch,Bank Branch,3190.0,Not Available,Not Available,Not Available,Not Available,2004,1,100,Whole Building,Not Available,3,279.0,295.1,45.2,1.4,632.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,386555.7,4495.6,503490.5,144153.9,67.3,20.5,46.7,3190,Not Available,Not Available,622.8,2017-05-01T16:42:29.000,No,In Compliance,40.869429,-73.825737,10.0,12.0,46201.0,Co-op City                                                                 
186,5070501,Bob's Furniture,4092487,"Bay Plaza Community Center, LLC",2051410810.0,2-05141-0810,"2103850, 2094224",2146 Bartow Ave,Not Available,10475,2100.0,BARTOW AVENUE,Bronx,540388.0,Retail Store,Retail Store,Retail Store,50000.0,Not Available,Not Available,Not Available,Not Available,2004,0,90,Whole Building,Not Available,Not Available,70.8,72,18.1,0.1,204.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,437401.8,5193.5,3104421.7,902687.2,311.3,23.2,288.1,50000,Not Available,Not Available,204.1,2017-05-01T16:42:29.000,No,In Compliance,40.869429,-73.825737,10.0,12.0,46201.0,Co-op City                                                                 
187,5077509,Bank Of America,4092487,"Bay Plaza Community Center, LLC",2051410810.0,2-05141-0810,2121320,2136 Bartow Ave,Not Available,10475,2100.0,BARTOW AVENUE,Bronx,540388.0,Bank Branch,Bank Branch,Bank Branch,3800.0,Not Available,Not Available,Not Available,Not Available,2007,1,100,Whole Building,Not Available,45,124.1,132,23.8,0.5,308.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,163200.7,1931,308465.1,90405.9,37.3,8.7,28.6,3800,Not Available,Not Available,300.0,2017-05-01T16:42:29.000,No,In Compliance,40.869429,-73.825737,10.0,12.0,46201.0,Co-op City                                                                 
188,4288940,Amalgamated Warbasse Houses-Block 7250,4288940,Amalgamated Warbasse Houses-Block 7250,3072500001.0,3-07250-0001,3257102; 3257103; 3257104; 3257105,2800 West Fifth Street,Not Available,11224,2790.0,WEST 5 STREET,Brooklyn,1259938.0,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,1385656.0,Parking,0,Not Available,Not Available,1965,4,100,Whole Building,Whole Building,3,175.4,174,Not Available,1.7,182.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.430561976E8,2410708.7,,Not Available,12909.9,12909.9,0.0,1385656,163058.3,117.68,184.2,2017-04-25T10:48:04.000,No,In Compliance,40.580944,-73.971484,13.0,47.0,354.0,West Brighton                                                              
189,4288948,Amalgamated Warbasse Houses-Block 7253,4288948,Amalgamated Warbasse Houses-Block 7253,3072530001.0,3-07253-0001,3320736; 3320734; 3320735,2800 West Fifth Street,Not Available,11224,2830.0,OCEAN PARKWAY,Brooklyn,1800000.0,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,1989288.0,Parking,0,Not Available,Not Available,1965,3,100,Whole Building,Whole Building,2,181.6,179.9,Not Available,1.8,188.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.612256202E8,3579349.9,,Not Available,19186.4,19186.4,0.0,1989288,82766,41.61,190.7,2017-04-25T10:48:04.000,No,In Compliance,40.581134999999996,-73.967434,13.0,47.0,35601.0,West Brighton                                                              
341,4929379,SHEEPSHEAD BAY 9,5032176,SHEEPSHEAD BAY 9 CAMPUS,3088400103.0,3-08840-0103,3826829,3907 SHORE PKWY,Not Available,11235,,,,,Movie Theater,Movie Theater,Movie Theater,61798.0,Not Available,Not Available,Not Available,Not Available,2006,1,100,Whole Building,Whole Building,Not Available,98.6,100.9,21.6,0.3,260.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1452900,16778.4,4639095.3,1335846.5,507.7,77.2,430.5,61798,5270,85.28,260.4,2017-04-17T12:23:57.000,,In Compliance,,,,,,
190,4393741,Jamaica Hospital Medical Center Campus,4393741,Jamaica Hospital Medical Center Campus,4093640010.0,4-09364-0010,4438605,8900 Van Wyck Expressway,Not Available,11418,,,,,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),480751.0,Not Available,Not Available,Not Available,Not Available,1987,3,100,Not Available,Not Available,51,218.7,218.7,29.4,1.2,439.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.69053218E7,569053.2,48224003.7,1.41336453E7,7497.7,3022.5,4475.2,480751,2785375.2,5793.8,439.3,2017-05-04T07:41:48.000,,In Compliance,,,,,,
191,2641757,D Building,4393741,Jamaica Hospital Medical Center Campus,4093640001.0,4-09364-0001,4196910,90-28 Van Wyck Expy,Not Available,11418,,,,,Office,Office,Office,89506.0,Not Available,Not Available,Not Available,Not Available,1978,1,100,Whole Building,Whole Building,80,76.4,81,10.9,0.4,162.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3516912.5,39262.7,3325632.2,974686.9,495.4,186.8,308.6,89506,3236.1,36.15,157.9,2017-08-01T16:12:07.000,No,In Compliance,,,,,,
192,1180593,C Building,4393741,Jamaica Hospital Medical Center Campus,4093640010.0,4-09364-0010,4440535,89-00 Van Wyck Expy,Not Available,11418,,,,,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),131610.0,Not Available,Not Available,Not Available,Not Available,1990,1,100,Whole Building,Whole Building,100,11.2,11.6,Not Available,0.1,12.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1475294.7,15218,,Not Available,78.4,78.4,0.0,131610,237581.3,1805.19,11.8,2017-08-01T16:12:07.000,Yes,In Compliance,,,,,,
193,1277231,AB Building,4393741,Jamaica Hospital Medical Center Campus,4093640010.0,4-09364-0010,4438605,89-36 Van Wyck Expy,Not Available,11418,,,,,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),259635.0,Not Available,Not Available,Not Available,Not Available,1987,1,100,Whole Building,Whole Building,6,383.0,382.2,50.5,2.1,761.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.45248325E7,545248.3,44913159.5,1.31022393E7,7064.0,2896.1,4167.9,259635,2544573.5,9800.58,763.7,2017-08-01T16:12:07.000,Yes,In Compliance,,,,,,
194,4397919,DUNBAR OWNER LLC,4397919,DUNBAR OWNER LLC,1020350001.0,1020350001,1084144; 1084145; 1084146; 1084147; 1084148; 1084151 ,210 West 150th Street,Not Available,10039,2802.0,FREDRICK DOUGLASS BL,Manhattan,436115.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,436115.0,Not Available,Not Available,Not Available,Not Available,1928,6,95,Whole Building,Whole Building,17,122.5,129.7,4.7,1.1,169.6,Not Available,0,Not Available,Not Available,Not Available,Not Available,4.61776973E7,496299.8,7257526.0,2038135.5,3126.2,2452.7,673.5,436115,Not Available,Not Available,163.4,2017-03-31T12:44:48.000,Yes,In Compliance,40.825416,-73.94001300000001,10.0,9.0,234.0,Central Harlem North-Polo Grounds                                          
195,5834267,211 West 149th Street,4397919,DUNBAR OWNER LLC,1020350001.0,1020350001,1084145  ,210 West 150th Street,Not Available,10039,2802.0,FREDRICK DOUGLASS BL,Manhattan,436115.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,74068.0,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Not Available,34,94.4,100.1,3.9,0.9,132.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5995197.2,64321.1,996260.5,287207.5,410.9,318.4,92.5,74068,Not Available,Not Available,127.2,2017-04-25T10:55:55.000,Yes,In Compliance,40.825416,-73.94001300000001,10.0,9.0,234.0,Central Harlem North-Polo Grounds                                          
196,5834261,2580 7th Avenue,4397919,DUNBAR OWNER LLC,1020350001.0,1020350001,1084144  ,210 West 150th Street,Not Available,10039,2802.0,FREDRICK DOUGLASS BL,Manhattan,436115.0,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,84442.0,Other,1750,Not Available,Not Available,1928,1,100,Whole Building,Not Available,22,112.0,121.2,3.2,1.1,150.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8669754.6,95103.3,980532.0,275487,551.5,460.5,91.0,86192,Not Available,Not Available,141.3,2017-03-31T12:44:48.000,Yes,In Compliance,40.825416,-73.94001300000001,10.0,9.0,234.0,Central Harlem North-Polo Grounds                                          
197,5834269,231 West 149th Street,4397919,DUNBAR OWNER LLC,1020350001.0,1020350001,1084146 ,210 West 150th Street,Not Available,10039,2802.0,FREDRICK DOUGLASS BL,Manhattan,436115.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,72806.0,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Not Available,43,97.0,102.5,4.1,0.9,137.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5995197.2,64321.1,1070432.5,301337.5,417.8,318.4,99.3,72806,Not Available,Not Available,132.6,2017-03-31T12:44:48.000,Yes,In Compliance,40.825416,-73.94001300000001,10.0,9.0,234.0,Central Harlem North-Polo Grounds                                          
198,5834270,210 West 150th Street,4397919,DUNBAR OWNER LLC,1020350001.0,1020350001,1084147  ,210 West 150th Street,Not Available,10039,2802.0,FREDRICK DOUGLASS BL,Manhattan,436115.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,74549.0,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Not Available,6,105.2,111.8,4,1,146.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6785387.7,73118.9,1056809.6,300343.9,458.5,360.4,98.1,74549,Not Available,Not Available,140.1,2017-03-31T12:44:48.000,Yes,In Compliance,40.825416,-73.94001300000001,10.0,9.0,234.0,Central Harlem North-Polo Grounds                                          
199,5834277,2802 Fred Douglas Boulevard,4397919,DUNBAR OWNER LLC,1020350001.0,1020350001,1084148  ,210 West 150th Street,Not Available,10039,2802.0,FREDRICK DOUGLASS BL,Manhattan,436115.0,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,96602.0,Other,5084,Not Available,Not Available,1928,1,100,Whole Building,Not Available,13,123.7,123.1,5.7,1,169.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10543342,105433.4,2033804.2,579014.4,748.7,560.0,188.7,101686,Not Available,Not Available,171.7,2017-03-31T12:44:48.000,Yes,In Compliance,40.825416,-73.94001300000001,10.0,9.0,234.0,Central Harlem North-Polo Grounds                                          
200,5834279,230 West 150th Street,4397919,DUNBAR OWNER LLC,1020350001.0,1020350001,1084151  ,210 West 150th Street,Not Available,10039,2802.0,FREDRICK DOUGLASS BL,Manhattan,436115.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,61782.0,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Not Available,1,150.6,160.6,5.1,1.4,205.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8186833.3,88385.5,1119687.4,317998.9,538.7,434.8,103.9,61782,Not Available,Not Available,196.0,2017-03-31T12:44:48.000,Yes,In Compliance,40.825416,-73.94001300000001,10.0,9.0,234.0,Central Harlem North-Polo Grounds                                          
