order,property_id,property_name,parent_property_id,parent_property_name,bbl_10_digits,nyc_borough_block_and_lot_bbl_self_reported,nyc_building_identification_number_bin,address_1_self_reported,address_2,postal_code,street_number,street_name,borough,dof_gross_floor_area,primary_property_type_self_selected,list_of_all_property_use_types_at_property,largest_property_use_type,largest_property_use_type_gross_floor_area_ft,_2nd_largest_property_use_type,_2nd_largest_property_use_gross_floor_area_ft,_3rd_largest_property_use_type,_3rd_largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings_self_reported,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,site_eui_kbtu_ft,weather_normalized_site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_source_eui_kbtu_ft,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_natural_gas_use_therms,electricity_use_grid_purchase_kbtu,weather_normalized_site_electricity_kwh,total_ghg_emissions_metric_tons_co2e,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,property_gfa_self_reported_ft,water_use_all_water_sources_kgal,water_intensity_all_water_sources_gal_ft,source_eui_kbtu_ft,release_date,water_required,dof_benchmarking_submission_status,latitude,longitude,community_board,council_district,census_tract,nta
12,3616379,North Shore Towers Bld 1,2610789,North Shore Towers,4084890001.0,4084890001,4456886,271-10 Grand Central Parkway,Not Available,11005,269.0,GRAND CENTRAL PKWY,Queens,3750565.0,Multifamily Housing,Other,Other,2738875.0,Not Available,Not Available,Not Available,Not Available,1974,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,912892,Not Available,Not Available,,2017-04-28T07:44:37.000,Yes,In Compliance,40.757859,-73.71554300000001,13.0,23.0,155101.0,Glen Oaks-Floral Park-New Hyde Park                                        
13,5870374,North Shore Towers Bld 2,2610789,North Shore Towers,4084890001.0,4084890001,4456885,270-10 Grand Central Parkway,Not Available,11005,269.0,GRAND CENTRAL PKWY,Queens,3750565.0,Multifamily Housing,Other,Other,2738875.0,Not Available,Not Available,Not Available,Not Available,1974,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,912892,Not Available,Not Available,,2017-04-28T07:44:37.000,Yes,In Compliance,40.757859,-73.71554300000001,13.0,23.0,155101.0,Glen Oaks-Floral Park-New Hyde Park                                        
14,5870375,North Shore Towers Bld 3,2610789,North Shore Towers,4084890001.0,4084890001,4453535,269-10 Grand Central Parkway,Not Available,11005,269.0,GRAND CENTRAL PKWY,Queens,3750565.0,Multifamily Housing,Other,Other,2738875.0,Not Available,Not Available,Not Available,Not Available,1974,1,100,Whole Building,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,912892,Not Available,Not Available,,2017-04-28T07:44:37.000,,In Compliance,40.757859,-73.71554300000001,13.0,23.0,155101.0,Glen Oaks-Floral Park-New Hyde Park                                        
15,2637863,Cadman Towers,2637863,Cadman Towers,,3002320001;3002380035,3001727;3319420,101 Clark St,aka 10 Clinton St,11201,,,,,Multifamily Housing,"Multifamily Housing, Other, Parking",Multifamily Housing,412503.0,Other,20000,Parking,18800,1903,2,100,Whole Building,Whole Building,93,32.0,Not Available,7.5,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2047200,20472,11241926.1,3249755.2,1194.0,150.8,1043.2,432503,22061,51.01,87.9,2017-04-28T16:07:55.000,Yes,In Compliance,,,,,,
16,5871253,Cadman - 10 Clinton St,2637863,Cadman Towers,3002380035.0,3002380035,3319420,101 Clark St,aka 10 Clinton St,11201,10.0,CLINTON STREET,Brooklyn,212656.0,Multifamily Housing,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,162656.0,Parking,40000,Retail Store,10000,1903,1,100,Whole Building,Not Available,1,295.4,316.8,5.8,3,374.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.75229012E7,512710.7,3477064.5,1004824,2846.8,2524.2,322.7,172656,Not Available,Not Available,352.2,2017-04-28T16:07:55.000,,In Compliance,40.695834999999995,-73.99167299999999,2.0,33.0,502.0,Brooklyn Heights-Cobble Hill                                               
17,2777235,STATEN ISLAND UNIVERSITY HOSPITAL Seaview,2777235,STATEN ISLAND UNIVERSITY HOSPITAL Seaview,,5033550032;5-03355-0065,5049717;5104756,475 SEAVIEW AVE,Not Available,10305,,,,,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),567517.0,Not Available,Not Available,Not Available,Not Available,1950,2,100,Whole Building,Whole Building,80,352.7,Not Available,32.2,2.2,Not Available,Not Available,9230304.1,Not Available,Not Available,Not Available,Not Available,1.284867131E8,1255514.1,62425429.2,1.82958446E7,13302.6,7509.5,5793.1,567517,9574,16.87,599.5,2017-04-25T12:11:30.000,No,In Compliance,,,,,,
18,5245390,Seaview child 475,2777235,STATEN ISLAND UNIVERSITY HOSPITAL Seaview,5033550032.0,5-03355-0032,5049717,475 SEAVIEW AVE,Not Available,10305,475.0,SEAVIEW AVENUE,Staten Island,567517.0,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),567517.0,Not Available,Not Available,Not Available,Not Available,1950,1,100,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,567517,Not Available,Not Available,,2017-04-25T12:11:30.000,Yes,In Compliance,40.583953,-74.08693000000001,2.0,50.0,70.0,Old Town-Dongan Hills-South Beach                                          
19,4045810,242 Mason Ave,2777235,STATEN ISLAND UNIVERSITY HOSPITAL Seaview,5033550065.0,5-03355-0065,5104756,475 Seaview Av,Not Available,10305,242.0,MASON AVENUE,Staten Island,53917.0,Medical Office,Medical Office,Medical Office,58893.0,Not Available,Not Available,Not Available,Not Available,1950,1,100,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,58893,Not Available,Not Available,,2017-04-25T12:11:30.000,,In Compliance,40.586868,-74.08659200000001,2.0,50.0,70.0,Old Town-Dongan Hills-South Beach                                          
20,2777309,Barnard College,2777309,Barnard College,1019890001.0,1-01989-0001,1082351;1079204;1082351;1082347;1079205;1082350,3009 Broadway,Not Available,10029,,,,,College/University,"College/University, Residence Hall/Dormitory",College/University,323000.0,Residence Hall/Dormitory,275000,Not Available,Not Available,1907,7,100,Whole Building,Not Available,Not Available,120.0,125.2,8.7,0.9,193.6,Not Available,1384940.4,Not Available,Not Available,Not Available,Not Available,5.24412394E7,556997.6,17958140.6,5217062.4,4554.7,2888.2,1666.5,598000,Not Available,Not Available,188.7,2017-05-01T12:50:51.000,Yes,In Compliance,,,,,,
21,2780056,720-730 Ft. Washington Owners Corp.,2780056,720-730 Ft. Washington Owners Corp.,,1021800614;1021800628,1064475;1064476;1803806,720-730 Ft. Washington Ave.,Not Available,10040,,,,,Multifamily Housing,Multifamily Housing,Multifamily Housing,321464.0,Not Available,Not Available,Not Available,Not Available,1939,2,100,Whole Building,Whole Building,72,76.2,79.9,3.5,0,106.2,Not Available,Not Available,1.96354077E7,Not Available,Not Available,Not Available,880200,8906.3,3968641.7,1121931.8,1893.4,1525.1,368.3,321464,5915.6,18.4,103.3,2017-05-01T22:09:31.000,Yes,In Compliance,,,,,,
