development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_kwh,kwh_charges,consumption_kw,kw_charges,other_charges
ASTORIA,QUEENS,ASTORIA,BLD 20,AMR,,26,517,Q002600,FEDERAL,NY005000260P,NEW YORK POWER AUTHORITY,8147006,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8142880,Y,1088.47,GOV/NYC/068,Yes,22320,921.19,0.0,0.0,167.28
FARRAGUT,BROOKLYN,FARRAGUT,BLD 02,INTERVAL,,29,532,K002900,FEDERAL,NY005000290P,NEW YORK POWER AUTHORITY,8147669,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1232113,N,1632.19,GOV/NYC/068,Yes,0,0.0,165.6,1632.19,0.0
FARRAGUT,BROOKLYN,FARRAGUT,BLD 03,AMR,,29,532,K002900,FEDERAL,NY005000290P,NEW YORK POWER AUTHORITY,8147669,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8232100,Y,2577.45,GOV/NYC/068,Yes,52800,2186.88,0.0,0.0,390.57
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 16,NONE,,205,322,K020500,FEDERAL,NY005011670P,NEW YORK POWER AUTHORITY,8147832,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3248091,Y,77.38,GOV/NYC/062,Yes,290,14.67,0.0,0.0,62.71
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 05,NONE,,205,322,K020500,FEDERAL,NY005011670P,NEW YORK POWER AUTHORITY,8147842,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8505416,N,27.21,GOV/NYC/062,Yes,101,5.11,0.0,0.0,22.1
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 02,NONE,,205,322,K020500,FEDERAL,NY005011670P,NEW YORK POWER AUTHORITY,8147845,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,2934812,Y,29.44,GOV/NYC/062,Yes,110,5.56,0.0,0.0,23.88
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 15,INTERVAL,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1095211,N,553.3,GOV/NYC/068,Yes,0,0.0,56.5,553.3,0.0
VAN DYKE I,BROOKLYN,BROWNSVILLE/VAN DYKE I,VAN DYKE I BLD 05,AMR,,61,216,K006100,FEDERAL,NY005000610P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322421,Y,2412.59,GOV/NYC/068,Yes,51200,2091.95,0.0,0.0,320.64
VAN DYKE I,BROOKLYN,BROWNSVILLE/VAN DYKE I,VAN DYKE I BLD 12,AMR,,61,216,K006100,FEDERAL,NY005000610P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322432,Y,3581.19,GOV/NYC/068,Yes,76000,3105.24,0.0,0.0,475.95
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 09,INTERVAL,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1095207,N,645.85,GOV/NYC/068,Yes,0,0.0,65.95,645.85,0.0
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 09,NONE,BLD 09,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147884,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,5647341,N,188.83,GOV/NYC/062,Yes,684,34.59,0.0,0.0,154.24
