development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_kwh,kwh_charges,consumption_kw,kw_charges,other_charges
EAST NEW YORK CITY LINE,BROOKLYN,EAST NEW YORK CITY LINE,BLD 03,NONE,,263,378,K026300,FEDERAL,NY005010700P,NEW YORK POWER AUTHORITY,8147783,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,5933730,Y,605.62,GOV/NYC/069,Yes,4248,177.48,11.34,88.57,339.57
EAST RIVER,MANHATTAN,EAST RIVER,BLD 03,INTERVAL,,9,207,M000900,FEDERAL,NY005010090P,NEW YORK POWER AUTHORITY,8147497,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1929680,N,1777.18,GOV/NYC/068,Yes,0,0.0,175.68,1777.18,0.0
EAST RIVER,MANHATTAN,EAST RIVER,BLD 07,INTERVAL,,9,207,M000900,FEDERAL,NY005010090P,NEW YORK POWER AUTHORITY,8147497,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1930053,N,1784.46,GOV/NYC/068,Yes,0,0.0,176.4,1784.46,0.0
EAST RIVER,MANHATTAN,EAST RIVER,BLD 04,AMR,,9,207,M000900,FEDERAL,NY005010090P,NEW YORK POWER AUTHORITY,8147497,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7929694,N,13083.63,GOV/NYC/068,Yes,85440,3546.76,0.0,0.0,9536.87
EAST RIVER,MANHATTAN,EAST RIVER,BLD 05,AMR,,9,207,M000900,FEDERAL,NY005010090P,NEW YORK POWER AUTHORITY,8147497,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7930054,N,7411.61,GOV/NYC/068,Yes,48400,2009.17,0.0,0.0,5402.44
EASTCHESTER GARDENS,BRONX,EASTCHESTER GARDENS,BLD 03,INTERVAL,,34,313,B003400,FEDERAL,NY005010340P,NEW YORK POWER AUTHORITY,8147182,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1860095,N,1783.83,GOV/NYC/068,Yes,0,0.0,175.44,1783.83,0.0
EASTCHESTER GARDENS,BRONX,EASTCHESTER GARDENS,BLD 06,INTERVAL,,34,313,B003400,FEDERAL,NY005010340P,NEW YORK POWER AUTHORITY,8147182,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1929830,N,952.21,GOV/NYC/068,Yes,0,0.0,93.65,952.21,0.0
EASTCHESTER GARDENS,BRONX,EASTCHESTER GARDENS,BLD 02,INTERVAL,,34,313,B003400,FEDERAL,NY005010340P,NEW YORK POWER AUTHORITY,8147182,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1929846,N,1728.93,GOV/NYC/068,Yes,0,0.0,170.04,1728.93,0.0
EASTCHESTER GARDENS,BRONX,EASTCHESTER GARDENS,BLD 09,INTERVAL,,34,313,B003400,FEDERAL,NY005010340P,NEW YORK POWER AUTHORITY,8147182,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1929928,N,925.37,GOV/NYC/068,Yes,0,0.0,91.01,925.37,0.0
BOULEVARD,BROOKLYN,BOULEVARD/LINDEN,BOULEVARD BLD 06,AMR,,46,637,K004600,MIXED FINANCE/LLC2,NY005020460P,NEW YORK POWER AUTHORITY,8147654,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8232170,Y,4253.26,GOV/NYC/068,Yes,52480,2172.67,0.0,0.0,2080.59
BOULEVARD,BROOKLYN,BOULEVARD/LINDEN,BOULEVARD BLD 10,AMR,,46,637,K004600,MIXED FINANCE/LLC2,NY005020460P,NEW YORK POWER AUTHORITY,8147654,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8232169,Y,4603.42,GOV/NYC/068,Yes,56800,2351.52,0.0,0.0,2251.9
BOULEVARD,BROOKLYN,BOULEVARD/LINDEN,BOULEVARD BLD 16,AMR,,46,637,K004600,MIXED FINANCE/LLC2,NY005020460P,NEW YORK POWER AUTHORITY,8147654,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8232196,Y,4182.02,GOV/NYC/068,Yes,51600,2136.24,0.0,0.0,2045.78
LINDEN,BROOKLYN,BOULEVARD/LINDEN,LINDEN BLD 20,INTERVAL,,95,672,K009500,MIXED FINANCE/LLC2,NY005020950P,NEW YORK POWER AUTHORITY,8147654,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1232007,N,554.01,GOV/NYC/068,Yes,0,0.0,30.24,283.05,270.96
LINDEN,BROOKLYN,BOULEVARD/LINDEN,LINDEN BLD 14,AMR,,95,672,K009500,MIXED FINANCE/LLC2,NY005020950P,NEW YORK POWER AUTHORITY,8147654,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8231998,Y,11687.06,GOV/NYC/068,Yes,144200,5969.88,0.0,0.0,5717.18
LINDEN,BROOKLYN,BOULEVARD/LINDEN,LINDEN BLD 12,AMR,,95,672,K009500,MIXED FINANCE/LLC2,NY005020950P,NEW YORK POWER AUTHORITY,8147654,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8231982,Y,4396.02,GOV/NYC/068,Yes,54240,2245.54,0.0,0.0,2150.48
EASTCHESTER GARDENS,BRONX,EASTCHESTER GARDENS,BLD 07,AMR,,34,313,B003400,FEDERAL,NY005010340P,NEW YORK POWER AUTHORITY,8147182,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8008347,N,7139.4,GOV/NYC/068,Yes,49520,2044.96,0.0,0.0,5094.44
EDENWALD,BRONX,EDENWALD,BLD 28,INTERVAL,,57,214,B005700,FEDERAL,NY005000570P,NEW YORK POWER AUTHORITY,8147209,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1362685,N,1438.1,GOV/NYC/068,Yes,0,0.0,142.08,1438.1,0.0
EDENWALD,BRONX,EDENWALD,BLD 21,INTERVAL,,57,214,B005700,FEDERAL,NY005000570P,NEW YORK POWER AUTHORITY,8147209,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1929636,N,476.13,GOV/NYC/068,Yes,0,0.0,47.04,476.13,0.0
EDENWALD,BRONX,EDENWALD,BLD 23,INTERVAL,,57,214,B005700,FEDERAL,NY005000570P,NEW YORK POWER AUTHORITY,8147209,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1929921,N,795.37,GOV/NYC/068,Yes,0,0.0,78.58,795.37,0.0
EDENWALD,BRONX,EDENWALD,BLD 07,INTERVAL,,57,214,B005700,FEDERAL,NY005000570P,NEW YORK POWER AUTHORITY,8147209,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1929947,N,1429.39,GOV/NYC/068,Yes,0,0.0,141.22,1429.39,0.0
EDENWALD,BRONX,EDENWALD,BLD 38,AMR,,57,214,B005700,FEDERAL,NY005000570P,NEW YORK POWER AUTHORITY,8147209,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7929603,N,6285.96,GOV/NYC/068,Yes,43040,1776.8,0.0,0.0,4509.16
EDENWALD,BRONX,EDENWALD,BLD 20,AMR,,57,214,B005700,FEDERAL,NY005000570P,NEW YORK POWER AUTHORITY,8147209,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7929641,N,12443.41,GOV/NYC/068,Yes,85200,3517.28,0.0,0.0,8926.13
EDENWALD,BRONX,EDENWALD,BLD 10,AMR,,57,214,B005700,FEDERAL,NY005000570P,NEW YORK POWER AUTHORITY,8147209,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7929934,N,6507.96,GOV/NYC/068,Yes,44560,1839.55,0.0,0.0,4668.41
EDENWALD,BRONX,EDENWALD,BLD 06,AMR,,57,214,B005700,FEDERAL,NY005000570P,NEW YORK POWER AUTHORITY,8147209,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7929950,N,3137.14,GOV/NYC/068,Yes,21480,886.75,0.0,0.0,2250.39
ELLIOTT,MANHATTAN,ELLIOTT,BLD 03,INTERVAL,,15,367,M001500,FEDERAL,NY005011340P,NEW YORK POWER AUTHORITY,8147569,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1860023,N,3755.48,GOV/NYC/068,Yes,0,0.0,198.53,1858.24,1897.24
FARRAGUT,BROOKLYN,FARRAGUT,BLD 05,INTERVAL,,29,532,K002900,FEDERAL,NY005000290P,NEW YORK POWER AUTHORITY,8147669,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1096712,N,1849.81,GOV/NYC/068,Yes,0,0.0,187.68,1849.81,0.0
ASTORIA,QUEENS,ASTORIA,BLD 05,INTERVAL,,26,517,Q002600,FEDERAL,NY005000260P,NEW YORK POWER AUTHORITY,8147006,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1142861,N,1072.74,GOV/NYC/068,Yes,0,0.0,111.02,1072.74,0.0
ASTORIA,QUEENS,ASTORIA,BLD 15,INTERVAL,,26,517,Q002600,FEDERAL,NY005000260P,NEW YORK POWER AUTHORITY,8147006,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1142878,N,876.59,GOV/NYC/068,Yes,0,0.0,90.72,876.59,0.0
ASTORIA,QUEENS,ASTORIA,BLD 11,INTERVAL,,26,517,Q002600,FEDERAL,NY005000260P,NEW YORK POWER AUTHORITY,8147006,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1930200,N,848.76,GOV/NYC/068,Yes,0,0.0,87.84,848.76,0.0
ASTORIA,QUEENS,ASTORIA,BLD 04,AMR,,26,517,Q002600,FEDERAL,NY005000260P,NEW YORK POWER AUTHORITY,8147006,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8142865,Y,1010.44,GOV/NYC/068,Yes,20720,855.15,0.0,0.0,155.29
ASTORIA,QUEENS,ASTORIA,BLD 15,AMR,,26,517,Q002600,FEDERAL,NY005000260P,NEW YORK POWER AUTHORITY,8147006,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8142878,Y,1092.37,GOV/NYC/068,Yes,22400,924.49,0.0,0.0,167.88
LINDEN,BROOKLYN,BOULEVARD/LINDEN,LINDEN BLD 02,AMR,,95,672,K009500,MIXED FINANCE/LLC2,NY005020950P,NEW YORK POWER AUTHORITY,8147654,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8232179,Y,4318.18,GOV/NYC/068,Yes,53280,2205.79,0.0,0.0,2112.39
FARRAGUT,BROOKLYN,FARRAGUT,BLD 06,INTERVAL,,29,532,K002900,FEDERAL,NY005000290P,NEW YORK POWER AUTHORITY,8147669,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1232109,N,2191.62,GOV/NYC/068,Yes,0,0.0,222.36,2191.62,0.0
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 18,INTERVAL,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1095212,N,621.46,GOV/NYC/068,Yes,0,0.0,63.46,621.46,0.0
FARRAGUT,BROOKLYN,FARRAGUT,BLD 04,AMR,,29,532,K002900,FEDERAL,NY005000290P,NEW YORK POWER AUTHORITY,8147669,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8232099,Y,2460.3,GOV/NYC/068,Yes,50400,2087.48,0.0,0.0,372.82
FARRAGUT,BROOKLYN,FARRAGUT,BLD 08,AMR,,29,532,K002900,FEDERAL,NY005000290P,NEW YORK POWER AUTHORITY,8147669,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8232114,Y,2284.56,GOV/NYC/068,Yes,46800,1938.37,0.0,0.0,346.19
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 03,NONE,,205,322,K020500,FEDERAL,NY005011670P,NEW YORK POWER AUTHORITY,8147831,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8548055,N,118.11,GOV/NYC/062,Yes,448,22.66,0.0,0.0,95.45
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 11,AMR,,205,322,K020500,FEDERAL,NY005011670P,NEW YORK POWER AUTHORITY,8147836,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7953599,N,47.09,GOV/NYC/062,Yes,180,9.1,0.0,0.0,37.99
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 06,NONE,,205,322,K020500,FEDERAL,NY005011670P,NEW YORK POWER AUTHORITY,8147841,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8505033,Y,35.48,GOV/NYC/062,Yes,135,6.83,0.0,0.0,28.65
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 04,AMR,,205,322,K020500,FEDERAL,NY005011670P,NEW YORK POWER AUTHORITY,8147843,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8088763,Y,41.79,GOV/NYC/062,Yes,155,7.84,0.0,0.0,33.95
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 03,NONE,,205,322,K020500,FEDERAL,NY005011670P,NEW YORK POWER AUTHORITY,8147844,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8510818,Y,27.17,GOV/NYC/062,Yes,101,5.11,0.0,0.0,22.06
VAN DYKE I,BROOKLYN,BROWNSVILLE/VAN DYKE I,VAN DYKE I BLD 20,AMR,,61,216,K006100,FEDERAL,NY005000610P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8095210,Y,2646.31,GOV/NYC/068,Yes,56160,2294.61,0.0,0.0,351.7
VAN DYKE I,BROOKLYN,BROWNSVILLE/VAN DYKE I,VAN DYKE I BLD 04,AMR,,61,216,K006100,FEDERAL,NY005000610P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322422,Y,629.54,GOV/NYC/068,Yes,13360,545.87,0.0,0.0,83.67
VAN DYKE I,BROOKLYN,BROWNSVILLE/VAN DYKE I,VAN DYKE I BLD 22,AMR,,61,216,K006100,FEDERAL,NY005000610P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8095307,Y,2367.35,GOV/NYC/068,Yes,50240,2052.72,0.0,0.0,314.63
VAN DYKE I,BROOKLYN,BROWNSVILLE/VAN DYKE I,VAN DYKE I BLD 09,AMR,,61,216,K006100,FEDERAL,NY005000610P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322416,Y,591.84,GOV/NYC/068,Yes,12560,513.18,0.0,0.0,78.66
VAN DYKE I,BROOKLYN,BROWNSVILLE/VAN DYKE I,VAN DYKE I BLD 15,AMR,,61,216,K006100,FEDERAL,NY005000610P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322426,Y,646.5,GOV/NYC/068,Yes,13720,560.58,0.0,0.0,85.92
VAN DYKE I,BROOKLYN,BROWNSVILLE/VAN DYKE I,VAN DYKE I BLD 11,AMR,,61,216,K006100,FEDERAL,NY005000610P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322430,Y,2759.4,GOV/NYC/068,Yes,58560,2392.67,0.0,0.0,366.73
VAN DYKE I,BROOKLYN,BROWNSVILLE/VAN DYKE I,VAN DYKE I BLD 07,AMR,,61,216,K006100,FEDERAL,NY005000610P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322440,Y,2397.51,GOV/NYC/068,Yes,50880,2078.87,0.0,0.0,318.64
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 12,INTERVAL,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1095205,N,694.71,GOV/NYC/068,Yes,0,0.0,70.94,694.71,0.0
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 19,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8125626,Y,1002.74,GOV/NYC/068,Yes,21280,869.47,0.0,0.0,133.27
BUSHWICK,BROOKLYN,BUSHWICK,BLD 03,NONE,,86,430,K008600,MIXED FINANCE/LLC1,NY005020860P,NEW YORK POWER AUTHORITY,8147721,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7161621,Y,18110.89,GOV/NYC/068,Yes,146200,6052.68,304.0,2845.44,9212.77
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 09,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8095207,Y,1032.89,GOV/NYC/068,Yes,21920,895.62,0.0,0.0,137.27
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 24,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8095203,Y,1149.75,GOV/NYC/068,Yes,24400,996.94,0.0,0.0,152.81
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 11,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8095208,Y,1142.21,GOV/NYC/068,Yes,24240,990.41,0.0,0.0,151.8
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 17,INTERVAL,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1478369,N,655.74,GOV/NYC/068,Yes,0,0.0,66.96,655.74,0.0
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 03,INTERVAL,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1322424,N,688.15,GOV/NYC/068,Yes,0,0.0,70.27,688.15,0.0
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 06,INTERVAL,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1478648,N,632.72,GOV/NYC/068,Yes,0,0.0,64.61,632.72,0.0
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 23,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8095214,Y,904.72,GOV/NYC/068,Yes,19200,784.48,0.0,0.0,120.24
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 25,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8095215,Y,987.65,GOV/NYC/068,Yes,20960,856.39,0.0,0.0,131.26
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 26,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8095310,Y,1168.6,GOV/NYC/068,Yes,24800,1013.29,0.0,0.0,155.31
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 22,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8125621,Y,991.42,GOV/NYC/068,Yes,21040,859.66,0.0,0.0,131.76
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 08,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8125866,Y,1225.15,GOV/NYC/068,Yes,26000,1062.32,0.0,0.0,162.83
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 16,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322413,Y,931.11,GOV/NYC/068,Yes,19760,807.36,0.0,0.0,123.75
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 07,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322437,Y,1161.06,GOV/NYC/068,Yes,24640,1006.75,0.0,0.0,154.31
BRYANT AVENUE-EAST 174TH STREET,BRONX,BRYANT AVENUE-EAST 174TH STREET,BLD 01,NONE,,235,352,B023500,FEDERAL,NY005015300P,NEW YORK POWER AUTHORITY,8147072,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7505240,Y,7973.41,GOV/NYC/068,Yes,63600,2633.04,134.0,1254.24,4086.13
BUSHWICK,BROOKLYN,BUSHWICK,BLD 05,NONE,,86,430,K008600,MIXED FINANCE/LLC1,NY005020860P,NEW YORK POWER AUTHORITY,8147723,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7141437,Y,12618.55,GOV/NYC/068,Yes,136800,5663.52,190.0,1778.4,5176.63
BUSHWICK,BROOKLYN,BUSHWICK,BLD 08,NONE,,86,430,K008600,MIXED FINANCE/LLC1,NY005020860P,NEW YORK POWER AUTHORITY,8147726,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7161619,Y,12227.69,GOV/NYC/068,Yes,99400,4115.16,202.0,1890.72,6221.81
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 13,AMR,BLD 13,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147876,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8071773,N,297.02,GOV/NYC/062,Yes,1116,56.44,0.0,0.0,240.58
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 01,NONE,BLD 01,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147882,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8023364,Y,225.77,GOV/NYC/062,Yes,846,42.78,0.0,0.0,182.99
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 17,NONE,BLD 17,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147887,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7356812,Y,380.36,GOV/NYC/062,Yes,1458,73.73,0.0,0.0,306.63
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 04,AMR,BLD 04,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147892,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8074786,N,346.01,GOV/NYC/062,Yes,1296,65.54,0.0,0.0,280.47
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 08,NONE,BLD 08,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147896,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7661864,Y,280.96,GOV/NYC/062,Yes,1026,51.88,0.0,0.0,229.08
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 07,NONE,BLD 07,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147897,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,6699321,Y,310.92,GOV/NYC/062,Yes,1170,59.17,0.0,0.0,251.75
BETANCES IV,BRONX,BETANCES IV,BLD 07,NONE,,230,349,B023000,FEDERAL,NY005012110P,NEW YORK POWER AUTHORITY,8147237,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,6356783,N,4549.03,GOV/NYC/068,Yes,34240,1417.54,79.2,741.31,2390.18
BREUKELEN,BROOKLYN,BREUKELEN,BLD 05,INTERVAL,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1572099,N,568.87,GOV/NYC/068,Yes,0,0.0,55.01,568.87,0.0
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 24,NONE,BLD 24,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147905,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7423125,Y,250.12,GOV/NYC/062,Yes,936,47.33,0.0,0.0,202.79
BREUKELEN,BROOKLYN,BREUKELEN,BLD 10,INTERVAL,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1572097,N,689.45,GOV/NYC/068,Yes,0,0.0,66.67,689.45,0.0
BREUKELEN,BROOKLYN,BREUKELEN,BLD 19,AMR,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8572065,N,6220.95,GOV/NYC/068,Yes,46960,1943.72,0.0,0.0,4277.23
BREUKELEN,BROOKLYN,BREUKELEN,BLD 32,AMR,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8301113,N,1642.67,GOV/NYC/068,Yes,12400,513.25,0.0,0.0,1129.42
BREUKELEN,BROOKLYN,BREUKELEN,BLD 16,AMR,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8572068,N,4228.55,GOV/NYC/068,Yes,31920,1321.2,0.0,0.0,2907.35
