cmplnt_num,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,crm_atpt_cptd_cd,jurisdiction_code,juris_desc,ky_cd,law_cat_cd,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,latitude,longitude,lat_lon,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,loc_of_occur_desc,parks_nm,station_name,transit_district,housing_psa,hadevelopt
150426583,107,QUEENS,2019-05-31T00:00:00.000,12:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,112,FELONY,THEFT-FRAUD,PATROL BORO QUEENS SOUTH,739.0,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,2019-11-11T00:00:00.000,,,,25-44,WHITE,M,1034313,205182,40.72972042700008,-73.81937095199999,"{'latitude': '40.72972042700008', 'longitude': '-73.81937095199999'}",14509.0,25.0,3.0,24.0,65.0,2019-10-31T00:00:00.000,12:00:00,INSIDE,,,,,
615934700,75,BROOKLYN,2019-11-10T00:00:00.000,22:20:00,COMPLETED,0.0,N.Y. POLICE DEPT,126,FELONY,MISCELLANEOUS PENAL LAW,PATROL BORO BKLYN NORTH,117.0,RECKLESS ENDANGERMENT 1,STREET,2019-11-10T00:00:00.000,18-24,BLACK,F,UNKNOWN,UNKNOWN,E,1016455,181886,40.66586142400007,-73.88391504499998,"{'latitude': '40.66586142400007', 'longitude': '-73.88391504499998'}",17214.0,45.0,2.0,25.0,47.0,2019-11-10T00:00:00.000,22:52:00,,,,,,
388945629,63,,2019-11-10T00:00:00.000,14:03:00,COMPLETED,,N.Y. POLICE DEPT,101,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,,,,,2019-11-10T00:00:00.000,25-44,BLACK,M,25-44,BLACK,M,1004514,165224,40.62016320400005,-73.92700768599997,"{'latitude': '40.62016320400005', 'longitude': '-73.92700768599997'}",13825.0,5.0,2.0,8.0,38.0,,,INSIDE,,,,,
593748733,43,BRONX,2019-11-10T00:00:00.000,11:07:00,COMPLETED,0.0,N.Y. POLICE DEPT,105,FELONY,ROBBERY,PATROL BORO BRONX,389.0,"ROBBERY,DWELLING",RESIDENCE - APT. HOUSE,2019-11-10T00:00:00.000,25-44,BLACK,M,25-44,BLACK,F,1019475,238497,40.82123279700004,-73.87273267599994,"{'latitude': '40.82123279700004', 'longitude': '-73.87273267599994'}",11611.0,58.0,5.0,43.0,26.0,,,INSIDE,,,,,
825654033,20,,2019-11-10T00:00:00.000,01:50:00,COMPLETED,,N.Y. POLICE DEPT,101,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,,,,,2019-11-10T00:00:00.000,25-44,BLACK HISPANIC,M,18-24,BLACK,M,991168,225324,40.78514404400005,-73.975020106,"{'latitude': '40.78514404400005', 'longitude': '-73.975020106'}",12421.0,20.0,4.0,19.0,12.0,,,INSIDE,,,,,
991415797,13,MANHATTAN,2019-11-09T00:00:00.000,17:00:00,COMPLETED,88.0,NYC PARKS,109,FELONY,GRAND LARCENY,PATROL BORO MAN SOUTH,415.0,"LARCENY,GRAND FROM PERSON,PICK",PARK/PLAYGROUND,2019-11-09T00:00:00.000,,,,18-24,WHITE,M,987293,207626,40.736569752000044,-73.98902098899998,"{'latitude': '40.736569752000044', 'longitude': '-73.98902098899998'}",11724.0,11.0,4.0,50.0,7.0,,,,UNION SQUARE PARK,,,,
762546493,47,BRONX,2019-11-09T00:00:00.000,09:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BRONX,321.0,"LARCENY,PETIT FROM AUTO",STREET,2019-11-09T00:00:00.000,,,,65+,BLACK,M,1028370,261651,40.884743599000046,-73.84044251399997,"{'latitude': '40.884743599000046', 'longitude': '-73.84044251399997'}",11275.0,29.0,5.0,2.0,30.0,2019-11-09T00:00:00.000,11:45:00,,,,,,
858888884,72,BROOKLYN,2019-11-09T00:00:00.000,06:25:00,ATTEMPTED,0.0,N.Y. POLICE DEPT,104,FELONY,RAPE,PATROL BORO BKLYN SOUTH,153.0,RAPE 3,OTHER,2019-11-09T00:00:00.000,,,,25-44,UNKNOWN,F,983964,179071,40.65819343200008,-74.00103224299994,"{'latitude': '40.65819343200008', 'longitude': '-74.00103224299994'}",13515.0,9.0,2.0,7.0,45.0,,,FRONT OF,,,,,
361935881,69,BROOKLYN,2019-11-09T00:00:00.000,00:03:00,COMPLETED,0.0,N.Y. POLICE DEPT,352,MISDEMEANOR,CRIMINAL TRESPASS,PATROL BORO BKLYN SOUTH,205.0,"TRESPASS 2, CRIMINAL",RESIDENCE-HOUSE,2019-11-09T00:00:00.000,25-44,BLACK,M,45-64,BLACK,F,1008090,173144,40.64189302300008,-73.91409846799998,"{'latitude': '40.64189302300008', 'longitude': '-73.91409846799998'}",13827.0,5.0,2.0,8.0,42.0,,,INSIDE,,,,,
160074711,52,BRONX,2019-11-08T00:00:00.000,12:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BRONX,321.0,"LARCENY,PETIT FROM AUTO",STREET,2019-11-09T00:00:00.000,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,1017478,256069,40.86947047700004,-73.87986080399996,"{'latitude': '40.86947047700004', 'longitude': '-73.87986080399996'}",11605.0,24.0,5.0,40.0,34.0,,,,,,,,
