borough,block,lot,bin,building,agency,_2010_score,_2010source_eui_kbtu_ft,_2010_ghg_emissions_intensity_kgco2e_ft,_2014_score,_2014_source_eui_kbtu_ft,_2014_ghg_emissions_intensity_kgco2e_ft
3,1036,18,3023510,Shirley Chisolum #2 (Leased),ACS,Not Available,102.2,2.6,Not Available,143.7,4.9
3,1224,45,3030896,Friends of Crown Heights #2 (Leased),ACS,Not Available,211.9,5.5,Not Available,214.2,5.7
3,1230,44,3031082,Albany Day Care and Senior Center (Leased),ACS,Not Available,137.8,4,Not Available,151.1,4.5
3,1235,58,3031302,United Interfaith Action Council of Brooklyn Inc. (Leased),ACS,Not Available,107.6,4.2,Not Available,94.3,3.5
3,1240,56,3031515,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,144.7,4.3,Not Available,167.9,4.8
3,1246,1,3031845,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,88.5,2.3,Not Available,82.8,2.2
3,1253,7,3032188,Day Care Center (Leased),ACS,Not Available,105.1,2.8,Not Available,100.4,2.7
3,1280,54,3033470,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,141.5,3.7,Not Available,144.7,3.9
3,1296,1,3034153,Friends of Crown Heights #3 (Leased),ACS,Not Available,215,6.7,Not Available,196.2,6.4
3,1331,9,3035444,Mosdoth Day Care Center (Leased),ACS,Not Available,172.2,4.6,Not Available,155.5,4.2
3,1361,66,3036100,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,147.6,3.9,Not Available,151.2,4.1
3,1420,51,3038317,All My Children Daycare and Nursery School (Leased),ACS,Not Available,177.2,4.6,Not Available,159.1,4.2
3,1431,54,3038522,Shirley Chisolon Day Care Center (Leased),ACS,Not Available,114.6,3,Not Available,127.4,4.5
3,1498,6,3040195,SCO Family of Services (Leased),ACS,Not Available,104.8,3.3,Not Available,107.4,3.5
3,1520,51,3339185,Shirley Chisholm Day Care Center Inc. (Leased),ACS,Not Available,163.5,4.7,Not Available,168.4,5.1
3,1538,46,3041852,Shirley Chisholm Day Care Center Inc. (Leased),ACS,Not Available,161.9,4.3,Not Available,145.4,3.9
3,1624,1,3044209,Lutheran Social Services of NY (Leased),ACS,Not Available,160.6,4.3,Not Available,163.2,4.4
3,2014,26,3057638,Young Minds Day Care Center (Leased),ACS,Not Available,202.7,5.4,Not Available,210.8,5.7
3,2022,18,3057913,Administration Site (Leased),ACS,21,313.6,9.8,37,257.8,7.7
3,2451,8,3063507,Nuestros Ninos Child Development (Leased),ACS,Not Available,149.2,4,Not Available,154,4.1
3,3023,32,3070819,Bushwick Improvement Society Inc. (Leased),ACS,Not Available,138.4,3.6,Not Available,122.6,3.2
3,3043,1,3070967,Bushwick United Housing Development Fund Corp (Leased),ACS,Not Available,75,2.2,Not Available,94.7,2.9
3,3227,10,3073394,Bushwick United Housing Development Fund Corp (Leased),ACS,Not Available,131,3.4,Not Available,118.1,3.1
3,3228,20,3073408,Bushwick United Housing Development Fund Corp (Leased),ACS,Not Available,135.1,4.4,Not Available,131.9,4.4
3,3259,23,3074237,Grand Street Settlement Inc.(Leased),ACS,Not Available,196.7,5.3,Not Available,159.6,4.3
3,3331,25,3076253,Lutheran Social Services of NY (Leased),ACS,Not Available,217,5.7,Not Available,195.6,5.3
3,3362,55,3076869,New Life Child Care Center (Leased),ACS,Not Available,307.5,9.6,Not Available,364.9,13
3,3433,5,3079655,Labor and Industry for Education Inc.,ACS,Not Available,122.3,3.3,Not Available,122.7,3.5
3,3448,15,3080179,Labor and Industry for Education Inc. (Leased),ACS,Not Available,82,2.7,Not Available,83.2,2.8
3,3498,8,3378202,Crossroads Juvenile Center,ACS,Not Available,152.8,4.6,Not Available,182.9,6
3,3531,23,3081165,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,124.1,3.6,Not Available,165.6,5
3,3568,1,3326658,SCO Family of Services (Leased),ACS,Not Available,233.5,6.1,Not Available,170.4,4.5
3,3803,46,3342526,University Settlement Society of New York Inc. (Leased),ACS,Not Available,173.2,4.5,Not Available,170,4.5
3,3805,26,3084628,Police Athletic League Inc. (Leased),ACS,Not Available,162.3,4.3,Not Available,171.8,4.6
3,3976,70,3088473,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,149.1,3.9,Not Available,113.7,3
3,4006,37,3089020,Friends of Crown Heights Educational Center Inc.(Leased),ACS,Not Available,158.2,4.1,Not Available,157.7,4.2
3,4039,1,3089620,Urban Strategies Day Care Center (Leased),ACS,Not Available,179.4,4.6,Not Available,157.6,4.2
3,4089,25,3090717,United Community Day Care Center Inc. (Leased),ACS,Not Available,294.6,9.9,Not Available,303.3,10.1
3,4298,7,3096389,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,128.3,4.3,Not Available,105.9,3.8
3,4315,40,3097095,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,210.1,5.5,Not Available,212.5,5.7
3,4457,1,3098472,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,184.3,6.3,Not Available,191.6,7.1
3,5049,1,3115846,Episcopal Social Services of NY (Leased),ACS,Not Available,212.2,5.5,Not Available,109.5,2.9
3,7065,1,3189617,YWCA of the City of New York (Leased),ACS,Not Available,161.2,4.8,Not Available,154.4,4.9
4,386,7,4004679,Catholic Charities Neighborhood Services Inc. (Leased),ACS,Not Available,119.8,4,Not Available,115.6,3.8
4,1669,38,4041534,SCO Family of Services (Leased),ACS,Not Available,218.1,5.8,Not Available,239.7,6.5
4,1726,5,4042862,Episcopal Social Services of NY (Leased),ACS,Not Available,184.1,4.8,Not Available,171.5,4.5
4,1749,7,4043525,The Child Center of NY Inc.(Leased),ACS,Not Available,158.9,4.2,Not Available,150.6,4
4,10021,1,4214446,Clifford Glover Day Care Center Inc. (Leased),ACS,Not Available,146.3,3.8,Not Available,149.7,4
4,10155,29,4216225,Dual Center ACS Administrative Site (Leased),ACS,74,179.4,5.1,28,214.4,6.3
4,10193,1,4216947,All My Children Daycare and Nursery School (Leased),ACS,Not Available,136,3.7,Not Available,104.5,3.1
4,10917,29,4233644,Charles R Drew Early Learning Center (Leased),ACS,Not Available,182.7,5,Not Available,179.6,4.9
4,10941,206,4234212,Blanche Day Care Center,ACS,Not Available,162.8,5.6,Not Available,215,7.8
4,12022,20,4260903,All My Children Daycare and Nursery School (Leased),ACS,Not Available,192.1,5.2,Not Available,167.1,4.5
4,12039,44,4261337,Omega PSI PHI Fraternity NU-Omicron Chapter ECEC (Leased),ACS,Not Available,214.3,5.7,Not Available,214.8,5.8
4,12062,51,4261925,Alpha Kappa Alpha Sorority Child Care Center (Leased),ACS,Not Available,144.5,3.7,Not Available,151.9,4
4,12599,8,4271346,Babove Worldwide Institute Inc. (Leased),ACS,Not Available,137.5,5.4,Not Available,123.7,4.2
5,174,6,5004830,Childrens Aide Society Inc.,ACS,Not Available,198.8,6.2,Not Available,158.6,4.8
3,583,1,3008671,Board of Elections (Leased),BOENY,96,25.8,0.7,100,6,0.2
3,239,16,3001939,Brooklyn Heights Branch and Business Library,BPL,Not Available,177.3,5.2,Not Available,137.9,4.6
3,338,33,3004336,Carroll Gardens Branch Library,BPL,Not Available,129.2,4.2,Not Available,147.9,5.5
3,798,34,3013507,Sunset Park Branch Library,BPL,Not Available,241.1,7.4,Not Available,240.6,7.7
3,928,6,3018376,Pacific Branch Library,BPL,Not Available,185.8,5.7,Not Available,165.1,6.1
3,1006,1,3022144,Park Slope Branch Library,BPL,Not Available,92.2,3.2,Not Available,189.5,6.7
3,1183,2,3029665,Central Library and Learning Center,BPL,Not Available,187.3,5.5,Not Available,168.6,5.1
3,1396,6,3037543,Eastern Parkway Branch Library and Learning Center,BPL,Not Available,240.3,7.9,Not Available,262.7,8.6
4,9691,1,4207071,Queens Supreme Court,DCAS,74,191.4,6.5,81,161.4,5.6
3,1498,35,3040218,Saratoga Branch Library,BPL,Not Available,233.8,6.9,Not Available,196.2,5.7
3,1665,1,3046408,Macon Branch Library,BPL,Not Available,234.3,7.7,Not Available,248.4,8.3
3,1997,32,3057384,Bedford Branch Library and Learning Center,BPL,Not Available,184.4,5.7,Not Available,171,5.7
3,2189,1,3060090,Williamsburg Branch Library,BPL,Not Available,151.7,5.1,Not Available,134.8,4.9
3,2762,21,3068818,Leonard Branch Library,BPL,Not Available,241.7,7.3,Not Available,176.7,5.7
3,3098,19,3071470,Bushwick Branch Library,BPL,Not Available,190.3,5.7,Not Available,148.3,5.3
3,3241,18,3073751,DeKalb Branch Library,BPL,Not Available,186,6,Not Available,171.1,5.9
3,3489,150,3080669,Brownsville Branch Library,BPL,Not Available,202.8,6.1,Not Available,185.4,6
3,3794,18,3084596,Stone Avenue Branch Library,BPL,Not Available,153.8,4.6,Not Available,197.2,6.9
3,3923,52,3087001,Arlington Branch Library,BPL,Not Available,185.8,5.8,Not Available,173.5,5.9
3,4090,1,3090726,New Lots Branch Library,BPL,Not Available,155.1,4.9,Not Available,234.8,7.3
3,4717,38,3103597,East Flatbush Branch Library,BPL,Not Available,204.3,5.9,Not Available,179.8,5.6
3,4791,46,3106505,Crown Heights Branch Library (Leased),BPL,Not Available,178,5,Not Available,165.1,5.1
3,5086,15,3116706,Flatbush Branch Library and Learning Center,BPL,Not Available,245.3,8,Not Available,203.7,6.9
3,5416,14,3127572,Kensington Branch Library,BPL,Not Available,102,3.2,Not Available,291,9.4
3,5518,4,3132091,Mapleton Branch Library,BPL,Not Available,211.9,6.2,Not Available,231.5,7
3,5598,48,3135907,Borough Park Branch Library,BPL,Not Available,123.8,3.2,Not Available,136.8,4.8
3,5907,1,3147279,Bay Ridge Branch Library,BPL,Not Available,228.9,6.7,Not Available,206.3,6.2
3,6302,36,3164019,Dyker Branch Library,BPL,Not Available,223.1,7.1,Not Available,189.8,5.9
3,6343,64,3165745,New Utrecht Branch Library,BPL,Not Available,237,6.7,Not Available,236.8,7.1
3,6709,54,3179706,Midwood Branch Library,BPL,Not Available,261.4,7.3,Not Available,218.6,6.3
3,6783,68,3182576,Kings Highway Branch Library,BPL,Not Available,218.1,6.6,Not Available,226.2,7
3,7019,43,3189001,Coney Island Branch Library and Learning Ctr.,BPL,Not Available,223.4,6.9,Not Available,219.1,6.8
3,7405,920,3202630,Kings Bay Branch Library,BPL,Not Available,263.6,7.2,Not Available,262.7,7.8
3,7868,39,3219626,Flatlands Branch Library,BPL,Not Available,237.8,7.1,Not Available,191.8,6.3
3,8680,32,3245028,Brighton Beach Branch Library,BPL,Not Available,263.6,7.7,Not Available,283,9.7
1,16,10,1084594,Museum of Jewish Heritage,CIG,Not Available,461.8,12,Not Available,446.9,11.8
1,34,37,1000866,Police Museum,CIG,Not Available,246.3,8,Not Available,18.1,0.5
1,544,16,1008774,The Public Theater,CIG,Not Available,349.8,9.1,Not Available,625.7,19.5
1,1008,15,1023391,New York City Center Campus: New York City Center,CIG,Not Available,142.6,6,Not Available,180.5,6.6
1,1009,1,1023449,Carnegie Hall,CIG,Not Available,236.1,9.2,Not Available,302.2,10.2
1,1111,1,1083810,Metropolitan Museum of Art,CIG,Not Available,482.1,19.4,Not Available,522.2,18.9
1,1130,1,1083846,American Museum of Natural History,CIG,Not Available,326.5,12.8,Not Available,341.3,12.3
1,1134,1,1081022,David H. Koch Theater (Leased),CIG,Not Available,326.8,14.6,Not Available,367.6,14.8
1,1134,1,1081023,Lincoln Center Campus: Avery Fisher Hall,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
2,5937,440,2117850,Wave Hill Campus: Glyndor House,CIG,Not Available,45.4,1.6,Not Available,90,3.7
1,1134,1,1081022,Lincoln Center Campus: Metropolitan Opera House,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
4,10093,1,4438731,Queens Family Court,DCAS,39,289.1,8.7,37,280.9,8.5
1,1137,1,1000000,Lincoln Center Campus: Lincoln Center Garage (Rose Building) (Leased),CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
1,1137,1,1000000,Lincoln Center Campus: Lincoln Center Garage / Plaza,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
1,1137,7501,1077844,Lincoln Center Campus: Samuel B. & David Rose Building,CIG,Not Available,11.1,0.5,Not Available,10.1,0.3
1,1570,29,1050735,Metropolitan Museum of Art Storage,CIG,1,499.3,16.5,1,551.9,19.4
1,1609,1,1074157,Museum of the City of New York,CIG,Not Available,240.3,8,Not Available,312.2,9.7
1,1610,1,1051499,El Museo Del Barrio,CIG,Not Available,412,10.7,Not Available,401.8,10.6
1,1909,9,1057819,The Studio Museum in Harlem (Leased),CIG,Not Available,271,7,Not Available,339,9
1,2179,701,1064383,"The Cloisters, Fort Tryon Park and MET (Leased)",CIG,Not Available,312.2,8.1,Not Available,412.3,10.9
2,2462,1,2002826,Bronx Museum of the Arts,CIG,Not Available,355.1,11.4,Not Available,326.2,10.7
2,3120,20,2123911,Bronx Zoo Campus: Administration East,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Administration West,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Aquatic Bird House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Bronx Zoo Store,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Center for Global Conservation,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Congo Gorilla Forest,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Dancing Crane,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Farm Apartments,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Heads & Horns,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Jungle World,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Madagascar (Old Lion House),CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Monkey House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Mouse House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Reptile House,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Sea Lion Exhibit,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Seabird Aviary (Aitken),CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,"Bronx Zoo Campus: Shelter Bldg (Elephant, Rhino, Tiger)",CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: TOPS,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Wildlife Health Center,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: World of Birds,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3120,20,2123911,Bronx Zoo Campus: Zoo Center,CIG,Not Available,654.4,32.8,Not Available,713.9,36
2,3272,1,2820080,New York Botanical Garden Campus: Charles B. Harding Laboratory Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113012,New York Botanical Garden Campus: Enid A. Haupt Conservatory,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113012,New York Botanical Garden Campus: Garden Cafe & Terrace Room,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113265,New York Botanical Garden Campus: Harriet Barnes Pratt Library Wing,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113265,New York Botanical Garden Campus: International Plant Science Center,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113265,New York Botanical Garden Campus: Jeannette Kittredge Watson Science and Education Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113265,New York Botanical Garden Campus: LuEsther T. Mertz Library (Museum Building),CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3272,1,2113265,New York Botanical Garden Campus: Pfizer Plant Research Laboratory,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3273,1,2823840,New York Botanical Garden Campus: Stone Mill,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,3273,122,2094718,NYBG: Warehouse Upper and Lower,CIG,Not Available,121.3,3.7,1,419.1,12.1
2,4336,1,2115623,New York Botanical Garden Campus: Nolen Glasshouses,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,4336,1,2115623,New York Botanical Garden Campus: Operations Garage/Storage Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,4336,1,2115623,New York Botanical Garden Campus: Operations Multi-Purpose Building,CIG,Not Available,121.3,3.7,Not Available,381,12.8
2,5937,440,2101020,Wave Hill Campus: Wave Hill House,CIG,Not Available,45.4,1.6,Not Available,90,3.7
2,5937,440,2101020,Wave Hill Campus: Wave Hill Museum Building,CIG,Not Available,45.4,1.6,Not Available,90,3.7
3,1183,1,3337842,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Administrative Building,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
3,1183,1,3337842,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Conservatory,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
3,1183,1,3337842,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Palm House,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
3,1183,1,3337842,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Service Garage,CIG,Not Available,227.8,8.5,Not Available,362.3,13.4
3,1183,26,3029667,Brooklyn Museum,CIG,Not Available,290.7,9.8,Not Available,308.4,10.6
3,1190,61,3029723,BBG Technical Services Center,CIG,Not Available,152.7,4.5,Not Available,96.2,3.3
3,1229,1,3031049,Brooklyn Children's Museum,CIG,Not Available,204.5,5.5,Not Available,204.5,5.6
3,2095,45,3345162,BAM Harvey Theater (Majestic Theater),CIG,Not Available,316.4,9.3,Not Available,368.9,11.3
3,2110,3,3059182,BAM Peter Jay Sharp Theater (Opera House),CIG,Not Available,322,10.6,Not Available,310.2,10.3
3,2111,11,3059184,Brooklyn Academy of Music (BAM Richard B. Fisher Building),CIG,Not Available,Not Available,Not Available,Not Available,278.6,8.3
3,5778,1,3257059,American Museum of Natural History Storage,CIG,14,119.1,3.1,45,72.4,1.9
3,8698,1,3245159,New York Aquarium Campus: Aqua Theater,CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
3,8698,1,3115623,New York Aquarium Campus: Conservation Hall,CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
3,8698,1,3115623,New York Aquarium Campus: Explore the Shore/Alien Stingers,CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
3,8698,1,3115623,New York Aquarium Campus: Operations Building,CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
3,8698,1,3115623,New York Aquarium Campus: Osborn Laboratories of Marine Sciences (OLMS),CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
3,8698,1,3115623,New York Aquarium Campus: Sea Cliffs,CIG,Not Available,832.8,24.5,Not Available,580.2,17.5
4,75,1,4000548,P.S. 1 Contemporary Art Center,CIG,Not Available,80.2,2.8,Not Available,199.2,6.9
4,644,1,4441089,Museum of the Moving Image,CIG,Not Available,174.5,5.6,Not Available,483.9,16.6
4,2018,1,4441124,New York Hall of Science,CIG,Not Available,208.5,6.2,Not Available,218.6,7.2
4,2018,1,4840396,Queens Museum of Art,CIG,Not Available,272.6,9.9,Not Available,348.3,10.8
4,4960,1,4112147,Flushing Town Hall,CIG,Not Available,299.5,10.2,Not Available,257.7,8.6
2,3222,62,2100240,Colston Hall,CUNY-C,Not Available,95.3,2.5,Not Available,122.6,3.3
4,5107,200,4439683,Queens Botanical Garden Campus: Administration Building,CIG,Not Available,213.1,6.8,Not Available,234.6,8.2
4,5107,200,4439682,Queens Botanical Garden Campus: Greenhouse / Maintenance Building,CIG,Not Available,213.1,6.8,Not Available,234.6,8.2
4,10097,10,4315254,"JCAL, Jamaica Performing Arts Center",CIG,Not Available,283.8,9.2,Not Available,390.4,14
4,10101,11,4215617,Jamaica Center for Arts and Learning,CIG,Not Available,46.2,1.2,Not Available,65.3,1.8
5,9,1,5000088,Staten Island Museum,CIG,Not Available,168.9,5.2,Not Available,141.8,4.6
5,76,1,5146247,Snug Harbor Campus: Snug Harbor Bldg O/SICM Barn,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5113028,Snug Harbor Campus: B-C Hyphen,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5113027,Snug Harbor Campus: Bldg A/Staten Island Museum,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg C/Newhouse Center,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg D/Noble Collection,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg E,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg F,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg G/Newhouse Gallery,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg H,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg L/Power Plant,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg M/SI Children's Museum,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg P/Admin,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg R/Great Hall,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,76,200,5000000,Snug Harbor Campus: Bldg T/Music Hall,CIG,Not Available,166.8,6.3,Not Available,143.1,5.1
5,314,70,5106733,Staten Island Zoo Campus: Main Zoo Building,CIG,Not Available,339,11.4,Not Available,355.2,12.5
1,374,20,1004415,M015,DOE,47,169.3,10.9,64,143.9,9.6
5,4442,51,5121944,Staten Island Historical Society Campus: P.S. 28 #34,CIG,Not Available,70.6,2.5,Not Available,50.2,2
1,127,1,1088292,Fiterman Hall,CUNY-C,Not Available,251.9,10.5,Not Available,143.9,6.2
1,142,50,1066406,Chambers St. Bldg (Main Campus),CUNY-C,Not Available,251.9,10.5,Not Available,408.2,15.4
1,497,1,1007560,CUNY in the Heights (Leased),CUNY-C,Not Available,174.9,5.6,Not Available,161.5,4.3
1,841,75,1080744,Guttman Community College (Leased),CUNY-C,Not Available,9.6,0.7,Not Available,273.8,8.9
