row_id,product_type,product_name,metal,concentration,units,manufacturer,made_in_country,collection_date,deleted
170,Cosmetics,Kohl,Lead,440000.0,ppm,UNKNOWN OR NOT STATED,MOROCCO,2011-05-05T00:00:00.000,No
111,Food Other,Donitas (chili and lemon fried flour chips),Lead,-1.0,ppm,Totis,MEXICO,2011-04-15T00:00:00.000,No
171,Toys/Children's Products,Chalk,Lead,3.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-05-17T00:00:00.000,No
314,Food-Candy,Chocolate,Lead,5.1,ppm,UNKNOWN OR NOT STATED,MEXICO,2011-10-20T00:00:00.000,No
371,Dietary Supplement/Medications/Remedy,Pigmento (Ayurvedic),Lead,7.3,ppm,Charak Pharma Pvt. Ltd.,INDIA,2012-01-23T00:00:00.000,No
1288,Toys/Children's Products,Sensory Toy (golden pineapple),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNITED STATES,2015-02-25T00:00:00.000,No
1564,Food-Spice,Cumin,Lead,0.95,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2015-12-03T00:00:00.000,No
1490,Religious powder,Sindoor,Lead,10.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2015-05-05T00:00:00.000,No
1627,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/ Tian Wang Bu Xin Wan,Mercury,200.0,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-16T00:00:00.000,No
1591,Dietary Supplement/Medications/Remedy,Shu Gan Wan (Poria & Peony Combo Extract),Mercury,-1.0,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-03T00:00:00.000,No
788,Food Other,Chocolate,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-05-21T00:00:00.000,No
1482,Toys/Children's Products,Toy car,Lead,110.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-04-08T00:00:00.000,No
320,Food-Spice,Georgian spice,Lead,2900.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2011-11-10T00:00:00.000,No
840,Dietary Supplement/Medications/Remedy,Rasraj Ras (with gold) (Ayurvedic),Mercury,220000.0,ppm,Shree Baidyanath Ayurved Bhawan Pvt. Ltd.,INDIA,2013-07-17T00:00:00.000,No
