development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_mlbs
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8135037,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,321136,N,5228.78,SC3,Yes,183.38
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134840,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,321022,N,345.8,SC3,Yes,12.39
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134952,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,321021,N,7640.15,SC3,Yes,384.17
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA I ALL,257,544,M025700,SECTION 8,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8135096,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,62368-544,N,3853.0,SC3,Yes,198.27
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,8135394,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,331153,N,12864.13,SC3,Yes,849.9
FULTON,MANHATTAN,FULTON,BLD 01,AMR,,136,252,M013600,FEDERAL,NY005001360P,CONSOLIDATED EDISON COMPANY OF NY,8135407,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,24012,N,24.11,SC3,Yes,2.0
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,8135018,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,621398,N,4863.68,SC4,Yes,156.86
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134840,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,322040,N,5921.65,SC3,Yes,212.17
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8135096,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,63121-593,N,0.0,SC3,Yes,0.0
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,8135081,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,321108,N,8569.4,SC3,Yes,449.09
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8135096,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,62368-593,N,4275.68,SC3,Yes,220.03
SEWARD PARK EXTENSION,MANHATTAN,SEWARD PARK EXTENSION,BLD 01,AMR,,192,312,M019200,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8135066,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,632136,N,0.0,SC3,Yes,0.0
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8135037,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,331058,N,20.53,SC3,Yes,0.72
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,8134941,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,321143,N,4103.06,SC3,Yes,153.32
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,8135081,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,332091,N,0.0,SC3,Yes,0.0
SEWARD PARK EXTENSION,MANHATTAN,SEWARD PARK EXTENSION,BLD 01,AMR,,192,312,M019200,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8135066,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,621076,N,7151.08,SC3,Yes,315.7
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE C),BLD 01,AMR,,174,259,M017400,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134908,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,621181,N,6130.76,SC3,Yes,246.33
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8135049,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,322062,N,3797.12,SC3,Yes,81.55
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA I ALL,257,544,M025700,SECTION 8,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8135096,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,63121-544,N,0.0,SC3,Yes,0.0
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8134987,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,62340,N,15.89,SC3,Yes,1.0
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,8135394,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,342056,N,0.0,SC3,Yes,0.0
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 22,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8135028,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,311067,Y,3316.56,SC3,Yes,46.91
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE B),BLD 05,AMR,,173,259,M017300,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8135375,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,322105,N,6586.66,SC3,Yes,212.43
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134952,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,341004,N,0.0,SC3,Yes,0.0
FULTON,MANHATTAN,FULTON,BLD 01,AMR,,136,252,M013600,FEDERAL,NY005001360P,CONSOLIDATED EDISON COMPANY OF NY,8135407,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,23318,N,29032.28,SC3,Yes,2408.0
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,8135018,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,631134,N,0.0,SC4,Yes,0.0
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134935,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,622030,Y,5019.29,SC3,Yes,168.51
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE B),BLD 05,AMR,,173,259,M017300,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8135375,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,331087,N,0.0,SC3,Yes,0.0
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134935,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,621295,Y,17.87,SC3,Yes,0.6
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8135049,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,321244,N,0.0,SC3,Yes,0.0
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8134987,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,62135,N,11635.97,SC3,Yes,732.1
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE C),BLD 01,AMR,,174,259,M017400,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8134908,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,631052,N,0.0,SC3,Yes,0.0
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,8134941,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,310029,N,1508.81,SC3,Yes,56.38
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 22,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8135028,2019-08,2019-07-31T00:00:00.000,2019-08-29T00:00:00.000,29,322037,N,0.0,SC3,Yes,0.0
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA I ALL,257,544,M025700,SECTION 8,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8008421,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,62368-544,N,4513.45,SC3,Yes,230.74
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,8007957,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,621398,N,5635.77,SC4,Yes,182.53
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8007944,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,341004,N,0.0,SC3,Yes,0.0
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,8008265,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,331153,N,15171.57,SC3,Yes,995.3
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8007944,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,321021,N,9462.22,SC3,Yes,482.68
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,8008009,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,332091,N,7.09,SC3,Yes,0.37
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA I ALL,257,544,M025700,SECTION 8,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8008421,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,63121-544,N,0.0,SC3,Yes,0.0
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,8137886,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,310029,Y,0.0,SC3,Exception,0.0
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE B),BLD 05,AMR,,173,259,M017300,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8008220,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,322105,N,7377.53,SC3,Yes,303.7
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8137966,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,321244,Y,0.0,SC3,Exception,0.0
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 22,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8020199,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,322037,Y,0.0,SC3,Yes,0.0
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,8137886,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,321143,N,3415.14,SC3,Exception,2.9
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8007977,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,321136,N,6526.5,SC3,Yes,244.37
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,8007977,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,331058,N,0.0,SC3,Yes,0.0
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,8008265,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,342056,N,0.0,SC3,Yes,0.0
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8008421,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,63121-593,N,0.0,SC3,Yes,0.0
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE C),BLD 01,AMR,,174,259,M017400,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8008461,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,621181,N,11749.84,SC3,Yes,586.18
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8137966,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,322062,Y,4330.78,SC3,Exception,91.93
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE B),BLD 05,AMR,,173,259,M017300,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8008220,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,331087,N,8.75,SC3,Yes,0.36
FULTON,MANHATTAN,FULTON,BLD 01,AMR,,136,252,M013600,FEDERAL,NY005001360P,CONSOLIDATED EDISON COMPANY OF NY,8008311,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,24012,N,0.0,SC3,Yes,0.0
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8020078,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,621295,Y,16.43,SC3,Yes,0.6
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 22,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8020199,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,311067,Y,3801.87,SC3,Yes,55.21
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8007947,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,62340,N,36.09,SC3,Yes,2.3
FULTON,MANHATTAN,FULTON,BLD 01,AMR,,136,252,M013600,FEDERAL,NY005001360P,CONSOLIDATED EDISON COMPANY OF NY,8008311,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,23318,N,35825.85,SC3,Yes,2940.0
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8008362,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,322040,N,7995.6,SC3,Yes,236.21
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8007947,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,62135,N,14201.9,SC3,Yes,905.1
SEWARD PARK EXTENSION,MANHATTAN,SEWARD PARK EXTENSION,BLD 01,AMR,,192,312,M019200,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8007991,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,621076,N,7063.98,SC3,Yes,345.7
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,8008009,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,321108,N,10116.25,SC3,Yes,527.73
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8008362,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,321022,N,1319.79,SC3,Yes,38.99
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,8007957,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,631134,N,0.0,SC4,Yes,0.0
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8020078,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,622030,Y,6327.56,SC3,Yes,231.09
SEWARD PARK EXTENSION,MANHATTAN,SEWARD PARK EXTENSION,BLD 01,AMR,,192,312,M019200,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8007991,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,632136,N,1405.85,SC3,Yes,68.8
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8008421,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,62368-593,N,5008.75,SC3,Yes,256.06
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE C),BLD 01,AMR,,174,259,M017400,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8008461,2019-07,2019-06-28T00:00:00.000,2019-07-31T00:00:00.000,33,631052,N,0.0,SC3,Yes,0.0
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,7950200,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,321143,Y,68.58,SC3,Yes,2.54
SEWARD PARK EXTENSION,MANHATTAN,SEWARD PARK EXTENSION,BLD 01,AMR,,192,312,M019200,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,7929069,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,621076,N,8718.81,SC3,Yes,499.7
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,7924730,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,62340,N,0.0,SC3,Yes,0.0
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,7931846,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,321022,N,2188.09,SC3,Yes,76.88
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE B),BLD 05,AMR,,173,259,M017300,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,7925718,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,322105,N,5609.43,SC3,Yes,196.13
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,8020069,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,622030,Y,5650.49,SC3,Yes,199.24
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,7924704,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,321136,N,6651.34,SC3,Yes,263.21
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,7924715,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,631134,N,0.0,SC4,Yes,0.0
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,7925729,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,331153,N,14810.33,SC3,Yes,919.35
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,7924747,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,321108,N,9949.61,SC3,Yes,510.13
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,7925729,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,342056,N,13.53,SC3,Yes,0.84
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,7924724,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,321021,N,9337.58,SC3,Yes,460.63
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,7924747,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,332091,N,0.0,SC3,Yes,0.0
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,7924704,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,331058,N,21.23,SC3,Yes,0.84
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE C),BLD 01,AMR,,174,259,M017400,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,7925753,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,621181,N,12924.83,SC3,Yes,730.86
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,7931846,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,322040,N,5520.88,SC3,Yes,193.98
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE C),BLD 01,AMR,,174,259,M017400,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,7925753,2019-06,2019-05-31T00:00:00.000,2019-06-28T00:00:00.000,28,631052,N,0.0,SC3,Yes,0.0
