cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,housing_psa,x_coord_cd,y_coord_cd,susp_race,susp_sex,latitude,longitude,lat_lon,patrol_boro,vic_age_group,vic_race,vic_sex,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,susp_age_group,hadevelopt,transit_district,station_name
469643318,2006-05-29T00:00:00.000,18:10:00,66,2006-05-29T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,984496.0,173835.0,UNKNOWN,M,40.64382175,-73.999115001,"{'latitude': '40.64382175', 'longitude': '-73.999115001'}",PATROL BORO BKLYN SOUTH,25-44,BLACK,M,18180.0,2.0,2.0,7.0,39.0,2006-05-29T00:00:00.000,18:20:00,25-44,,,
680247216,2010-03-06T00:00:00.000,00:21:00,25,2010-03-06T00:00:00.000,117,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT T",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,999141.0,231109.0,,,40.801012471,-73.946216267,"{'latitude': '40.801012471', 'longitude': '-73.946216267'}",PATROL BORO MAN NORTH,,UNKNOWN,E,13093.0,18.0,4.0,36.0,18.0,,,,,,
858718501,2006-02-26T00:00:00.000,20:05:00,18,2006-02-26T00:00:00.000,358,OFFENSES INVOLVING FRAUD,705,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,SMALL MERCHANT,N.Y. POLICE DEPT,0,NA,NA,985709.0,218920.0,,,40.767569331,-73.994734297,"{'latitude': '40.767569331', 'longitude': '-73.994734297'}",PATROL BORO MAN SOUTH,,UNKNOWN,D,12081.0,12.0,4.0,10.0,10.0,,,,,,
672874401,2010-02-16T00:00:00.000,00:01:00,43,2010-02-16T00:00:00.000,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,0,NA,NA,1023203.0,238742.0,BLACK,M,40.821889599,-73.859261922,"{'latitude': '40.821889599', 'longitude': '-73.859261922'}",PATROL BORO BRONX,25-44,BLACK,F,11611.0,58.0,5.0,31.0,26.0,,,,,,
969712505,2008-01-09T00:00:00.000,07:00:00,45,2008-01-09T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,1027418.0,246508.0,,,40.843185413,-73.84398293,"{'latitude': '40.843185413', 'longitude': '-73.84398293'}",PATROL BORO BRONX,,WHITE HISPANIC,F,11270.0,43.0,5.0,12.0,28.0,2008-01-09T00:00:00.000,07:00:00,,,,
509781308,2011-05-18T00:00:00.000,02:30:00,109,2011-05-18T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,FACTORY/WAREHOUSE,N.Y. POLICE DEPT,0,NA,NA,1028182.0,224387.0,,,40.782465756,-73.841366456,"{'latitude': '40.782465756', 'longitude': '-73.841366456'}",PATROL BORO QUEENS NORTH,45-64,UNKNOWN,M,14191.0,22.0,3.0,20.0,67.0,2011-05-18T00:00:00.000,02:31:00,,,,
276528709,2007-03-13T00:00:00.000,23:00:00,45,2007-03-14T00:00:00.000,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,1025583.0,243945.0,,,40.836159512,-73.8506308,"{'latitude': '40.836159512', 'longitude': '-73.8506308'}",PATROL BORO BRONX,,BLACK,M,11271.0,43.0,5.0,31.0,28.0,2007-03-13T00:00:00.000,23:15:00,,,,
832304043,2007-03-21T00:00:00.000,13:00:00,6,2007-03-21T00:00:00.000,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,STREET,N.Y. POLICE DEPT,0,NA,NA,984497.0,205368.0,,,40.730372616,-73.999110247,"{'latitude': '40.730372616', 'longitude': '-73.999110247'}",PATROL BORO MAN SOUTH,25-44,WHITE,F,12075.0,57.0,4.0,32.0,3.0,2007-03-21T00:00:00.000,18:39:00,,,,
515925963,2010-07-23T00:00:00.000,22:00:00,70,2010-07-23T00:00:00.000,678,MISCELLANEOUS PENAL LAW,566,"MARIJUANA, POSSESSION",COMPLETED,VIOLATION,BROOKLYN,,TRANSIT FACILITY (OTHER),N.Y. TRANSIT POLICE,1,NA,NA,994394.0,176588.0,,,40.651372334,-73.96344425,"{'latitude': '40.651372334', 'longitude': '-73.96344425'}",PATROL BORO BKLYN SOUTH,,UNKNOWN,E,13510.0,60.0,2.0,11.0,43.0,2010-07-23T00:00:00.000,22:05:00,,,32.0,CHURCH AVENUE
676445404,2009-02-13T00:00:00.000,20:00:00,122,2009-02-13T00:00:00.000,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,OTHER,N.Y. POLICE DEPT,0,NA,NA,945933.0,145656.0,WHITE HISPANIC,M,40.566393341,-74.137913561,"{'latitude': '40.566393341', 'longitude': '-74.137913561'}",PATROL BORO STATEN ISLAND,25-44,WHITE,M,10693.0,15.0,1.0,9.0,76.0,2009-02-13T00:00:00.000,21:05:00,,,,
