dbn,school_name,total_students,students_in_temporary_housing,students_in_temporary_housing_1,students_residing_in_shelter,residing_in_dhs_shelter,residing_in_non_dhs_shelter,doubled_up
18K566,Brooklyn Generation School,203,23,0.11,6,s,s,10
18K567,Brooklyn Theatre Arts High School,367,26,0.07,16,10,6,8
18K569,Kurt Hahn Expeditionary Learning School,366,35,0.10,13,s,s,18
18K576,Victory Collegiate High School,415,39,0.09,20,10,10,15
18K578,Brooklyn Bridge Academy,217,18,0.08,13,s,s,s
18K581,East Flatbush Community Research School,136,14,0.10,s,s,s,6
18K588,Middle School for Art and Philosophy,199,22,0.11,11,s,s,9
18K598,Middle School of Marketing and Legal Studies,140,33,0.24,14,s,s,s
18K617,High School for Innovation in Advertising and Medi,267,17,0.06,7,s,s,10
18K629,Cultural Academy for the Arts and Sciences,332,28,0.08,16,s,s,12
18K633,High School for Medical Professions,459,24,0.05,7,s,s,15
18K635,Olympus Academy,220,15,0.07,6,s,s,7
18K637,Academy for Conservation and the Environment,295,35,0.12,17,11,6,17
18K642,Urban Action Academy,304,26,0.09,11,s,s,13
18K673,East Brooklyn Community High School,228,20,0.09,11,s,s,s
18K700,Universal Pre-K C.B.O.,797,33,0.04,17,s,s,14
18K763,Brooklyn Science and Engineering Academy,265,8,0.03,s,s,s,s
18K922,South Shore Educational Complex Yabc,162,12,0.07,s,s,s,9
19K007,P.S. 007 Abraham Lincoln,921,53,0.06,25,17,8,24
19K013,P.S. 013 Roberto Clemente,522,154,0.30,113,91,22,37
19K065,P.S. 065,630,199,0.32,s,s,s,194
19K089,P.S. 089 Cypress Hills,481,30,0.06,7,s,s,22
19K108,P.S. 108 Sal Abbracciamento,981,178,0.18,40,25,15,138
19K149,P.S. 149 Danny Kaye,706,175,0.25,116,102,14,54
19K158,P.S. 158 Warwick,614,85,0.14,49,38,11,36
19K159,P.S. 159 Isaac Pitkin,826,96,0.12,31,19,12,63
19K171,I.S. 171 Abraham Lincoln,466,55,0.12,11,s,s,41
19K190,P.S. 190 Sheffield,202,49,0.24,18,12,6,29
19K202,P.S. 202 Ernest S. Jenkyns,463,62,0.13,26,17,9,34
19K213,P.S. 213 New Lots,320,80,0.25,39,31,8,32
19K214,P.S. 214 Michael Friedsam,980,105,0.11,23,s,s,81
19K218,J.H.S. 218 James P. Sinnott,464,90,0.19,35,26,9,51
19K224,P.S. 224 Hale A. Woodruff,468,72,0.15,33,21,12,38
19K273,P.S. 273 Wortman,395,73,0.18,24,s,s,46
19K290,P.S. 290 Juan Morel Campos,534,84,0.16,36,30,6,44
19K292,J.H.S. 292 Margaret S. Douglas,611,148,0.24,117,80,37,24
19K306,P.S. 306 Ethan Allen,346,81,0.23,31,17,14,44
19K325,The Fresh Creek School,236,42,0.18,21,14,7,17
19K328,P.S. 328 Phyllis Wheatley,318,125,0.39,113,98,15,11
19K345,P.S. 345 Patrolman Robert Bolden,572,89,0.16,36,27,9,53
19K346,P.S. 346 Abe Stark,614,66,0.11,13,7,6,51
19K364,I.S. 364 Gateway,358,36,0.10,19,9,10,16
19K404,Academy for Young Writers,561,46,0.08,25,15,10,19
19K409,East New York Family Academy,499,47,0.09,20,12,8,22
19K422,Spring Creek Community School,465,37,0.08,21,s,s,15
19K431,Thomas Jefferson Yabc,197,21,0.11,13,s,s,6
19K444,Home Schooling,157,11,0.07,8,s,s,s
19K452,Frederick Douglass Academy VIII Middle School,336,18,0.05,s,s,s,13
19K501,Franklin K. Lane Campus YABC,179,22,0.12,9,s,s,8
22K240,Andries Hudde,773,73,0.09,19,s,s,53
19K502,FDNY - Captain Vernon A. Richard High School for F,323,53,0.16,29,18,11,22
19K504,High School for Civil Rights,315,52,0.17,38,23,15,12
19K507,Performing Arts and Technology High School,425,46,0.11,26,17,9,17
19K510,World Academy for Total Community Health High Scho,261,57,0.22,33,24,9,21
19K557,Brooklyn Gardens Elementary School,317,105,0.33,60,50,10,43
19K583,Multicultural High School,261,27,0.10,s,s,s,24
19K615,Transit Tech Career and Technical Education High S,712,63,0.09,33,23,10,26
19K618,Academy of Innovative Technology,408,21,0.05,14,s,s,6
19K639,Brooklyn Lab School,414,43,0.10,23,15,8,18
19K654,Van Siclen Community Middle School,306,42,0.14,13,7,6,25
19K659,Cypress Hills Collegiate Preparatory School,264,25,0.09,11,s,s,13
