,id,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocoded_column,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,building_name
618,1006,M816,02M527,PS 527 EAST SIDE SCHOOL FOR SOCIAL ACTION(MN),M527,323 East 91 St.,M,2,392,1,PS 527 EAST SIDE SCHOOL FOR SOCIAL ACTION(MN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-82.661637, 34.509364]}",9931,,,,,
619,195,K170,20K170,PS 170(BROOKLYN),K170,7109 SIXTH AVENUE,K,20,1031,1,PS 170(BROOKLYN),0,0,0,0,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-120.129974, 39.063594]}",7214,,,,,
620,406,K332,23K401,Christopher Avenue Community School,K401,51 CHRISTOPHER AVENUE,K,23,270,2,Christopher Avenue Community School |Leadership Preparatory Ocean Hill Charter School  | 51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.906466, 40.672095]}",17614,55.0,2.0,37.0,46.0,51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION
621,731,M090,,21 JUMEL PLACE CONSOLIDATED LOCATION,,21 JUMEL PLACE,M,6,1790,3,M.S. 319 - Maria Teresa| M.S. 324 - Patria Mirabal| KIPP Washington Heights Middle School| 21 JUMEL PLACE CONSOLIDATED LOCATION,0,2,5,0,2,9C,1751-2000,1.35,4.73,18.50,2.46,2.92,"{'type': 'Point', 'coordinates': [-73.936048, 40.839491]}",13090,47.0,4.0,39.0,21.0,21 JUMEL PLACE CONSOLIDATED LOCATION
622,23,K016,84K355,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL(BROOKLYN),K355,157 WILSON STREET,K,14,315,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.453274, 40.681641]}",24511,,,,,157 WILSON STREET CONSOLIDATED LOCATION
623,44,K028,16K028,PS 28(BROOKLYN),K028,1001 HERKIMER STREET,K,16,127,1,PS 28(BROOKLYN),0,0,1,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-73.920233, 40.678037]}",13516,69.0,2.0,17.0,52.0,
624,843,M180,85M180,PS 180(MANHATTAN),M180,370 WEST 120 STREET,M,85,456,1,PS 180(MANHATTAN),1,2,1,2,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.265324, 42.450268]}",11789,,,,,
625,1131,Q105,27Q105,PS 105(QS),Q105,420 BEACH 51 STREET,Q,27,787,1,PS 105(QS),0,0,2,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.781891, 40.595868]}",20529,51.0,3.0,47.0,59.0,
626,772,M125,05M125,P.S. 125 Ralph Bunche,M125,425 West 123rd St,M,5,245,3,P.S. 125 Ralph Bunche|Columbia Secondary School|KIPP STAR College Prep Charter School|425 WEST 123 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-90.439207, 34.013793]}",15388,,,,,425 West 123rd St CONSOLIDATED LOCATION
627,290,K250,14K250,PS 250(BROOKLYN),K250,108 MONTROSE AVENUE,K,14,471,1,PS 250(BROOKLYN),0,1,4,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-76.747297, 39.26542]}",27945,,,,,
628,742,M099,,410 EAST 100 STREET CONSOLIDATED LOCATION,,410 EAST 100 STREET,M,4,1448,3,M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION,0,1,0,0,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,"{'type': 'Point', 'coordinates': [-73.942065, 40.785467]}",12426,7.0,4.0,35.0,14.0,410 EAST 100 STREET CONSOLIDATED LOCATION
629,875,M234,02M234,PS 234(MANHATTAN),M234,292 GREENWICH STREET,M,2,648,1,PS 234(MANHATTAN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-74.010996, 40.716036]}",11728,56.0,4.0,32.0,1.0,
