,id,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocoded_column,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,building_name
0,288,K247,20K247,PS 247(BROOKLYN),K247,7000 21st AVENUE,K,20,883,1,PS 247(BROOKLYN),0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-76.974907, 38.974981]}",10889,,,,,
1,335,K281,21K281,IS 281(BS),K281,8787  24th AVENUE,K,21,1342,1,IS 281(BS),0,6,9,2,2,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,"{'type': 'Point', 'coordinates': [-104.885878, 39.751528]}",20975,,,,,
2,359,K298,23K298,PS 298(BROOKLYN),K298,85 WATKINS STREET,K,23,205,1,PS 298(BROOKLYN),0,0,3,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-73.908193, 40.670936]}",17614,55.0,2.0,37.0,46.0,
3,390,K318,14K318,JHS 318(BN),K318,101 WALTON STREET,K,14,1230,1,JHS 318(BN),0,2,1,2,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-79.670906, 34.623679]}",27087,,,,,
4,400,K327,23K327,PS 327(BROOKLYN),K327,111 BRISTOL STREET,K,23,299,1,PS 327(BROOKLYN),1,1,4,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-72.931594, 41.315558]}",13460,,,,,
5,421,K369,75K369,P369(BN),K369,383 STATE STREET,K,15,646,1,P369(BN),0,5,2,0,5,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-67.988924, 46.685108]}",15514,,,,,
6,453,K410,21K410,ABRAHAM LINCOLN HS(BS),K410,2800 Ocean Parkway,K,21,1535,1,ABRAHAM LINCOLN HS(BS),0,6,27,5,1,8C,1501-1750,0.45,2.95,7.14,1.48,1.60,"{'type': 'Point', 'coordinates': [-73.967408, 40.582443]}",13826,21.0,2.0,45.0,35.0,
7,576,K728,21K728,LIBERATION DIPLOMA PLUS HS(BS),K728,2865 W.19th St.,K,21,134,1,LIBERATION DIPLOMA PLUS HS(BS),0,3,6,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-85.908823, 39.744135]}",16009,,,,,
8,648,M020,01M020,PS 20 ANNA SILVER(MANHATTAN),M020,166 ESSEX STREET,M,1,463,1,PS 20 ANNA SILVER(MANHATTAN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-71.030916, 42.387465]}",16884,,,,,
9,834,M171,04M171,PS 171(MANHATTAN),M171,19 EAST 103 STREET,M,4,685,1,PS 171(MANHATTAN),0,4,5,2,1,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-76.486176, 38.979269]}",28576,,,,,
10,981,M540,06M540,AP RANDOLPH CAMPUS HS(MN),M540,443 WEST 135TH STREET,M,6,1110,1,AP RANDOLPH CAMPUS HS(MN),4,3,18,2,4,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-118.281951, 33.909157]}",24355,,,,,
11,1004,M812,05M692,HS FOR MATHEMATICS SCIENCE & ENGINEERING@CITY COLLEGE(MN),M692,240 Convent Ave,M,5,390,1,HS FOR MATHEMATICS SCIENCE & ENGINEERING@CITY COLLEGE(MN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.948683, 40.821297]}",12428,37.0,4.0,36.0,17.0,
12,1222,Q190,28Q190,JHS 190(QN),Q190,68-17 AUSTIN STREET,Q,28,1056,1,JHS 190(QN),1,1,3,0,2,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-71.807361, 42.261103]}",22811,,,,,
13,1282,Q238,29Q238,IS 238(QS),Q238,88-15 182 STREET,Q,29,1411,1,IS 238(QS),0,2,1,0,1,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,"{'type': 'Point', 'coordinates': [-106.619255, 35.180771]}",6577,,,,,
14,1422,R011,31R011,PS 11(SI),R011,50 JEFFERSON STREET,R,31,286,1,PS 11(SI),0,0,3,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-75.233876, 40.027514]}",6549,,,,,
15,1468,R057,31R057,PS 57(STATEN ISLAND),R057,140 PALMA DRIVE,R,31,631,1,PS 57(STATEN ISLAND),0,0,5,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-74.083588, 40.611627]}",10691,4.0,1.0,13.0,74.0,
16,1501,X004,09X004,PS 4(BRONX),X004,1701 FULTON AVENUE,X,9,534,1,PS 4(BRONX),0,3,1,0,1,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-82.792937, 27.982905]}",8866,,,,,
17,1555,X052,08X052,MS 302(XE),X302,681 KELLY STREET,X,8,498,1,MS 302(XE),1,1,2,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-93.420618, 30.462017]}",19134,,,,,
18,1678,X127,11X127,MS 127(XE),X127,1560 PURDY STREET,X,11,805,1,MS 127(XE),0,1,7,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.853575, 40.838112]}",11271,58.0,5.0,31.0,26.0,
19,1710,X144,11X144,MS 144(XE),X144,2545 GUNTHER AVENUE,X,11,495,1,MS 144(XE),2,4,20,2,4,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.836063, 40.863811]}",11607,59.0,5.0,12.0,32.0,
20,1744,X159,10X159,PS 159(BRONX),X159,2315 WASHINGTON AVENUE,X,10,191,1,PS 159(BRONX),0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-88.404296, 33.493327]}",9792,,,,,
21,1774,X182,08X182,PS 182(XE),X182,601 STICKBALL BOULEVARD,X,8,815,1,PS 182(XE),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.856456, 40.818966]}",11611,58.0,5.0,31.0,26.0,
22,1803,X235,09X218,PS 218(BRONX),X218,1220 Gerard Ave,X,9,1004,1,PS 218(BRONX),0,0,1,0,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-73.92002600000001, 40.835855]}",10930,50.0,5.0,42.0,27.0,
23,1823,X368,10X368,IN-TECH ACADEMY (MS/HS 368) (XW),X368,2975 TIBBETT AVENUE,X,10,912,1,IN-TECH ACADEMY (MS/HS 368) (XW),1,5,10,5,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.910655, 40.878795]}",11272,48.0,4.0,39.0,33.0,
24,1859,X423,12X478,THE CINEMA SCHOOL(BRONX),X478,1551 East 172 St.,X,12,230,2,Mott Hall V |  THE CINEMA SCHOOL |  1551 EAST 172ND STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-119.802421, 36.735587]}",27981,,,,,1551 East 172 St. CONSOLIDATED LOCATION
25,1894,X460,09X505,BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW),X505,244 East 163rd street,X,9,657,1,BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW),0,2,10,1,1,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-70.989038, 42.023967]}",18632,,,,,
26,646,M019,01M301,"TECHNOLOGY,ARTS,AND SCIENCES STUDIO(MANHATTAN)",M301,185 FIRST AVENUE,M,1,99,2,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-74.329275, 43.055092]}",24449,,,,,185 FIRST AVENUE CONSOLIDATED LOCATION
27,894,M389,05M357,SUCCESS ACADEMY HARLEM CENTRAL(MN),M357,461 West 131 Street,M,5,135,1,SUCCESS ACADEMY HARLEM CENTRAL(MN),0,0,3,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-86.190823, 43.243957]}",28812,,,,,
28,71,K052,22K052,PS 52(BROOKLYN),K052,2675 EAST 29 STREET,K,22,757,1,PS 52(BROOKLYN),1,1,0,2,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.940627, 40.588314]}",13826,32.0,2.0,15.0,36.0,
29,1039,Q008,28Q008,J.H.S. 008 Richard S. Grossley,Q008,108-35 167 STREET,Q,28,336,3,J.H.S. 008 Richard S. Grossley |  York Early College Academy |  The Emerson School |  108-35 167 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.786934, 40.696766]}",24668,41.0,3.0,6.0,61.0,108-35 167 STREET CONSOLIDATED LOCATION
30,809,M149,75M162,P162(MN),M162,34 West 118th St.,M,75,SCHOOL CLOSED,2,P162(MN)|SUCCESS ACADEMY Charter school|34 West 118th St. consolidated location,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-76.494659, 38.97835]}",28576,,,,,34 West 118th St.
31,630,M007,,160 EAST 120 STREET CONSOLIDATED LOCATION,,160 EAST 120 STREET,M,4,450,2,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,1,11,8,6,4,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-111.886448, 40.773477]}",11574,,,,,160 EAST 120 STREET CONSOLIDATED LOCATION
32,1027,M911,79M285,HARLEM RENAISSANCE HS(MN),M285,22 EAST 128TH STREET,M,79,144,1,HARLEM RENAISSANCE HS(MN),1,4,1,1,3,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-73.939828, 40.807899]}",13093,7.0,4.0,36.0,16.0,
33,367,K305,13K301,Satellite East Middle School,K301,344 MONROE STREET,K,13,96,2,Satellite East Middle School |  P.S. 305 Dr. Peter Ray |  344 MONROE STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-80.815882, 37.327420000000004]}",16287,,,,,344 MONROE STREET CONSOLIDATED LOCATION
34,142,K120,14K120,PS 120(BN),K120,18 BEAVER STREET,K,14,370,1,PS 120(BN),0,2,3,2,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-71.505966, 42.759151]}",20683,,,,,
35,1204,Q174,28Q174,PS 174(QUEENS),Q174,65-10 DIETERLE CRESCENT,Q,28,638,1,PS 174(QUEENS),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-73.861337, 40.72093]}",14785,40.0,3.0,28.0,70.0,
36,1182,Q156,,229-02 137 AVENUE CONSOLIDATED LOCATION,,229-02 137 AVENUE,Q,29,432,2,P.S. 156 Laurelton |  Queens United Middle School |  229-02 137 AVENUE CONSOLIDATED LOCATION,1,2,0,0,3,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.742884, 40.672975]}",15313,63.0,3.0,47.0,63.0,229-02 137 AVENUE CONSOLIDATED LOCATION
37,760,M117,,240 EAST 109 STREET CONSOLIDATED LOCATION,,240 EAST 109 STREET,M,4,1078,2,TAG YOUNG SCHOLARS(MANHATTAN)|ESPERANZA PREPARATORY ACADEMY(MN)|240 EAST 109 STREET CONSOLIDATED LOCATION,0,2,7,2,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-86.560251, 30.764889]}",28767,,,,,240 EAST 109 STREET CONSOLIDATED LOCATION
38,103,K086,32K086,PS 86(BROOKLYN),K086,220 IRVING AVENUE,K,32,377,1,PS 86(BROOKLYN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-89.113487, 42.278085]}",6509,,,,,
39,482,K440,73K903,PROSPECT HEIGHTS EVENING M/W(BS),K524,883 CLASSON AVENUE,K,17,EVENING SCHOOL,7,PROSPECT HEIGHTS HS(BS)| INTERNATIONAL HS@PROSPECT HEIGHTS(BS)| THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP(BROOKLYN)| BROOKLYN ACADEMY OF SCIENCE & THE ENVIRONMENT BASE(BS)| BROOKLYN SCHOOL FOR MUSIC & THEATRE(BS)|  PROSPECT HEIGHTS EVENING M/W(BS)| PROSPECT HEIGHTS EVENING T/R(BS),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.961805, 40.67009]}",13509,17.0,2.0,48.0,44.0,883 CLASSON AVENUE CONSOLIDATED LOCATION
40,1111,Q082,28Q082,PS 82 HAMMOND(QUEENS),Q082,88-02 144 STREET,Q,28,663,1,PS 82 HAMMOND(QUEENS),0,1,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-96.470626, 34.032791]}",23959,,,,,
41,349,K292,84K359,UFT ELEMENTARY CHARTER SCHOOL(BROOKLYN),K359,301 Vermont St,K,19,185,2,J.H.S. 292 Margaret S. Douglas | The Uft Charter School | 301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-101.699381, 34.168732]}",30027,,,,,301 Vermont St CONSOLIDATED LOCATION
42,1255,Q216,26Q216,MS 216(QS),Q216,64-20 175 STREET,Q,26,1462,1,MS 216(QS),0,0,2,0,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,"{'type': 'Point', 'coordinates': [-85.461679, 41.734447]}",5094,,,,,
43,846,M187,06M187,PS 187(MANHATTAN),M187,349 CABRINI BOULEVARD,M,6,778,3,PS 188 THE ISLAND SCHOOL(MANHATTAN)| GIRLS PREPARATORY CHARTER(MS)|  442 EAST HOUSTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.937457, 40.856209]}",13098,47.0,4.0,39.0,22.0,349 CABRINI BOULEVARD CONSOLIDATED LOCATION
44,911,M445,71M446,SEWARD PARK GED(MANHATTAN),M294,350 GRAND STREET,M,2,GED PROGRAM,7,ESSEX STREET ACADEMY(MS)| THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT & LAW(MANHATTAN) |LOWER MANHATTAN ARTS ACADEMY(MS)|SEWARD PARK HS(MANHATTAN)|NEW DESIGN HS(MS)| HS FOR DUAL LANGUAGE & ASIAN STUDIES(MS) |SEWARD PARK GED(MANHATTAN)|350 GRAND STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-74.747046, 40.204073]}",28083,,,,,350 GRAND STREET CONSOLIDATED LOCATION
45,629,M007,04M406,Global Technology Preparatory,M406,160 EAST 120 STREET,M,4,113,2,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-111.886448, 40.773477]}",11574,,,,,160 EAST 120 STREET CONSOLIDATED LOCATION
46,1034,M970,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING & CHANGE (MANHATTAN),M670,200-214 WEST 135 STREET,M,5,484,1,THURGOOD MARSHALL ACADEMY FOR LEARNING & CHANGE (MANHATTAN),1,4,4,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-84.573948, 42.732661]}",21595,,,,,
47,253,K218,,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,,370 FOUNTAIN AVENUE,K,19,928,3,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",1,6,14,1,3,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-88.364818, 42.02379]}",15600,,,,,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION
48,895,M435,04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS(MN),M435,260 PLEASANT AVENUE,M,4,1244,2,Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.93365, 40.794388]}",12426,7.0,4.0,35.0,16.0,260 PLEASANT AVENUE CONSOLIDATED LOCATION
49,519,K480,32K549,Bushwick School for Social Justice,K549,400 IRVING AVENUE,K,32,297,4,The Brooklyn School for Math and Research |  Academy for Environmental Leadership |  Bushwick School for Social Justice |  Academy of Urban Planning |  400 IRVING AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-75.218063, 39.435855]}",15214,,,,,400 IRVING AVENUE CONSOLIDATED LOCATION
50,1087,Q054,28Q054,PS 54(QUEENS),Q054,86-02 127 STREET,Q,28,566,1,PS 54(QUEENS),1,0,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-106.7228, 35.257783]}",6987,,,,,
51,963,M506,79M505,WEST SIDE HS(MANHATTAN),M505,140 WEST 102 STREET,M,3,279,1,WEST SIDE HS(MANHATTAN),2,1,6,2,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-80.022015, 33.203873]}",26782,,,,,
52,472,K435,19K504,HS FOR CIVIL RIGHTS(BN),K504,400 PENNSYLVANIA AVENUE,K,19,250,5,Thomas Jefferson|  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-104.779923, 37.62986]}",12679,,,,,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION
53,237,K205,20K205,PS 205(BROOKLYN),K205,6701 20 AVENUE,K,20,1235,1,PS 205(BROOKLYN),0,0,0,0,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-73.98737, 40.615076]}",16867,1.0,2.0,45.0,37.0,
54,943,M480,02M449,VANGUARD HS(MANHATTAN),M449,317 East 67th St,M,2,333,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-81.965207, 34.94895]}",14044,,,,,317 East 67th St CONSOLIDATED LOCATION
55,1,K001,15K001,PS 1(BS),K001,309 47 STREET,K,15,1151,1,PS 1(BS),0,2,1,1,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-75.98737, 36.874147]}",2801,,,,,
56,1193,Q168,25Q168,JHS 168(QS),Q168,158-40 76th Road,Q,25,SCHOOL CLOSED,4,"I.S. 250 The Robert F. Kennedy Community Middle Sc |  Queens School of Inquiry, The |  P.S. Q255 |  JHS 168|  158-40 76 ROAD CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.809394, 40.724557]}",14508,25.0,3.0,24.0,65.0,158-40 76th Road CONSOLIDATED LOCATION
57,777,M128,06M128,PS 128 AUDUBON(MN),M128,560 WEST 169 STREET,M,6,531,2,P.S. 128 Audubon |  Castle Bridge School |  560 WEST 169 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-84.74891, 30.571365]}",27559,,,,,560 WEST 169 STREET CONSOLIDATED LOCATION
58,558,K620,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION  HS(BROOKLYN),K620,25 BRIGHTON 4 ROAD,K,21,329,1,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION  HS(BROOKLYN),0,5,7,2,3,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.963526, 40.582567]}",13826,21.0,2.0,15.0,35.0,
59,666,M042,02M042,PS 42 BENJAMIN ALTMAN(MANHATTAN),M042,71 HESTER STREET,M,2,599,1,PS 42 BENJAMIN ALTMAN(MANHATTAN),0,1,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-82.607579, 31.852838]}",32746,,,,,
60,90,K071,14K071,JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),K071,215 HEYWARD STREET,K,14,464,1,JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),2,0,5,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.953112, 40.703634]}",17213,36.0,2.0,38.0,56.0,
61,1116,Q088,24Q088,PS 88(QUEENS),Q088,60-85 CATALPA AVENUE,Q,24,894,1,PS 88(QUEENS),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.8966, 40.703713]}",15310,54.0,3.0,34.0,62.0,
62,484,K440,,883 CLASSON AVENUE CONSOLIDATED LOCATION,,883 CLASSON AVENUE,K,17,1026,7,PROSPECT HEIGHTS HS(BS)| INTERNATIONAL HS@PROSPECT HEIGHTS(BS)| THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP(BROOKLYN)| BROOKLYN ACADEMY OF SCIENCE & THE ENVIRONMENT BASE(BS)| BROOKLYN SCHOOL FOR MUSIC & THEATRE(BS)|  PROSPECT HEIGHTS EVENING M/W(BS)| PROSPECT HEIGHTS EVENING T/R(BS),5,8,24,6,5,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-73.961805, 40.67009]}",13509,17.0,2.0,48.0,44.0,883 CLASSON AVENUE CONSOLIDATED LOCATION
63,354,K293,,284 BALTIC STREET CONSOLIDATED LOCATION,,284 BALTIC STREET,K,15,1098,3,DIGITAL ARTS & CINEMA TECHNOLOGY HIGH SCHOOL (GLOBAL STUDIES-BS) |  SCHOOL FOR INTERNATIONAL STUDIES(BROOKLYN) | Success Academy Charter School - Cobble Hill |  284 BALTIC STREET CONSOLIDATED LOCATION,0,4,1,3,1,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-73.993279, 40.685403]}",16865,14.0,2.0,38.0,48.0,284 BALTIC STREET CONSOLIDATED LOCATION
64,1217,Q186,,252-12 72 AVENUE CONSOLIDATED LOCATION,,252-12 72 AVENUE,Q,26,711,2,P.S. 186  |  P.S. Q224 |  252-12 72 AVENUE CONSOLIDATED LOCATION,0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-82.033697, 29.188838]}",31736,,,,,252-12 72 AVENUE CONSOLIDATED LOCATION
65,412,K346,19K346,P.S. 346 Abe Stark,K346,1400 PENNSYLVANIA AVENUE,K,19,558,2,P.S. 346 Abe Stark |  Frederick Douglass Academy VIII Middle School |  1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-80.134148, 25.785643]}",24832,,,,,1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION
66,977,M535,02M542,MANHATTAN BRIDGES HS(MS),M542,525 WEST 50TH STREET,M,2,414,7,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  Park West HS| Park West Evening|525 WEST  50TH STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-80.127267, 25.826427]}",24833,,,,,525 WEST 50TH STREET CONSOLIDATED LOCATION
67,174,K152,22K315,P.S. K315,K315,2310 GLENWOOD ROAD,K,22,651,2,School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.9544, 40.633264]}",17217,60.0,2.0,26.0,43.0,2310 GLENWOOD ROAD CONSOLIDATED LOCATION
68,1228,Q192,,109-89 204 STREET CONSOLIDATED LOCATION,,109-89 204 STREET,Q,29,1014,2,I.S. 192 The Linden |  Pathways College Preparatory School: A College Boa |  109-89 204 STREET CONSOLIDATED LOCATION,0,2,4,1,1,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-94.67592, 31.752777]}",1628,,,,,109-89 204 STREET CONSOLIDATED LOCATION
69,524,K490,20K490,FORT HAMILTON HS(BS),K490,8301 SHORE ROAD,K,20,3596,1,FORT HAMILTON HS(BS),2,7,21,5,2,12C,3001-4000,1.67,7.33,11.33,4.33,3.33,"{'type': 'Point', 'coordinates': [-74.04028, 40.627445]}",17216,10.0,2.0,44.0,41.0,
70,1171,Q147,29Q147,PS 147 RONALD MCNAIR(QS),Q147,218-01 116 AVENUE,Q,29,579,1,PS 147 RONALD MCNAIR(QS),0,1,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-73.740568, 40.697186]}",15311,63.0,3.0,6.0,63.0,
71,584,K805,13K350,Urban Assembly High School of Music and Art,K350,49 FLATBUSH AVENUE EXTENSION,K,13,177,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.984992, 40.697187]}",16865,68.0,2.0,38.0,54.0,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION
