bbl,street_name,borough,zip,benchmarking_submission,street_number,entry_number,site_eui,weather_normalized_source_eui,energy_star_score,ghg,reported_building_square_footage,reported_facility_type,number_of_buildings,reported_bins,water_per_square_foot,latitude,longitude,community_board,community_council,census_tract,bin,nta
4009070001,  26 AVENUE         ,QUEENS              ,11102,No DOF Record as of 08/01/12,     4-55,,,,,,,,,,,,,,,,,
4009070008,  26 AVENUE,QUEENS,11102,Yes,     4-05,1405.0,35.0,80.0,60,129.6,49654.0,Warehouse (Unrefrigerated),2.0,4437040.0,,,,,,,,
4009110001,  26 AVENUE         ,QUEENS              ,11102,No DOF Record as of 08/01/12,     3-15,,,,,,,,,,,,,,,,,
4009120001,  26 AVENUE         ,QUEENS              ,11102,No DOF Record as of 08/01/12,     2-15,,,,,,,,,,,,,,,,,
4009150006,   1 STREET         ,QUEENS              ,11102,No DOF Record as of 08/01/12,    26-01,,,,,,,,,,,,,,,,,
4009260001,GRAND CENTRAL PKWY  ,QUEENS              ,0,No DOF Record as of 08/01/12,,,,,,,,,,,,,,,,,,
4010160075,BOODY STREET,QUEENS,11377,Yes,    26-15,2152.0,,,N/A,,75573.0,Office,1.0,,,,,,,,,
4010160098,BROOKLYN QUEENS EP W,QUEENS              ,11377,No DOF Record as of 08/01/12,    26-45,,,,,,,,,,,,,,,,,
4010160551,BROOKLYN QUEENS EP W,QUEENS,11377,Yes,    24-01,1510.0,25.3,87.2,7,194.81,81966.0,Warehouse (Unrefrigerated),1.0,,,,,,,,,
4010160565,BROOKLYN QUEENS EP W,QUEENS              ,11377,No DOF Record as of 08/01/12,    24-25,,,,,,,,,,,,,,,,,
4010170065,BOROUGH PLACE       ,QUEENS              ,11377,No DOF Record as of 08/01/12,    25-44,,,,,,,,,,,,,,,,,
4010180002,BOROUGH PLACE       ,QUEENS              ,11377,No DOF Record as of 08/01/12,    25-20,,,,,,,,,,,,,,,,,
4010180020,  50 STREET,QUEENS,11377,Yes,    25-15,1602.0,60.2,133.5,43,439.89,100000.0,Warehouse (Unrefrigerated),1.0,4022553.0,,,,,,,,
4010270004,  25 AVENUE         ,QUEENS              ,11370,No DOF Record as of 08/01/12,    71-01,,,,,,,,,,,,,,,,,
4010680001,GRAND CENTRAL PKWY  ,QUEENS              ,11369,No DOF Record as of 08/01/12,    90-10,,,,,,,,,,,,,,,,,
4010710001,DITMARS BOULEVARD   ,QUEENS              ,11369,No DOF Record as of 08/01/12,    94-00,,,,,,,,,,,,,,,,,
4010710050,  23 AVENUE         ,QUEENS              ,11369,No DOF Record as of 08/01/12,    94-01,,,,,,,,,,,,,,,,,
4010840001,  89 STREET         ,QUEENS              ,11369,No DOF Record as of 08/01/12,    23-27,,,,,,,,,,,,,,,,,
4011140011,  31 AVENUE         ,QUEENS              ,11377,No DOF Record as of 08/01/12,    60-01,,,,,,,,,,,,,,,,,
4011420001,  31 AVENUE         ,QUEENS              ,11370,No DOF Record as of 08/01/12,    72-02,,,,,,,,,,,,,,,,,
4011850001,NORTHERN BOULEVARD  ,QUEENS              ,11377,No DOF Record as of 08/01/12,    62-10,,,,,,,,,,,,,,,,,
4011920001,NORTHERN BOULEVARD  ,QUEENS              ,11377,No DOF Record as of 08/01/12,    51-00,,,,,,,,,,,,,,,,,
4012110001,  37 AVENUE,QUEENS,11377,Yes,    56-08,1740.0,11.3,36.5,96,56.45,53000.0,Warehouse (Unrefrigerated),1.0,4027649.0,,,,,,,,
4012570032,  35 AVENUE         ,QUEENS              ,11372,No DOF Record as of 08/01/12,    70-05,,,,,,,,,,,,,,,,,
4012740035,  37 AVENUE,QUEENS,11372,Yes,    74-09,2478.0,102.9,237.0,N/A,730.33,92626.0,Office,1.0,4029563.0,,,,,,,,
4012810038,  37 AVENUE,QUEENS,11372,Yes,    81-11,2638.0,54.4,181.8,45,388.33,76000.0,K-12 School,1.0,,,,,,,,,
4013200053,QUEENS BOULEVARD    ,QUEENS              ,11377,No DOF Record as of 08/01/12,    51-11,,,,,,,,,,,,,,,,,
4015360135,ALBION AVENUE       ,QUEENS              ,11373,No DOF Record as of 08/01/12,    79-17,,,,,,,,,,,,,,,,,
4016080058, 100 STREET         ,QUEENS              ,11368,No DOF Record as of 08/01/12,    40-20,,,,,,,,,,,,,,,,,
4016320009,DITMARS BOULEVARD   ,QUEENS              ,11369,No DOF Record as of 08/01/12,   100-30,,,,,,,,,,,,,,,,,
4016320020,  23 AVENUE         ,QUEENS              ,11369,No DOF Record as of 08/01/12,   100-17,,,,,,,,,,,,,,,,,
4017820019, 114 STREET         ,QUEENS              ,11368,No DOF Record as of 08/01/12,    37-10,,,,,,,,,,,,,,,,,
4017870020,ROOSEVELT AVENUE    ,QUEENS              ,11368,No DOF Record as of 08/01/12,   123-01,,,,,,,,,,,,,,,,,
4018330215,WILLETS POINT BLVD  ,QUEENS              ,11368,No DOF Record as of 08/01/12,   127-92,,,,,,,,,,,,,,,,,
4018330300,WILLETS POINT BLVD  ,QUEENS              ,11368,No DOF Record as of 08/01/12,   127-40,,,,,,,,,,,,,,,,,
4018600100,QUEENS BOULEVARD,QUEENS,11373,Yes,    90-15,438.0,37.6,124.2,92,1317.88,375888.0,Retail,1.0,,,,,,,,,
4018600101,  92 STREET         ,QUEENS              ,11373,No DOF Record as of 08/01/12,    57-15,,,,,,,,,,,,,,,,,
4018600102,  59 AVENUE         ,QUEENS              ,11373,No DOF Record as of 08/01/12,    92-59,,,,,,,,,,,,,,,,,
4018720007,  92 STREET,QUEENS,11373,Yes,    56-25,1670.0,28.5,47.6,100,168.25,94380.0,K-12 School,1.0,4046340.0,,,,,,,,
4018800007,  50 AVENUE         ,QUEENS              ,11368,No DOF Record as of 08/01/12,    97-11,,,,,,,,,,,,,,,,,
4019650015,HOR HARDING EP SR N ,QUEENS              ,11368,No DOF Record as of 08/01/12,   108-25,,,,,,,,,,,,,,,,,
4019720038,CORONA AVENUE       ,QUEENS              ,11368,No DOF Record as of 08/01/12,   111-26,,,,,,,,,,,,,,,,,
