applicant_name,address,zip_code,emp,investment,savings_annual,borough,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
Morgan & Morgan PA (Salmar),"850 Third Avenue, Suite 402, Brooklyn, NY",11232,78, n/a ,"$5,254.00 ",BROOKLYN ,40.658518,-74.003327,7.0,38.0,18.0,3009889.0,3006710001.0,Sunset Park West                                                           
"JPR Mechanical, Inc.","441 East 164th Street, Bronx, NY",10456,26, n/a ,"$16,013.00 ",BRONX    ,40.826141,-73.91083499999999,3.0,17.0,185.0,2117413.0,2023860164.0,Morrisania-Melrose                                                         
"JPR Mechanical, Inc.","434 East 165th Street, Bronx, NY",10456,26, n/a ,"$10,980.00 ",BRONX    ,40.8274,-73.910602,3.0,17.0,185.0,2001547.0,2023860030.0,Morrisania-Melrose                                                         
"Van Blarcom Closures, Inc.","409-423 Willoughby Avenue, Brooklyn, NY",11205,141,"$542,691.00 ","$54,176.00 ",BROOKLYN ,40.693197,-73.954123,3.0,33.0,241.0,3048569.0,3017510043.0,Bedford                                                                    
"Deutsche Bank Securities, Inc.","Four Chase Metrotech Center, 8th floor, Brooklyn, NY ",11201,3, n/a ,"$26,369.00 ",BROOKLYN ,40.694059,-73.985741,2.0,33.0,11.0,3000000.0,3001420100.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Fresh Direct,"2 Staint Ann's Avenue, Bronx, NY ",10454,2565,"$14,790,501.30 ","$65,429.00 ",,,,,,,,,
"Modern Window & Door, Inc.","1411-1429 Ferris Place, Bronx, NY",10461,17,"$101,395.00 ","$16,928.00 ",BRONX    ,40.83909,-73.841183,10.0,13.0,96.0,2027299.0,2038570027.0,Westchester-Unionport                                                      
"Van Blarcom Closures, Inc.","152-62 Sanford Street, Brooklyn, NY",11205,140,"$362,312.32 ","$42,266.00 ",BROOKLYN ,40.694148999999996,-73.95327900000001,3.0,33.0,241.0,,,Bedford                                                                    
55 Water LLC,"51 Water Street, Brooklyn, NY ",11201,5,"$50,000,000.00 ",TBD,BROOKLYN ,40.703303999999996,-73.99215600000001,2.0,33.0,21.0,3000000.0,3000260050.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
"Transcontinental Ultra Flex, Inc.","975 Essex Street, Brooklyn, NY ",11208,279,"$200,280.00 ","$380,280.00 ",BROOKLYN ,40.660379,-73.874732,5.0,42.0,1078.0,3098057.0,3044070015.0,East New York                                                              
Sunset Park Farms LLC dba Brooklyn Granger LLC,"850 3rd Avenue, 9th flo, Brooklyn, NY",11232,11, n/a ,"$12,220.00 ",BROOKLYN ,40.658518,-74.003327,7.0,38.0,18.0,3009889.0,3006710001.0,Sunset Park West                                                           
I. AM. Malia Mills LLC,"32 33rd Street, Brooklyn, NY",11220,13, n/a , TBD ,BROOKLYN ,40.658251,-74.006433,7.0,38.0,18.0,3336897.0,3006830001.0,Sunset Park West                                                           
"Evergreen Architectural Arts, Inc.","253 36th Street, Brooklyn, NY",11232,78, n/a , TBD ,BROOKLYN ,40.65597,-74.007154,7.0,38.0,18.0,3345565.0,3006910001.0,Sunset Park West                                                           
"House of Spices (India), Inc.","57-07 49th Place, Queens, NY",11378,37,"$438,900.00 ","$17,560.00 ",QUEENS   ,40.721144,-73.919543,5.0,30.0,219.0,4462230.0,4026030068.0,Hunters Point-Sunnyside-West Maspeth                                       
Marathon Energy Corp.,"62-01 34th Avenue, Queens, NY",11354,61,"$91,940.00 ","$5,183.00 ",QUEENS   ,40.752183,-73.899803,2.0,26.0,293.0,4027110.0,4011850040.0,Woodside                                                                   
ADP Oak Point LLC,"500 Oak Point Avenue, Bronx, NY",10454,55,"$25,769,954.00 ",,BRONX    ,40.80897,-73.894378,2.0,17.0,93.0,2004151.0,2026040140.0,Hunts Point                                                                
