order,property_id,property_name,bbl_10_digits,nyc_borough_block_and_lot,nyc_building_identification,address_1_self_reported,postal_code,street_number,street_name,borough,dof_gross_floor_area_ft,self_reported_gross_floor,primary_property_type_self,list_of_all_property_use,largest_property_use_type,largest_property_use_type_1,_2nd_largest_property_use,_2nd_largest_property_use_1,year_built,number_of_buildings,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,source_eui_kbtu_ft,weather_normalized_source,site_eui_kbtu_ft,weather_normalized_site_eui,weather_normalized_site,weather_normalized_site_1,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_2,electricity_use_grid_purchase,electricity_use_grid_purchase_1,weather_normalized_site_3,total_ghg_emissions_metric,direct_ghg_emissions_metric,indirect_ghg_emissions_metric,water_use_all_water_sources,water_use_intensity_all_water,water_required,generation_date,dof_benchmarking_submission,latitude,longitude,community_board,council_district,census_tract,nta,fuel_oil_2_use_kbtu,_3rd_largest_property_use,_3rd_largest_property_use_1,fuel_oil_4_use_kbtu,parent_property_id,parent_property_name,address_2_self_reported,annual_maximum_demand_kw,annual_maximum_demand_mm,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_chilled_water_use
1,4593574,The Argonaut Building,1010287502,1010287502,1024898,224 West 57th St,10019,Not found,Not found,Manhattan,Not found,169416,Office,"Bank Branch, Office",Office,164754.0,Bank Branch,4662.0,1909,1,95,Whole Building,Whole Building,90.0,138.4,141.0,53.8,56.2,11.3,0.1,1133475.1,1435754.7,16672.2,6551394.1,1920103.6,1920103.6,732.4,76.3,656.1,3635.5,21.46,Not found,2018-02-14T00:00:00.000,Not found,40.765949,-73.981073,105.0,4.0,137.0,Midtown-Midtown South,,,,,,,,,,,,
2,6224375,Operative Cakes,2005600062;2055600062,2-00560-0062;2-05560-0062,2087721;2080293,711-733 Brush Avenue,10465,Not found,Not found,Bronx,Not found,104407,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,104407.0,,,1973,2,100,Whole Building,Whole Building,,84.6,,32.0,,7.1,,,,,2564587.1,751637.4,745273.8,284.8,57.4,227.4,116.0,1.11,Not found,2018-02-14T00:00:00.000,Not found,40.821209,-73.837894,210.0,13.0,90.0,Soundview-Castle Hill-Clason Point-Harding Park,773283.0,,,,,,,,,,,
3,2967701,Cathedral Preparatory Seminary,4018720007,4-01872-0007,4046340,56-25 92nd Street,11373,Not found,Not found,Queens,Not found,94380,K-12 School,K-12 School,K-12 School,94380.0,,,1963,1,100,Whole Building,,100.0,43.5,46.8,28.4,31.3,2.0,0.2,,2068300.1,23243.7,616343.7,180640.0,184131.9,164.5,109.9,54.6,102.9,1.09,Not found,2018-02-14T00:00:00.000,Not found,40.736195,-73.869956,404.0,25.0,683.0,Elmhurst,,,,,,,,,,,,
4,4898531,The Nomad Hotel,1008290050,1-00829-0050,1080710,1170 Broadway,10001-7507,Not found,Not found,Manhattan,Not found,125000,Hotel,Hotel,Hotel,125000.0,,,1999,1,85,Whole Building,Whole Building,83.0,271.1,274.7,130.2,133.7,18.8,0.7,,8245445.1,86776.9,8033914.4,2354605.3,2354605.3,1150.2,438.0,712.3,10762.6,86.1,Not found,2018-02-14T00:00:00.000,Not found,40.744996,-73.988773,105.0,2.0,58.0,Hudson Yards-Chelsea-Flatiron-Union Square,,,,,,,,,,,,
5,2917939,10 West 27 Street Corp,1008280053,1-00828-0053,1015657,1155 Broadway,10001,Not found,Not found,Manhattan,Not found,50000,Hotel,Hotel,Hotel,50000.0,,,1994,1,100,Whole Building,,27.0,163.0,167.9,76.5,80.8,11.7,0.4,,1848519.4,20520.9,1976691.9,579335.2,582516.1,273.4,98.2,175.3,790.1,15.8,Not found,2018-02-14T00:00:00.000,Not found,40.74431,-73.988924,105.0,3.0,58.0,Hudson Yards-Chelsea-Flatiron-Union Square,,,,,,,,,,,,
6,3878205,Westbury Realty,1000650024,1-00065-0024,1001105,24 John Street,10038,Not found,Not found,Manhattan,Not found,50000,Hotel,Hotel,Hotel,50000.0,,,2012,1,0,Whole Building,Whole Building,99.0,64.2,64.2,20.5,20.5,6.0,,,,,1022951.6,299809.9,299809.9,90.7,0.0,90.7,143.0,2.86,Not found,2018-02-14T00:00:00.000,Not found,40.709765,-74.008765,101.0,1.0,1502.0,Battery Park City-Lower Manhattan,,,,,,,,,,,,
7,2920468,Union Temple,3011720006,3-01172-0006,3259310,17 Eastern Parkway,11238,Not found,Not found,Brooklyn,Not found,73144,Worship Facility,"Office, Other, Other - Recreation, Worship Facility",Worship Facility,28086.0,Other - Recreation,28006.0,1925,1,100,Whole Building,,,61.3,,38.9,,,,,,,755416.8,221400.0,,224.5,157.6,67.0,1380.0,18.87,Not found,2018-02-14T00:00:00.000,Not found,40.673063,-73.968071,308.0,35.0,207.0,Prospect Heights,,Office,9134.0,2092618.0,,,,,,,,
8,2645118,155 West 66th Street Condominium,1011387503,1011387503,1028838,155 West 66th Street,10023,Not found,Not found,Manhattan,Not found,142088,Hotel,"Hotel, Non-Refrigerated Warehouse, Other, Supermarket/Grocery Store",Hotel,120780.0,Supermarket/Grocery Store,13799.0,1999,1,100,Whole Building,Tenant areas (all energy loads),,243.4,244.6,117.7,120.1,15.5,0.1,7195772.2,1902140.0,19893.7,7622453.3,2234013.0,2198465.5,1254.6,101.0,1153.6,2641.6,18.59,Not found,2018-02-15T00:00:00.000,Not found,40.774386,-73.983399,107.0,6.0,153.0,Lincoln Square,,Non-Refrigerated Warehouse,4455.0,,,,,,,,,
9,4376215,38-20 Bowne Street Flushing,4050200023,4-05020-0023,4113595,38-20 Bowne Street,11354,Not found,Not found,Queens,Not found,193975,Multifamily Housing,Other - Lodging/Residential,Other - Lodging/Residential,193975.0,,,1975,1,100,Whole Building,Whole Building,,169.1,176.6,53.9,56.2,16.5,,,,,10446179.3,3061599.6,3197137.7,926.2,0.0,926.2,18570.4,95.74,Not found,2018-02-15T00:00:00.000,Not found,40.761944,-73.824863,407.0,20.0,865.0,Flushing,,,,,,,,,,,,
10,2815759,Queens- Queen Grand Realty,4026110106,4026110106,4059001,4710 Grand Ave,11385,Not found,Not found,Queens,Not found,200000,Distribution Center,Distribution Center,Distribution Center,200000.0,,,1950,1,100,Whole Building,Whole Building,37.0,99.2,103.2,42.4,45.4,7.8,0.2,,3243162.2,37728.7,5234449.5,1534129.2,1556499.9,636.3,172.3,464.1,1003.2,5.02,Not found,2018-02-15T00:00:00.000,Not found,40.716883,-73.921193,405.0,30.0,535.0,Maspeth,,,,,,,,,,,,
11,3216420,989 East 149th,2026040500,2026040500,2101594,989 E 149th Street,10454,Not found,Not found,Bronx,Not found,100000,Distribution Center,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,150000.0,,,1977,1,100,Whole Building,Whole Building,100.0,8.9,10.1,8.5,9.6,,0.1,,1277797.0,14365.1,,,,67.9,67.9,0.0,521.6,3.48,Not found,2018-02-15T00:00:00.000,Not found,40.80666,-73.902509,202.0,17.0,93.0,Hunts Point,,,,,62242466224246.0,"955/989, 955/989",,,,,,
12,3878102,955 East 149th,2026040270,2/2604/270,2094275,955 East 149th St.,10455,Not found,Not found,Bronx,Not found,190000,Distribution Center,"Distribution Center, Refrigerated Warehouse",Distribution Center,190000.0,Refrigerated Warehouse,190000.0,1969,1,100,Whole Building,Whole Building,,10.3,12.0,9.8,11.4,,0.1,,3725146.9,43309.5,,,,197.9,197.9,0.0,404.3,1.06,Not found,2018-02-15T00:00:00.000,Not found,40.807305,-73.902621,202.0,17.0,93.0,Hunts Point,,,,,62242466224246.0,"955/989, 955/989",,,,,,
13,4865941,MBD Brooklyn,3002810001,3002810001,3342913,2 Atlantic Ave,11201,Not found,Not found,Brooklyn,Not found,721396,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,721396.0,,,1931,1,100,Whole Building,Whole Building,97.0,62.1,61.7,53.1,52.7,0.9,0.5,,36084400.2,357799.8,2204474.6,646094.5,646094.5,2112.1,1916.6,195.4,2400.0,3.33,Not found,2018-02-15T00:00:00.000,Not found,40.691963,-74.000411,306.0,39.0,47.0,Carroll Gardens-Columbia Street-Red Hook,,,,,,,Pier 7,,,,,
14,6224246,955/989,2026040500;2026040270,2026040500;2026040270,2101594;2094275,955 East 149th Street,10455,Not found,Not found,Bronx,Not found,340000,Distribution Center,"Distribution Center, Refrigerated Warehouse",Distribution Center,340000.0,Refrigerated Warehouse,190000.0,1969,2,100,Whole Building,Common areas (all energy loads),,54.2,55.8,23.6,25.1,4.1,0.1,,5002944.0,58194.1,7480042.4,2192274.7,2192274.7,928.9,265.7,663.2,521.6,0.98,Not found,2018-02-15T00:00:00.000,Not found,40.807305,-73.902621,202.0,17.0,93.0,Hunts Point,,,,,6224246.0,955/989,,,,,,
15,4560039,810 Humboldt St.,3026050001,3026050001,3065444,810 Humboldt Street,11222,Not found,Not found,Brooklyn,Not found,80000,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,80000.0,,,1963,1,100,Whole Building,Whole Building,,38.3,38.8,15.6,16.0,3.1,0.0,,250272.9,2887.9,844769.9,247587.9,247587.9,88.2,13.3,74.9,1654.6,20.68,Not found,2018-02-15T00:00:00.000,Not found,40.729518,-73.946078,301.0,33.0,579.0,Greenpoint,,,,,,,,,,,,
16,4624722,1155 Manhattan Ave.,3024720350,3024720350,3063673,1155-1205 Manhattan Ave.,11222,Not found,Not found,Brooklyn,Not found,360000,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,360000.0,,,1868,1,100,Whole Building,Whole Building,,31.0,30.9,10.2,10.2,2.8,0.0,,0.0,0.0,3481604.7,1020399.8,1020399.8,309.6,0.0,309.6,1572.0,4.37,Not found,2018-02-15T00:00:00.000,Not found,40.738162,-73.955442,301.0,33.0,563.0,Greenpoint,,,,,,,2011-01-05T00:00:00.000,,,,,
17,4560039,810 Humboldt St.,3026050001,3026050001,3065444,810 Humboldt Street,11222,Not found,Not found,Brooklyn,Not found,80000,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,80000.0,,,1963,1,100,Whole Building,Whole Building,,38.3,38.8,15.6,16.0,3.1,0.0,,250272.9,2887.9,844769.9,247587.9,247587.9,88.2,13.3,74.9,1654.6,20.68,Not found,2018-02-15T00:00:00.000,Not found,40.729518,-73.946078,301.0,33.0,579.0,Greenpoint,,,,,,,,,,,,
18,4624722,1155 Manhattan Ave.,3024720350,3024720350,3063673,1155-1205 Manhattan Ave.,11222,Not found,Not found,Brooklyn,Not found,360000,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,360000.0,,,1868,1,100,Whole Building,Whole Building,,31.0,30.9,10.2,10.2,2.8,0.0,,0.0,0.0,3481604.7,1020399.8,1020399.8,309.6,0.0,309.6,1572.0,4.37,Not found,2018-02-15T00:00:00.000,Not found,40.738162,-73.955442,301.0,33.0,563.0,Greenpoint,,,,,,,2011-01-05T00:00:00.000,,,,,
19,2638790,Jopin Realty,4001610033,4-00161-0033,4001915,43-22,11104,Not found,Not found,Queens,Not found,61950,Multifamily Housing,Multifamily Housing,Multifamily Housing,61950.0,,,1930,1,100,Whole Building,Whole Building,,93.5,,69.9,,,,,3738819.4,,593831.1,174041.9,,251.2,198.6,52.6,,,Not found,2018-02-16T00:00:00.000,Not found,,,,,,,,,,,,,,,,,,
20,2643357,Bronx Center for Rehab,2037320020,2-03732-0020,2023644,1010 Underhill Avenue,10472,Not found,Not found,Bronx,Not found,64600,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),64600.0,,,1950,1,100,Whole Building,Whole Building,100.0,382.1,,161.4,,,,,3857735.8,,6571546.6,1926009.9,,787.5,204.9,582.6,8782.2,135.95,Not found,2018-02-16T00:00:00.000,Not found,40.826578,-73.86131,209.0,18.0,44.0,Soundview-Bruckner,,,,,,,,,,,,
21,3522664,Centers FC,2051140014,2051140014,2071889,4770 White Plains Road,10462,Not found,Not found,Bronx,Not found,69851,Office,Office,Office,69851.0,,,1905,1,100,Whole Building,,100.0,0.8,,0.6,,,,,35678.6,,6410.0,1878.7,,2.5,1.9,0.6,424.9,6.08,Not found,2018-02-16T00:00:00.000,Not found,40.905314,-73.84949,212.0,11.0,442.0,Woodlawn-Wakefield,,,,,,,,,,,,
22,5841233,Carroll Place,2024610111,2-02461-0111,2002824,1011 Carroll Place,10452,Not found,Not found,Bronx,Not found,68240,Multifamily Housing,Multifamily Housing,Multifamily Housing,68240.0,,,1936,1,100,Whole Building,Whole Building,100.0,135.4,,102.4,,,,,6081852.7,,908795.5,266352.7,,403.6,323.0,80.6,,,Not found,2018-02-16T00:00:00.000,Not found,40.829817,-73.919387,204.0,16.0,18301.0,East Concourse-Concourse Village,,,,,,,,,,,,
23,2668350,Fashion Tower,1008120019,1008120019,1015239,135 W36 St.,10018,Not found,Not found,Manhattan,Not found,107209,Office,"Office, Retail Store",Office,99117.0,Retail Store,8092.0,1923,1,100,Whole Building,Whole Building,94.0,112.2,,49.0,,8.5,0.0,,396.8,4.5,3158235.2,925625.7,912068.0,437.8,157.8,280.0,1690.4,15.77,Not found,2018-02-16T00:00:00.000,Not found,40.751677,-73.988234,105.0,3.0,109.0,Midtown-Midtown South,,,,2095950.5,,,,408.0,2017-08-01T00:00:00.000,,,
24,2707907,2626 Homecrest Avenue,3074560006,3-07456-0006,3204886,2626 Homecrest Avenue,11235,Not found,Not found,Brooklyn,Not found,127500,Multifamily Housing,Multifamily Housing,Multifamily Housing,127500.0,,,1954,1,100,Whole Building,Whole Building,72.0,111.8,115.4,70.5,73.8,5.3,0.6,,6677050.0,70917.4,2305455.4,675690.2,678001.6,559.1,354.7,204.4,7807.4,61.23,Not found,2018-02-19T00:00:00.000,Not found,40.587065,-73.957019,315.0,48.0,606.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.0,,,,,,,,,0.0,,
25,4855845,The Helux,1010710042,1-01071-0042,1085659,520 W. 43rd St.,10036,Not found,Not found,Manhattan,Not found,319967,Multifamily Housing,Multifamily Housing,Multifamily Housing,319967.0,,,1998,1,95,Whole Building,Whole Building,76.0,110.8,114.7,81.2,85.4,3.5,0.7,,22065691.9,234833.8,3909579.8,1145832.2,1124985.6,1518.6,1172.0,346.6,12865.3,40.21,Not found,2018-02-19T00:00:00.000,Not found,40.760823,-73.996246,104.0,3.0,129.0,Clinton,,,,,,,,,,,,
26,3113637,Wendi Realty LLC,4026100118,4026100118,4058991,51-01 Grand Ave,11378,Not found,Not found,Queens,Not found,120200,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,120200.0,,,1940,1,100,Whole Building,Whole Building,90.0,89.9,88.9,28.6,28.3,8.3,,,,,3440512.5,1008356.4,996961.6,305.0,0.0,305.0,1227.4,10.21,Not found,2018-02-19T00:00:00.000,Not found,40.7178,-73.917949,405.0,30.0,219.0,Hunters Point-Sunnyside-West Maspeth,,,,,,,,,,,,
27,2678604,1 MTC,3001470004,3001470004,3319418,351 Jay Street,112013873,Not found,Not found,Brooklyn,Not found,913378,Office,"Office, Parking, Retail Store",Office,871546.0,Parking,65226.0,1991,1,100,Whole Building,Whole Building,64.0,222.0,222.8,91.5,92.2,17.7,0.3,,28433975.0,290065.7,56145655.7,16455348.4,16455348.4,6537.8,1560.0,4977.8,20741.2,22.26,Not found,2018-02-19T00:00:00.000,Not found,40.692882,-73.987256,302.0,33.0,11.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,669700.6,Retail Store,60015.0,,,,aka 1 MetroTech Center,,,,,
28,1390799,650 Fifth Avenue,1012670041,1012670041,1034517,650 Fifth Avenue,10019,Not found,Not found,Manhattan,Not found,387664,Office,"Fast Food Restaurant, Food Sales, Office, Retail Store",Office,311592.6,Retail Store,75521.8,1979,1,85,Whole Building,,89.0,163.1,166.0,68.6,71.0,12.2,,10443801.1,,,16134500.4,4728751.0,4728751.0,2123.9,0.0,2123.9,6328.8,16.33,Not found,2018-02-19T00:00:00.000,Not found,40.759789,-73.976544,105.0,4.0,104.0,Midtown-Midtown South,,Food Sales,355.6,,,,,,,,,
29,1560916,UJA 732 Lexington Avenue,1013137502,1013137502,1087267,732 Lexington Avenue,10022,Not found,Not found,Manhattan,Not found,269470,Office,"Data Center, Office",Office,268399.0,Data Center,1071.0,1953,1,95,Whole Building,Whole Building,95.0,134.4,135.8,50.6,52.2,11.1,,3431667.1,,,10215698.6,2994049.6,2977714.3,1133.6,0.0,1133.6,4800.0,17.81,Not found,2018-02-19T00:00:00.000,Not found,40.761944,-73.968407,105.0,4.0,11203.0,Turtle Bay-East Midtown,,,,,,,130 East 59th Street,,,,,
30,3113637,Wendi Realty LLC,4026100118,4026100118,4058991,51-01 Grand Ave,11378,Not found,Not found,Queens,Not found,120200,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,120200.0,,,1940,1,100,Whole Building,Whole Building,90.0,89.9,88.9,28.6,28.3,8.3,,,,,3440512.5,1008356.4,996961.6,305.0,0.0,305.0,1227.4,10.21,Not found,2018-02-20T00:00:00.000,Not found,40.7178,-73.917949,405.0,30.0,219.0,Hunters Point-Sunnyside-West Maspeth,,,,,,,,,,,,
31,3113637,Wendi Realty LLC,4026100118,4026100118,4058991,51-01 Grand Ave,11378,Not found,Not found,Queens,Not found,120200,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,120200.0,,,1940,1,100,Whole Building,Whole Building,90.0,89.9,88.9,28.6,28.3,8.3,,,,,3440512.5,1008356.4,996961.6,305.0,0.0,305.0,1227.4,10.21,Not found,2018-02-20T00:00:00.000,Not found,40.7178,-73.917949,405.0,30.0,219.0,Hunters Point-Sunnyside-West Maspeth,,,,,,,,,,,,
32,2811156,"staten island kitchen cabinets mfg, inc",5059000036,5059000036,5153773,1527 arthur kill road,10312,Not found,Not found,Staten Island,Not found,82500,Other,"Non-Refrigerated Warehouse, Office, Other",Other,37500.0,Non-Refrigerated Warehouse,36300.0,2009,1,100,Whole Building,,,47.1,48.2,20.0,21.0,3.7,0.1,,618359.3,6996.5,1031756.7,302390.5,302390.5,124.3,32.8,91.5,27.1,0.33,Not found,2018-02-20T00:00:00.000,Not found,40.562764,-74.190595,503.0,51.0,228.0,New Springville-Bloomfield-Travis,,Office,8700.0,,,,,,,,,
33,2664118,Sovereign - 425 East 58th Street,1013700015,1-01370-0015,1040637,425 East 58th Street,10022,Not found,Not found,Manhattan,Not found,915329,Multifamily Housing,"Medical Office, Multifamily Housing, Parking, Retail Store",Multifamily Housing,903532.0,Parking,73500.0,1972,1,100,Whole Building,Whole Building,,203.8,203.8,129.7,129.7,9.5,0.9,,86424630.4,864246.3,29697683.7,8703892.2,8703892.2,7413.4,4780.4,2633.0,47279.9,51.65,Not found,2018-02-20T00:00:00.000,Not found,40.758684,-73.961705,106.0,5.0,10601.0,Turtle Bay-East Midtown,2559996.7,Medical Office,9007.0,,,,,,,,,
34,6214786,140-25 Ash Avenue,4051820062,4-05182-0062,4117059,140-25 Ash Avenue,11355,Not found,Not found,Queens,Not found,28432,Multifamily Housing,Multifamily Housing,Multifamily Housing,28432.0,,,1928,1,100,Whole Building,,,,,,,,,,,,,,,,0.0,,,,Not found,2018-02-20T00:00:00.000,Not found,40.755533,-73.822974,407.0,20.0,857.0,Flushing,,,,,,,,,,,,
35,6214786,140-25 Ash Avenue,4051820062,4-05182-0062,4117059,140-25 Ash Avenue,11355,Not found,Not found,Queens,Not found,28432,Multifamily Housing,Multifamily Housing,Multifamily Housing,28432.0,,,1928,1,100,Whole Building,,100.0,41.5,40.9,13.2,13.0,3.8,,,,,375331.4,110003.3,108544.0,33.3,0.0,33.3,,,Not found,2018-02-20T00:00:00.000,Not found,40.755533,-73.822974,407.0,20.0,857.0,Flushing,,,,,,,,,,,,
36,3273500,Clinton Towers/PP&H,2030940003,2030940003,2012651,730 Oakland Place,104573638,Not found,Not found,Bronx,Not found,82633,Other,Other,Other,82633.0,,,1973,1,100,Whole Building,,,363.8,381.4,161.4,168.3,28.7,0.7,,5653739.9,58122.5,7682349.3,2251567.5,2371778.1,981.4,300.3,681.1,1245827.1,15076.63,Not found,2018-02-20T00:00:00.000,Not found,40.846783,-73.888268,206.0,15.0,371.0,East Tremont,,,,,,,,,,,,
37,3274282,Clinton Tower/PP&H,2030930002,2030930002,2012632,730 E 178 ST,104575105,Not found,Not found,Bronx,Not found,82856,Other,Other,Other,82856.0,,,1977,1,100,Whole Building,,,313.1,327.6,118.9,123.5,27.7,0.3,,2392119.3,23921.2,7461053.3,2186709.4,2299122.2,788.5,127.1,661.5,974348.4,11759.54,Not found,2018-02-20T00:00:00.000,Not found,40.845626,-73.889246,206.0,17.0,371.0,East Tremont,,,,,,,,,,,,
38,3274386,Clinton Tower/ PP & H,2030930020,2030930020,2012642,750 E 179 ST,104575132,Not found,Not found,Bronx,Not found,81824,Other,Other,Other,81824.0,,,1977,1,100,Whole Building,,,337.6,350.6,149.6,154.6,26.4,0.6,,5178096.2,52793.5,7065173.4,2070683.6,2160552.4,901.4,275.0,626.4,1083729.8,13244.64,Not found,2018-02-20T00:00:00.000,Not found,40.845924,-73.888222,206.0,17.0,371.0,East Tremont,,,,,,,,,,,,
39,3349022,Sycamore Court,2057097501,2057097501,2830569,3050 Colear Avenue,10463,Not found,Not found,Bronx,Not found,96250,Other,Other,Other,96250.0,,,2011,1,100,Whole Building,Whole Building,,44.8,48.6,16.8,18.2,4.1,0.0,,370167.7,3977.9,1250986.5,366643.1,398029.0,130.6,19.7,110.9,3640.8,37.83,Not found,2018-02-20T00:00:00.000,Not found,,,,,,,,,,,,,,,,,,
40,1819837,Center for Automotive Education and Training,4041250001,4041250001,4854710,15-30 Petracca Place,11357,Not found,Not found,Queens,Not found,92705,Other - Education,Other - Education,Other - Education,92705.0,,,2005,1,100,Whole Building,Whole Building,,152.3,156.1,68.7,73.0,11.1,0.4,,2817938.3,32450.7,3554617.0,1041798.5,1032722.6,464.8,149.7,315.2,1829.8,19.74,Not found,2018-02-20T00:00:00.000,Not found,40.783399,-73.827742,407.0,19.0,945.0,Whitestone,,,,,,,,,,,,
41,6160087,Sample Multifamily,2345670001,2345670001,,31 Chamber Street,10007,Not found,Not found,Bronx,Not found,44000,Multifamily Housing,Multifamily Housing,Multifamily Housing,44000.0,,,1980,1,100,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,Not found,2018-02-20T00:00:00.000,Not found,,,,,,,,,,,,,,,,,,
42,6143730,Jay Cee of New York Corp.,,,,35 WEST 31ST STREET,10001,Not found,Not found,Manhattan,Not found,32500,Office,Office,Office,32500.0,,,1904,1,85,Whole Building,Whole Building,59.0,119.1,,61.4,,,,,2346.7,,870169.5,255032.1,,160.7,83.5,77.1,71712.1,2206.53,Not found,2018-02-20T00:00:00.000,Not found,40.747189,-73.987466,105.0,4.0,76.0,Midtown-Midtown South,1123872.1,,,,,,,,,,,
43,6143720,New York Midtown Corp,,,,222 West 37th Street,10018,Not found,Not found,Manhattan,Not found,39655,Office,Office,Office,39655.0,,,1923,1,85,Whole Building,Whole Building,52.0,131.0,,64.0,,,,,,,,,,185.7,77.8,,1330.9,33.56,Not found,2018-02-20T00:00:00.000,Not found,40.753255,-73.990121,105.0,3.0,109.0,Midtown-Midtown South,358179.0,,,,,,,,,,,
44,5019047,The Salem House,1015777501,1-01577-7501,1050880,520 East 81st Street,10028,Not found,Not found,Manhattan,Not found,65000,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,65000.0,Parking,10000.0,1955,1,100,Whole Building,,,201.9,,146.5,,,,,8025038.8,,1495515.8,438310.6,,558.8,426.2,132.6,4661.1,71.71,Not found,2018-02-20T00:00:00.000,Not found,40.772408,-73.94879,108.0,5.0,136.0,Yorkville,,,,,,,,,,,,
45,5841271,Davidson Avenue,2031990038,2-03199-0038,2014312,2401 Davdison Avenue,10452,Not found,Not found,Bronx,Not found,63108,Multifamily Housing,Multifamily Housing,Multifamily Housing,63108.0,,,1926,1,100,Whole Building,Whole Building,,133.7,,100.5,,,,,5492195.8,,851396.1,249529.9,,367.2,291.7,75.5,,,Not found,2018-02-20T00:00:00.000,Not found,,,,,,,,,,,,,,,,,,
46,5777220,Whitney Museum of American Art,1006440010,1-00644-0010,1089240,99 Gansevoort Street,10014,Not found,Not found,Manhattan,Not found,220000,Museum,Museum,Museum,220000.0,,,2015,1,100,Whole Building,Whole Building,,345.7,351.9,170.2,175.5,23.5,1.0,,19855781.4,209649.5,17580074.3,5152424.4,5172404.4,2613.3,1054.6,1558.6,9446.6,42.94,Not found,2018-02-21T00:00:00.000,Not found,40.739386,-74.008967,102.0,3.0,79.0,West Village,,,,,,,,985.4,2017-09-01T00:00:00.000,,,
47,2605457,madison square garden,1007819001,1-00781-9001,1082908,4 penn plaza,10001,Not found,Not found,Manhattan,Not found,1102735,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,1102735.0,,,1968,1,100,Whole Building,,,304.4,308.4,122.4,125.7,23.9,0.1,38591282.7,6441106.3,66883.2,89965163.2,26367277.9,26367277.9,2904.5,342.1,2562.4,,,Not found,2018-02-21T00:00:00.000,Not found,40.750662,-73.991944,105.0,3.0,101.0,Midtown-Midtown South,,,,,,,,,,,,
48,2959868,JOLLY HOTEL USA,1008670055,1008670055,1017220,241 Madison Avenue,10006,Not found,Not found,Manhattan,Not found,137200,Hotel,Hotel,Hotel,135200.0,,,1930,1,100,Whole Building,,70.0,191.9,199.2,119.2,126.4,9.8,,,,,4541399.4,1331007.9,1331007.9,1273.7,871.0,402.6,8762.8,64.81,Not found,2018-02-21T00:00:00.000,Not found,40.750002,-73.981315,106.0,4.0,82.0,Murray Hill-Kips Bay,,,,11569322.7,,,,,,,,
49,6224376,"605 East 132 Street,LLC",,,,605 East 132 Street,10454,Not found,Not found,Bronx,Not found,38150,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,38150.0,,,1931,1,80,,Whole Building,,,,,,,,,,,,,,0.0,0.0,0.0,,,Not found,2018-02-21T00:00:00.000,Not found,40.80243,-73.919091,201.0,8.0,19.0,Mott Haven-Port Morris,,,,,,,,,,,,
50,6231254,43rd Ave Enterprises Corp.,4004420018,4/442/18,4005200,4310 21st Street,11101,Not found,Not found,Queens,Not found,40480,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,40480.0,,,1931,1,100,Whole Building,Whole Building,,49.4,,21.1,,,,,326400.0,,528177.4,154799.9,,64.2,17.3,46.8,18428.5,455.25,Not found,2018-02-21T00:00:00.000,Not found,40.750482,-73.945815,402.0,26.0,19.0,Hunters Point-Sunnyside-West Maspeth,,,,,,,,,,,,
51,6182209,Staples,,,,24-41 31st St,11102,Not found,Not found,Queens,Not found,14700,Retail Store,Retail Store,Retail Store,14700.0,,,1961,1,100,Whole Building,Whole Building,30.0,235.0,234.4,81.4,82.1,20.8,0.1,,145600.0,1642.9,1051476.0,308170.0,305505.5,101.0,7.7,93.2,74.1,5.04,Not found,2018-02-21T00:00:00.000,Not found,40.771338,-73.916544,401.0,22.0,125.0,Steinway,,,,,,,,,,,,
