order,property_id,property_name,bbl_10_digits,nyc_borough_block_and_lot,nyc_building_identification,address_1_self_reported,postal_code,street_number,street_name,borough,dof_gross_floor_area_ft,self_reported_gross_floor,primary_property_type_self,list_of_all_property_use,largest_property_use_type,largest_property_use_type_1,_2nd_largest_property_use,_2nd_largest_property_use_1,year_built,number_of_buildings,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,source_eui_kbtu_ft,weather_normalized_source,site_eui_kbtu_ft,weather_normalized_site_eui,weather_normalized_site,weather_normalized_site_1,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_2,electricity_use_grid_purchase,electricity_use_grid_purchase_1,weather_normalized_site_3,total_ghg_emissions_metric,direct_ghg_emissions_metric,indirect_ghg_emissions_metric,water_use_all_water_sources,water_use_intensity_all_water,water_required,generation_date,dof_benchmarking_submission,latitude,longitude,community_board,council_district,census_tract,nta,fuel_oil_2_use_kbtu,_3rd_largest_property_use,_3rd_largest_property_use_1,fuel_oil_4_use_kbtu,parent_property_id,parent_property_name,address_2_self_reported,annual_maximum_demand_kw,annual_maximum_demand_mm,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_chilled_water_use
512,2786491,1512-1514 Townsend,2028450007,2028450007,2092057,1512 Townsend AVE,10452,Not found,Not found,Bronx,Not found,84801,Multifamily Housing,Multifamily Housing,Multifamily Housing,84801.0,,,1926,1,100,Whole Building,Whole Building,54.0,139.2,146.6,94.1,101.1,5.7,0.8,,6340213.1,69348.9,1639797.5,480597.1,480496.6,482.1,336.8,145.4,5528.5,65.19,Not found,2018-03-27T00:00:00.000,Not found,40.842478,-73.914915,204.0,14.0,209.0,West Concourse,,,,,,,,,,,,
513,2786510,1530-1532 Townsend,2028450017,2028450017,2008122,1530-1532 Townsend Ave,10452,Not found,Not found,Bronx,Not found,52221,Multifamily Housing,Multifamily Housing,Multifamily Housing,52221.0,,,1926,1,100,Whole Building,Whole Building,87.0,102.7,108.9,72.0,77.9,3.8,0.6,,3081526.6,33913.7,676989.3,198414.2,198414.2,223.7,163.7,60.0,2982.5,57.11,Not found,2018-03-27T00:00:00.000,Not found,40.842804,-73.914683,204.0,14.0,209.0,West Concourse,,,,,,,,,,,,
514,2786511,1615-1617 Walton,2028470063,2028470063,2008152,1615-1617 Walton Ave.,10452,Not found,Not found,Bronx,Not found,65057,Multifamily Housing,Multifamily Housing,Multifamily Housing,65057.0,,,1926,1,100,Whole Building,Whole Building,29.0,161.5,170.2,114.7,123.0,5.8,1.0,,6184923.6,67214.9,1277825.7,374509.2,374509.2,441.8,328.5,113.3,5503.4,84.59,Not found,2018-03-27T00:00:00.000,Not found,40.844027,-73.91277,204.0,14.0,22702.0,Mount Hope,,,,,,,,,,,,
515,2786512,1525-1533 Townsend,2028460061,2028460061,2008143,1525-1533 Townsend Ave.,10452,Not found,Not found,Bronx,Not found,81641,Multifamily Housing,Multifamily Housing,Multifamily Housing,81641.0,,,1927,1,100,Whole Building,,21.0,150.6,158.0,105.7,112.4,5.6,0.9,,7082306.6,76154.0,1547400.9,453517.2,457333.9,513.4,376.2,137.2,,,Not found,2018-03-27T00:00:00.000,Not found,40.842703,-73.914777,204.0,14.0,209.0,West Concourse,,,,,,,,,,,,
516,2786513,1610-1618 Walton,2028380004,2028380004,2008021,1610-1618 Walton Ave,10452,Not found,Not found,Bronx,Not found,53965,Multifamily Housing,Multifamily Housing,Multifamily Housing,53965.0,,,1926,1,100,Whole Building,Whole Building,65.0,124.2,131.3,89.7,96.5,4.2,0.8,,4067850.2,44316.5,774194.1,226903.3,226903.3,284.7,216.1,68.6,2580.8,47.82,Not found,2018-03-27T00:00:00.000,Not found,40.843955,-73.912795,204.0,14.0,22702.0,Mount Hope,,,,,,,,,,,,
517,2786514,1550 Townsend,2028450020,2028450020,2008123,1550 Townsend Ave,10452,Not found,Not found,Bronx,Not found,66261,Multifamily Housing,Multifamily Housing,Multifamily Housing,66261.0,,,1928,1,100,Whole Building,Whole Building,61.0,128.5,134.7,90.5,96.3,4.7,0.8,,4930343.6,53172.6,1063713.7,311756.6,311756.6,356.2,261.9,94.3,,,Not found,2018-03-27T00:00:00.000,Not found,40.843166,-73.914423,204.0,14.0,209.0,West Concourse,,,,,,,,,,,,
518,3076519,315 Building,1018480042,1-01848-0042,1055851,315 West 115th Street,10026,Not found,Not found,Manhattan,Not found,62000,Multifamily Housing,Multifamily Housing,Multifamily Housing,62000.0,,,1914,1,100,Whole Building,,100.0,45.8,45.2,21.2,20.7,3.3,0.1,,618694.1,5931.3,696548.7,204146.7,203168.0,94.6,32.9,61.8,,,Not found,2018-03-27T00:00:00.000,Not found,40.804045,-73.95655,110.0,9.0,20102.0,Central Harlem South,,,,,,,,,,,,
519,4022575,103 Building,1021750045,1-02175-0045,1064226,103 Thayer Street,10040,Not found,Not found,Manhattan,Not found,58400,Multifamily Housing,"Multifamily Housing, Office, Other - Restaurant/Bar",Multifamily Housing,53050.0,Other - Restaurant/Bar,4600.0,1925,1,100,Whole Building,Whole Building,,153.4,156.7,113.3,117.1,4.7,1.0,,5658303.3,59006.7,960204.7,281419.9,275689.3,385.7,300.5,85.1,,,Not found,2018-03-27T00:00:00.000,Not found,40.864559,-73.927761,112.0,10.0,287.0,Washington Heights North,,Office,750.0,,,,,,,,,
520,2773196,550 Barry Street,2026060204,2026060204,,550 Barry Street,10474,Not found,Not found,Bronx,Not found,53000,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,53000.0,,,1910,1,100,Whole Building,,71.0,47.5,53.1,37.8,43.1,1.1,0.4,,1802499.7,20835.5,199465.5,58460.0,58460.0,113.4,95.7,17.7,335.1,6.32,Not found,2018-03-27T00:00:00.000,Not found,40.809813,-73.895096,202.0,17.0,93.0,Hunts Point,,,,,,,,,,,,
521,2630596,"AIMCO 240 West 73rd Street, LLC",1011640047,1-01164-0047,1030522,240 West 73rd Street,10017,Not found,Not found,Manhattan,Not found,110504,Multifamily Housing,"Medical Office, Multifamily Housing, Other - Recreation",Multifamily Housing,106439.0,Other - Recreation,2110.0,1927,1,100,Whole Building,Whole Building,,160.3,166.0,92.6,98.0,8.9,0.7,,6889800.4,74901.6,3338300.7,978399.9,978399.9,661.9,366.0,296.0,5446589.9,49288.62,Not found,2018-03-27T00:00:00.000,Not found,40.779876,-73.982553,107.0,6.0,159.0,Lincoln Square,,Medical Office,1955.0,,,,,,,,,
