borough,block,lot,bin,agency,building,rating,current_source_energy_intensity_kbtu_sq_ft,current_total_ghg_emissions_mtco2e,rating_2,source_energy_intensity_kbtu_sq_ft,total_ghg_emissions_mtco2e,address,city,state,zip,gross_sq_ft,year_built,epapmbenchmarkedas,campus_name
3,7556,150,3327317,Brooklyn College Campus: Ingersoll Hall,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7556,150,3327317,Brooklyn College Campus: Ingersoll Hall Extension,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7556,150,3327319,Brooklyn College Campus: LaGuardia Hall,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,5245,8,3121504,Brooklyn College Campus: Newman Center,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7575,33,9999999,Brooklyn College Campus: Nostrand Ave Lot #33,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7575,53,9999999,Brooklyn College Campus: Nostrand Ave Lot #53,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7575,54,9999999,Brooklyn College Campus: Nostrand Ave Lot #54,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,5116,1,3253073,Brooklyn College Campus: President's Residence,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7552,100,3205787,Brooklyn College Campus: Roosevelt Hall,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7552,100,3205787,Brooklyn College Campus: Roosevelt Hall Extension,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,2622,28,3065733,K034,DOE, 84 , 125.4 ,6.1,83,127.8,6.3,75, 140.8 ,6.3,86.0,120.4,5.5,Individual building,
3,7555,27,3205803,Brooklyn College Campus: Student Union,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7552,100,3389802,Brooklyn College Campus: West End Bldg,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7552,100,3391507,Brooklyn College Campus: West Quad Bldg,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7556,150,3327318,Brooklyn College Campus: Whitehead Hall,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7556,150,3327321,Brooklyn College Campus: Whitman / Gershwin Hall,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
3,7552,100,3347326,Brooklyn College Campus: William James Hall,CUNY, N/A , 319.2 ,11.6,,319.2,11.5,, 308.3 ,10.6,,309.2,11.1,Part of campus,Brooklyn College Campus
2,2920,2,2086675,Bx CC  Campus: EOC - Bathgate Industrial Park,CUNY, N/A , 95.3 ,2.5,,94.5,2.5,, 109.6 ,2.9,,119.4,3.1,Part of campus,Bronx Community College Campus
3,250,44,3002108,Central Office Campus: 16 Court Street - BIN 3002108,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,807,39,1015182,Central Office Campus: 31st St - Admin. & Student Srvs.,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,600,1002,1010382,Central Office Campus: 395 Hudson Street,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,1316,5,9999999,Central Office Campus: 42nd Street - Central Office,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,1086,1,1027072,Central Office Campus: BMW Bldg,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,2153,81,1081875,Central Office Campus: CUNY Express,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,1931,21,1058659,Central Office Campus: CUNY Hub for Innovation and Entrepreneurship,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
2,3167,1,2013811,Central Office Campus: CUNY on the Concourse,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
4,99999,9999,9999999,Central Office Campus: Gertz Plaza,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,863,76,1017094,Central Office Campus: Institute for State and Local Government (ISLG),CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,1259,19,1034206,Central Office Campus: Murphy Institute,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,1012,15,1080830,Central Office Campus: Research Foundation Building,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,1258,9,1034196,Central Office Campus: W.R. Grace AdmissionsBldg.,CUNY, N/A , 13.5 ,0.4,,30.5,0.8,, 36.8 ,1.0,,36.2,0.9,Part of campus,Central Office Campus
1,13,27,1000045,City College of NY Campus: 25 Broadway,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,1,1084075,City College of NY Campus: Aaron Davis Hall,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,2058,11,1075501,City College of NY Campus: Alumni House,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,200,1084085,City College of NY Campus: Baskerville Hall,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,200,1084083,City College of NY Campus: Compton - Goethals Hall,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,200,1084082,City College of NY Campus: Harris Hall,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,105,1085670,City College of NY Campus: Howard E. Wille Admin. Bldg.,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,100,1059410,City College of NY Campus: Marshak Hall,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,1,1084067,City College of NY Campus: Mott Hall - D. O. E.,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,200,1084081,City College of NY Campus: North Academic Cntr,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,1,1084069,City College of NY Campus: Schiff House - Child Care Cntr,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
3,1674,11,3047054,K035,DOE, 68 , 103.4 ,4.2,64,106.7,4.4,78, 103.9 ,4.3,61.0,126.2,5.6,Individual building,
1,1957,105,1084077,City College of NY Campus: Shepard Hall,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,1,1084073,City College of NY Campus: Spitzer Sch of Architecture,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,129,1084078,City College of NY Campus: Steinman Hall,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,2071,27,1012529,City College of NY Campus: Storehouse,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,1,1084068,City College of NY Campus: Structural Bio Cntr,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,5,1813178,City College of NY Campus: The Towers at CCNY,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,100,1813261,City College of NY Campus: Vivarium,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
1,1957,200,1084084,City College of NY Campus: Wingate Hall,CUNY, N/A , 251.1 ,7.6,,266.9,8.5,, 245.1 ,7.4,,269.4,8.3,Part of campus,City College of New York Campus
5,2040,1,9999999,College of SI Campus: 1H-Residence Hall - North Building,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,9999999,College of SI Campus: 2H-Residence Hall - South Building,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107296,College of SI Campus: Astrophysical Observatory,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5131066,College of SI Campus: Biological & Chemical Sciences,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107294,College of SI Campus: Business Bldg,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107291,College of SI Campus: Campus Center / Cafeteria,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107288,College of SI Campus: Campus Srvs. & Central Plant,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107297,College of SI Campus: Center for the Arts,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107289,College of SI Campus: Children's Cntr,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107292,College of SI Campus: Computer Sci. / Eng Sci & Physics,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107304,College of SI Campus: Education Bldg,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107303,College of SI Campus: Eng. / Modern Languages,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
