borough,block,lot,bin,agency,building,rating,current_source_energy_intensity_kbtu_sq_ft,current_total_ghg_emissions_mtco2e,rating_2,source_energy_intensity_kbtu_sq_ft,total_ghg_emissions_mtco2e,address,city,state,zip,gross_sq_ft,year_built,epapmbenchmarkedas,campus_name
2,2350,11,2817000,Hostos Community College Campus: Trailer Site #5 (Walton),CUNY, N/A , 174.9 ,5.6,,166.8,5.3,, 163.0 ,5.1,,172.7,5.5,Part of campus,Hostos Community College Campus
2,2350,24,2001088,Hostos Community College Campus: Trailer Site #6 (471 Lot),CUNY, N/A , 174.9 ,5.6,,166.8,5.3,, 163.0 ,5.1,,172.7,5.5,Part of campus,Hostos Community College Campus
1,225,8,1002933,Hunter College Campus: 205 Hudson Hunter MFA,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,962,100,1069579,Hunter College Campus: Brookdale East Bldg,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,962,100,1069579,Hunter College Campus: Brookdale North Bldg,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,962,100,1069579,Hunter College Campus: Brookdale West Bldg,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,1506,21,1047404,Hunter College Campus: Campus School,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,1402,49,1802539,Hunter College Campus: East Bldg,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,1050,6,1026319,Hunter College Campus: Master of Fine Arts Bldg,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,1403,1,1081419,Hunter College Campus: North Bldg,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,1399,150,1042405,Hunter College Campus: Parliamo Italiano,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,1380,30,1041133,Hunter College Campus: Roosevelt House,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,1767,39,1088302,Hunter College Campus: Silberman School of Social Work,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,1403,1,1081418,Hunter College Campus: Thomas Hunter Hall,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,1402,13,1042468,Hunter College Campus: West Bldg,CUNY, N/A , 204.5 ,6.7,,212.5,6.9,, 206.7 ,6.7,,204.7,6.7,Part of campus,Hunter College Campus
1,1102,18,1027155,John Jay College Campus: 54th Street Academic Annex,CUNY, N/A , 176.6 ,6.3,,251.8,8.8,, 306.0 ,11.1,,305.9,11.5,Part of campus,John Jay College Campus
1,1086,1,1027072,John Jay College Campus: BMW Building,CUNY, N/A , 176.6 ,6.3,,251.8,8.8,, 306.0 ,11.1,,305.9,11.5,Part of campus,John Jay College Campus
1,1045,20,1025410,John Jay College Campus: Bramshill Residence,CUNY, N/A , 176.6 ,6.3,,251.8,8.8,, 306.0 ,11.1,,305.9,11.5,Part of campus,John Jay College Campus
1,1087,25,1027085,John Jay College Campus: Haaren Hall Bldg,CUNY, N/A , 176.6 ,6.3,,251.8,8.8,, 306.0 ,11.1,,305.9,11.5,Part of campus,John Jay College Campus
1,1087,25,1027984,John Jay College Campus: New Building,CUNY, N/A , 176.6 ,6.3,,251.8,8.8,, 306.0 ,11.1,,305.9,11.5,Part of campus,John Jay College Campus
1,1131,1,1028826,John Jay College Campus: North Hall,CUNY, N/A , 176.6 ,6.3,,251.8,8.8,, 306.0 ,11.1,,305.9,11.5,Part of campus,John Jay College Campus
1,232,2,4825459,John Jay College Campus: Queens Residence,CUNY, N/A , 176.6 ,6.3,,251.8,8.8,, 306.0 ,11.1,,305.9,11.5,Part of campus,John Jay College Campus
1,1084,25,1086199,John Jay College Campus: Westport Bldg,CUNY, N/A , 176.6 ,6.3,,251.8,8.8,, 306.0 ,11.1,,305.9,11.5,Part of campus,John Jay College Campus
3,8760,60,3326936,Kingsborough CC  Campus: Academic Village,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3326934,Kingsborough CC Campus: Arts and Sciences Cntr,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3326939,Kingsborough CC Campus: Central Services,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3347727,Kingsborough CC Campus: College Cntr,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3347725,Kingsborough CC Campus: Health & Physical Education Cntr,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3326938,Kingsborough CC Campus: Leon M. Goldstein HS for the Sciences,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3226937,Kingsborough CC Campus: Leon M. Goldstein Performing Arts Cntr,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3326935,Kingsborough CC Campus: Marine and  Academic Cntr,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,9999999,Kingsborough CC Campus: MV Mike Drucker Boat,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3348024,Kingsborough CC Campus: Robert J. Kibbee Library & Media Cntr,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3347726,Kingsborough CC Campus: Security (Guard House),CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,9999999,Kingsborough CC Campus: Storage and Kennel,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3852579,Kingsborough CC Campus: Temporary Bldg  #1 (UAPC),CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3852580,Kingsborough CC Campus: Temporary Bldg  #2,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3852581,Kingsborough CC Campus: Temporary Bldg  #3,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3852582,Kingsborough CC Campus: Temporary Bldg  #4,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3852583,Kingsborough CC Campus: Temporary Bldg  #5,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3852584,Kingsborough CC Campus: Temporary Bldg  #6,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3852585,Kingsborough CC Campus: Temporary Bldg  #7,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3852586,Kingsborough CC Campus: Temporary Bldg  #8,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,250,3349320,Kingsborough CC Campus: Vehicle Storage,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3347724,Kingsborough CC Campus: West Academic Cluster - Wing C,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3347724,Kingsborough CC Campus: West Academic Cluster - Wing D,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3347724,Kingsborough CC Campus: West Academic Cluster - Wing E,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3347724,Kingsborough CC Campus: West Academic Cluster - Wing F,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
3,8760,60,3326937,Kingsborough CC: Admin. Bldg,CUNY, N/A , 293.6 ,10.4,,295.4,10.5,, 249.8 ,8.6,,299.7,11.1,Part of campus,Kingsborough Community College Campus
4,274,1,4003517,LaGuardia Community College Campus: B - B Bldg,CUNY, N/A , 60.7 ,2.5,,62.0,2.5,, 61.1 ,2.5,,60.3,2.4,Part of campus,LaGuardia Community College Campus
4,273,1,4003516,LaGuardia Community College Campus: C - Center 3 Bldg,CUNY, N/A , 60.7 ,2.5,,62.0,2.5,, 61.1 ,2.5,,60.3,2.4,Part of campus,LaGuardia Community College Campus
4,279,1,4003535,LaGuardia Community College Campus: E - E Bldg,CUNY, N/A , 60.7 ,2.5,,62.0,2.5,, 61.1 ,2.5,,60.3,2.4,Part of campus,LaGuardia Community College Campus
4,278,1,4003534,LaGuardia Community College Campus: M - Joseph Shenker Hall,CUNY, N/A , 60.7 ,2.5,,62.0,2.5,, 61.1 ,2.5,,60.3,2.4,Part of campus,LaGuardia Community College Campus
4,272,1,4012991,LaGuardia Community College Campus: Parking Lot (47th Ave & 29th St),CUNY, N/A , 60.7 ,2.5,,62.0,2.5,, 61.1 ,2.5,,60.3,2.4,Part of campus,LaGuardia Community College Campus
4,115,163,4000515,LaGuardia Community College Campus: Parking Lot (47th Ave & 30th St),CUNY, N/A , 60.7 ,2.5,,62.0,2.5,, 61.1 ,2.5,,60.3,2.4,Part of campus,LaGuardia Community College Campus
2,3247,165,2097309,Lehman College Campus: APEX Bldg,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2097311,Lehman College Campus: Bookstore Bldg,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,230,2015246,Lehman College Campus: Carman Hall,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2097318,Lehman College Campus: Chiller Plant,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2103693,Lehman College Campus: Communications Bldg,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2097317,Lehman College Campus: Concert Hall,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2097312,Lehman College Campus: Davis Hall,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2097313,Lehman College Campus: Fine Arts Bldg,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2098696,Lehman College Campus: Gillet Hall,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2119733,Lehman College Campus: Lehman College Childcare Center,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
3,191,1,3001183,K038,DOE, 68 , 88.6 ,4.0,60,95.7,4.6,77, 78.9 ,3.8,81.0,75.6,3.8,Individual building,
2,3247,1,2097315,Lehman College Campus: Library,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2097318,Lehman College Campus: Music Bldg,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2829116,Lehman College Campus: Nursing Bldg,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2097314,Lehman College Campus: Old Gymnasium Bldg,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,5749,695,2083515,Lehman College Campus: President's Residence,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3246,2,2015222,Lehman College Campus: Reservoir Bldg  -  H.S. (D. O. E.),CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2116604,Lehman College Campus: Science Hall,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,220,2095245,Lehman College Campus: Shuster Hall,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2098697,Lehman College Campus: Speech & Theater Bldg,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,1,2097316,Lehman College Campus: Student Life Bldg,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
2,3247,220,2015245,Lehman College Campus: Tunnels,CUNY, N/A , 106.5 ,4.5,,111.0,4.7,, 106.6 ,4.5,,104.8,4.5,Part of campus,Lehman College Campus
3,1259,36,3032563,Medgar Evers College Campus: 391 Eastern Pkwy (1534 Bedford Ave),CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1287,48,3033791,"Medgar Evers College Campus: AB1 - Sch of Sci, Hlth and Tech.",CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1295,2,3034085,Medgar Evers College Campus: Admissions / Bookstore Bldg,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1294,1,3034075,Medgar Evers College Campus: Bedford Bldg,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Carroll Street Bldg,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Electric Room for Portables,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P01 P03,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P02 P04,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P05 P07 P09A,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P06 P08,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P09 P10,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P11 P13,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P12 P14,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P15 P17,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P16 P18,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P19,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P20 P23,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P21,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1289,25,3337869,Medgar Evers College Campus: Portable P22,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
3,1288,1,3033796,Medgar Evers College Campus: School of Business and Student Srvs.,CUNY, N/A , 150.1 ,6.6,,200.5,6.5,, 188.9 ,6.0,,199.6,6.2,Part of campus,Medgar Evers College Campus
4,7490,2,4862628,QCC  Campus: Admin. / Business Bldg,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,3011649,QCC Campus: Annex A,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,3011649,QCC Campus: Annex B,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4439435,QCC Campus: Boiler Room,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4439439,QCC Campus: C Bldg,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4862627,QCC Campus: Cafeteria / Student Union Bldg,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4439431,QCC Campus: Humanities Bldg,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4439435,QCC Campus: Kennedy Hall Gymnasium,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4444187,QCC Campus: Kurt Schmeller Library,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4439438,QCC Campus: Medical ArtsBldg,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4439433,QCC Campus: Oakland Bldg,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4439434,QCC Campus: Science Bldg,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4845889,QCC Campus: Service Bldg,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4439432,QCC Campus: Technology Bldg,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4862629,QCC Campus: Temporary #5 - Garage,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4458074,QCC Campus: Temporary Y1,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4439437,QCC Campus: Temporary Y2,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,7490,2,4834375,QCC Campus: Temporary Z,CUNY, N/A , 303.5 ,11.3,,296.5,11.0,, 286.7 ,10.5,,309.3,11.5,Part of campus,Queensborough Community College Campus
4,6517,1,4467564,Queens College Campus: Alumni Hall Entrepreneurship Cntr,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6507,100,4141869,Queens College Campus: Athletic Field House,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439913,Queens College Campus: Benjamin Rosenthal Library,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439912,Queens College Campus: Campbell Dome,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,9999999,Queens College Campus: CEP - 1,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,9999999,Queens College Campus: CEP - 2,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439917,Queens College Campus: Colden Auditorium,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,9999999,Queens College Campus: DASNY Trailer,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4467560,Queens College Campus: Dining Hall,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4467567,Queens College Campus: Dining Hall Addition,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,1259,19,1034206,Queens College Campus: Extension Cntr,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439916,Queens College Campus: Fitzgerald Gymnasium,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,4976,27,4112321,Queens College Campus: Flushing Center for Higher Ed.,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439915,Queens College Campus: Fuel Oil Pump House,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4467561,Queens College Campus: G Building,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439920,Queens College Campus: Gertz Speech Clinic,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439918,Queens College Campus: Goldstein Theatre,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4467569,Queens College Campus: Gregory Razran Hall,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439915,Queens College Campus: Heating Plant,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,9999999,Queens College Campus: Honors Cntr,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439912,Queens College Campus: Hortense Powdermaker Hall,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4467562,Queens College Campus: I Bldg,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
3,525,1,3008342,K027,DOE, 69 , 116.8 ,4.6,69,116.9,4.4,74, 110.0 ,4.1,64.0,123.6,4.8,Individual building,
4,6517,1,4439920,Queens College Campus: Irrigation Pump House,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439910,Queens College Campus: Jefferson Hall,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6517,1,4439921,Queens College Campus: King Hall,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
4,6743,29,4146646,Queens College Campus: Kissena Hall,CUNY, N/A , 229.0 ,7.5,,227.3,7.5,, 219.1 ,7.1,,229.0,7.8,Part of campus,Queens College Campus
