,propid,boro,community_board,council_district,garden_name,address,size,jurisdiction,neighborhoodname,cross_streets,latitude,longitude,postcode,census_tract,bin,bbl,nta
271,X327,X,X04,16.0,La Isla,96-98 W. 163rd Street,0.11,DPR,Highbridge,Active,40.832115,-73.929249,10452,189.0,2000000,2025110065,Highbridge                                                                 
272,M373,M,M07,8.0,La Perla Garden,76 W. 105th Street,0.036,DPR,Upper West Side,Active,40.798286,-73.962719,10025,189.0,1000000,1018400061,Upper West Side                                                            
273,M325,M,M03,2.0,La Plaza Cultural-Armando Perez,632-650 E. 9th Street,0.64,DPR,East Village,Active,40.725815,-73.979248,10009,2602.0,1000000,1003910023,Lower East Side                                                            
274,NA,M,M02,2.0,LaGuardia Corner Community Garden,511 LaGuardia Place,0.08,DOT,Greenwich Village,Bleecker & Houston Streets.,40.727809,-73.999159,10012,5501.0,1008242,1005240009,West Village                                                               
275,X328,X,X04,16.0,Las Casitas Community Garden,1126 - 1140 Woodycrest Avenue,0.19,DPR,Highbridge,Active,40.835464,-73.925809,10452,199.0,2091252,2025090036,Highbridge                                                                 
276,X337,X,X01,17.0,Latinos Unidos,427 East 157th Street,0.116,DPR,,Active,40.821362,-73.914154,10451,69.0,2000000,2023790030,Melrose South-Mott Haven North                                             
277,NA,X,X05,0.0,Learning Tree,1885 University Avenue (behind Calvary Methodist Church),NA,PRI,,W. Burnside & W. Tremont,40.852536,-73.913333,10453,24501.0,2009056,2028790035,University Heights-Morris Heights                                          
278,B479,B,B03,19.0,Lefferts Place Block Association,162 Lefferts Place,0.068,DPR,,Active,40.6806,-73.957474,11238,227.0,3000000,3020200019,Clinton Hill                                                               
279,M346,M,M11,8.0,"Life Spire (CRMD, Inc.)",2015 Lexington Avenue,0.02,DPR,Harlem,Active,40.802809,-73.938552,10035,196.0,1000000,1017710121,East Harlem North                                                          
280,B480,B,B09,40.0,Lincoln Road Garden,316 Lincoln Road,0.065,DPR,,Active,40.661467,-73.952239,11225,800.0,       ,          ,Prospect Lefferts Gardens-Wingate                                          
