,propid,boro,community_board,council_district,garden_name,address,size,jurisdiction,neighborhoodname,cross_streets,latitude,longitude,postcode,census_tract,bin,bbl,nta
384,M113,M,M03,2.0,P.S. 361 - The Children's Garden,East 12th Street,0.028,DPR,East Village,Active,,,,,,,
385,NA,B,B06,39.0,P.S. 372@834 / The Children's School,219 First Street,NA,DOE,,Carrol Street,40.675628,-73.985634,11215,119.0,3395604,3004550001,Park Slope-Gowanus                                                         
386,NA,X,X05,0.0,P.S. 396 / M.S. 390 X,"1930 Andrews Avenue, Bronx NY 10453",NA,TPL/DOE,Kingbridge Heights,Burnside & University,40.854701,-73.913197,10453,24502.0,2014692,2032160002,University Heights-Morris Heights                                          
387,NA,B,B17,40.0,P.S. 399,2707 Albemarle Road,0.505,DOE,,,40.648044,-73.951891,11226,824.0,3117396,3051110001,Erasmus                                                                    
388,NA,M,M12,0.0,P.S. 4 - Duke Ellington Harmony Garden,500 West 160th Street,NA,DOE,Harlem,,40.834899,-73.941085,10032,245.0,1062792,1021180022,Washington Heights South                                                   
389,NA,B,B05,42.0,P.S. 4 at P.S. 843,530 Stanley Avenue,0.023,DOE,East New York,,40.657212,-73.888852,11207,1104.0,3324010,3043690001,East New York                                                              
390,NA,Q,Q12,28.0,P.S. 48Q,155-02 108th Avenue,NA,DOE,,,40.694119,-73.797003,11433,254.0,4216099,4101440042,South Jamaica                                                              
391,NA,Q,Q05,0.0,P.S. 49Q,79-15 Penelope Avenue,0.007,DOE,,Corner of Penelope & 79th Street,40.719071,-73.875437,11379,663.0,4069253,4029900045,Middle Village                                                             
392,B417,B,B05,37.0,P.S. 4K - Paradise Garden,676-696 Glenmore Avenue,0.3,DPR,East New York,Active,40.674778,-73.885228,11207,1150.0,3000000,3040000010,East New York                                                              
393,NA,M,M04,0.0,P.S. 51,520 West 45th Street  NY  NY 10036,NA,DOE,Clinton Hill,10th & 11th Avenue,40.762061,-73.995307,10036,129.0,1000000,1010730040,Clinton                                                                    
394,B485,B,B05,42.0,P.S. 53,522 Bradford Street,0.062,DPR,East New York,Active,40.666063,-73.890503,11207,1126.0,3000000,3038090038,East New York (Pennsylvania Ave)                                           
395,NA,B,B14,40.0,P.S. 6 - Operation Push,2242-62 Bedford Avenue,NA,DOE,,,40.649347,-73.955793,11226,794.0,3117230,3051030079,Erasmus                                                                    
396,NA,X,N/A,0.0,P.S. 63 X,"1261 Franklyn Avenue.  Bronx, NY 10456",NA,DOE,Morrisania,169th & Fulton Avenue,,,,,,,
397,NA,X,X01,17.0,P.S. 65 - Garden Club,677 East 141st,0.034,DOE,,Cypress & Powers,,,,,,,
398,NA,B,B02,35.0,P.S. 67 - Charles Dorsey School,51 St. Edwards Street,NA,DOE,,Between Park & Mrytle,40.695633,-73.978215,11205,2901.0,3332507,3020390002,Fort Greene                                                                
399,NA,B,B02,33.0,P.S. 753K @ The Bklyn. School for Career Development,372 Schermerhorn Street,0.032,DOE,Boerum Hill,475 State & 3rd Avenue,40.686419,-73.979444,11217,39.0,3000600,3001740009,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
400,M356,M,M10,9.0,P.S. 76 - Garden of Perserverance,203 W. 120th Street   NY NY 10027,0.057,DPR,Harlem,Active,40.80598,-73.951098,10027,220.0,1000000,1019260027,Central Harlem South                                                       
401,NA,B,B06,33.0,P.S. 77K @ P. S 902K,62 Park Place,0.023,DOE,Park Slope,6th & 5th Avenue,40.678983,-73.976497,11217,12902.0,3259250,3009410050,Park Slope-Gowanus                                                         
402,NA,Q,N/A,0.0,P.S. 86Q,87-41 Parsons Boulevard.,NA,DOE,,87th Avenue,40.708898,-73.803938,11432,448.0,4438678,4097740001,Briarwood-Jamaica Hills                                                    
403,NA,Q,Q05,26.0,P.S. 9 - Enis Garden,58-74 57th Street,NA,DOE,,,40.718935,-73.912208,11378,535.0,4059130,4026310106,Maspeth                                                                    
404,NA,B,B08,35.0,P.S. 9 - Winston Robins Memorial Garden,"80 Underhill Avenue  Broolyn, NY   11328",NA,DOE,Prospect Heights,Bergan & Street Marks,40.678297,-73.965541,11238,205.0,3028204,3011450026,Prospect Heights                                                           
405,NA,X,X10,0.0,P.S. 9 X,"230 East 183rd Street, Bronx NY 10458",NA,DOE,Grand Concourse,Ryer & Valentine Avenue,40.857067,-73.898936,10458,38301.0,2013561,2031500010,Fordham South                                                              
406,NA,Q,Q10,28.0,P.S. 96Q - Garden of Hope,130-01 Rockaway Boulevard.,NA,DOE,So. Ozone Park,130th & Lincoln,40.674991,-73.808371,11420,180.0,4253028,4116940027,South Ozone Park                                                           
407,NA,M,M12,10.0,P.S./I.S. 176,4862 Broadway,NA,DOE,,W 204 / Academy St,40.866706,-73.923948,10034,291.0,1064900,1022340007,Marble Hill-Inwood                                                         
408,NA,M,N/A,0.0,P.S./I.S. 217 - Rooselvelt Island School,645 Main Street,NA,DOE,Roosevelt Island,,40.763894,-73.947916,10044,23802.0,1084848,1013730001,Lenox Hill-Roosevelt Island                                                
409,NA,B,B02,33.0,Pacific High School,112 Schermerhorn Street,NA,DOE,Boerum Hill,Boerum Place & Smith Streets,40.690145,-73.989132,11201,43.0,3000533,3001690009,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
410,X285,X,X01,8.0,Padre Plaza (Success Garden),541-545 E. 139th Street,0.367,DPR,,Active,40.807883,-73.917885,10454,39.0,2000000,2022670063,Mott Haven-Port Morris                                                     
411,NA,B,B05,37.0,Pagans Garden (Linwood Street Block Association),992 Sutter Avenue,0.034,HPD,,At Linwood Street,40.671292,-73.882217,11208,1164.0,3089804,3040500121,East New York                                                              
412,NA,X,X01,17.0,Palmas del Caribe (Eagle Avenue Community Garden),869 Eagle Avenue,0.241,TPL,Melrose,,40.822057,-73.908481,10456,71.0,2125885,2026190018,Melrose South-Mott Haven North                                             
413,NA,M,M11,8.0,Papos Garden,218-220 E. 119th Street,0.034,TPL,East Harlem,2nd & 3rd,40.799617,-73.937963,10035,188.0,1000000,1017830038,East Harlem North                                                          
414,NA,X,X02,18.0,Paradise on Earth Garden,1101-1105 Fox Street,0.252,NYRP,,East 167th Street,40.82664,-73.893877,10459,125.0,2117571,2027180052,Morrisania-Melrose                                                         
415,NA,M,M03,2.0,Parque De Tranquilidad,314-318 East 4th Street,0.082,TPL,East Village,Avenues C & D,40.722038,-73.97961,10009,2601.0,1000000,1003730010,Lower East Side                                                            
416,NA,X,X01,17.0,Passages Academy,511 E. 149th Street & 511 E. 150th Street,NA,DOE,,,40.81478,-73.914459,10455,71.0,2088127,2022760001,Melrose South-Mott Haven North                                             
417,NA,B,B03,41.0,Patchen Avenue United Block Association,49 Patchen Avenue,0.055,TPL,Bed-Stuy,,40.690708,-73.927603,11221,387.0,3000000,3016230004,Stuyvesant Heights                                                         
418,B500,B,B03,41.0,Patrick Van Doren Pocket Park,123 Malcolm X Avenue,0.039,DPR,Bed-Stuy,Active,,,,,,,
419,NA,R,R01,,Pavilion Horticultural Garden,Brownell Street #11,NA,PRI,,Brownell St & Tompkins St,,,,,,,
420,M367,M,M11,8.0,Peaceful Valley,50-52 East 117th Street,0.052,DPR,East Harlem,Active,40.800487,-73.943961,10035,184.0,1000000,1016220050,East Harlem North                                                          
421,M350,M,M03,2.0,Peachtree Garden,236-238 East 2nd Street,0.12,DPR,East Village,Active,40.72149,-73.98216,10009,2202.0,1000000,1003850052,Lower East Side                                                            
422,NA,Q,Q11,19.0,Pembroke Avenue Community Garden (Van Nostrand Court Garden),E/S Pembroke Avenue,0.095,NYRP,,N/O Little Neck Pkwy.,,,,,,,
423,NA,B,B04,34.0,People's Garden (Youth City Little League),1237-1241 Broadway,0.172,TPL,Bed-Stuy,Greene & Bushwick Avenues,40.691653,-73.925825,11221,395.0,3000000,3032830004,Bushwick South                                                             
424,B517,B,B16,,Phoenix Community Garden (formerly Somers Street),Corner of Fulton & Somers Street,NA,DPR,,Active,,,,,,,
425,M299,M,M11,8.0,Pleasant Village Community Garden,342-353 Pleasant Avenue. /502 E. 119th Street,0.38,DPR/HPD,East Harlem,Active,,,,,,,
426,B531,B,B03,,Plenty: Food For All,Hunterfly Place and Atlantic Avenue,0.062,DPR,,Active,,,,,,,
427,B504,B,B18,42.0,Ponderosa Garden,664 East 105th Street,0.092,DPR,,Active,40.649609,-73.897009,11236,974.0,3229489,3081730066,Canarsie                                                                   
428,NA,B,B02,33.0,Poplar Street Community Garden,Poplar Street,0.028,DOT,Brooklyn Heights,At Hicks St,,,,,,,
429,B509,B,B05,37.0,Poppa & Momma Jones Historical Garden,337 Van Siclen Avenue,0.138,DPR,East New York,Active,40.671728,-73.890057,11207,1152.0,       ,          ,East New York                                                              
430,B486,B,B16,42.0,Powell Street Block Association - Powell St,633 Powell Street,0.019,DPR,Brownsville,Active,40.658459,-73.901057,11212,920.0,3000000,3038580001,Brownsville                                                                
431,B516,B,B16,42.0,Powell Street Garden-Livonia,Powell Street,0.459,DPR,Brownsville,Active,,,,,,,
432,B426,B,B01,34.0,Powers Street Garden,276-278 Powers Street,0.115,DPR,,Active,40.712955,-73.939721,11211,481.0,3000000,3029220020,East Williamsburg                                                          
433,B487,B,B16,41.0,Preston Community Garden,1711 Park Place,0.58,DPR,Brownsville,Active,40.671827,-73.920811,11233,363.0,3000000,3014620057,Ocean Hill                                                                 
434,Q475,Q,Q06,29.0,Project Eden,Kessel Street,0.108,DPR,Forest Hills,Active,,,,,,,
435,B423,B,B01,,Project Roots Garden,94 - 110 Walton St.,0.172,DPR,,,40.702631,-73.948631,11206,507.0,3061348,3022500014,Bedford                                                                    
436,B506,B,B05,42.0,Prophecy Garden Church of God of Prophecy,43-69 Malta Street,0.505,DPR/HPD,East New York,Active,40.659475,-73.895603,11207,1130.0,3397031,3042950065,East New York (Pennsylvania Ave)                                           
437,B524,B,B08,35.0,Prospect Heights Community Farm,252-256 St. Marks Avenue,0.193,TPL,Prospect Heights,Active,40.678319,-73.967513,11238,205.0,3000000,3011520020,Prospect Heights                                                           
438,M384,M,M11,9.0,Pueblo Unido,1659 Madison Avenue,0.054,DPR,East Harlem,Active,40.796474,-73.9474,10029,17402.0,1000000,1016160053,East Harlem South                                                          
439,X317,X,X03,17.0,Rainbow Block Association.,379 East 159th Street,0.174,DPR,Melrose,Active,40.823086,-73.914947,10451,141.0,2000000,2024060029,Morrisania-Melrose                                                         
440,NA,B,B08,41.0,Ralph-Lincoln Service Center,1652-1654 St. John's Place,0.163,TPL,Brownsville,,40.670152,-73.923242,11233,359.0,3389921,3013870039,Crown Heights North                                                        
441,X325,X,X09,15.0,Randall Community Garden (Taylor Soundview Block Association),Randall Avenue,0.232,DPR,,Active,,,,,,,
442,B488,B,B03,36.0,Red Gate Garden,604 Marcy Avenue,0.086,DPR,Bed-Stuy,Active,40.693796,-73.948905,11206,253.0,3000000,3017660043,Bedford                                                                    
443,B126B,B,B07,,Red Hook Farm/Added Value,558 Columbia Street,NA,DPR,Red Hook,Active,40.672562,-74.008692,11231,53.0,3000000,3006070001,Carroll Gardens-Columbia Street-Red Hook                                   
444,B489,B,B01,34.0,Red Shed Garden (GREC),Humbolt Street,0.123,DPR,,Active,,,,,,,
445,M352,M,M03,2.0,Relaxation Garden (Suen Dragon Garden),209 Avenue B,0.063,DPR,East Village,Active,40.72859,-73.978637,10009,28.0,1000000,1003950008,Lower East Side                                                            
446,M316,M,M10,9.0,Rev. Linnette C. Williamson Memorial Park,65-67 W. 128th Street,0.057,PRI,West Harlem,Active,40.809144,-73.942758,10027,208.0,1089069,1017260011,Central Harlem North-Polo Grounds                                          
447,M071B,M,M12,7.0,RING Garden - Riverside Inwood Neighborhood Garden,1835 Riverside Drive,0.115,DPR,Inwood,Active,,,,,,,
448,X335,X,X07,15.0,Risse Street Community Garden (Triangle Park),2 East Mosholu Parkway,0.694,DPR,,Active,,,,,,,
449,X245,X,X06,,River Garden,1086 East 180th Street,0.44,DPR,West Farms,Active,40.842204,-73.876529,10460,220.0,2000000,2040030001,East Tremont                                                               
450,M072,M,M09,0.0,Riverside Valley Community Garden,Riverside Park/138th Street,0.115,DPR,Hamilton Heights,Active,,,,,,,
451,NA,X,X04,16.0,Roberto Clemente Community Garden,1272-1280 Shakespeare Avenue,0.254,TPL,Highbridge,Shakespeare Avenue & W 169th St,40.839017,-73.922729,10452,211.0,2000000,2025060087,Highbridge                                                                 
452,M375,M,M11,8.0,Rodale Pleasant Park Community Garden,437-39 East 114th Street/448-450 East 115th Street,0.225,NYRP/DPR,East Harlem,Active,,,,,,,
453,NA,B,B14,40.0,Rogers/Tilden/Veronica Place Block Association,2601-2603 Tilden Avenue.,0.158,TPL,,,40.646757,-73.952588,11226,794.0,3000000,3051280070,Erasmus                                                                    
454,M370,M,M03,2.0,Sam & Sadie Koenig Garden,237 E. 7th Street,0.04,DPR,East Village,Active,40.723877,-73.97835,10009,2602.0,1000000,1003770069,Lower East Side                                                            
455,B490,B,B13,47.0,Santos White Garden,2110 Mermaid Avenue,0.141,DPR,Coney Island,Active,40.576242,-73.988189,11224,326.0,3000000,3070580009,Seagate-Coney Island                                                       
456,X332,X,X02,17.0,Schomburg Satellite Academy H.S.,869 E 164th Street,0.032,DPR,Morrisania,Active,40.82331,-73.899259,10459,12901.0,2005219,2026900137,Longwood                                                                   
457,NA,Q,Q14,31.0,Seagirt Community Garden,3003 Seagirt Boulevard.,0.138,NYRP,Far Rockaway,B30th & B31st,40.595964,-73.763133,11691,992.0,4000000,4158060004,Hammels-Arverne-Edgemere                                                   
458,B530,B,B03,,Seasons of Vision,9-11 Rochester Avenue,0.083,DPR,,Active,40.678834,-73.927378,11233,299.0,3000000,3017030002,Crown Heights North                                                        
459,M332,M,M03,1.0,Secret Garden,293-297 East 4th Street,0.05,DPR,East Village,Active,40.722464,-73.980569,10009,2601.0,1000000,1003870040,Lower East Side                                                            
460,NA,B,B13,47.0,Senior Citizens Block Association of Mermaid Avenue,2917-2923 West 20th Street,NA,HPD,Coney Island,Mermaid & Surf Avenues,40.575997,-73.986807,11224,326.0,3000000,3070600047,Seagate-Coney Island                                                       
461,NA,M,M09,7.0,Serenity Gardens,522 West 146th Street,0.091,TPL,Hamilton Heights,,40.826254,-73.947965,10031,229.0,1000000,1020770043,Hamilton Heights                                                           
462,NA,B,B05,42.0,Sheffield South Block Association,673 Sheffield Avenue,0.087,TPL,East New York,,40.660557,-73.893175,11207,1128.0,3000000,3042980065,East New York (Pennsylvania Ave)                                           
463,NA,X,X04,16.0,Sheridan Manor Community Garden,1340 Sheridan Avenue,0.195,DOE,,,40.837275,-73.913574,10456,17902.0,2094533,2028300017,East Concourse-Concourse Village                                           
464,NA,X,X04,16.0,Sherman Avenue Community Garden,953-955 Sherman Avenue,0.11,TPL,,164th & 165th Streets,40.828252,-73.91911,10456,18302.0,       ,          ,East Concourse-Concourse Village                                           
465,B491,B,B05,37.0,Shield of Faith,79-85 Montauk Street,0.172,DPR,East New York,Active,,,,,,,
466,B502,B,B03,36.0,Shiloh Garden Inc.,323-325 Monroe Street,0.074,DPR,,Active,40.686076,-73.945381,11216,265.0,3000000,3018140045,Bedford                                                                    
467,B476,B,B16,41.0,Shma Yisrael,2084-90 Pacific Street,0.145,DPR,Bed-Stuy,Active,40.675795,-73.915903,11233,303.0,3000000,3014400012,Ocean Hill                                                                 
468,NA,B,B08,41.0,Society for Preservation of Weeksville,1688-1696 Bergen Street,0.351,DCA,,Troy & Utica Avenue,40.674829,-73.926867,11213,307.0,3389901,3013560120,Crown Heights North                                                        
469,NA,X,X01,17.0,South Bronx High School - Unity Garden,701 St. Ann's Avenue,0.023,DOE,Melrose,Westchester Avenue & 156th St,40.81825,-73.91103,10455,71.0,2001153,2023590240,Melrose South-Mott Haven North                                             
470,B519,B,B03,34.0,Spencer Street Community Garden,230A Spencer Street,0.043,DPR,Bed-Stuy,Active,40.691602,-73.954593,11205,241.0,3000000,3017620067,Bedford                                                                    
471,X345,X,X01,,St. Anns Block Garden Association,666-68 St. Ann's Avenue,0.029,DPR,,Active,40.817078,-73.911494,10455,75.0,       ,          ,Melrose South-Mott Haven North                                             
472,B492,B,B05,37.0,St. John Cantius Parish,476-484 New Jersey Avenue,0.183,DPR,East New York,Active,40.667535,-73.893737,11207,1156.0,3000000,3037890035,East New York (Pennsylvania Ave)                                           
473,NA,B,B08,41.0,St. Johns Place Renaissance Garden,1642 St. John's Place,0.089,TPL,Brownsville,Ralph & Buffalo Avenue,40.670169,-73.92352,11233,359.0,3000000,3013870034,Crown Heights North                                                        
474,NA,B,B08,35.0,St. Marks Avenue/ Prospect Heights Community Garden,207 St. Marks Avenue,0.075,TPL,Prospect Heights,Vanderbilt & Carlton Avenues,40.67871,-73.96929,11238,163.0,3000000,3011440063,Prospect Heights                                                           
475,B501,B,B16,41.0,St. Marks Block Association,"455,457-63 Ralph Avenue",0.196,DPR,Brownsville,Active,,,,,,,
476,B503,B,B03,36.0,Stars of Hope Community Garden,213 Madison Street,0.033,DPR,,Active,40.684681,-73.950996,11216,245.0,3000000,3018170057,Bedford                                                                    
477,B505,B,B16,41.0,Sterling Community Group,"1701,1713,1715 Sterling Place",0.116,DPR,Brownsville,Active,,,,,,,
478,B383,B,B05,,Success Garden,461 Williams Avenue,0.918,DPR,,,40.664659,-73.897865,11207,1130.0,3000000,3038020001,East New York (Pennsylvania Ave)                                           
479,NA,M,M03,2.0,Suffolk Street Community Garden,174 Suffolk Street,0.053,NYRP,Lower East Side,Houston & Stanton,40.720933,-73.985083,10002,3001.0,1000000,1003500005,Chinatown                                                                  
480,M319,M,M09,0.0,Sugar Hill Park,339-341 Edgecombe Avenue.,0.069,DPR,,Active,40.826462,-73.941811,10031,231.0,1000000,1020530099,Hamilton Heights                                                           
481,B411,B,B06,39.0,Summit Street Community Garden,281-283 Columbia Street,0.103,DPR,Red Hook,Active,40.682578,-74.003869,11231,51.0,3000000,3003530002,Carroll Gardens-Columbia Street-Red Hook                                   
482,B525,B,B03,41.0,Sumpter Community Garden,182 Sumpter Street,0.057,DPR,,Active,40.680246,-73.917693,11233,379.0,3000000,3015250028,Stuyvesant Heights                                                         
483,B427,B,B01,34.0,Sunshine Community Garden,99-100 McKibben Street,0.115,DPR,Williamsburg,Active,40.70508,-73.944013,11206,505.0,3000000,3030790038,East Williamsburg                                                          
484,NA,B,B13,47.0,Surf Side Garden,2829 Surf Avenue,NA,HPD,Coney Island,At W. 29th Street,40.572905,-73.994741,11224,342.0,3000000,3070520056,Seagate-Coney Island                                                       
485,X296,X,X04,16.0,Taqwa Community Farm,90 W 164th Street,0.49,DPR,Highbridge,Active,40.832559,-73.928305,10452,189.0,2000000,2025110090,Highbridge                                                                 
486,NA,X,X04,16.0,Target (Bronx) Community Garden (Anderson Avenue Community Garden),1001 Anderson Avenue,0.253,NYRP,Highbridge,W 164th & W 165th Streets,40.832284,-73.927189,10452,189.0,2003145,2025080043,Highbridge                                                                 
487,NA,B,B03,36.0,Target (Brooklyn) Community Garden (Bedford Avenue Block Association Garden),931-933 Bedford Avenue,0.092,NYRP,Bed-Stuy,DeKalb & Willoughby Avenue,40.692061,-73.955631,11205,241.0,3414278,3017620019,Bedford                                                                    
488,NA,M,M11,8.0,Target East Harlem Community Garden,415-421 East 117th Street,0.163,DPR,East Harlem,1st Avenue & E 117th St,40.79645,-73.934347,10035,178.0,1000000,1017110008,East Harlem North                                                          
489,NA,M,M11,8.0,Target East Harlem Community Garden (St. Mark's Monastery 2),429-433 East 117th Street,0.142,NYRP,East Harlem,1st & Pleasant Avenues,40.796357,-73.934119,10035,178.0,1000000,1017110013,East Harlem North                                                          
490,B445,B,B01,34.0,Ten Eyck Houses HDFC,15-17 Ten Eyck Street,0.114,DPR,East Williamsburg,Active,40.709598,-73.950072,11206,513.0,3000000,3027910046,North Side-South Side                                                      
491,NA,B,B05,42.0,Thomas Jefferson High School,642-648 Blake Avenue,0.036,DOE,East New York,Pennsylvania Avenueune,40.667777,-73.895164,11207,1156.0,3000000,3037880031,East New York (Pennsylvania Ave)                                           
492,B416,B,B05,37.0,TLC Sculpture Park,271 Glenmore Avenue,0.172,DPR,East New York,Active,40.672509,-73.900636,11207,1144.0,3000000,3036990038,East New York (Pennsylvania Ave)                                           
493,X331,X,X05,14.0,Townsend Garden (Mt. Hope Housing Co.),1735 Walton Avenue,0.15,DPR,Mt. Eden,Active,40.846592,-73.910938,10453,22701.0,2000000,2028490068,Mount Hope                                                                 
494,NA,M,M03,2.0,Toyota Childrens Learning Garden (Coradan Evaeden),603 East 11th Street,0.037,NYRP,East Village,Avenues B & C,40.727311,-73.979074,10009,28.0,1000000,1003940067,Lower East Side                                                            
495,NA,B,B03,,Tranquility Farm,267 Throop Ave.,NA,HPD,,,40.694666,-73.943253,11206,283.0,3000000,3017610074,Stuyvesant Heights                                                         
496,NA,X,X06,15.0,Tremont Community Garden,S/W/C E. 178th St. & LaFontaine Avenue.,0.057,TPL,,E. 178th & LaFontaine Avenue,,,,,,,
497,B496,B,B05,0.0,"Triple R/Relaxation, Reflection, Revenue (Victoria Garden)",613 Hendrix Street,NA,DPR,East New York,Active,40.666544,-73.887795,11207,1124.0,3000000,3040750107,East New York                                                              
498,Q477A,Q,Q01,0.0,Two Coves Garden,30th Avenue & Main Avenue & Astoria Boulevard,0.77,DPR,,Active,,,,,,,
499,B515,B,B05,,United Community Centers Site I,285 - 303 New Lots Avenue,0.546,DPR,,,40.660713,-73.895655,11207,1130.0,3085844,3038540013,East New York (Pennsylvania Ave)                                           
500,NA,B,B03,36.0,United Herkimer Garden Club,97 Herkimer Street,0.055,TPL,,Nostrand & Bedford Avenue,40.679691,-73.950448,11216,247.0,3000000,3018600062,Crown Heights North                                                        
501,M298,M,M10,21.0,Unity Garden,53-55 West 128th Street,0.129,DPR,West Harlem,Active,40.809031,-73.942488,10027,208.0,1000000,1017260014,Central Harlem North-Polo Grounds                                          
502,NA,B,B13,47.0,Unity Tower Tenant Association,1917-23 Surf Avenue,0.21,HPD,Coney Island,W 20th St,40.575064,-73.985961,11224,326.0,3000000,3070600032,Seagate-Coney Island                                                       
503,B493,B,B05,37.0,Upon This Rock Community Garden,2556 Pitkin Avenue.,0.081,DPR,East New York,Active,40.674543,-73.877838,11208,1194.0,       ,          ,East New York                                                              
504,M343,M,M03,0.0,Vamos Sembrar: For the Beloved and Otherwise Forgotten,198 Avenue B,0.023,DPR,,Active,40.728258,-73.978901,10009,34.0,1000000,1004060038,East Village                                                               
505,NA,B,B03,,Van Buren Street Garden,49 Van Buren Street,NA,HPD,,,40.690036,-73.943557,11221,263.0,3000000,3017910063,Bedford                                                                    
506,B495,B,B03,34.0,Vernon (Throop Avenue Block Assoc.),253 Throop Avenue,0.039,DPR,Bed-Stuy,Active,40.695179,-73.943354,11206,283.0,3000000,3017610004,Stuyvesant Heights                                                         
507,B508,B,B03,36.0,Vernon New Harvest,42-48 Vernon Avenue,0.165,DPR,Bed-Stuy,Active,40.694461,-73.950534,11206,253.0,3000000,3017580031,Bedford                                                                    
508,B494,B,B03,34.0,Vernon T&T Block Assoc.,200 Vernon Ave.,0.046,DPR,Bed-Stuy,Active,40.695196,-73.944122,11206,25901.0,3048852,3017600039,Bedford                                                                    
509,B523,B,B13,47.0,Victory Garden,Shell Road,0.174,DPR/DEP,Coney Island,Active,,,,,,,
510,X010C,X,X03,20.0,Victory Garden - Crotona Park,Fulton Avenue / 171 St / Crotona Park South,0.463,DPR,,Active,,,,,,,
511,B518,B,B03,,Victory Gardens Group,953 Gates Avenue,0.152,DPR,,,40.688836,-73.92789,11221,387.0,3000000,3016320046,Stuyvesant Heights                                                         
512,NA,M,M11,9.0,Villa Santurce Jardinera - 112th Street,74 E. 112th Street,0.045,HPD,East Harlem,Park & Madison Avenues,40.796895,-73.945424,10029,17402.0,1000000,1016170038,East Harlem South                                                          
513,NA,M,M11,9.0,Villa Santurce Jardineras - Park Avenue,Park Avenue,0.09,HPD,East Harlem,111th & 112th Streets,,,,,,,
514,X347,X,X01,17.0,Vogue Community Garden,431 E. 156th Street,0.047,DPR,Melrose,Active,40.820531,-73.914448,10455,69.0,       ,          ,Melrose South-Mott Haven North                                             
515,B456,B,B08,35.0,Walt L. Shamal Community Garden,1093-1095 Dean Street,0.149,DPR,Crown Heights,Active,40.677263,-73.953835,11216,221.0,3029967,3012050049,Crown Heights North                                                        
516,NA,X,X07,11.0,Walton High School,2780 Reservoir Avenue,0.046,DOE,Kingsbridge Heights,Strong & 196th Street,40.870293,-73.898309,10468,409.0,2015241,2032470070,Van Cortlandt Village                                                      
517,X272A,X,X01,8.0,Wanaqua Garden,460-464 E. 136th Street,0.228,DPR,,Active,40.807068,-73.922098,10454,25.0,2000000,2022800036,Mott Haven-Port Morris                                                     
518,NA,B,B06,38.0,Warren-St.Marks Community Garden,623 Warren Street,0.057,TPL,Park Slope,b/w 4th & 5th avenue,40.68082,-73.979402,11217,12901.0,3000000,3009340066,Park Slope-Gowanus                                                         
519,X088A,X,X09,18.0,Waterfront Community Garden,2008 Gildersleeve Avenue,0.27,DPR,Soundview,Active,40.809962,-73.85071,10473,4.0,2000000,2034480033,Soundview-Castle Hill-Clason Point-Harding Park                            
520,B538,B,B03,36.0,Welcome Home Garden,681 Halsey Street,0.059,DPR,Bed-Stuy,Developed,40.684676,-73.924963,11233,383.0,3000000,3016630082,Stuyvesant Heights                                                         
521,M306,M,M07,8.0,West 104th Street Garden,6-10 W. 104th Street/ 14-18 W. 104th Street,0.38,DPR,Upper West Side,Active,,,,,,,
522,M368,M,M09,9.0,West 111th Street People's Garden,1036-53 Amsterdam Avenue,0.109,DPR,Upper West Side,Active,40.803674,-73.963366,10025,199.0,1000000,1018830028,Morningside Heights                                                        
523,M362,M,M10,9.0,West 124th Street Community Garden,West 124th Street and 5th Avenue,0.046,DPR,,Active,,,,,,,
524,M380,M,M10,,West 131st Street Community Garden,34 West 131st Street,NA,DPR,Harlem,Active,40.81071,-73.940702,10037,208.0,1000000,1017280054,Central Harlem North-Polo Grounds                                          
525,M296,M,M10,9.0,West 132nd Street Garden,108-114 W. 132nd Street,0.171,DPR,Central Harlem,Active,40.812454,-73.942882,10027,226.0,1000000,1019160039,Central Harlem North-Polo Grounds                                          
526,NA,M,M12,7.0,West 181st Street Beautification Project,814 West 181st Street,0.046,DOT,Washington Heights,Pinehurst/181st,40.851073,-73.938894,10033,265.0,1064299,1021770105,Washington Heights South                                                   
527,M307,M,M07,6.0,West 87th Street Park & Garden,55-57 West 87th Street,0.09,DPR,Upper West Side,Active,40.786617,-73.970356,10024,173.0,1000000,1012010006,Upper West Side                                                            
528,NA,B,B08,36.0,Westbrook Memorial Garden,1233 Pacific Street,0.118,TPL,Crown Heights,Bedford & Nostrand Avenues,40.677792,-73.951866,11216,315.0,3000000,3012000070,Crown Heights North                                                        
529,NA,R,R01,49.0,Westervelt Community & Family Garden,143 Westervelt Avenue,0.011,NYRP,,At Curtis Pl near Hamilton Avenue,40.644392,-74.084861,10301,7.0,5000000,5000310003,West New Brighton-New Brighton-St. George                                  
530,M322,M,M09,7.0,William A. Harris Garden,NWC of 153rd St & St. Nicholas,NA,DPR,,Active,,,,,,,
531,M328,M,M10,9.0,William B. Washington Memorial Garden,321-325 West 126th Street,0.09,DPR,,Active,40.811116,-73.9513,10027,215.0,1000000,1019530023,Central Harlem North-Polo Grounds                                          
532,NA,B,B05,37.0,Williams Avenue Community Garden (formerly Shaw Block Association),88 Williams Avenuenue,0.126,NYRP,,Liberty & Atlantic,,,,,,,
533,X164A,X,X02,,Wishing Well Garden,886 Reverend James A. Polite,0.351,DPR,,Active,,,,,,,
534,NA,B,BK4,34.0,Woodbine St. Block Assoc.,146 Woodbine Street,0.057,TPL,,,40.692534,-73.916722,11221,415.0,3000000,3033590028,Bushwick South                                                             
