record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identification_numbers_bins,street_number,street_name,borough,zip_code,bbl_on_the_covered_buildings_list,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,council_district,census_tract,bin,nta
2318949.0,1012850015,,,1035454,432,MADISON AVENUE      ,MANHATTAN,10017.0,Yes,In Compliance ,70.0,Not Available,183.4,Not Available,14.87,No,Manual,75,2530.1,48.9,2481.2,462725,401686,Office,1,40.757107,-73.976152,5.0,4.0,94.0,1035454.0,Midtown-Midtown South                                                      
2344695.0,2051410020,,,2102451,300,BAYCHESTER AVENUE   ,BRONX               ,10475.0,Yes,In Compliance ,50.9,50.6,152.8,153.1,8.41,No,Manual,75,552.4,23.9,528.6,134028,134100,Retail Store,1,40.866538,-73.83071600000001,10.0,12.0,46201.0,2102451.0,Co-op City                                                                 
2363861.0,1021240017,,,1062989,1132,ST NICHOLAS AVENUE  ,MANHATTAN,10032.0,Yes,In Compliance ,436.0,432.4,830.3,827.7,Not Available,No,None,1,7859.3,3840.8,4018.5,271200,286481,Office,1,40.83999,-73.93975,12.0,10.0,251.0,1062989.0,Washington Heights South                                                   
2364064.0,1012640005,,,1077287,1230,AVENUE OF THE AMER  ,MANHATTAN,10020.0,Yes,In Compliance ,113.2,112.2,232.8,231.4,Not Available,No,None,59,5751,0,5751,730615,1898151,Office,4,40.758977,-73.981089,5.0,4.0,96.0,1077287.0,Midtown-Midtown South                                                      
2364080.0,1012650050,,,1082656,610,   5 AVENUE         ,MANHATTAN,10112.0,Yes,In Compliance ,160.4,154.8,313.9,307,Not Available,No,None,23,1269.2,0,1269.2,111101,272635,Office,1,40.75801,-73.977595,5.0,4.0,104.0,1082656.0,Midtown-Midtown South                                                      
2364088.0,1012660001,,,1083860,1260,AVENUE OF THE AMER  ,MANHATTAN,10020.0,Yes,In Compliance ,142.2,139.3,293.6,290.4,Not Available,No,None,34,12376.2,0,12376.2,1217115,2734038,Office,7,40.75999,-73.980349,5.0,4.0,104.0,1083861.0,Midtown-Midtown South                                                      
2364104.0,1012657501,,,1076262,1250,AVENUE OF THE AMER  ,MANHATTAN,10020.0,Yes,In Compliance ,131.9,130.6,432.5,431.5,Not Available,No,None,22,34711.2,0,34711.2,2911536,2963698,Office,3,40.759606,-73.980627,5.0,4.0,104.0,1076262.0,Midtown-Midtown South                                                      
2366653.0,1008820085,,,1018159,381,PARK AVENUE SOUTH   ,MANHATTAN,10016.0,Yes,In Compliance ,472.9,468,591.4,584.7,Not Available,Yes,None,2,5839.3,5033.3,806,207958,209041,Office,1,40.742534,-73.984641,5.0,2.0,68.0,1018159.0,Gramercy                                                                   
2612579.0,4099500009,,,4213177,   182-30,WEXFORD TERRACE     ,QUEENS,11432.0,Yes,In Compliance ,98.2,96.1,140,137.9,Not Available,No,None,54,1061.4,790.6,270.8,184886,184896,Multifamily Housing,1,,,,,,,
2379738.0,1006007501,,,1010382,395,HUDSON STREET       ,MANHATTAN,10014.0,Yes,In Compliance ,83.0,81.6,233.9,232.5,12.17,No,Manual,64,4143.1,18.9,4124.2,623027,583530,Office,1,40.729135,-74.00704300000001,2.0,3.0,69.0,1010382.0,West Village                                                               
