bbl,street_number,street_name,borough,zip,benchmarking_submission,entry_number,site_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,indoor_water_intensity_all_water_sources_gal_ft2,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,number_of_buildings,reported_bins,latitude,longitude,community_board,community_council,census_tract,nta
1000167519,300.0,NORTH END AVENUE,MANHATTAN,10282,Yes,11875.0,67.1,147.4,,Manual,,1373.23,279898.0,Multifamily Housing,0,1087848,40.716525,-74.014815,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000167520,200.0,NORTH END AVENUE,MANHATTAN,10282,Yes,11877.0,59.7,138.1,,Manual,,2035.22,446186.0,Multifamily Housing,1,1087847,40.716190000000005,-74.01507099999999,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000169002,2.0,WEST STREET,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,1,,40.705523,-74.01711,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000170029,90.0,WASHINGTON STREET,MANHATTAN,10006,Yes,10028.0,66.3,158.1,,Manual,,1870.83,325672.0,Multifamily Housing,1,1000793,40.708082,-74.01444599999999,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000170045,25.0,WEST STREET,MANHATTAN,10006,No Record as of 08/1/13,,,,,,,,,,1,,40.706745,-74.016021,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000180100,56.0,GREENWICH STREET,MANHATTAN,10006,No Record as of 08/1/13,,,,,,,,,,1,,40.706921,-74.014074,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000187501,13.0,RECTOR STREET,MANHATTAN,10006,Yes,3221.0,54.6,107.5,,Manual,,1396.56,365666.0,Multifamily Housing,1,1000794,40.707997,-74.013713,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000187501,13.0,RECTOR STREET,MANHATTAN,10006,Yes,6822.0,87.1,208.6,,Manual,,2458.84,366124.0,Multifamily Housing,1,1000794,40.707997,-74.013713,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000190013,42.0,TRINITY PLACE,MANHATTAN,10006,Yes,10961.0,61.2,180.2,,Manual,51,328.1,62089.0,Retail,1,1000797,40.707437,-74.013194,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000200001,29.0,BROADWAY,MANHATTAN,10006,Yes,385.0,73.1,179.4,,Manual,80,1930.45,300954.0,Office,1,1000802,40.70601,-74.01315,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1021420045,260.0,FT WASHINGTON AVENUE,MANHATTAN,10032,Yes,7860.0,61.8,102.0,15.82,ABS,,257.27,54220.0,Office,1,1063480,40.843858000000004,-73.941283,12.0,10.0,253.0,Washington Heights South                                                   
1000200009,45.0,BROADWAY,MANHATTAN,10006,Yes,958.0,91.8,274.5,0.52,Manual,50,3079.01,368305.0,Office,1,1000804,40.706396999999996,-74.01282900000001,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000200016,55.0,BROADWAY,MANHATTAN,10006,Yes,216.0,78.2,231.2,24.76,Manual,76,2577.67,363378.0,Office,1,1000807,40.706638,-74.012631,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000210001,61.0,BROADWAY,MANHATTAN,10006,Yes,215.0,57.4,166.8,280.57,Manual,90,3398.64,650000.0,Office,1,1000808,40.706995,-74.012335,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000210004,65.0,BROADWAY,MANHATTAN,10006,Yes,6018.0,46207.7,59872.9,,Manual,1,1210548.72,331684.0,Office,1,1000809,40.707113,-74.01223399999999,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
1000210006,69.0,BROADWAY,MANHATTAN,10006,Yes,5067.0,60.6,130.4,,Manual,,1604.03,317135.0,Multifamily Housing,1,2769818,40.707234,-74.012137,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
4018720045,,  57 AVENUE,QUEENS,11373,Yes,8573.0,,,,Manual,,,101808.0,Multifamily Housing,1,,,,,,,
1000220013,26.0,BROADWAY,MANHATTAN,10004,Yes,3046.0,103.1,184.8,,Manual,65,5789.94,686571.0,Office,1,1000811,40.70568,-74.013302,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
4092310091,,LEFFERTS BOULEVARD,QUEENS,11415,Yes,7124.0,71.3,106.7,15.85,ABS,,438.03,103638.0,Multifamily Housing,1,4192795,,,,,,
3021110045,144.0,ST FELIX STREET,BROOKLYN,11217,Yes,11173.0,3.1,9.6,15.89,ABS,100,16.72,60000.0,House of Worship,1,3268613,40.685664,-73.977133,2.0,35.0,35.0,Fort Greene                                                                
1000220024,50.0,BROADWAY,MANHATTAN,10004,Yes,7260.0,55.6,155.1,5.17,Manual,79,1721.01,343345.0,Office,1,1000813,40.706449,-74.012761,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000220028,52.0,BROADWAY,MANHATTAN,10004,Yes,7261.0,71.5,194.5,26.83,Manual,75,2452.49,384831.0,Office,1,1000814,40.706493,-74.012725,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000230007,80.0,BROADWAY,MANHATTAN,10004,Yes,81.0,99.3,215.0,,Manual,78,9449.66,1112533.0,Bank/Financial Institution,2,BIN# 1000815,40.707344,-74.012022,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000230019,2.0,BROAD STREET,MANHATTAN,10004,Yes,3295.0,268.3,675.4,52.61,Manual,Exempt,8710.59,370000.0,Bank/Financial Institution,1,1078982,40.706993,-74.010763,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000230050,20.0,BROAD STREET,MANHATTAN,10004,Yes,112.0,104.9,267.1,12.67,Manual,84,4377.83,473042.0,Office,1,1000816,40.706553,-74.011033,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000240001,60.0,BROAD STREET,MANHATTAN,10004,Yes,133.0,82.8,204.4,0.0,Manual,88,7731.98,1067151.0,Office,1,1000817,40.705351,-74.01150200000001,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000240029,30.0,BROAD STREET,MANHATTAN,10004,Yes,2714.0,57.0,173.4,0.0,Manual,80,2205.75,419795.0,Office,1,1000819,40.706179999999996,-74.01125,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000240036,50.0,BROAD STREET,MANHATTAN,10004,Yes,4827.0,107.1,319.8,,Manual,,2224.0,225847.0,Office,1,1000820,40.705689,-74.011455,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
4001050012,,BORDEN AVENUE,QUEENS,11101,No Record as of 08/1/13,,,,,,,,,,1,,,,,,,
1000247501,40.0,BROAD STREET,MANHATTAN,10004,Yes,10798.0,63.5,202.6,,Manual,,1425.57,242953.0,Multifamily Housing,1,1078985,40.706021,-74.011332,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000250001,55.0,BROAD STREET,MANHATTAN,10004,Yes,89.0,98.8,263.0,18.72,Manual,65,3612.05,410295.0,Office,1,1000821,40.705189000000004,-74.011505,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000250010,41.0,BROAD STREET,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,1,,40.705576,-74.011448,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000250027,40.0,EXCHANGE PLACE,MANHATTAN,10005,Yes,5834.0,96.5,205.4,0.0,Manual,72,1665.79,237000.0,Office,1,1000825,40.705939,-74.010283,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000257501,15.0,WILLIAM STREET,MANHATTAN,10004,Yes,5633.0,58.3,136.2,,Manual,,2355.85,465097.0,Multifamily Housing,1,,40.705209,-74.009998,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000260014,37.0,WALL STREET,MANHATTAN,10005,Yes,6449.0,191.8,296.2,,Manual,,4559.21,383214.0,Multifamily Housing,1,Section Block:00026 Lot: 0014,40.70674,-74.01009499999999,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
4033560030,,KEW GARDENS ROAD,QUEENS,11415,Yes,12213.0,44.2,89.5,17.44,ABS,,272.74,89621.0,Multifamily Housing,1,4080142,,,,,,
1000267501,15.0,BROAD STREET,MANHATTAN,10005,Yes,11893.0,30.1,96.5,,Manual,,2279.89,810962.0,Multifamily Housing,1,1078988,40.706531,-74.011022,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1005160007,140.0,THOMPSON STREET,MANHATTAN,10012,Yes,7776.0,38.0,38.5,19.53,ABS,,240.26,86018.0,Multifamily Housing,1,1008024,40.726643,-74.00115100000001,2.0,1.0,49.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
1005690001,43.0,   5 AVENUE,MANHATTAN,10003,Yes,4638.0,96.1,147.0,21.58,ABS,,506.1,64220.0,Multifamily Housing,1,1009272,40.734125,-73.99497,2.0,2.0,61.0,West Village                                                               
1000277501,55.0,WALL STREET,MANHATTAN,10005,Yes,2351.0,181.4,329.9,,Manual,,3977.27,290987.0,Multifamily Housing,1,1000827,40.706191,-74.009165,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000277502,20.0,EXCHANGE PLACE,MANHATTAN,10005,Yes,9498.0,27.7,83.6,0.0,Manual,,2043.98,826289.0,Multifamily Housing,1,1000830,40.705634,-74.009378,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
4031690002,,  67 ROAD,QUEENS,11375,No Record as of 08/1/13,,,,,,,,,,1,,,,,,,
1000280001,3.0,HANOVER SQUARE,MANHATTAN,10004,Yes,5632.0,95.6,162.2,,Manual,,1824.75,239121.0,Multifamily Housing,1,,40.704808,-74.009623,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000280005,5.0,HANOVER SQUARE,MANHATTAN,10004,Yes,12103.0,91.5,200.8,,Manual,90,2946.57,375000.0,Office,1,1000832,40.704923,-74.009046,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000280012,76.0,BEAVER STREET,MANHATTAN,10005,No Record as of 08/1/13,,,,,,,,,,1,,40.705324,-74.008873,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000287501,82.0,BEAVER STREET,MANHATTAN,10005,Yes,3167.0,65.6,158.0,,Manual,,522.84,105015.0,Multifamily Housing,1,1000835,40.70536,-74.008602,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000290001,91.0,BROAD STREET,MANHATTAN,10004,Yes,1592.0,41.3,97.4,,Manual,,4510.18,1265518.0,Bank/Financial Institution,1,1-00029-0001,40.703953999999996,-74.01156999999999,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
4021480001,,YELLOWSTONE BLVD,QUEENS,11375,Yes,7908.0,84.3,99.8,22.2,ABS,,1424.54,303147.0,Multifamily Housing,3,4432059,,,,,,
1000290070,75.0,BROAD STREET,MANHATTAN,10004,Yes,3096.0,219.1,683.3,,Manual,1,13571.39,671172.0,Office,1,1000849,40.704487,-74.011556,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000290086,14.0,SOUTH WILLIAM STREET,MANHATTAN,10004,Yes,8752.0,273.6,556.4,,Manual,,114.13,5900.0,Other,1,BIN# 1000851,40.704624,-74.010568,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000297501,48.0,BEAVER STREET,MANHATTAN,10004,Yes,1932.0,57.5,153.3,65.47,Manual,,314.61,66346.0,Multifamily Housing,1,1078997; 1078998; 1078999,40.705090000000006,-74.010607,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000300005,80.0,PEARL STREET,MANHATTAN,10004,No Record as of 08/1/13,,,,,,,,,,1,,40.703971,-74.010239,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
3058870001,7119.0,SHORE ROAD,BROOKLYN,11209,Yes,7798.0,12.2,38.7,22.28,ABS,,94.2,82200.0,Multifamily Housing,1,3146368,40.636403,-74.036772,10.0,43.0,34.0,Bay Ridge                                                                  
1000310001,10.0,HANOVER SQUARE,MANHATTAN,10005,Yes,6495.0,78.6,175.4,,Manual,,3236.71,497765.0,Multifamily Housing,1,1000859,40.704328000000004,-74.00923,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000317501,75.0,WALL STREET,MANHATTAN,10005,Yes,2846.0,53.7,158.5,,Manual,,2618.57,545969.0,Multifamily Housing,1,1085950,40.705486,-74.007874,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000327501,43.0,WATER STREET,MANHATTAN,10004,Yes,377.0,161.3,394.1,29.58,Manual,34,51335.0,3636683.0,Office,1,1083346,40.703383,-74.010138,1.0,1.0,9.0,Battery Park City-Lower Manhattan                                          
1000330001,77.0,WATER STREET,MANHATTAN,10005,Yes,1489.0,74.1,164.4,,Manual,82,4229.26,662800.0,Office,1,1-00033-0001,40.704275,-74.00868100000001,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
4026030130,,PAGE PLACE,QUEENS,11378,No Record as of 08/1/13,,,,,,,,,,1,,,,,,,
1000330011,95.0,WALL STREET,MANHATTAN,10005,Yes,9377.0,70.6,168.3,,Manual,,2814.63,460375.0,Multifamily Housing,1,1000864,40.704932,-74.007488,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000330022,99.0,WALL STREET,MANHATTAN,10005,Yes,8408.0,77.6,192.3,,Manual,74,613.15,91353.0,Office,1,BIN# 1000865,40.705,-74.00715600000001,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000350010,111.0,WALL STREET,MANHATTAN,10005,Yes,13.0,77.4,216.7,21.92,Manual,68,5681.66,819529.0,Office,1,1000868,40.704553000000004,-74.006636,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
1000360012,,PIER 9,MANHATTAN,0,No Record as of 08/1/13,,,,,,,,,,1,,,,,,,
1000360018,,SOUTH STREET,MANHATTAN,0,No Record as of 08/1/13,,,,,,,,,,1,,,,,,,
1000360025,,SOUTH STREET,MANHATTAN,0,No Record as of 08/1/13,,,,,,,,,,2,,,,,,,
1000360030,,SOUTH STREET,MANHATTAN,0,No Record as of 08/1/13,,,,,,,,,,1,,,,,,,
