record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identificaiton_numbers_bins,street_number,street_name,borough,zip_code,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,community_council,census_tract,bin,nta
295,1002177501.0,,1-00217-7501,1002815,79,LAIGHT STREET,Manhattan,10013.0,Filed,47.3,47.2,104.2,103.8,18.01,Yes,ABS,Not Available,328.1,113.7,214.4,100984,100984.0,Multifamily Housing,1.0,40.72221,-74.010722,1.0,1.0,39.0,1002815.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
297,1002180024.0,,1-00218-0024,1002831,260,WEST STREET,Manhattan,10013.0,Filed,59.8,58.4,71.4,69.9,Not Available,Yes,None,Not Available,274.1,248.5,25.6,61250,61250.0,Multifamily Housing,1.0,40.722728000000004,-74.011646,1.0,1.0,39.0,1002831.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
298,1002187501.0,,1-00218-7501,1002832,92,LAIGHT STREET,Manhattan,10013.0,Filed,19.9,19.6,49.1,48.3,Not Available,No,None,Not Available,227.1,53.4,173.7,158153,194486.0,Multifamily Housing,1.0,40.722275,-74.011195,1.0,1.0,39.0,1002832.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
299,1002197501.0,,1002197501,1002836,429,GREENWICH STREET,Manhattan,10013.0,Filed,66.5,66.2,87,86.6,Not Available,No,Manual,Not Available,533.2,269.2,264,86915,103279.0,Multifamily Housing,1.0,40.722221000000005,-74.009741,1.0,1.0,39.0,1002836.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
14834,1002197504.0,,1-00219-7504,1002844,,,Manhattan,,Not on Covered Buildings List,62.4,61.9,140.5,140.1,Not Available,,None,Not Available,325.9,106,219.9,75338,,Multifamily Housing,,,,,,,,
303,1002210030.0,,1-00221-0030,1002854,200,HUDSON STREET,Manhattan,10013.0,Filed,87,86.7,223.9,223.6,Not Available,No,None,Not Available,2308.4,578.9,1729.5,332837,328415.0,Office,1.0,40.722992,-74.008031,1.0,1.0,33.0,1002854.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
14835,1002210035.0,,1-00221-0035,1002855,,,Manhattan,,Not on Covered Buildings List,53.1,53.1,136.5,136.6,Not Available,,None,83,241.5,47.2,194.3,61791,,Office,,,,,,,,
304,1002220001.0,,1-00222-0001,1002856,443,GREENWICH STREET,Manhattan,10013.0,Filed,2.8,2.8,8.9,8.9,Not Available,No,None,100,58.7,0.1,58.6,255769,255769.0,Office,1.0,40.722882,-74.009625,1.0,1.0,39.0,1002856.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
14836,1002227502.0,,1-00222-7502,1002857,,,Manhattan,,Not on Covered Buildings List,96.7,96.7,191.3,191.4,Not Available,,None,Not Available,533,239.7,293.3,83968,,Multifamily Housing,,,,,,,,
305,1002227501.0,,1-00222-7501,1002859,28,VESTRY STREET,Manhattan,10013.0,Filed,60.7,59.7,126.5,124.4,Not Available,Yes,None,Not Available,243.6,97.6,146,59838,61433.0,Multifamily Housing,1.0,40.72266,-74.008348,1.0,1.0,39.0,1002859.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
308,1002257501.0,,1-00225-7501,1002929,465,GREENWICH STREET,Manhattan,10013.0,Filed,60.5,60.3,114.6,114.3,19.58,Yes,ABS,Not Available,322.2,158.3,163.9,82548,82548.0,Multifamily Housing,1.0,40.723859000000004,-74.009452,1.0,1.0,39.0,1002929.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
307,1002250008.0,,1-00225-0008,1002933,111,WATTS STREET,Manhattan,10013.0,Filed,60.9,60.1,132.9,132.1,Not Available,No,None,85,1781.1,747.2,1033.9,379795,321641.0,Office,1.0,40.72401,-74.008687,1.0,1.0,39.0,1002933.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
309,1002260001.0,,1-00226-0001,1002934,431,CANAL STREET,Manhattan,10013.0,Filed,80.1,Not Available,210.8,Not Available,Not Available,No,None,73,6254.1,1372.8,4881.3,984017,993903.0,Office,1.0,40.722726,-74.006534,2.0,1.0,37.0,1002934.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
313,1002310026.0,,1-00231-0026,1003017,107,GRAND STREET,Manhattan,10013.0,Filed,42.5,42.4,133.5,133,Not Available,No,None,74,230.2,0,230.2,66532,66532.0,Office,1.0,40.721183,-74.001335,2.0,1.0,47.0,1003017.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
314,1002310035.0,,1-00231-0035,1003020,451,BROADWAY,Manhattan,10013.0,Filed,134.8,134.7,417.7,417.6,Not Available,Yes,None,15,707.8,9,698.8,65000,60000.0,Office,1.0,40.720484,-74.000974,2.0,1.0,47.0,1003020.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
315,1002317501.0,,1-00231-7501,1003023,443,BROADWAY,Manhattan,10013.0,Filed,68.6,68.1,169,167.6,Not Available,No,None,Not Available,293.4,69.7,223.7,59244,61544.0,Multifamily Housing,1.0,40.720302000000004,-74.001129,2.0,1.0,47.0,1003023.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
316,1002330026.0,,1002330026,1003051,12,HOWARD STREET,Manhattan,10013.0,Filed,71.2,Not Available,179.1,Not Available,14.16,Yes,None,84,2796.6,160.4,2636.2,142254,129135.0,Office,1.0,40.719281,-74.00001400000001,2.0,1.0,45.0,1003051.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
317,1002330030.0,,1-00233-0030,1003052,22,HOWARD STREET,Manhattan,10013.0,Filed,16.1,16.1,33.7,33.6,Not Available,No,None,100,64.5,25.7,38.8,59550,53200.0,Office,1.0,40.719421000000004,-74.00031700000001,2.0,1.0,45.0,1003052.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
321,1002440019.0,,1-00244-0019,1003141;1805579,605,WATER STREET,Manhattan,10002.0,Filed,81.6,81.6,135.8,135.9,Not Available,No,None,Not Available,963.6,0,963.6,136070,124600.0,Multifamily Housing,1.0,40.711249,-73.98445,3.0,1.0,202.0,1003141.0,Lower East Side                                                            
323,1002450001.0,,1002450001,1003142,286,SOUTH STREET,Manhattan,10002.0,Filed,151.8,151.8,219,219.1,Not Available,No,None,Not Available,2273.6,1678.2,595.4,256556,277260.0,Multifamily Housing,1.0,40.710478,-73.986571,3.0,1.0,201.0,1003142.0,Lower East Side                                                            
327,1002500001.0,,1-00250-0001,1003205,220,SOUTH STREET,Manhattan,10002.0,Filed,41.9,Not Available,110,Not Available,Not Available,No,Manual,Not Available,794.9,138.8,656.1,255084,274752.0,Self-Storage Facility,1.0,40.709452,-73.99433,3.0,1.0,8.0,1003205.0,Chinatown                                                                  
353,1003210001.0,,1003210001,1-00321-0001,570,GRAND STREET,Manhattan,10002.0,Filed,110.5,110.4,153.8,153.5,Not Available,No,None,Not Available,6237.6,4805.5,1432.1,973540,1231250.0,Multifamily Housing,3.0,40.713724,-73.979136,3.0,1.0,1001.0,1083419.0,Lower East Side                                                            
332,1002560014.0,,1002560014,1003211,272,CHERRY STREET,Manhattan,10002.0,Filed,27.1,27.1,66.9,67,Not Available,No,None,Not Available,212.6,50,162.6,108552,101786.0,Multifamily Housing,1.0,40.711357,-73.988674,3.0,1.0,6.0,,Lower East Side                                                            
423,1004310025.0,,1-00431-0025,1005761,51,AVENUE A,Manhattan,10009.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,121406,121406.0,Multifamily Housing,1.0,40.723988,-73.98505300000001,3.0,2.0,32.0,1005761.0,East Village                                                               
