record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identificaiton_numbers_bins,street_number,street_name,borough,zip_code,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,community_council,census_tract,bin,nta
12086,1000410001.0,,1000410001,1001007,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,918919,,Office,,,,,,,,
14354,4021460028.0,,,,63-10,108 STREET,Queens,11375.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,82730.0,,1.0,,,,,,,
12150,2027620097.0,,2027620097,2006460,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,64200,,Multifamily Housing,,,,,,,,
12590,1006700001.0,,,,201,11 AVENUE,Manhattan,10001.0,No Submission Matched to BBL,,,,,,No,None,,,,,,440360.0,,1.0,40.749652000000005,-74.00647099999999,4.0,3.0,99.0,1012266.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
15591,2048300034.0,,2048300034,2063117,,,Bronx,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,50000,,Multifamily Housing,,,,,,,,
12135,2006120205.0,,2-00612-0205,3008876,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,61800,,Distribution Center,,,,,,,,
8523,3050770001.0,,3-05077-0001,3116471,1600,CATON AVENUE,Brooklyn,11226.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,102198,102198.0,Multifamily Housing,1.0,40.650673,-73.965166,14.0,40.0,506.0,3116471.0,Flatbush                                                                   
15920,3065710023.0,,3065710023,3173037,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,174.6,,46620,,Multifamily Housing,,,,,,,,
14241,4004490013.0,,,,44-02,11 STREET,Queens,11101.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,120570.0,,1.0,,,,,,,
15925,3072240128.0,,3072240128,3196035,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,54029,,Multifamily Housing,,,,,,,,
9685,3087210375.0,,3-08721-0375,3245726,1311,BRIGHTWATER AVENUE,Brooklyn,11235.0,Filed,,Not Available,,Not Available,Not Available,Yes,ABS,Not Available,,,,0,288548.0,Multifamily Housing,1.0,40.575682,-73.955388,13.0,48.0,61002.0,3245726.0,Brighton Beach                                                             
7540,3008640001.0,,3008640001,3337343,526,59 STREET,Brooklyn,11220.0,Filed,,Not Available,,Not Available,17.51,Yes,ABS,Not Available,,,,171502,353342.0,K-12 School,5.0,40.639613,-74.014827,7.0,38.0,102.0,3337343.0,Sunset Park East                                                           
14360,4022370033.0,,,,72-36,112 STREET,Queens,11375.0,No Submission Matched to BBL,,,,,,No,None,,,,,,85200.0,,1.0,,,,,,,
10588,4024310023.0,,4-02431-0023,4056316,46-01,67 STREET,Queens,11377.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,0,,68750,62500.0,Multifamily Housing,1.0,,,,,,,
14423,4031680013.0,,,,    98-30,  67 AVENUE         ,Queens,11374.0,No Submission Matched to BBL,,,,,,,None,,,,,,132724.0,,1.0,,,,,,,
12515,1004370001.0,,,,150,1 AVENUE,Manhattan,10009.0,No Submission Matched to BBL,,,,,,No,None,,,,,,52390.0,,1.0,40.728260999999996,-73.984785,3.0,2.0,34.0,1005894.0,East Village                                                               
3028,1013110040.0,,Not Available,Not Available,950,3 AVENUE,Manhattan,10022.0,Filed,125.4,123.8,239.8,237.9,33.47,No,Manual,68,3556.4,0,3556.4,330000,313200.0,Office,1.0,40.760132,-73.96754200000001,6.0,4.0,11203.0,1036882.0,Turtle Bay-East Midtown                                                    
14609,4100970020.0,,,,153-20,JAMAICA AVENUE,Queens,11432.0,No Submission Matched to BBL,,,,,,No,None,,,,,,738000.0,,1.0,,,,,,,
12096,1006460047.0,,1-00646-0047,1012238,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,69160,,Mixed Use Property,,,,,,,,
6666,2033970029.0,,2033970029,2019798,529,EAST  235 STREET,Bronx,10470.0,Filed,,Not Available,,Not Available,61.14,Yes,ABS,Not Available,,,,52974,52599.0,Multifamily Housing,1.0,40.897997,-73.863487,12.0,11.0,45101.0,2019798.0,Woodlawn-Wakefield                                                         
8914,3058870001.0,,3-05887-0001,3146368,7119,SHORE ROAD,Brooklyn,11209.0,Filed,,Not Available,,Not Available,19.59,Yes,ABS,Not Available,,,,82200,82200.0,Multifamily Housing,1.0,40.636403,-74.036772,10.0,43.0,34.0,3146368.0,Bay Ridge                                                                  
11586,4097150220.0,,4-09715-0220,4207873,140-55,BURDEN CRESCENT,Queens,11435.0,Filed,,Not Available,,Not Available,48.57,Yes,ABS,Not Available,,,,63360,63360.0,Office,1.0,,,,,,,
11714,4103360060.0,,4103360060,4220265,109-10,180 STREET,Queens,11433.0,Filed,,Not Available,,Not Available,Not Available,Yes,None,Not Available,,,,52960,53000.0,Other,1.0,,,,,,,
14307,4015250047.0,,,,    42-72,  80 STREET         ,Queens,11373.0,No Submission Matched to BBL,,,,,,,None,,,,,,89000.0,,1.0,,,,,,,
12761,1009220070.0,,,,295,1 AVENUE,Manhattan,10003.0,No Submission Matched to BBL,,,,,,No,None,,,,,,98260.0,,1.0,40.733174,-73.981096,6.0,2.0,48.0,1020428.0,Gramercy                                                                   
12091,1001242024.0,,1001242024,1082894,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,154754,,Hotel,,,,,,,,
16027,4042820100.0,,Not Available,Not Available,,,Queens,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,465667,,Other,,,,,,,,
13378,2031170023.0,,,,855,EAST  178 STREET,Bronx,10460.0,No Submission Matched to BBL,,,,,,No,None,,,,,,90600.0,,1.0,40.843946,-73.885797,6.0,17.0,36501.0,2013093.0,East Tremont                                                               
14911,1007400013.0,,1007400013,1013048,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,331.3,68329,,Office,,,,,,,,
15103,1012770006.0,,1-01277-0006,1035346,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,5.24,,None,Not Available,,0,,66546,,Office,,,,,,,,
12140,2022150042.0,,2-02215-0042,1064521,,,Bronx,,BBL not valid,6224.5,6182.2,6533,6488.6,Not Available,,,Not Available,,,5.8,342048,,Multifamily Housing,,,,,,,,
14960,1008830029.0,,1-00883-0029,1082096,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,58456,,Office,,,,,,,,
6435,2032810077.0,,2-03281-0077,2016465,400,EAST MOSHOLU PARKWAY,Bronx,10458.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,88440,88440.0,Office,1.0,,,,,,,
7261,2058251554.0,,2058251554,2084533,6225,BROADWAY,Bronx,10471.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,87295,78825.0,Multifamily Housing,1.0,40.896786,-73.896854,8.0,11.0,351.0,2084533.0,North Riverdale-Fieldston-Riverdale                                        
5842,2028240005.0,,2028240005,2094530,1650,SELWYN AVENUE,Bronx,10457.0,Filed,,Not Available,,Not Available,41.64,Yes,ABS,Not Available,,,,255597,243426.0,Senior Care Community,3.0,40.843247999999996,-73.91040699999999,4.0,16.0,22703.0,2094530.0,Mount Hope                                                                 
7428,3002447501.0,,3002447501,3002008,195,MONTAGUE STREET,Brooklyn,11201.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,,220991,296555.0,Office,1.0,40.694015,-73.991472,2.0,33.0,9.0,3002008.0,Brooklyn Heights-Cobble Hill                                               
9533,3075620001.0,,3-07562-0001,3206027,3413,AVENUE H,Brooklyn,11210.0,Filed,,Not Available,,Not Available,78.56,Yes,ABS,Not Available,,,,66000,66000.0,Office,1.0,40.63192,-73.94344,17.0,45.0,784.0,3206027.0,East Flatbush-Farragut                                                     
14197,4001680001.0,,,,    43-09,  47 AVENUE         ,Queens,11104.0,No Submission Matched to BBL,,,,,,,None,,,,,,89781.0,,1.0,,,,,,,
12306,,,Not Available,Not Available,,,Staten Island,,No BBL on submission,0,0,0,0,Not Available,,,100,0,0,0,61219,,Office,,,,,,,,
13754,3013820004.0,,,,283,ALBANY AVENUE,Brooklyn,11213.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,57720.0,,1.0,40.670848,-73.939269,8.0,35.0,339.0,3036946.0,Crown Heights North                                                        
12496,1002830018.0,,,,143,HENRY STREET,Manhattan,10002.0,No Submission Matched to BBL,,,,,,No,None,,,,,,81953.0,,1.0,40.71335,-73.990611,3.0,1.0,6.0,1003567.0,Lower East Side                                                            
13616,2059200670.0,,,,3801,HUDSON MANOR TERRACE,Bronx,10463.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,152400.0,,1.0,40.888702,-73.915623,8.0,11.0,309.0,2085875.0,North Riverdale-Fieldston-Riverdale                                        
14932,1008210064.0,,1008210064,1015484,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,121.5,73000,,Office,,,,,,,,
1317,1008240032.0,,1008240032,101559,3,WEST   22 STREET,Manhattan,10010.0,Filed,,Not Available,,Not Available,8,Yes,ABS,Not Available,,273.7,,74027,74027.0,Office,1.0,40.74111,-73.990592,5.0,3.0,58.0,1015559.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
15011,1010140033.0,,1010140033,1024686,,,Manhattan,,Not on Covered Buildings List,154.9,154.9,352.7,352.7,24.89,,None,59,9525,2207.9,7317.1,841709,,Office,,,,,,,,
9863,4002520018.0,,4002520018,4003447,32-36,47 AVENUE,Queens,11101.0,Filed,46,46,51,51,0.02,Yes,ABS,100,1356.2,1288.5,67.7,390400,184400.0,Office,1.0,,,,,,,
10923,4049560013.0,,4049560013,4112104,139-06,34 ROAD,Queens,11354.0,Filed,,Not Available,,Not Available,106.58,Yes,ABS,Not Available,,,,70800,59000.0,Multifamily Housing,1.0,,,,,,,
16122,4101000001.0,,4101000001,4215612,,,Queens,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,400000,,Office,,,,,,,,
13809,3021110015.0,,,,30,LAFAYETTE AVENUE,Brooklyn,11217.0,No Submission Matched to BBL,,,,,,No,None,,,,,,170000.0,,1.0,40.686865999999995,-73.977738,2.0,35.0,35.0,3059185.0,Fort Greene                                                                
13454,2033470010.0,,,,3260,PERRY AVENUE,Bronx,10467.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,52800.0,,1.0,40.876018,-73.876091,7.0,11.0,42902.0,2018349.0,Norwood                                                                    
102,1000380001.0,,1-00038-0001,1000875,100,WALL STREET,Manhattan,10005.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,0,,426531,463664.0,Office,1.0,40.70497,-74.00708399999999,1.0,1.0,7.0,1000875.0,Battery Park City-Lower Manhattan                                          
206,1001240004.0,,1-00124-0004,1001399,9,PARK PLACE,Manhattan,10007.0,Filed,,Not Available,,Not Available,27.88,Yes,ABS,Not Available,,,,220624,205000.0,Office,1.0,40.712792,-74.008217,1.0,1.0,21.0,1001399.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
15030,1010760051.0,,1-01076-0051,1027001,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,179.3,250000,,Hotel,,,,,,,,
15110,1012930035.0,,1-01293-0035,1036067,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,0,,340574,,Office,,,,,,,,
12133,2002810001.0,,2002810001,2007849,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,89.4,96990,,Multifamily Housing,,,,,,,,
12214,3020470004.0,,3020470004,3348771,,,Brooklyn,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,520.4,,638094,,Office,,,,,,,,
12237,4004370002.0,,4004370002,4000000,,,Queens,,BBL not valid,66.2,65.6,177.8,177.2,10.32,,,84,2641.2,414.1,2227.1,528060,,Office,,,,,,,,
16043,4051810006.0,,4-05181-0006,4117035,,,Queens,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,49925,,Office,,,,,,,,
12183,2147483647.0,,2-14748-3647,4464076,,,Bronx,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,1027.1,,248056,,Multifamily Housing,,,,,,,,
13380,2031340014.0,,,,984,BRONX PARK SOUTH,Bronx,10460.0,No Submission Matched to BBL,,,,,,No,None,,,,,,52030.0,,1.0,40.844819,-73.878502,6.0,15.0,361.0,2013274.0,East Tremont                                                               
13912,3036310030.0,,,,20,HEGEMAN AVENUE,Brooklyn,11212.0,No Submission Matched to BBL,,,,,,No,None,,,,,,125000.0,,1.0,40.655629,-73.91150999999999,16.0,42.0,890.0,3339612.0,Rugby-Remsen Village                                                       
13595,2057230100.0,,,,500,KAPPOCK STREET,Bronx,10463.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,64142.0,,1.0,40.877239,-73.91785,8.0,11.0,29302.0,2083256.0,Spuyten Duyvil-Kingsbridge                                                 
14085,3070870076.0,,,,143,LAKE STREET,Brooklyn,11223.0,No Submission Matched to BBL,,,,,,No,None,,,,,,221704.0,,1.0,40.600605,-73.97355,11.0,47.0,410.0,3190467.0,Bensonhurst East                                                           
13902,3032600001.0,,,,374,STOCKHOLM STREET,Brooklyn,11237.0,No Submission Matched to BBL,,,,,,No,None,,,,,,360000.0,,1.0,40.704636,-73.917699,4.0,37.0,443.0,3074262.0,Bushwick North                                                             
977,1007660061.0,,1-00766-0061,1013820,230,WEST   17 STREET,Manhattan,10011.0,Filed,122.3,122.4,347,347.3,1.35,Yes,ABS,4,584.4,76.8,507.6,59468,53168.0,Office,1.0,40.740899,-73.999325,4.0,3.0,81.0,1013820.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1256,1008150046.0,,1008150046,1015281,1430,BROADWAY,Manhattan,10018.0,Filed,117,115.9,257,255.7,Not Available,No,None,52,3613,0,3613,364000,364000.0,Office,1.0,40.754158000000004,-73.98690500000001,5.0,4.0,113.0,1015281.0,Midtown-Midtown South                                                      
12088,1001000007.0,,1001000007,1022676,,,Manhattan,,BBL not valid,,Not Available,,Not Available,Not Available,,,Not Available,,,,106076,,Hotel,,,,,,,,
4862,1020930029.0,,1020930029,1062398,3565,BROADWAY,Manhattan,10031.0,Filed,,Not Available,,Not Available,67.32,Yes,ABS,Not Available,,,,78678,72099.0,Multifamily Housing,1.0,40.827202,-73.94989699999999,9.0,7.0,233.0,1062398.0,Hamilton Heights                                                           
12159,2042260016.0,,2-04226-0016,2047127,,,Bronx,,BBL not valid,4.7,4.7,14.8,14.8,Not Available,,,100,88.1,0,88.1,230000,,Office,,,,,,,,
12179,2147483647.0,,2-14748-3647,3194728,,,Bronx,,BBL not valid,90.1,90.2,130.9,131,46.22,,,Not Available,404.6,296,108.6,76752,,Multifamily Housing,,,,,,,,
15600,3001470004.0,,3001470004,3319418,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,913378,,Office,,,,,,,,
15867,3046480033.0,,3046480033,3323081,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,60.96,,None,Not Available,,217.7,,92800,,Multifamily Housing,,,,,,,,
15924,3068550001.0,,3068550001,3329173,,,Brooklyn,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,61404,,K-12 School,,,,,,,,
12206,3001450035.0,,3001450035,3413889,,,Brooklyn,,BBL not valid,0.3,Not Available,0.8,Not Available,Not Available,,,100,3.6,0,3.6,175601,,Office,,,,,,,,
12375,,,Not Available,Not Available,,,Staten Island,,No BBL on submission,,Not Available,,Not Available,Not Available,,,Not Available,0,0,0,0,,College/University,,,,,,,,
16099,4084010096.0,,4084010096,4453435,,,Queens,,Not on Covered Buildings List,180.5,178.7,233.7,231.8,Not Available,,None,Not Available,966.7,806.6,160.1,91968,,Multifamily Housing,,,,,,,,
500,1005050001.0,,1005050001,1007817,150,VARICK STREET,Manhattan,10013.0,Filed,82.1,81.9,201.3,201.2,8.71,Yes,ABS,44,1392.3,337.9,1054.4,235370,214110.0,Distribution Center,1.0,40.726143,-74.00569300000001,2.0,3.0,37.0,1007817.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
5017,1021420100.0,,1021420100,1063495,4079,BROADWAY,Manhattan,10032.0,Filed,137.7,137.5,192.5,192.1,Not Available,No,None,Not Available,673.6,541.8,131.8,64806,64816.0,Multifamily Housing,1.0,40.843835,-73.93905699999999,12.0,10.0,253.0,,Washington Heights South                                                   
5116,1021750080.0,,1021750080,1064235,60,SHERMAN AVENUE,Manhattan,10040.0,Filed,103.2,103,138.6,138.2,Not Available,No,None,Not Available,485,403,82,62839,62847.0,Multifamily Housing,1.0,40.86314,-73.927213,12.0,10.0,287.0,1064235.0,Washington Heights North                                                   
363,1003360005.0,,1003360005,1088884,16,BIALYSTOKER PLACE,Manhattan,10002.0,Filed,74,74,115.8,115.8,Not Available,No,None,Not Available,435.5,290,145.5,98000,98052.0,Multifamily Housing,1.0,40.715654,-73.982956,3.0,1.0,12.0,,Lower East Side                                                            
6876,2040830013.0,,2040830013,2044217,1525,JARRETT PLACE,Bronx,10461.0,Filed,36.4,36.3,80.9,80.8,Not Available,Yes,None,98,133.7,45.3,88.4,53275,53285.0,Office,1.0,40.845571,-73.84621700000001,11.0,13.0,200.0,,Van Nest-Morris Park-Westchester Square                                    
10714,4031680056.0,,4031680056,4075089,99-21,67 ROAD,Queens,11375.0,Filed,114.8,114.5,166,165.8,Not Available,No,None,Not Available,414.9,305.3,109.6,61846,61856.0,Multifamily Housing,1.0,,,,,,,
1214,1008070028.0,,1-00807-0028,1015181,119,WEST   31 STREET,Manhattan,10001.0,Filed,130,128.4,258.7,257.3,22.89,Yes,ABS,57,1965.4,977.8,987.6,204417,221227.0,Office,1.0,40.748238,-73.989952,5.0,3.0,101.0,1015181.0,Midtown-Midtown South                                                      
1544,1008580014.0,,1-00858-0014,1016899,80,MADISON AVENUE,Manhattan,10016.0,Filed,138.3,138.3,233.7,233.9,Not Available,No,None,Not Available,597.3,384.1,213.2,60110,60110.0,Multifamily Housing,1.0,40.744104,-73.985637,5.0,4.0,74.0,1016899.0,Midtown-Midtown South                                                      
1905,1009687501.0,,1-00968-7501,1022060,630,1 AVENUE,Manhattan,10016.0,Filed,56909,Not Available,68511.9,Not Available,Not Available,No,None,Not Available,2307283.7,82.7,2307201,457946,550141.0,Multifamily Housing,1.0,40.745216,-73.972453,6.0,4.0,8601.0,1022060.0,Turtle Bay-East Midtown                                                    
2301,1011390001.0,,1-01139-0001,1028849,145,WEST   67 STREET,Manhattan,10023.0,Filed,88.2,87.5,150.6,149.3,Not Available,No,None,Not Available,2812.8,1657.9,1154.9,511001,568001.0,Multifamily Housing,1.0,40.775012,-73.982969,7.0,6.0,153.0,1028849.0,Lincoln Square                                                             
15059,1012090148.0,,1-01209-00148,1031751,,,Manhattan,,Not on Covered Buildings List,15.7,15.7,23.5,23.5,Not Available,,None,100,52.4,37.2,15.2,56442,,Hotel,,,,,,,,
674,1005680024.0,,1005680024,1032045,60,UNIVERSITY PLACE,Manhattan,10003.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,104.7,60939,56252.0,Multifamily Housing,1.0,40.732865000000004,-73.993711,2.0,2.0,61.0,1009265.0,West Village                                                               
2537,1012120110.0,,1012120110,1032045,155,WEST   81 STREET,Manhattan,10024.0,Filed,85.7,Not Available,115.3,Not Available,47.4,Yes,ABS,Not Available,507.8,422,85.8,78435,67230.0,Multifamily Housing,1.0,40.783904,-73.97604799999999,7.0,6.0,165.0,1032045.0,Upper West Side                                                            
2841,1012747502.0,,1-01274-7502,1035250,57,WEST   58 STREET,Manhattan,10019.0,Filed,195.7,Not Available,315.8,Not Available,Not Available,No,None,Not Available,1148.1,790.1,358,80293,96137.0,Multifamily Housing,1.0,40.764520000000005,-73.975528,5.0,4.0,11201.0,1035250.0,Midtown-Midtown South                                                      
2945,1012920048.0,,1012920048,1035788,32,EAST   57 STREET,Manhattan,10022.0,Filed,79.1,79.1,175,175.2,8.77,Yes,ABS,74,653.6,271.8,381.8,104990,77511.0,Office,1.0,40.762162,-73.972082,5.0,4.0,11202.0,1035788.0,Midtown-Midtown South                                                      
15120,1013040033.0,,1013040033,1036446,,,Manhattan,,Not on Covered Buildings List,144.1,142.4,309.3,307.2,Not Available,,None,26,6472.5,0,6472.5,528180,,Office,,,,,,,,
3053,1013150044.0,,1-01315-0044,1037547,214,EAST   42 STREET,Manhattan,10017.0,Filed,200.9,200.9,311.9,312,62.18,Yes,None,13,5302.6,3569.4,1733.2,440895,502158.0,Hotel,1.0,40.750415000000004,-73.973635,6.0,4.0,88.0,1037547.0,Turtle Bay-East Midtown                                                    
4233,1016440059.0,,1-01644-0059,1052315,136,EAST  117 STREET,Manhattan,10035.0,Filed,104.6,102.4,142.4,139.7,Not Available,Yes,ABS,Not Available,556.1,458.3,97.8,69656,55725.0,Multifamily Housing,1.0,40.799498,-73.941615,11.0,8.0,182.0,1052315.0,East Harlem North                                                          
4777,1020230028.0,,1020230028,1060220,2340,ADAM C POWELL BLVD,Manhattan,10030.0,Filed,86.7,86.7,87.6,87.6,Not Available,No,None,Not Available,406.6,406.6,0,62300,57834.0,Multifamily Housing,1.0,40.816651,-73.94273000000001,10.0,9.0,228.0,1060220.0,Central Harlem North-Polo Grounds                                          
4912,1021310044.0,,1021310044,1063170,2308,AMSTERDAM AVENUE,Manhattan,10033.0,Filed,102.1,101.9,139.7,139.3,Not Available,Yes,None,Not Available,494.3,404.4,89.9,64838,64848.0,Multifamily Housing,1.0,40.843945,-73.933949,12.0,10.0,261.0,1063170.0,Washington Heights South                                                   
5210,1021800486.0,,1021800486,1064460,179,BENNETT AVENUE,Manhattan,10040.0,Filed,21.2,21.1,57.7,57.3,Not Available,No,None,Not Available,130,18.3,111.7,80917,80927.0,Multifamily Housing,1.0,40.856285,-73.933948,12.0,10.0,279.0,1064460.0,Washington Heights North                                                   
5295,1022470001.0,,1022470001,1065057,37,PAYSON AVENUE,Manhattan,10034.0,Filed,78.3,77.6,106.3,105.6,Not Available,No,None,Not Available,367,302.3,64.7,62205,56700.0,Multifamily Housing,1.0,40.86695,-73.92841700000001,12.0,10.0,295.0,1065057.0,Marble Hill-Inwood                                                         
1575,1008610044.0,,1008610044, 1080788; 1080789,462,PARK AVENUE SOUTH   ,Manhattan,10016.0,Filed,,Not Available,,Not Available,15.12,,None,Not Available,,,,292061,227053.0,Office,2.0,40.745276000000004,-73.98267,5.0,2.0,74.0,1080789.0,Midtown-Midtown South                                                      
15025,1010560001.0,,1010560001, 1081659; 1081660; 1081664; 1081665; 1081666; 1081667; 1081668; 1081669; 1081670;1081674;1081675,,,Manhattan,,Not on Covered Buildings List,55.2,55.3,106.1,106.2,Not Available,,None,Not Available,236.5,112.8,123.7,66000,,Multifamily Housing,,,,,,,,
21,1000160140.0,,1000160140,1000059,200,VESEY STREET,Manhattan,10281.0,Filed,96.8,96.9,216.4,216.5,11.83,No,Manual,76,16465.5,24.1,16441.4,2280527,2249866.0,Office,1.0,40.714447,-74.015493,1.0,1.0,31703.0,1000059.0,Battery Park City-Lower Manhattan                                          
4208,1016240033.0,,1016240033,1082901,1710,   3 AVENUE         ,Manhattan,10029.0,Filed,83.2,83.2,149.6,149.6,Not Available,,None,Not Available,2676.1,1443.1,1233,509100,509090.0,Multifamily Housing,1.0,40.785301000000004,-73.949268,11.0,5.0,15802.0,1082901.0,East Harlem South                                                          
4799,1020427502.0,,1020427502, 1085457 ;1085457  ;1085452 ;1085451 ;1085453  ;1085454  ;1085455  ;1085456,2611,FREDRICK DOUGLASS BL,Manhattan,10030.0,Filed,145.1,144.4,212.4,211.7,Not Available,Yes,None,Not Available,478.2,346.9,131.3,56170,68836.0,Multifamily Housing,1.0,40.819097,-73.944665,10.0,9.0,22102.0,1085457.0,Central Harlem North-Polo Grounds                                          
1568,1008607501.0,,1008607501,1087118,43,EAST   30 STREET,Manhattan,10016.0,Filed,59.4,59,111.6,111,Not Available,Yes,None,Not Available,291.8,145.2,146.6,76430,59993.0,Multifamily Housing,1.0,40.745032,-73.98426500000001,5.0,2.0,74.0,1087118.0,Midtown-Midtown South                                                      
5427,2024320047.0,,2-02432-0047,2002195,309,EAST  164 STREET,Bronx,10456.0,Filed,88.7,88.1,132,130.8,108.9,Yes,ABS,Not Available,402.8,286.2,116.6,76992,71070.0,Multifamily Housing,1.0,40.827884000000005,-73.915595,4.0,16.0,173.0,2002195.0,East Concourse-Concourse Village                                           
5476,2024560175.0,,2024560175,2002751,1181,SHERIDAN AVENUE,Bronx,10456.0,Filed,100.8,100.4,134.9,134.5,Not Available,Yes,None,Not Available,537.7,447.8,89.9,72000,72276.0,Multifamily Housing,1.0,40.833434999999994,-73.917106,4.0,16.0,18102.0,2002751.0,East Concourse-Concourse Village                                           
5564,2024880031.0,,2-02488-0031,2003001,1183,GERARD AVENUE,Bronx,10452.0,Filed,103.1,Not Available,128.4,Not Available,Not Available,No,None,Not Available,462.2,407,55.2,60259,60269.0,Multifamily Housing,1.0,40.834849,-73.920638,4.0,16.0,197.0,2003001.0,West Concourse                                                             
15424,2025120069.0,,2-02512-0069,2003232,,,Bronx,,Not on Covered Buildings List,95.5,Not Available,129.6,Not Available,Not Available,,None,Not Available,514.1,423.5,90.6,72000,,Multifamily Housing,,,,,,,,
5658,2025820034.0,,2025820034,2003971,526,TINTON AVENUE,Bronx,10455.0,Filed,66.8,66.8,80.7,80.7,Not Available,No,None,Not Available,385.2,347,38.2,75914,75924.0,Multifamily Housing,1.0,40.812191,-73.90649,1.0,8.0,31.0,2003971.0,Mott Haven-Port Morris                                                     
5816,2028100001.0,,2-02810-0001,2007721,1930,GRAND CONCOURSE,Bronx,10457.0,Filed,162.6,Not Available,220,Not Available,27.99,Yes,None,Not Available,526,418.2,107.8,56000,56000.0,Multifamily Housing,1.0,40.850106,-73.90545999999999,5.0,15.0,23502.0,2007721.0,Mount Hope                                                                 
5947,2028700016.0,,2-02870-0016,2008629,2010,GRAND AVENUE,Bronx,10453.0,Filed,110.7,110.2,158.9,158.3,Not Available,No,None,Not Available,325.2,241.3,83.9,61871,50400.0,Multifamily Housing,1.0,40.853294,-73.910025,5.0,14.0,243.0,2008629.0,University Heights-Morris Heights                                          
6080,2029910034.0,,2029910034,2010685,1788,HOE AVENUE,Bronx,10460.0,Filed,718.6,718.6,932.9,932.9,Not Available,No,None,1,2821.4,2340.8,480.6,68952,58962.0,Hospital (General Medical & Surgical),1.0,,,,,,,
6275,2032160048.0,,2032160048,2014696,2015,DR M L KING JR BLVD,Bronx,10453.0,Filed,65,65,94,93.9,Not Available,Yes,None,Not Available,376.1,292.5,83.6,77990,78000.0,Multifamily Housing,1.0,40.855321999999994,-73.910742,5.0,14.0,24502.0,2014696.0,University Heights-Morris Heights                                          
