order,property_id,property_name,parent_property_id,parent_property_name,city_building,bbl_10_digits,nyc_borough_block_and_lot,nyc_building_identification,address_1_self_reported,address_2_self_reported,postal_code,street_number,street_name,borough,dof_gross_floor_area_ft,self_reported_gross_floor,primary_property_type_self,list_of_all_property_use,largest_property_use_type,largest_property_use_type_1,_2nd_largest_property_use,_2nd_largest_property_use_1,_3rd_largest_property_use,_3rd_largest_property_use_1,year_built,number_of_buildings,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,source_eui_kbtu_ft,weather_normalized_source,site_eui_kbtu_ft,weather_normalized_site_eui,weather_normalized_site,weather_normalized_site_1,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,kerosene_use_kbtu,propane_use_kbtu,district_steam_use_kbtu,district_hot_water_use_kbtu,district_chilled_water_use,natural_gas_use_kbtu,weather_normalized_site_2,electricity_use_grid_purchase,electricity_use_grid_purchase_1,weather_normalized_site_3,annual_maximum_demand_kw,annual_maximum_demand_mm,total_ghg_emissions_metric,direct_ghg_emissions_metric,indirect_ghg_emissions_metric,water_use_all_water_sources,water_use_intensity_all_water,water_required,generation_date,latitude,longitude,community_board,council_district,census_tract,nta
1,7365,1155,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1009970029,1009970029,1022631,1155  Avenue  of  the  Americas,Not Available,10036,1155,Avenue of the Americas,Manhattan,734668.0,686838,Office,"Bank Branch, Office",Office,680478.9,Bank Branch,5227,Not Available,Not Available,1982,1,40,Whole Building,Not Available,79,110.9,110.9,45.7,45.8,10.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7360193.3,Not Available,Not Available,Not Available,Not Available,2.39953415E7,7032631.5,7032631.5,Not Available,Not Available,2520.9,0,2520.9,Not Available,Not Available,No,2019-04-30T11:53:26.000,40.756631,-73.982826,105.0,4.0,119.0,Midtown-Midtown South
2,8139,200,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013150001,1013150001,1037545,200  East  42nd  St.,Not Available,10017,200,East 42nd,Manhattan,380000.0,384432,Office,"Bank Branch, Office, Retail Store",Office,366528.0,Retail Store,15789,Bank Branch,2115,1956,1,100,Whole Building,Whole Building,62,193.4,190.6,101,98.9,13.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21525233,Not Available,Not Available,Not Available,Not Available,1.73088981E7,5072947.2,5055495,Not Available,Not Available,2895.1,0,2895.1,7252.6,18.87,Yes,2019-04-30T11:53:27.000,,,,,,
3,8604,114,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1009990019,1009990019,1022667,114  West  47th  st,Not Available,10036,114,West 47th,Manhattan,646995.0,577534,Financial Office,Financial Office,Financial Office,577534.0,Not Available,Not Available,Not Available,Not Available,1989,1,95,Whole Building,Not Available,66,155.6,154.6,70.3,70.3,12.9,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.38723262E7,Not Available,Not Available,963227.2,9632.3,2.57830572E7,7556580.9,7446568.4,Not Available,Not Available,3155.8,51.2,3104.7,Not Available,Not Available,No,2019-04-30T11:53:27.000,,,,,,
4,8841,733,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013190047,1013190047,1037596,733  Third  Avenue,Not Available,10017,733,Third Avenue,Manhattan,405399.0,390878,Office,Office,Office,393087.2,Not Available,Not Available,Not Available,Not Available,1961,1,100,Whole Building,Not Available,64,181.5,178.2,97.1,95,11.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.22760592E7,Not Available,Not Available,Not Available,Not Available,1.59062232E7,4661846.8,4612102.7,Not Available,Not Available,2826.2,0,2826.2,Not Available,Not Available,No,2019-04-30T11:53:27.000,40.753074,-73.972753,106.0,4.0,90.0,Turtle Bay-East Midtown
5,11809,Conde Nast Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1009950005,1009950005,1085682,4 Times Square,Not Available,10036,4,Times Square,Manhattan,,1601977,Office,"Office, Retail Store",Office,1539113.0,Retail Store,62864,Not Available,Not Available,1999,1,100,Whole Building,Not Available,42,226.1,227.3,100.4,101.5,20,0.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.40737862E7,Not Available,Not Available,3.74985204E7,389906.7,1.092587034E8,3.20218904E7,3.20218904E7,Not Available,Not Available,12179.3,1991.7,10187.6,Not Available,Not Available,,2019-04-30T11:53:27.000,40.756181,-73.986244,105.0,4.0,119.0,Midtown-Midtown South
6,13286,201/205,13286,201/205,No,1013160001,1013160001,1037549,201/205  East  42nd  st.,Not Available,10017,201/205,East 42nd,Manhattan,289356.0,692455,Office,Office,Office,692455.0,Not Available,Not Available,Not Available,Not Available,1963,2,100,Whole Building,Not Available,Not Available,230.9,226.6,125.3,122.2,14.7,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.91775567E7,Not Available,Not Available,2593072.7,25930.7,3.50019397E7,1.02584805E7,1.01811991E7,Not Available,Not Available,6367.4,137.7,6229.6,Not Available,Not Available,No,2019-04-30T11:53:28.000,,,,,,
7,28400,NYP Columbia (West Campus),28400,NYP Columbia (West Campus),No,1021380040; 1021380030; 1021390001; 1021390085; 1021360245,1021380040; 1021380030; 1021390001; 1021390085; 1021360245,1084198; 1084387;1084385; 1084386; 1084388; 1084389; 1807867; 1809824; 1063380; 1087281; 1076746; 1813204; 1063403; 1063347,622 168th Street,Not Available,10032,622,168th Street,Manhattan,,3813938,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),3813938.0,Parking,211980,Not Available,Not Available,1969,12,100,Whole Building,Whole Building,77,391.8,391.8,258.2,258.2,22.9,2.7,Not Available,41032678,Not Available,Not Available,Not Available,Not Available,Not Available,-3.837655662E8,Not Available,Not Available,1030009735,1.03000974E7,297560626,8.72100205E7,8.72100205E7,Not Available,Not Available,57472.7,57753.8,-281.1,412.2,0.11,,2019-05-01T12:54:49.000,,,,,,
8,28402,NYP Cornell (East Campus),28402,NYP Cornell (East Campus),No,1014800001; 1014820040,1014800001; 1014820040,1084781; 1084780; 1081252,525 East 68th Street,Not Available,10021,525,East 68th,Manhattan,,3274756,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical), Other",Hospital (General Medical & Surgical),2971874.0,Other,302882,Not Available,Not Available,1932,12,100,Whole Building,Whole Building,36,428.1,428.1,379.9,379.9,8.5,4.8,Not Available,4.15585009E7,Not Available,Not Available,Not Available,Not Available,Not Available,-4.514757789E8,Not Available,Not Available,1558592348,1.55859235E7,95260283,2.79191886E7,2.79191886E7,Not Available,Not Available,63958.6,85868.3,-21909.7,99433.3,30.36,,2019-05-01T12:54:49.000,,,,,,
9,28404,The Allen Hospital,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1022440100,1-02244-0100,1065045,5141 Broadway,Not Available,10034,5141,Broadway,Manhattan,393924.0,308789,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),308789.0,Not Available,Not Available,Not Available,Not Available,1991,1,100,Whole Building,Whole Building,48,455.8,451.5,245,244.9,32.6,1.3,Not Available,243500,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.03874525E7,410791.6,3.50296316E7,1.02665965E7,1.00521213E7,Not Available,Not Available,5129.9,2163.2,2966.7,Not Available,Not Available,No,2019-04-30T17:29:33.000,40.872384999999994,-73.91266800000001,112.0,10.0,297.0,park-cemetery-etc-Manhattan
10,1045358,320 Park Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012860035,1-01286-0035,1035464,320 Park Avenue,Not Available,10022,320,Park Avenue,Manhattan,656436.0,721979,Financial Office,"Bank Branch, Data Center, Financial Office",Financial Office,705197.0,Bank Branch,10462,Data Center,6320,1994,1,95,Whole Building,Whole Building,60,213.6,212.1,88.8,88.3,19.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.57961535E7,Not Available,Not Available,Not Available,Not Available,4.82909907E7,1.41532781E7,1.40280314E7,Not Available,Not Available,5138.6,0,5138.6,21519.6,29.81,No,2019-04-23T14:29:41.000,40.75745,-73.973798,105.0,4.0,102.0,Midtown-Midtown South
11,1052478,140 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1000480001,1000480001,1001027,140 Broadway,Not Available,10005,140,Broadway,Manhattan,1141276.0,1272119,Office,"Data Center, Office",Office,1248923.0,Data Center,23196,Not Available,Not Available,1967,1,90,Whole Building,Whole Building,32,288.1,288.1,161.9,161.9,17.1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.309612982E8,Not Available,Not Available,583393.5,5833.9,7.43963183E7,21804311,21804311,Not Available,Not Available,15027.2,31,14996.2,11407.1,8.97,No,2019-04-30T15:17:05.000,40.709043,-74.010626,101.0,1.0,7.0,Battery Park City-Lower Manhattan
12,1069082,51 Madison,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1008560024,1008560024,1016880,51 Madison Avenue,Not Available,10010,51,Madison Avenue,Manhattan,1159795.0,1513807,Office,Office,Office,1513807.0,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Not Available,72,163.7,163.2,80,79.9,12.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.72262849E7,Not Available,Not Available,Not Available,Not Available,6.39111368E7,1.87312805E7,1.86486503E7,Not Available,Not Available,9212.4,0,9212.4,Not Available,Not Available,No,2019-04-23T13:48:53.000,40.743023,-73.986402,105.0,2.0,56.0,Hudson Yards-Chelsea-Flatiron-Union Square
13,1143922,NE - 111 WALL STREET,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1000350010,1000350010,1000868,111 WALL STREET,Not Available,10005,111,WALL STREET,Manhattan,990250.0,885474,Office,Office,Office,885474.0,Not Available,Not Available,Not Available,Not Available,1968,1,60,Whole Building,Not Available,47,176.4,176.4,78.5,78.5,15.1,0,Not Available,276000,Not Available,Not Available,Not Available,Not Available,Not Available,2.37247798E7,Not Available,Not Available,0,0,4.54975231E7,1.33345597E7,1.33345597E7,Not Available,Not Available,5448.9,20.5,5428.5,15001.8,16.94,No,2019-05-01T15:08:30.000,40.704553000000004,-74.006636,101.0,1.0,7.0,Battery Park City-Lower Manhattan
14,1143934,NE - 388 GREENWICH STREET,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1002160001,1002160001,1082816,388 GREENWICH STREET,Not Available,10013,388,GREENWICH STREET,Manhattan,1594289.0,1869756,Office,Office,Office,1869756.0,Not Available,Not Available,Not Available,Not Available,1986,1,100,Whole Building,Not Available,68,161.4,162.1,69.8,70.4,14.4,0.1,Not Available,11724.5,Not Available,Not Available,Not Available,Not Available,Not Available,2.46919176E7,Not Available,Not Available,1.37895995E7,137896,9.19960345E7,2.69624922E7,2.69624922E7,Not Available,Not Available,10163.9,733.3,9430.6,44022,23.54,Yes,2019-05-01T15:08:30.000,40.720659000000005,-74.010098,101.0,1.0,39.0,SoHo-TriBeCa-Civic Center-Little Italy
15,1151970,1133,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1009960029,1009960029,1080824,1133 Avenue of the Americas,Not Available,10036,1133,Avenue of the Americas,Manhattan,1039529.0,977035,Office,"Financial Office, Office, Parking, Retail Store",Office,838075.0,Financial Office,118576,Parking,44888,1968,1,100,Whole Building,Not Available,71,176,174.6,76.4,76.1,15.9,0.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.12090704E7,214071.3,5.34444797E7,1.56636791E7,1.55080782E7,Not Available,Not Available,5652.7,1126.5,4526.2,Not Available,Not Available,No,2019-04-30T11:53:28.000,40.755942,-73.983324,105.0,4.0,119.0,Midtown-Midtown South
16,1160595,"STATEN ISLAND, NY-2463",Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,5024000210,5024000210,5127910,140 MARSH AVE,Not Available,10314,140,MARSH AVE,Staten Island,179200.0,179200,Retail Store,Retail Store,Retail Store,179200.0,Not Available,Not Available,Not Available,Not Available,1994,1,100,Whole Building,Whole Building,67,124.1,123.9,50,50,12,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1613100,16339.5,7338132,2150683.2,2144837.2,Not Available,Not Available,707.1,85.7,621.5,842.7,4.7,Yes,2019-04-30T12:55:17.000,40.580505,-74.163098,502.0,51.0,27702.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
17,1160893,"BRONX, NY-2718",Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,2051410003,2051410003,2087397,100 BAYCHESTER AVE,Not Available,10475,100,BAYCHESTER AVE,Bronx,170513.0,166320,Retail Store,Retail Store,Retail Store,166320.0,Not Available,Not Available,Not Available,Not Available,1997,1,100,Whole Building,Whole Building,51,178.9,175.7,73.1,72,16.8,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2463551,24614,9701544.1,2843359.6,2788777.1,Not Available,Not Available,952.5,130.9,821.6,534.2,3.21,No,2019-04-30T12:55:17.000,40.86455,-73.82977,210.0,12.0,46201.0,Co-op City
18,1160897,"ELMHURST, NY-2814",Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,4018600102,4018600102,4530817,92-59 59TH AVE,Not Available,11373,92-59,59TH AVE,Queens,202383.0,204340,Retail Store,Retail Store,Retail Store,204340.0,Not Available,Not Available,Not Available,Not Available,2004,1,100,Whole Building,Whole Building,65,150.3,148.4,60.7,60,14.3,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2283899,22888.7,1.01128465E7,2963905.4,2923528.7,Not Available,Not Available,977.8,121.3,856.5,1140,5.58,Yes,2019-04-30T12:55:18.000,40.734272999999995,-73.86874399999999,404.0,25.0,683.0,Elmhurst
19,1172592,780 Third Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013030033,1-01303-0033,1036228,780 Third Avenue,Not Available,10017,780,Third Avenue,Manhattan,490020.0,487501,Financial Office,"Convenience Store without Gas Station, Financial Office, Office, Restaurant",Financial Office,251895.0,Office,233170.1,Convenience Store without Gas Station,1811,1984,1,90,Whole Building,Whole Building,68,166.1,165.9,71.4,71.1,14.8,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8425496.5,Not Available,Not Available,1694558,16945.6,2.46661835E7,7229244,7229244,Not Available,Not Available,2738.4,90,2648.4,Not Available,Not Available,No,2019-05-01T17:49:50.000,40.754757,-73.971554,106.0,4.0,92.0,Turtle Bay-East Midtown
20,1192662,CBRE-1166 Avenue of the Americas,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012617501,1012617501,1071414,1166 Avenue of the Americas,Not Available,10036,1166,Avenue of the Americas,Manhattan,1529036.0,1797825,Office,"Office, Other",Office,1779804.0,Other,18021,Not Available,Not Available,1974,1,100,Whole Building,Whole Building,44,192.4,189.6,104.7,102.5,12.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,113398414,Not Available,Not Available,Not Available,Not Available,7.48303679E7,2.19315237E7,2.18623068E7,Not Available,Not Available,13866.9,0,13866.9,Not Available,Not Available,No,2019-04-05T21:55:32.000,40.757003999999995,-73.98252600000001,105.0,4.0,96.0,Midtown-Midtown South
21,1200524,730 Third Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013000033,1013000033,1036195,730 Third Avenue,Not Available,10017,730,Third Avenue,Manhattan,,678947,Office,"Bank Branch, Data Center, Financial Office, Office, Restaurant, Retail Store",Office,636215.0,Data Center,15400,Bank Branch,12942,1959,1,100,Whole Building,Whole Building,66,183.7,182.5,84.6,84.5,14.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.26340632E7,Not Available,Not Available,Not Available,Not Available,3.48068533E7,1.02013039E7,1.00793859E7,Not Available,Not Available,4450.7,0,4450.7,13985.4,20.6,,2019-04-10T11:51:26.000,40.753104,-73.972757,106.0,4.0,92.0,Turtle Bay-East Midtown
22,1203624,CW/METLIFE 27-01 QPN,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,4004160010,4004160010,4005016;4005018,27-01 QUEENS PLAZA NORTH,Not Available,11101,27-01,QUEENS PLAZA,Queens,337400.0,782359,Office,"Office, Other, Restaurant",Office,767029.0,Other,8270,Restaurant,7060,2001,1,75,Whole Building,Whole Building,67,134.4,132.7,55.2,54.5,12.6,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9009266.8,89168,3.41733714E7,10015641,9887011.5,Not Available,Not Available,8423.7,478.5,7945.1,9352.1,11.95,Yes,2019-06-13T11:19:23.000,40.750561,-73.93931500000001,401.0,26.0,33.0,Queensbridge-Ravenswood-Long Island City
23,1216329,FDA Queens,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,4100990080,4100990080,4467556,158-15 Liberty Ave,Not Available,11433,158-15,Liberty Ave,Queens,,275506,Other,"Non-Refrigerated Warehouse, Office, Other, Parking, Refrigerated Warehouse",Other,169924.0,Office,95582,Non-Refrigerated Warehouse,5000,1999,1,100,Whole Building,Not Available,Not Available,481.8,476.4,263.3,260.1,34.1,1.3,Not Available,2512891,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.76330385E7,371011.2,3.23856748E7,9491697.2,9396380.9,Not Available,Not Available,4928.1,2185.4,2742.7,13374.9,48.55,,2019-04-25T13:58:22.000,40.699839000000004,-73.798418,412.0,27.0,246.0,Jamaica
24,1230813,Zuckerman,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1014637501,1-01463-7501,1045575,415 E 68 St,Not Available,10065,415,E 68,Manhattan,731550.0,743935,Laboratory,"Laboratory, Other - Entertainment/Public Assembly",Laboratory,685314.0,Other - Entertainment/Public Assembly,42925,Not Available,Not Available,2006,1,100,Whole Building,Not Available,Not Available,860.5,852.9,430.6,427.3,62.2,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.573143531E8,Not Available,Not Available,16166.7,161.7,156214098,4.57837277E7,4.52893024E7,Not Available,Not Available,23676,0.9,23675.2,Not Available,Not Available,No,2019-04-05T15:58:05.000,,,,,,
25,1230818,Rockefeller Research Lab,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1014610013,1-01461-0013,1045570,430 E 67 St,Not Available,10065,430,E 67,Manhattan,228637.0,327993,Laboratory,"Laboratory, Parking",Laboratory,327993.0,Parking,67864,Not Available,Not Available,1987,1,100,Whole Building,Whole Building,Not Available,795.4,791.8,396.1,396.3,57.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.44263891E7,Not Available,Not Available,Not Available,Not Available,65486745,1.91930648E7,1.89624945E7,Not Available,Not Available,9823.9,0,9823.9,Not Available,Not Available,No,2019-04-05T15:58:05.000,,,,,,
26,1231058,520 Madison,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012890014,1-01289-0014,1035727,520 Madison Avenue,Not Available,10022,520,Madison Avenue,Manhattan,1015287.0,1047777,Financial Office,"Financial Office, Office, Restaurant",Financial Office,685781.0,Office,350153,Restaurant,11843,1982,1,95,Whole Building,Whole Building,50,214.7,213.1,97.5,97.1,17.8,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.41717387E7,Not Available,Not Available,3809027,38350.4,64215153,1.88203825E7,1.86309531E7,Not Available,Not Available,7909.6,202.3,7707.3,29305.4,27.97,No,2019-04-26T09:51:15.000,40.760107,-73.97476800000001,105.0,4.0,102.0,Midtown-Midtown South
27,1261446,One Liberty Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1000627501,1-00062-7501,1001068,165 Broadway,Not Available,10006,165,Broadway,Manhattan,2139035.0,2346193,Office,"Data Center, Office, Retail Store",Office,2309059.0,Retail Store,19134,Data Center,18000,1972,1,90,Whole Building,Whole Building,73,164.7,163.2,79.2,78,12.8,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,8.19806525E7,Not Available,Not Available,1731942.9,17319.4,1.021197565E8,29929585,29929585,Not Available,Not Available,14183.9,92,14091.9,24646.9,10.51,No,2019-04-18T11:02:19.000,40.709589,-74.010186,101.0,1.0,13.0,Battery Park City-Lower Manhattan
28,1261447,Time Warner Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1010497501,1010497501,1026318,10 Columbus Circle,Not Available,10019,10,Columbus Circle,Manhattan,2797249.0,2722590,Mixed Use Property,"Data Center, Hotel, Office, Parking, Residence Hall/Dormitory, Retail Store, Supermarket/Grocery Store",Office,920504.0,Retail Store,667322,Residence Hall/Dormitory,591640,2004,1,100,Whole Building,Whole Building,Not Available,308.2,Not Available,147.9,Not Available,24,0.1,Not Available,Not Available,Not Available,Not Available,151800,Not Available,Not Available,1.573784424E8,Not Available,Not Available,2.12307794E7,212307.8,2.240145181E8,6.56548918E7,6.54040959E7,Not Available,Not Available,30560.4,1138.9,29421.4,1256.8,0.46,No,2019-04-23T11:19:43.000,40.767782000000004,-73.982217,104.0,3.0,145.0,Lincoln Square
29,1261451,One New York Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1000047501,1-00004-7501,1000005,1 New York Plaza,Not Available,10004,1,New York,Manhattan,2542563.0,2428325,Office,"Data Center, Office, Parking",Office,2395044.0,Parking,68700,Data Center,33281,1970,1,100,Whole Building,Whole Building,62,196.2,198.8,106.4,107.1,13.4,0.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.57306458E7,Not Available,Not Available,5.35518575E7,524595.3,108972961,3.19381441E7,3.26452137E7,Not Available,Not Available,18429.7,2844.4,15585.3,67913,27.97,No,2019-04-18T11:02:19.000,,,,,,
30,1261456,245 Park Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013010001,1-01301-0001,1036205,245 Park Avenue,Not Available,10167,245,Park Avenue,Manhattan,1586876.0,1592125,Office,"Food Service, Office",Office,1574123.0,Food Service,18002,Not Available,Not Available,1967,1,100,Whole Building,Whole Building,38,249.5,247,120.1,118,19.3,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.60479998E7,Not Available,Not Available,397300,3973,1.047516789E8,3.07009573E7,3.07009573E7,Not Available,Not Available,14606,21.1,14584.9,Not Available,Not Available,No,2019-04-26T15:29:39.000,40.754826,-73.97568299999999,105.0,4.0,92.0,Turtle Bay-East Midtown
31,1261461,300 Madison Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012760058,1-01276-0058,1085972,300 Madison Avenue,Not Available,10017,300,Madison Avenue,Manhattan,1142417.0,1071012,Office,"Data Center, Office, Retail Store",Office,1052012.0,Data Center,12000,Retail Store,7000,2003,1,100,Whole Building,Whole Building,66,261.8,260.6,108.5,108.3,23.9,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.77044796E7,Not Available,Not Available,517200,5172,8.80328208E7,2.58009408E7,25648397,Not Available,Not Available,9322.5,27.5,9295,25375.7,23.69,No,2019-04-18T11:02:20.000,40.752235999999996,-73.979712,105.0,4.0,82.0,Murray Hill-Kips Bay
32,1261465,Grace Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012580009,1-01258-0009,1034196,1114 Avenue of the Americas,Not Available,10036,1114,Avenue of the Americas,Manhattan,1515117.0,1537287,Office,"Data Center, Office, Parking, Restaurant",Office,1497125.0,Restaurant,25369,Parking,20204,1971,1,85,Whole Building,Whole Building,59,227.2,222.8,109.7,107,17.3,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.17101255E7,Not Available,Not Available,4692065.8,46920.7,9.21802359E7,2.70164785E7,2.66689567E7,Not Available,Not Available,12817.4,249.2,12568.2,30619.2,19.92,No,2019-04-18T11:02:20.000,40.755352,-73.98373199999999,105.0,4.0,96.0,Midtown-Midtown South
33,1261466,200 Liberty Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1000160120,1-00016-0120,1000057,200 Liberty Street,Not Available,10281,200,Liberty Street,Manhattan,,1485610,Office,"Data Center, Office, Parking",Office,1445610.0,Parking,50000,Data Center,40000,1986,1,100,Whole Building,Whole Building,57,212.6,212.1,115.8,115.3,15.4,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.84727661E7,Not Available,5.48857666E7,449570.6,4495.7,7.82424486E7,2.29315472E7,2.29315472E7,Not Available,Not Available,5470.9,23.9,5447,16204.7,10.91,,2019-04-18T11:02:21.000,40.711425,-74.01544200000001,101.0,1.0,31704.0,Battery Park City-Lower Manhattan
34,1261470,225 Liberty Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1000160125,1-00016-0125,1000058,225 Liberty Street,Not Available,10281,225,Liberty Street,Manhattan,,2577575,Office,"Data Center, Office, Other - Restaurant/Bar, Retail Store",Office,2366683.0,Retail Store,85652,Data Center,70000,1986,1,90,Whole Building,Not Available,61,218.7,217.3,117,115.4,16.3,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.44754686E7,Not Available,9.29728959E7,1079478.2,10794.8,1.429800337E8,4.19050458E7,4.19050458E7,Not Available,Not Available,21347.1,57.3,21289.7,50945.1,19.76,,2019-04-18T11:02:21.000,40.711537,-74.01567299999999,101.0,1.0,31703.0,Battery Park City-Lower Manhattan
35,1261475,250 Vesey Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1000160150,1-00016-0150,1000060,250 Vesey Street,Not Available,10281,250,Vesey Street,Manhattan,,2025102,Office,"Data Center, Office, Parking",Office,1979102.0,Parking,143982,Data Center,46000,1986,1,95,Whole Building,Not Available,62,201.9,201.4,87.7,87.5,17.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.53820959E7,Not Available,Not Available,Not Available,Not Available,1.222433782E8,3.58274804E7,3.56955117E7,Not Available,Not Available,14030.1,0,14030.1,44059.1,21.76,,2019-04-18T11:02:22.000,40.714529,-74.015677,101.0,1.0,31703.0,Battery Park City-Lower Manhattan
36,1272226,1 Penn Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1007830070,1007830070,1014387,1 Penn Plaza,Not Available,10119,1,Penn Plaza,Manhattan,2689635.0,2462789,Office,"Fast Food Restaurant, Office, Other, Parking, Restaurant, Retail Store",Office,2300271.0,Retail Store,148978,Parking,114000,1970,1,100,Whole Building,Whole Building,53,209.4,206.7,111.3,109.4,13.8,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.515445922E8,Not Available,Not Available,5618367.7,56183.7,1.169749591E8,3.42833953E7,3.40612422E7,Not Available,Not Available,20267.3,298.4,19968.9,54465.9,22.12,No,2019-06-12T12:19:21.000,40.751098,-73.992926,105.0,3.0,101.0,Midtown-Midtown South
