order,property_id,property_name,parent_property_id,parent_property_name,city_building,bbl_10_digits,nyc_borough_block_and_lot,nyc_building_identification,address_1_self_reported,address_2_self_reported,postal_code,street_number,street_name,borough,dof_gross_floor_area_ft,self_reported_gross_floor,primary_property_type_self,list_of_all_property_use,largest_property_use_type,largest_property_use_type_1,_2nd_largest_property_use,_2nd_largest_property_use_1,_3rd_largest_property_use,_3rd_largest_property_use_1,year_built,number_of_buildings,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,source_eui_kbtu_ft,weather_normalized_source,site_eui_kbtu_ft,weather_normalized_site_eui,weather_normalized_site,weather_normalized_site_1,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,kerosene_use_kbtu,propane_use_kbtu,district_steam_use_kbtu,district_hot_water_use_kbtu,district_chilled_water_use,natural_gas_use_kbtu,weather_normalized_site_2,electricity_use_grid_purchase,electricity_use_grid_purchase_1,weather_normalized_site_3,annual_maximum_demand_kw,annual_maximum_demand_mm,total_ghg_emissions_metric,direct_ghg_emissions_metric,indirect_ghg_emissions_metric,water_use_all_water_sources,water_use_intensity_all_water,water_required,generation_date,latitude,longitude,community_board,council_district,census_tract,nta
802,1634411,X081-0200120,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,2058501550,2058501550,2084806,5550 Riverdale Avenue,Not Available,10471,5550,Riverdale Avenue,Bronx,,74460,K-12 School,K-12 School,K-12 School,74460.0,Not Available,Not Available,Not Available,Not Available,1935,1,100,Whole Building,Not Available,65,112.8,113.8,74.8,75.7,5.8,0.5,Not Available,344999.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3752500.5,38214.3,1468661.3,430439.9,430439.9,187.5,06/2018,349.3,224.9,124.4,Not Available,Not Available,,2019-05-01T15:11:35.000,40.903553,-73.905229,208.0,11.0,337.0,North Riverdale-Fieldston-Riverdale
803,1634413,X082-0200121,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,2028660070,2028660070,2008460,1700 Macombs Road,Not Available,10453,1700,Macombs Road,Bronx,,107125,K-12 School,K-12 School,K-12 School,107125.0,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,60,135.4,134.6,92.7,91.9,6.8,0,Not Available,7190903.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,235300,2391.2,2498948.8,732399.9,732399.9,336,09/2018,757.8,546.1,211.6,Not Available,Not Available,,2019-05-01T15:11:51.000,40.849532,-73.916077,205.0,14.0,21502.0,University Heights-Morris Heights
804,1634415,X086-0200126,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,2032470070,2032470070,2100971,2756 Reservoir Avenue,Not Available,10468,2756,Reservoir Avenue,Bronx,,143250,K-12 School,K-12 School,K-12 School,143250.0,Not Available,Not Available,Not Available,Not Available,1927,1,100,Whole Building,Not Available,95,64.7,64.7,37,37,4.4,0.2,Not Available,709044.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2452499.9,24525,2132500,624999.9,624999.9,352,06/2018,363.5,182.9,180.6,Not Available,Not Available,,2019-05-01T15:11:29.000,40.869834999999995,-73.89874,207.0,11.0,409.0,Van Cortlandt Village
805,1634418,X211-0200208,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,2030610055,2030610055,2011844,560 East 179th Street,Not Available,10457,560,East 179th,Bronx,,48360,K-12 School,K-12 School,K-12 School,48360.0,Not Available,Not Available,Not Available,Not Available,1914,1,100,Whole Building,Not Available,79,85.9,86.9,56.6,57.8,4.7,0,Not Available,1958937.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,400,4,776025.3,227440,226185.8,72.8,09/2018,211.1,145.4,65.7,Not Available,Not Available,,2019-05-01T15:11:29.000,,,,,,
806,1634421,X415-0200213,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,2043580001,2043580001,2050179,925 Astor Avenue,Not Available,10469,925,Astor Avenue,Bronx,,314575,K-12 School,K-12 School,K-12 School,314575.0,Not Available,Not Available,Not Available,Not Available,1939,1,100,Whole Building,Not Available,74,112,112.4,78.4,78.7,5,0.5,Not Available,2761104,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.64861007E7,166256.4,5407337.7,1584799.8,1584799.8,533.3,09/2018,1538.5,1080.6,457.9,Not Available,Not Available,,2019-05-01T15:11:30.000,40.859665,-73.861006,211.0,13.0,324.0,Bronxdale
807,1634423,X445-0200227,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,2032510201,2032510201,2094706,75 West 205th Street,Not Available,10468,75,West 205th,Bronx,,345850,K-12 School,K-12 School,K-12 School,345850.0,Not Available,Not Available,Not Available,Not Available,1927,1,100,Whole Building,Not Available,87,87.4,88.4,56.7,57.7,4.9,0,Not Available,1.34480998E7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,374800,3924.1,5800399.8,1699999.7,1699999.7,795.8,09/2018,1509.1,1017.9,491.2,Not Available,Not Available,,2019-05-01T15:11:22.000,,,,,,
808,1634425,X174-0200240,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,2034780018,2034780018,2020580,456 White Plains Road,Not Available,10473,456,White Plains,Bronx,,202880,K-12 School,K-12 School,K-12 School,202880.0,Not Available,Not Available,Not Available,Not Available,1931,1,100,Whole Building,Not Available,89,77.8,77.1,51.8,51.1,4.2,0,Not Available,Not Available,7556084.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,49600,505.5,2893376,847999.9,847999.9,344,08/2018,816.6,571.5,245,Not Available,Not Available,,2019-05-01T15:11:30.000,,,,,,
809,1634427,X037-0201194,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,2057160725,2057160725,2097990,360 West 230th Street,Not Available,10463,360,West 230th,Bronx,,70800,K-12 School,K-12 School,K-12 School,70800.0,Not Available,Not Available,Not Available,Not Available,1971,1,100,Whole Building,Not Available,8,229.9,227.4,115.2,114.4,18,0.5,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3745300,37540.8,4408304,1291999.8,1272992.8,464,06/2018,572.3,198.9,373.3,Not Available,Not Available,,2019-05-01T15:11:30.000,,,,,,
810,1634429,X020-0201213,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,2033300001,2033300001,2086851,3050 Webster Avenue,Not Available,10467,3050,Webster Avenue,Bronx,,156125,K-12 School,K-12 School,K-12 School,156125.0,Not Available,Not Available,Not Available,Not Available,1991,1,100,Whole Building,Not Available,16,180.5,180.5,87.2,87.7,14.9,0.2,Not Available,2108640,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3520799.9,36436.5,7981350.7,2339199.8,2326714.6,570.8,06/2018,1019.4,343.5,675.9,Not Available,Not Available,,2019-05-01T15:11:22.000,40.870002,-73.878875,207.0,11.0,425.0,Norwood
811,1634431,X884-0201223,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,2023440096,2023440096,2001027,350 Gerard Avenue,Not Available,10451,350,Gerard Avenue,Bronx,,126600,K-12 School,K-12 School,K-12 School,126600.0,Not Available,Not Available,Not Available,Not Available,1913,1,100,Whole Building,Not Available,58,134.7,133,69.8,69.3,10.1,0.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4403200,44131.7,4436964.7,1300399.8,1277529,578.6,06/2018,609.6,233.9,375.8,Not Available,Not Available,,2019-05-01T15:11:30.000,40.815938,-73.930386,201.0,8.0,63.0,West Concourse
