,dbn,district,school,principal,_school_support_organization,progress_report_type,school_level_,peer_index_,overall_grade,overall_score,environment_category_score,environment_grade,performance_category_score,performance_grade,progress_category_score,progress_grade,additional_credit,_progress_report_grade,_quality_review_score,_federal_accountability_status
443,09X110,9.0,P.S. 110 THEODORE SCHOENFELD,Daisy Perez,ESO,ESMS,Elementary School,69.68,A,73.9,8.9,B,17.4,A,40.1,A,7.5,D,Well Developed,In Good Standing
444,09X114,9.0,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,Olivia Frances-Webber,ESO,ESMS,Elementary School,64.4,D,29.0,8.4,B,11.0,C,9.6,F,0.0,B,Proficient,Restructuring - Year 1
445,09X117,9.0,I.S. 117 JOSEPH H. WADE,Delise Jones,Fordham,ESMS,Middle School,2.88,B,51.3,6.3,C,13.8,B,30.4,B,0.75,B,Proficient,Restructuring - Year 4
446,09X126,9.0,P.S. 126 DR MARJORIE H DUNBAR,Nadine Kee-Foster,ICI,ESMS,Elementary School,65.24,B,50.4,4.6,D,11.2,C,31.6,B,3.0,A,Proficient,In Good Standing
447,09X128,9.0,MOTT HALL III,Jorisis Stupart,CEI-PEA,ESMS,Middle School,3.43,B,54.7,7.2,B,17.6,B,26.9,B,3.0,A,Well Developed,In Good Standing
448,09X132,9.0,P.S. 132 GARRET A. MORGAN,Anissa Chalmers,ICI,ESMS,Elementary School,66.59,C,42.0,6.7,B,9.5,C,22.0,C,3.75,D,Proficient,Restructuring - Year 2
449,09X145,9.0,J.H.S. 145 ARTURO TOSCANINNI,Robert Hannibal,ESO,ESMS,Middle School,2.79,B,59.5,11.0,A,17.0,B,27.7,B,3.75,B,Proficient,Restructuring - Year 4
450,09X163,9.0,P.S. 163 ARTHUR A. SCHOMBURG,Dilsia Rivera-Martinez,ESO,ESMS,Elementary School,66.79,B,59.5,6.5,B,16.3,A,36.7,A,0.0,D,Proficient,In Good Standing
451,09X166,9.0,J.H.S. 166 ROBERTO CLEMENTE,Lauren Reiss,AED,ESMS,Middle School,2.93,D,33.0,4.0,D,10.6,D,17.6,D,0.75,C,Proficient,Restructuring - Year 3
452,09X199,9.0,P.S. 199X - THE SHAKESPEARE SCHOOL,Lilia Navarrete,CEI-PEA,ESMS,Elementary School,65.24,C,33.0,8.2,B,11.9,B,10.6,D,2.25,B,Well Developed,In Corrective Action
453,09X204,9.0,P.S. 204 MORRIS HEIGHTS,Marcy Glattstein,CEI-PEA,ESMS,Elementary School,64.7,A,66.1,11.0,A,23.3,A,31.0,B,0.75,B,Well Developed,In Good Standing
454,09X215,9.0,KAPPA,Sheri Warren,CEI-PEA,ESMS,Middle School,3.25,A,70.9,11.6,A,18.9,A,37.4,A,3.0,A,Well Developed,In Good Standing
455,09X218,9.0,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,Leticia Rosario,ICI,ESMS,K-8,59.87,C,47.7,9.2,B,18.5,A,18.5,C,1.5,A,Well Developed,In Good Standing
456,09X219,9.0,I.S. 219 NEW VENTURE SCHOOL,Dominic Cipollone,CEI-PEA,ESMS,Middle School,2.73,D,34.1,6.8,B,13.9,B,13.4,D,0.0,B,Proficient,Restructuring - Year 1
457,09X227,9.0,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,Talana Bradley,ESO,HS,High School,1.87,B,47.8,6.4,B,11.6,B,24.8,B,5.0,,Proficient,In Good Standing
458,09X229,9.0,I.S. 229 ROLAND PATTERSON,Ezra Matthias,AED,ESMS,Middle School,2.77,B,52.1,5.7,C,15.7,B,26.2,B,4.5,A,Proficient,In Corrective Action
459,09X230,9.0,P.S. 230 DR ROLAND N. PATTERSON,Rowena Penn-Jackson,ESO,ESMS,Elementary School,61.76,F,9.6,5.4,C,3.9,F,0.3,F,0.0,C,Proficient,In Good Standing
460,09X231,9.0,EAGLE ACADEMY FOR YOUNG MEN,David Banks,New Visions,HS,High School,2.34,B,52.9,8.6,B,9.6,C,30.7,B,4.0,,Proficient,In Good Standing
461,09X232,9.0,I.S. 232,Neifi Acosta,CEI-PEA,ESMS,Middle School,2.82,C,44.7,7.1,B,12.8,C,24.8,C,0.0,C,Proficient,Planning for Restructuring
462,09X239,9.0,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",Jonathan Foy,ESO,HS,High School,1.87,B,48.6,9.7,A,11.6,B,27.3,B,0.0,,Well Developed,In Good Standing
463,09X250,9.0,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Tammy Smith,ESO,ESMS,Middle School,3.34,F,11.1,1.3,F,9.0,F,0.0,F,0.75,B,Well Developed,In Good Standing
464,09X250,9.0,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Tammy Smith,ESO,HS,High School,2.42,,,,,,,,,,,,
465,09X251,9.0,EXPLORATIONS ACADEMY,Susana Hernandez,ESO,HS,High School,2.01,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,1.0,,Underdeveloped with Proficient Features,In Good Standing
467,09X252,9.0,MOTT HALL BRONX HIGH SCHOOL,David Tinagero,"Replications, Inc.",HS,High School,2.57,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,10.0,,Well Developed,In Good Standing
469,09X263,9.0,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,Brady  Smith,ESO,HS,High School,2.1,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,8.0,,Well Developed,In Good Standing
471,09X303,9.0,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,Patricia Bentley,CEI-PEA,ESMS,Middle School,3.11,B,52.5,12.0,A,12.4,C,23.6,C,4.5,A,Well Developed,In Need of Improvement - Year 1
472,09X313,9.0,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,Lauren Wilkins,AED,ESMS,Middle School,2.83,D,33.7,6.7,B,10.5,D,15.7,D,0.75,C,Proficient,Restructuring - Year 1
473,09X323,9.0,BRONX WRITING ACADEMY,Nick Marinacci,ESO,ESMS,Middle School,2.82,A,73.2,7.2,B,19.4,A,38.3,A,8.25,A,Well Developed,In Need of Improvement - Year 2
474,09X325,9.0,URBAN SCIENCE ACADEMY,Patrick Kelly,ESO,ESMS,Middle School,2.68,B,54.6,8.7,B,15.5,B,26.6,B,3.75,A,Well Developed,In Need of Improvement - Year 2
475,09X327,9.0,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,Manuel Ramirez,CEI-PEA,ESMS,Middle School,3.15,A,81.3,11.8,A,21.2,A,42.3,A,6.0,A,Well Developed,In Good Standing
476,09X328,9.0,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,Dorald Bastian,CEI-PEA,ESMS,Middle School,2.72,D,30.9,3.2,F,12.8,C,12.6,D,2.25,B,Proficient,In Need of Improvement - Year 1
477,09X329,9.0,DREAMYARD PREPARATORY SCHOOL,Rod Bowen,ESO,HS,High School,2.08,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,1.0,,Proficient,In Good Standing
479,09X339,9.0,I.S. 339,Jason Levy,ESO,ESMS,Middle School,2.77,B,52.1,5.4,C,14.5,B,29.2,B,3.0,C,Proficient,Restructuring - Year 1
480,09X365,9.0,ACADEMY FOR LANGUAGE AND TECHNOLOGY,Arisleyda Urena,LLSO,HS,High School,2.0,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,,5.0,,,
482,,,,,,,,,,,,,,,,,,,,In Good Standing
483,09X505,9.0,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,Meisha Ross-Porter,ESO,ESMS,Middle School,3.38,C,47.2,7.2,B,13.7,C,26.3,B,0.0,F,Proficient,In Good Standing
484,09X505,9.0,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",Meisha Ross-Porter,ESO,HS,High School,2.41,B,56.9,8.1,B,11.4,B,34.4,B,3.0,C,Proficient,In Good Standing
485,09X517,9.0,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Rahesha Amon,"Replications, Inc.",ESMS,Middle School,3.08,D,32.4,7.7,B,14.4,B,8.8,F,1.5,B,Well Developed,In Good Standing
486,09X517,9.0,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Rahesha Amon,"Replications, Inc.",HS,High School,2.45,A,68.4,9.7,A,22.7,A,33.0,B,3.0,,Well Developed,In Good Standing
487,09X525,9.0,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,"Kenneth Gaskins,Jr.",ESO,HS,High School,2.25,B,56.0,9.8,A,14.5,B,29.7,B,2.0,B,Proficient,In Good Standing
488,10X003,10.0,P.S. 3 RAUL JULIA MICRO SOCIETY,Denise Brown,ESO,ESMS,K-8,58.11,B,51.0,8.6,B,14.6,B,26.3,B,1.5,A,Well Developed,In Good Standing
489,10X007,10.0,P.S. 007 KINGSBRIDGE,Renée Cloutier,ESO,ESMS,Elementary School,59.55,C,42.2,9.0,B,13.8,B,19.4,C,0.0,A,Well Developed,In Corrective Action
490,10X008,10.0,P.S. 008 ISSAC VARIAN,Rosa Maria Peralta,ESO,ESMS,Elementary School,55.58,B,59.4,10.3,A,13.8,B,30.8,B,4.5,B,Well Developed,In Need of Improvement - Year 2
491,10X009,10.0,RYER AVENUE ELEMENTARY SCHOOL,Denise Eggleston,ICI,ESMS,Elementary School,65.54,A,65.0,7.1,B,16.9,A,36.5,A,4.5,B,Well Developed,Restructuring - Year 2
492,10X015,10.0,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,Eddice Mebane-Griffin,ESO,ESMS,K-8,60.77,A,81.0,13.6,A,21.4,A,39.2,A,6.75,A,Well Developed,In Good Standing
493,10X020,10.0,P.S. 20 P.O.GEORGE J. WERDAN III,Carol Carlsen,ESO,ESMS,K-8,58.58,B,65.8,9.0,B,14.3,B,34.2,B,8.25,C,Well Developed,In Good Standing
494,10X024,10.0,P.S. 024 SPUYTEN DUYVIL,Philip Thayer Scharper,ESO,ESMS,Elementary School,26.47,A,61.3,7.1,B,15.5,B,36.4,A,2.25,B,Well Developed,In Good Standing
495,10X032,10.0,P.S. 032 BELMONT,Esther Schwartz,CEI-PEA,ESMS,Elementary School,64.16,B,57.4,10.2,A,18.1,A,25.3,B,3.75,A,Well Developed,In Good Standing
496,10X033,10.0,P.S. 033 TIMOTHY DWIGHT,Lynette Santos,ESO,ESMS,Elementary School,65.46,B,58.7,6.9,B,10.6,C,34.4,A,6.75,D,Well Developed,In Need of Improvement - Year 1
497,10X037,10.0,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,Kenneth Petriccione,ESO,ESMS,K-8,58.31,C,43.9,9.7,B,15.4,B,18.8,C,0.0,A,Proficient,In Need of Improvement - Year 1
498,10X045,10.0,J.H.S. 045 THOMAS C. GIORDANO,Anna Marie Giordano,AED,ESMS,Middle School,3.16,D,37.3,8.3,B,11.7,D,16.5,D,0.75,B,Well Developed,In Corrective Action
499,10X046,10.0,P.S. 046 EDGAR ALLAN POE,Iris Lim,ESO,ESMS,Elementary School,63.69,B,57.4,11.0,A,13.0,B,32.6,A,0.75,A,Well Developed,Planning for Restructuring
500,10X051,10.0,P.S. 051 BRONX NEW SCHOOL,Paul  Smith,ICI,ESMS,Elementary School,50.3,B,54.8,13.1,A,16.5,A,25.2,B,0.0,C,Proficient,In Good Standing
501,10X054,10.0,P.S. / I.S. 54,Maribelle Nunez-Pardo,ESO,ESMS,Elementary School,65.44,C,45.5,3.5,D,12.4,B,28.8,B,0.75,B,Proficient,In Corrective Action
502,10X056,10.0,P.S. 056 NORWOOD HEIGHTS,Priscilla Sheeran,ESO,ESMS,Elementary School,51.34,C,45.1,9.6,A,11.2,C,23.5,B,0.75,B,Well Developed,In Good Standing
503,10X059,10.0,P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,Christine Mchugh,ESO,ESMS,Elementary School,68.32,C,40.4,9.1,B,13.2,B,18.1,C,0.0,B,Well Developed,In Good Standing
