,dbn,district,school,principal,_school_support_organization,progress_report_type,school_level_,peer_index_,overall_grade,overall_score,environment_category_score,environment_grade,performance_category_score,performance_grade,progress_category_score,progress_grade,additional_credit,_progress_report_grade,_quality_review_score,_federal_accountability_status
548,10X310,10.0,P.S. 310 MARBLE HILL,Elizabeth Cardona,ESO,ESMS,Elementary School,63.0,C,40.3,9.1,B,11.2,C,20.0,C,0.0,A,Well Developed,In Corrective Action
549,10X315,10.0,P.S. 315 LAB SCHOOL,Elsie Cardona-Bernardinelli,ESO,ESMS,K-8,63.01,A,71.5,11.5,A,21.3,A,35.7,B,3.0,B,Well Developed,In Good Standing
550,10X319,10.0,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,Carol Wiggins,ESO,HS,Transfer School,2.18,A,64.5,6.2,B,25.0,A,30.8,B,2.5,,Well Developed,In Need of Improvement - Year 1
551,10X324,10.0,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,Sharon Freedman,CUNY,ESMS,Middle School,3.15,D,34.3,3.3,F,15.6,B,15.4,D,0.0,,Proficient,In Good Standing
552,10X331,10.0,THE BRONX SCHOOL OF SCIENCE INQUIRY AND INVESTIGATION,John Barnes,ESO,ESMS,Middle School,2.76,A,68.0,11.3,A,17.0,B,32.2,B,7.5,A,Well Developed,In Good Standing
553,10X340,10.0,P.S. 340,Deirdre Burke,ESO,ESMS,Elementary School,60.4,B,58.2,12.3,A,17.5,A,26.9,B,1.5,B,Well Developed,In Good Standing
554,10X342,10.0,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,Karen Maldonado,ESO,ESMS,Middle School,2.61,B,65.6,11.5,A,8.7,F,42.4,A,3.0,B,Well Developed,In Good Standing
555,10X342,10.0,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,Karen Maldonado,ESO,HS,High School,2.03,,,,,,,,,,,,
556,,,,,,,,,,,,,,,,,6.0,,Well Developed,In Good Standing
557,10X360,10.0,P.S. 360,Nancy Rodriguez-Lewis,ESO,ESMS,Elementary School,60.61,B,51.4,10.7,A,11.0,C,28.9,B,0.75,A,Well Developed,In Good Standing
558,10X368,10.0,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),Rose Fairweather-Clunie,ESO,ESMS,Middle School,3.08,B,56.8,9.3,B,14.4,B,28.6,B,4.5,B,Well Developed,In Good Standing
559,10X368,10.0,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),Rose Fairweather-Clunie,ESO,HS,High School,2.52,B,47.5,9.5,A,6.2,D,26.8,B,5.0,C,Well Developed,In Good Standing
560,10X374,10.0,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAP,Panorea Panagiosoulis,"Replications, Inc.",HS,High School,2.86,,,,,,,,,,,,
561,,,,,,,,,,,,,,,,,0.0,,,
562,,,,,,,,,,,,,,,,,,,,In Good Standing
563,10X390,10.0,M.S. 390,Robert Mercedes,AED,ESMS,Middle School,2.85,A,88.8,11.1,A,18.3,A,48.9,A,10.5,A,Well Developed,Restructuring - Year 1
564,10X391,10.0,M.S. 391,Pedro Santana,Fordham,ESMS,Middle School,2.86,C,43.7,8.3,B,11.8,D,22.8,C,0.75,B,Proficient,Restructuring - Year 1
565,10X396,10.0,P.S. 396,Lawrence Wright,LLSO,ESMS,Elementary School,64.69,C,36.9,10.3,A,8.8,C,17.8,C,0.0,D,Proficient,In Good Standing
566,10X399,10.0,M.S. 399,Angelo Ledda,AED,ESMS,Middle School,2.88,D,31.0,6.3,C,8.8,F,13.6,D,2.25,C,Proficient,Restructuring - Year 1
567,10X412,10.0,BRONX HIGH SCHOOL OF BUSINESS,Enrique Lizardi,CUNY,HS,High School,2.02,B,52.5,7.7,B,13.0,B,28.8,B,3.0,C,Well Developed,In Good Standing
568,10X413,10.0,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,William Quintana,CUNY,ESMS,Middle School,3.19,B,59.2,10.1,A,17.0,B,32.1,B,0.0,B,Well Developed,In Good Standing
569,10X413,10.0,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,William Quintana,CUNY,HS,High School,2.63,A,74.2,9.1,A,15.0,B,42.1,A,8.0,B,Well Developed,In Good Standing
570,10X414,10.0,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,Nasib Hoxha,CUNY,HS,High School,1.86,A,71.5,10.2,A,16.9,A,34.4,B,10.0,C,Proficient,In Good Standing
571,10X430,10.0,WALTON HIGH SCHOOL,John Tornifolio,LLSO,HS,High School,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,,,2.0,,,
573,,,,,,,,,,,,,,,,,,,,Restructuring - Year 4
574,10X433,10.0,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,Maxine Johnson-Harris,ESO,HS,High School,2.09,B,49.3,6.6,B,13.9,B,26.8,B,2.0,B,Proficient,In Good Standing
575,10X434,10.0,BELMONT PREPARATORY HIGH SCHOOL,Stephen Joseph Gumbs,LLSO,HS,High School,1.92,A,70.2,7.9,B,16.6,A,42.7,A,3.0,C,Proficient,In Good Standing
576,10X437,10.0,FORDHAM HIGH SCHOOL FOR THE ARTS,Iris Blige,LLSO,HS,High School,1.93,B,58.1,4.3,C,12.7,B,37.1,A,4.0,C,Proficient,In Good Standing
577,10X438,10.0,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,Richard Bost,ESO,HS,High School,1.96,C,39.7,7.3,B,9.4,C,22.0,C,1.0,C,Proficient,In Good Standing
578,10X439,10.0,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,Gail Joyner-White,New Visions,HS,High School,1.97,B,44.1,8.6,B,10.1,B,25.4,B,0.0,D,Well Developed,In Good Standing
579,10X440,10.0,DEWITT CLINTON HIGH SCHOOL,Geraldine Ambrosio,ICI,HS,High School,2.41,C,42.7,8.3,B,9.9,B,24.5,C,0.0,C,Well Developed,Planning for Restructuring
580,10X442,10.0,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE","William Rodriguez, Ed.D.",New Visions,HS,High School,2.62,B,53.6,9.5,A,10.5,B,28.6,B,5.0,B,Well Developed,In Good Standing
581,10X445,10.0,BRONX HIGH SCHOOL OF SCIENCE,Valerie Reidy,ICI,HS,High School,3.92,A,73.9,8.2,B,23.1,A,40.6,A,2.0,A,Well Developed,In Good Standing
582,10X475,10.0,JOHN F. KENNEDY HIGH SCHOOL,Anthony Rotunno,LLSO,HS,High School,1.78,C,39.3,6.9,B,11.5,B,20.9,C,0.0,D,Well Developed,Restructuring - Year 2
583,10X477,10.0,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,Kirsten Larson,New Visions,HS,High School,2.61,A,97.5,11.9,A,22.0,A,51.6,A,12.0,A,Outstanding,In Good Standing
584,10X495,10.0,UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COMMUNITY COLLEGE,Brenda Bravo,ESO,HS,High School,2.5,A,73.7,10.1,A,12.4,B,43.2,A,8.0,A,Well Developed,In Corrective Action
585,10X546,10.0,BRONX THEATRE HIGH SCHOOL,Deborah Effinger,New Visions,HS,High School,2.35,B,48.2,5.7,B,9.3,C,29.2,B,4.0,B,Well Developed,In Good Standing
586,10X549,10.0,DISCOVERY HIGH SCHOOL,Rolando Rivera,ESO,HS,High School,1.85,A,67.6,8.3,B,18.2,A,37.1,A,4.0,B,Well Developed,In Good Standing
587,10X660,10.0,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,Craig Shapiro,Fordham,HS,High School,1.92,C,38.5,5.5,C,8.3,C,24.7,B,0.0,C,Proficient,Planning for Restructuring
588,10X696,10.0,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,Mr. Alessandro Weiss,ICI,HS,High School,3.83,A,68.7,12.9,A,19.8,A,36.0,A,0.0,A,Well Developed,In Good Standing
589,11X016,11.0,P.S. 016 WAKEFIELD,John Morales,ESO,ESMS,Elementary School,51.62,A,63.9,9.0,B,14.7,B,37.9,A,2.25,D,Well Developed,In Good Standing
590,11X019,11.0,P.S. 019 JUDITH K. WEISS,Michael L. Schurek,LLSO,ESMS,K-8,26.21,C,48.9,7.9,B,14.3,B,23.7,C,3.0,B,Well Developed,In Good Standing
591,11X021,11.0,P.S. 021 PHILLIP H. SHERIDAN,Joyce Coleman,LLSO,ESMS,Elementary School,57.93,B,47.5,6.4,C,12.7,B,26.1,B,2.25,B,Proficient,In Good Standing
592,11X041,11.0,P.S. 041 GUN HILL ROAD,Erika Tobia,LLSO,ESMS,Elementary School,60.43,A,66.5,10.4,A,16.4,A,32.2,B,7.5,C,Proficient,In Good Standing
593,11X068,11.0,P.S. 068 BRONX,Cheryl Coles,LLSO,ESMS,Elementary School,61.73,A,63.1,10.3,A,17.0,A,34.3,A,1.5,C,Well Developed,In Good Standing
594,11X076,11.0,P.S. 076 THE BENNINGTON SCHOOL,Louise  Sedotto,LLSO,ESMS,Elementary School,58.28,A,77.5,10.4,A,22.1,A,38.2,A,6.75,A,Outstanding,In Good Standing
595,11X078,11.0,P.S. 078 ANNE HUTCHINSON,Claudina Skerritt,LLSO,ESMS,Elementary School,56.62,C,40.9,3.7,D,8.7,C,27.0,B,1.5,D,Proficient,In Good Standing
596,11X083,11.0,P.S. 083 DONALD HERTZ,Benjamin Soccodato,CEI-PEA,ESMS,K-8,43.04,B,56.5,9.0,B,14.4,B,30.1,B,3.0,B,Well Developed,In Good Standing
597,11X087,11.0,P.S. 087 BRONX,Helene Gaynor,ESO,ESMS,Elementary School,54.89,C,37.3,5.1,C,12.8,B,18.6,C,0.75,B,Proficient,In Good Standing
598,11X089,11.0,P.S. 089 BRONX,Ronald Rivera,CEI-PEA,ESMS,K-8,52.88,C,48.7,5.1,C,13.0,C,28.3,B,2.25,B,Well Developed,In Corrective Action
599,11X096,11.0,P.S. 096 RICHARD RODGERS,Marta Garcia,LLSO,ESMS,Elementary School,51.55,A,84.9,8.1,B,17.9,A,46.9,A,12.0,C,Well Developed,In Need of Improvement - Year 1
600,11X097,11.0,P.S. 097 BRONX,Katheleen Bornkamp,LLSO,ESMS,Elementary School,45.24,C,36.0,5.8,C,11.9,B,18.3,C,0.0,B,Proficient,In Need of Improvement - Year 1
601,11X103,11.0,P.S. 103 HECTOR FONTANEZ,Alice Brown,ESO,ESMS,Elementary School,58.25,C,42.5,8.7,B,11.4,B,22.4,C,0.0,C,Well Developed,In Need of Improvement - Year 2
602,11X105,11.0,P.S. 105 SEN ABRAHAM BERNSTEIN,Mr. Christopher Eustace,LLSO,ESMS,Elementary School,50.71,B,53.3,4.9,C,14.2,B,33.4,A,0.75,C,Well Developed,In Need of Improvement - Year 1
603,11X106,11.0,P.S. 106 PARKCHESTER,Eugenia Montalvo,LLSO,ESMS,Elementary School,51.08,B,58.4,7.3,B,16.8,A,32.8,A,1.5,F,Proficient,In Need of Improvement - Year 1
604,11X108,11.0,P.S. 108 PHILIP J. ABINANTI,Charles Sperrazza,LLSO,ESMS,Elementary School,32.88,B,51.5,6.3,C,12.9,B,29.3,B,3.0,C,Proficient,In Good Standing
605,11X111,11.0,P.S. 111 SETON FALLS,Julia Rivers-Jones,ESO,ESMS,Elementary School,59.06,B,50.7,9.2,A,13.1,B,26.9,B,1.5,B,Well Developed,In Need of Improvement - Year 2
606,11X112,11.0,P.S. 112 BRONXWOOD,Susan Barnes,LLSO,ESMS,Elementary School,62.0,A,75.3,6.4,C,15.1,B,44.0,A,9.75,B,Proficient,Restructuring - Year 4
607,11X121,11.0,P.S. 121 THROOP,Rachel Donnelly,ESO,ESMS,Elementary School,50.97,B,57.7,9.6,A,17.0,A,26.6,B,4.5,C,Well Developed,In Good Standing
608,11X127,11.0,J.H.S. 127 THE CASTLE HILL,Harry Sherman,LLSO,ESMS,Middle School,3.08,A,68.8,7.5,B,14.1,B,38.9,A,8.25,D,Well Developed,Restructuring - Year 4
609,11X135,11.0,J.H.S. 135 FRANK D. WHALEN,Angela Green,LLSO,ESMS,Middle School,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,Restructuring - Year 4
611,11X142,11.0,J.H.S. 142 JOHN PHILIP SOUSA,Casimiro Cibelli,CEI-PEA,ESMS,Middle School,2.93,C,49.4,5.7,C,14.5,B,26.2,B,3.0,C,Proficient,Restructuring - Year 3
612,11X144,11.0,J.H.S. 144 MICHELANGELO,Katina Lotakis,LLSO,ESMS,Middle School,3.0,B,52.2,5.8,C,16.8,B,28.1,B,1.5,C,Well Developed,Restructuring - Year 2
613,11X153,11.0,P.S. 153 HELLEN KELLER,Veronica Goka,LLSO,ESMS,Elementary School,46.58,B,51.5,10.0,A,16.6,A,24.9,B,0.0,C,Well Developed,Requiring Academic Progress - Year 3
614,11X160,11.0,P.S. 160 WALT DISNEY,Lori Baker,LLSO,ESMS,Elementary School,51.26,A,69.0,8.6,B,17.4,A,43.0,A,0.0,B,Well Developed,In Good Standing
615,11X175,11.0,P.S. 175 CITY ISLAND,Amy Lipson,ESO,ESMS,K-8,23.92,C,47.5,9.1,B,14.0,B,24.4,C,0.0,B,Well Developed,In Good Standing
616,11X178,11.0,P.S. 178 - DR. SELMAN WAXMAN,Evelyn Fulton,CEI-PEA,ESMS,Elementary School,52.22,A,64.8,7.4,B,13.9,B,38.2,A,5.25,C,Well Developed,In Good Standing
617,11X180,11.0,I.S. 180 DANIEL HALE WILLIAMS,Frank Uzzo,LLSO,ESMS,Middle School,3.18,B,58.5,8.0,B,13.5,C,31.7,B,5.25,B,Well Developed,In Good Standing
618,11X181,11.0,I.S. 181 PABLO CASALS,Christopher Warnock,LLSO,ESMS,Middle School,3.13,B,62.0,8.9,B,15.8,B,35.8,A,1.5,B,Well Developed,Requiring Academic Progress - Year 4
619,11X189,11.0,CORNERSTONE ACADEMY FOR SOCIAL ACTION,Malissa Mootoo,LLSO,ESMS,Elementary School,57.23,,,,,,,,,,,,
620,,,,,,,,,,,,,,,,,,,,In Good Standing
621,11X194,11.0,PS/MS  194,Elmer Myers,LLSO,ESMS,K-8,53.91,B,54.7,10.0,B,16.4,B,27.5,B,0.75,C,Well Developed,In Good Standing
622,11X249,11.0,BRONX HEALTH SCIENCES HIGH SCHOOL,Miriam   Rivas,ESO,HS,High School,2.31,A,71.8,9.9,A,21.0,A,34.9,A,6.0,,Proficient,In Good Standing
623,11X253,11.0,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,Steven Chernigoff,LLSO,HS,High School,2.17,B,49.1,9.0,A,10.7,B,28.4,B,1.0,,Proficient,In Good Standing
624,16K143,16.0,M.S. 143 PERFORMING & FINE ARTS,Mr. Adofo Muhammad,CLSO,ESMS,Middle School,,,,,,,,,,,,,
625,11X265,11.0,BRONX LAB SCHOOL,Marc Sternberg,ESO,HS,High School,2.37,A,77.9,12.0,A,22.2,A,34.7,A,9.0,,Well Developed,In Good Standing
626,11X272,11.0,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,Barbara Hartnett,LLSO,ESMS,Middle School,3.04,D,35.1,7.2,B,11.4,D,15.7,D,0.75,B,Well Developed,In Good Standing
627,11X275,11.0,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,Bruce Abramowitz,LLSO,HS,High School,2.32,A,81.5,10.4,A,25.0,A,37.1,A,9.0,,Proficient,In Good Standing
628,11X287,11.0,THE FORWARD SCHOOL,Adrienne Phifer,CUNY,ESMS,Middle School,3.01,C,39.0,6.0,C,12.5,C,20.5,C,0.0,C,Proficient,In Good Standing
629,11X288,11.0,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,Estelle Hans,New Visions,HS,High School,2.66,B,58.0,7.4,B,18.2,A,30.4,B,2.0,A,Well Developed,In Good Standing
630,11X289,11.0,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,Vaughn Thompson,LLSO,ESMS,Middle School,3.08,D,33.6,5.8,C,10.6,D,16.4,D,0.75,C,Proficient,In Good Standing
631,11X290,11.0,BRONX ACADEMY OF HEALTH CAREERS,Marvia Lindsay,New Visions,HS,High School,2.11,A,70.5,9.5,A,16.9,A,37.1,A,7.0,A,Proficient,In Good Standing
632,11X299,11.0,ASTOR COLLEGIATE ACADEMY,Rose C. Lobianco,LLSO,HS,High School,2.13,B,61.6,9.9,A,19.4,A,28.3,B,4.0,A,Proficient,In Good Standing
633,11X322,11.0,ASPIRE PREPARATORY SCHOOL,Steven Cobb,LLSO,ESMS,Middle School,3.18,B,51.1,4.6,D,13.9,B,30.3,B,2.25,,Proficient,In Good Standing
634,11X326,11.0,BRONX GREEN MIDDLE SCHOOL,Emily Becker,ESO,ESMS,Middle School,3.09,C,46.9,4.1,D,13.9,B,28.9,B,0.0,,Proficient,In Good Standing
635,11X370,11.0,SCHOOL OF DIPLOMACY,John Scalice,LLSO,ESMS,Middle School,2.92,,,,,,,,,,,,
636,,,,,,,,,,,,,,,,,,,,In Good Standing
637,11X372,11.0,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,Mark Ossenheimer,ESO,ESMS,Middle School,3.13,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,,In Good Standing
639,11X415,11.0,CHRISTOPHER COLUMBUS HIGH SCHOOL,Lisa Fuentes,New Visions,HS,High School,1.74,C,34.6,5.8,B,9.8,C,19.0,C,0.0,C,Proficient,Restructuring - Year 1
640,11X418,11.0,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,George York,LLSO,HS,High School,2.01,B,62.3,8.9,B,19.1,A,30.3,B,4.0,B,Well Developed,In Good Standing
641,11X425,11.0,EVANDER CHILDS HIGH SCHOOL,Monica Urena,New Visions,HS,High School,,,,,,,,,,,,,
642,,,,,,,,,,,,,,,,,0.0,,,
643,,,,,,,,,,,,,,,,,,,,Restructuring - Year 1
644,11X455,11.0,HARRY S. TRUMAN HIGH SCHOOL,Sana Nasser,CEI-PEA,HS,High School,1.81,B,60.8,8.1,B,15.6,B,35.1,A,2.0,B,Well Developed,Requiring Academic Progress - Year 4
645,11X513,11.0,NEW WORLD HIGH SCHOOL,Fausto Salazar,Fordham,HS,High School,1.95,A,97.0,13.9,A,25.0,A,54.1,A,4.0,,Well Developed,In Good Standing
646,11X514,11.0,SPORTS PROFESSIONS HIGH SCHOOL,Janet Gallardo,LLSO,HS,High School,1.98,B,60.7,10.4,A,20.9,A,23.4,C,6.0,,Well Developed,In Good Standing
647,11X541,11.0,GLOBAL ENTERPRISE HIGH SCHOOL,Rick Levine,New Visions,HS,High School,2.01,C,43.0,6.8,B,9.5,C,24.7,B,2.0,B,Underdeveloped with Proficient Features,In Good Standing
648,11X542,11.0,PELHAM PREPARATORY ACADEMY,Jane Aronoff,LLSO,HS,High School,2.71,B,63.4,8.2,B,17.8,A,33.4,B,4.0,B,Well Developed,In Good Standing
649,11X544,11.0,HIGH SCHOOL FOR CONTEMPORARY ARTS,Francisco Sanchez,New Visions,HS,High School,2.07,A,99.1,13.2,A,25.0,A,50.9,A,10.0,A,Well Developed,In Good Standing
650,11X545,11.0,BRONX AEROSPACE HIGH SCHOOL,Barbara Kirkweg,ESO,HS,High School,2.21,A,92.5,7.8,B,25.0,A,45.7,A,14.0,A,Well Developed,In Good Standing
651,12X006,12.0,P.S. 006 WEST FARMS,Angel Villarreal,LLSO,ESMS,Elementary School,62.19,B,51.1,5.1,C,11.4,B,28.6,B,6.0,B,Proficient,Restructuring - Year 4
652,12X044,12.0,P.S. 044 DAVID C. FARRAGUT,Mildred Jones,ESO,ESMS,Elementary School,62.0,B,47.4,7.7,B,10.4,C,27.8,B,1.5,D,Well Developed,In Good Standing
653,12X047,12.0,P.S. 047 JOHN RANDOLPH,Thomas Guarnieri,LLSO,ESMS,Elementary School,57.63,B,56.2,12.2,A,13.9,B,27.1,B,3.0,D,Well Developed,In Good Standing
654,12X050,12.0,P.S. 050 CLARA BARTON,Francesco Cruz,LLSO,ESMS,Elementary School,67.56,B,58.8,2.8,F,13.3,B,37.4,A,5.25,F,Proficient,In Corrective Action
655,12X057,12.0,P.S. 057 CRESCENT,Edsel Philip,LLSO,ESMS,Elementary School,63.85,B,52.2,7.6,B,13.2,B,27.6,B,3.75,C,Well Developed,Requiring Academic Progress - Year 6
656,12X061,12.0,P.S. 061 FRANCISCO OLLER,Patricia Quigley,ESO,ESMS,Elementary School,63.51,A,69.8,11.2,A,15.2,B,42.6,A,0.75,B,Proficient,In Need of Improvement - Year 1
657,12X066,12.0,P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,Tom Degrazia,LLSO,ESMS,Elementary School,65.59,B,49.2,10.8,A,12.9,B,25.5,B,0.0,D,Well Developed,Restructuring - Year 2
658,12X067,12.0,P.S. 067 MOHEGAN SCHOOL,Emily Grimball,CLSO,ESMS,Elementary School,64.21,C,44.3,3.5,D,12.9,B,24.9,B,3.0,C,Well Developed,In Good Standing
659,12X092,12.0,P.S. 092 BRONX,Anthony Wilcox Warn,LLSO,ESMS,Elementary School,65.34,F,22.2,2.5,F,7.8,C,11.9,D,0.0,A,Well Developed,In Good Standing
660,12X098,12.0,J.H.S. 098 HERMAN RIDDER,Claralee Irobunda,LLSO,ESMS,Middle School,2.88,A,68.1,5.8,C,17.5,B,38.0,A,6.75,A,Well Developed,Restructuring - Year 3
661,12X102,12.0,P.S. 102 JOSEPH O. LORETAN,Tanyua Trezevantte,LLSO,ESMS,Elementary School,61.33,B,47.1,1.9,F,11.9,B,32.5,B,0.75,D,Proficient,Restructuring - Year 4
662,12X129,12.0,P.S. 129 TWIN PARKS UPPER,Yvette Beasley,CEI-PEA,ESMS,Middle School,2.85,A,80.2,9.4,B,18.6,A,45.4,A,6.75,C,Well Developed,Restructuring - Year 1
663,12X134,12.0,P.S. 134 GEORGE F. BRISTOW,Kenneth Thomas,LLSO,ESMS,Elementary School,65.71,C,36.8,5.6,C,13.0,B,18.2,C,0.0,C,Proficient,In Good Standing
664,12X150,12.0,P.S. 150 CHARLES JAMES FOX,Edwin Irizarry,LLSO,ESMS,Elementary School,65.24,A,69.6,9.4,A,17.6,A,38.8,A,3.75,B,Well Developed,Restructuring - Year 2
665,12X190,12.0,I.S. 190,Diana Jade Santiago,LLSO,ESMS,Middle School,2.87,A,81.8,10.1,A,18.4,A,41.3,A,12.0,A,Proficient,In Good Standing
666,12X195,12.0,P.S. 195,Andrew Kavanagh,LLSO,ESMS,Elementary School,61.72,B,46.6,6.5,B,12.4,B,25.4,B,2.25,C,Proficient,In Corrective Action
667,12X196,12.0,P.S. 196,Lizzette Rivera,LLSO,ESMS,Elementary School,61.74,C,44.9,9.6,A,18.1,A,17.2,C,0.0,B,Well Developed,In Good Standing
668,12X198,12.0,P.S. 198,Judy Hunt-Hutchings,CLSO,ESMS,Elementary School,69.05,F,26.4,4.4,D,10.3,C,11.7,D,0.0,C,Well Developed,Restructuring - Year 3
669,12X211,12.0,P.S. 211,Betty Gonzalez-Soto,LLSO,ESMS,K-8,69.12,A,73.0,8.4,B,14.7,B,42.4,A,7.5,C,Well Developed,Restructuring - Year 3
670,12X212,12.0,P.S. 212,Yohan Lim,ESO,ESMS,K-8,63.01,C,38.8,5.5,C,8.5,D,23.3,C,1.5,B,Proficient,In Good Standing
671,12X214,12.0,P.S. 214,Joy Daley,LLSO,ESMS,K-8,58.89,B,59.0,9.8,B,13.2,C,33.7,B,2.25,B,Proficient,In Good Standing
672,12X216,12.0,BUSINESS SCHOOL FOR ENTREPRENEURIAL STUDIES,Domingo Martinez,LLSO,ESMS,Middle School,,,,,,,,,,,,,
673,,,,,,,,,,,,,,,,,,D,Underdeveloped with Proficient Features,In Corrective Action
674,12X217,12.0,SCHOOL OF PERFORMING ARTS,Marvin Reid,LLSO,ESMS,Middle School,2.9,B,54.5,8.2,B,13.3,C,30.7,B,2.25,A,Proficient,In Corrective Action
675,12X242,12.0,MOTT HALL V,Peter Oroszlany,LLSO,ESMS,Middle School,3.1,A,73.1,12.9,A,19.5,A,33.2,B,7.5,A,Well Developed,In Good Standing
676,12X245,12.0,NEW DAY ACADEMY,Daisy Fontanez,ESO,ESMS,Middle School,2.81,C,41.9,5.8,C,11.1,D,23.5,C,1.5,D,Proficient,In Good Standing
677,12X245,12.0,NEW DAY ACADEMY,Daisy Fontanez,ESO,HS,High School,1.87,,,,,,,,,,,,
678,,,,,,,,,,,,,,,,,0.0,,Proficient,In Good Standing
679,12X248,12.0,"METROPOLITAN HIGH SCHOOL, THE",Carla Theodorou,ESO,HS,High School,2.05,,,,,,,,,,,,
680,,,,,,,,,,,,,,,,,11.0,,Well Developed,In Good Standing
681,12X262,12.0,BRONX HIGH SCHOOL FOR PERFORMANCE AND STAGECRAFT,Mark E. Sweeting,LLSO,HS,High School,2.04,C,36.3,8.7,B,7.9,C,19.7,C,0.0,,Proficient,In Good Standing
682,12X267,12.0,BRONX LATIN,Leticia Pineiro,New Visions,ESMS,Middle School,2.89,A,71.1,10.6,A,19.9,A,30.1,B,10.5,A,Well Developed,In Good Standing
683,12X267,12.0,BRONX LATIN,Leticia Pineiro,New Visions,HS,High School,2.41,,,,,,,,,,,,
684,,,,,,,,,,,,,,,,,0.0,,Well Developed,In Good Standing
685,12X269,12.0,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,David Vazquez,ESO,ESMS,Middle School,2.97,A,71.8,10.5,A,19.0,A,38.5,A,3.75,B,Well Developed,In Good Standing
686,12X270,12.0,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,Zenobia White,ESO,ESMS,Middle School,2.95,D,30.1,6.0,C,12.1,C,9.0,D,3.0,C,Proficient,In Good Standing
687,12X270,12.0,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,Zenobia White,ESO,HS,High School,2.19,,,,,,,,,,,,
688,,,,,,,,,,,,,,,,,1.0,,Proficient,In Good Standing
689,12X271,12.0,EAST BRONX ACADEMY FOR THE FUTURE,Sarah Scrogin,ESO,ESMS,Middle School,2.91,B,59.8,7.4,B,14.9,B,33.7,B,3.75,D,Well Developed,In Good Standing
690,12X271,12.0,EAST BRONX ACADEMY FOR THE FUTURE,Sarah Scrogin,ESO,HS,High School,1.97,B,53.3,8.3,B,14.3,B,28.7,B,2.0,,Well Developed,In Good Standing
691,12X273,12.0,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,Deborah Cimini,ESO,ESMS,Middle School,3.05,A,83.1,10.9,A,19.2,A,42.5,A,10.5,A,Proficient,In Good Standing
692,12X286,12.0,FANNIE LOU HAMER MIDDLE SCHOOL,Lorraine Chanon,ESO,ESMS,Middle School,2.88,B,53.3,7.4,B,13.7,C,30.7,B,1.5,F,Well Developed,In Good Standing
693,12X297,12.0,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,Charles Osewalt,ESO,HS,High School,1.77,B,63.8,10.5,A,16.2,A,31.1,B,6.0,B,Proficient,In Good Standing
694,12X300,12.0,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,Venessa Singleton,LLSO,ESMS,Elementary School,55.35,B,55.1,4.3,D,6.7,D,38.8,A,5.25,C,Well Developed,In Good Standing
695,12X316,12.0,KAPPA III,Elisa Alvarez,LLSO,ESMS,Middle School,3.16,A,68.3,10.7,A,17.9,A,35.2,B,4.5,C,Well Developed,In Good Standing
696,12X318,12.0,I.S. X318 MATH SCIENCE & TECHNOLOGY THROUGH ARTS,Maria Lopez,Fordham,ESMS,Middle School,2.91,C,44.6,4.1,D,14.0,B,25.7,C,0.75,D,Well Developed,Planning for Restructuring
