,school_year,school_dbn,community_school_district,city_council_district,school_name,of_teachers_assigned_to_teach
601,2015-16,11X275,11,12,High School of Computers and Technology,2
602,2015-16,11X287,11,12,North Bronx School of Empowerment,2
603,2015-16,11X288,11,13,Collegiate Institute for Math and Science,2
604,2015-16,11X289,11,12,The Young Scholars Academy of The Bronx,1
605,2015-16,11X290,11,12,Bronx Academy of Health Careers,1
606,2015-16,11X299,11,13,Astor Collegiate Academy,2
607,2015-16,11X326,11,13,Bronx Green Middle School,1
608,2015-16,11X355,11,12,Bronx Alliance Middle School,1
609,2015-16,11X357,11,13,Young Voices Academy of the Bronx,0
610,2015-16,11X370,11,12,Leaders of Tomorrow,0
611,2015-16,11X418,11,13,Bronx High School for the Visual Arts,2
612,2015-16,11X455,11,12,Harry S Truman High School,4
613,2015-16,11X462,11,12,Cornerstone Academy for Social Action Middle School (CASA),1
614,2015-16,11X468,11,13,Pelham Academy of Academics and Community Engagement,1
615,2015-16,11X481,11,13,The STEAM Bridge School,0
616,2015-16,11X483,11,11,The Matilda Avenue School,1
617,2015-16,11X498,11,13,P.S./M.S. 11X498 - VAN NEST ACADEMY,4
618,2015-16,11X508,11,13,Bronxdale High School,11
619,2015-16,11X509,11,13,High School of Language and Innovation,2
620,2015-16,11X513,11,12,New World High School,2
621,2015-16,11X514,11,12,The Bronxwood Preparatory Academy,1
622,2015-16,11X529,11,12,One World Middle School at Edenwald,0
623,2015-16,11X532,11,12,Baychester Middle School,0
624,2015-16,11X542,11,13,Pelham Preparatory Academy,3
625,2015-16,11X544,11,12,High School for Contemporary Arts,7
626,2015-16,11X545,11,12,Bronx Aerospace High School,2
627,2015-16,11X556,11,13,Bronx Park Middle School,2
628,2015-16,11X566,11,13,Pelham Gardens Middle School,0
629,2015-16,11X567,11,18,Linden Tree Elementary School,0
630,2015-16,12X006,12,17,P.S. 006 West Farms,32
631,2015-16,12X044,12,17,P.S. 044 David C. Farragut,1
632,2015-16,12X047,12,18,P.S. 047 John Randolph,44
633,2015-16,12X050,12,17,P.S. 050 Clara Barton,1
634,2015-16,12X057,12,15,P.S. 057 Crescent,31
635,2015-16,12X061,12,17,P.S. 061 Francisco Oller,20
636,2015-16,12X066,12,17,P.S. 066 School of Higher Expectations,41
637,2015-16,12X067,12,17,P.S. 067 Mohegan School,4
638,2015-16,12X092,12,17,P.S. 092 Bronx,1
639,2015-16,12X098,12,17,J.H.S. 098 Herman Ridder,1
640,2015-16,12X129,12,15,M.S. 129 Academy for Independent Learning and Leadership,1
641,2015-16,12X134,12,17,P.S. 134 George F. Bristow,2
642,2015-16,12X150,12,17,P.S. 150 Charles James Fox,40
643,2015-16,12X190,12,17,E.S.M.T- I.S. 190,0
644,2015-16,12X195,12,18,P.S. 195,45
645,2015-16,12X196,12,18,P.S. 196,46
646,2015-16,12X211,12,17,P.S. 211,2
647,2015-16,12X212,12,17,P.S. 212,16
648,2015-16,12X214,12,17,P.S. 214,34
649,2015-16,12X217,12,17,School of Performing Arts,0
650,2015-16,12X242,12,18,Mott Hall V,3
651,2015-16,12X248,12,17,"Metropolitan High School, The",1
652,2015-16,12X251,12,17,Explorations Academy,3
653,2015-16,12X267,12,16,Bronx Latin,3
654,2015-16,12X271,12,17,East Bronx Academy for the Future,2
655,2015-16,12X273,12,15,Frederick Douglass Academy V. Middle School,1
656,2015-16,12X278,12,17,Peace and Diversity Academy,1
657,2015-16,12X286,12,17,Fannie Lou Hamer Middle School,0
658,2015-16,12X300,12,15,The School of Science and Applied Learning,11
659,2015-16,12X314,12,17,Fairmont Neighborhood School,1
660,2015-16,12X316,12,15,Kappa III,1
661,2015-16,12X318,12,17,"I.S. X318 Math, Science & Technology Through Arts",0
662,2015-16,12X341,12,17,Accion Academy,1
663,2015-16,12X372,12,17,Urban Assembly School for Wildlife Conservation,1
664,2015-16,12X383,12,17,Emolior Academy,3
665,2015-16,12X384,12,17,Entrada Academy,1
666,2015-16,12X388,12,18,Pan American International High School at Monroe,3
667,2015-16,12X446,12,17,Arturo A. Schomburg Satellite Academy Bronx,3
668,2015-16,12X458,12,17,Samara Community School,5
669,2015-16,12X463,12,17,Urban Scholars Community School,21
670,2015-16,12X478,12,18,The Cinema School,3
671,2015-16,12X479,12,16,Bronx Career and College Preparatory High School,3
672,2015-16,12X480,12,17,Bronx Regional High School,2
673,2015-16,12X511,12,17,Bronx Envision Academy,6
674,2015-16,12X521,12,18,The Metropolitan Soundview High School,6
675,2015-16,12X531,12,18,Archer Elementary School,22
676,2015-16,12X536,12,18,P.S. 536,1
677,2015-16,12X550,12,18,High School of World Cultures,6
678,2015-16,12X682,12,17,Fannie Lou Hamer Freedom High School,11
679,2015-16,12X684,12,15,Wings Academy,5
680,2015-16,12X691,12,18,Bronx Little School,20
681,2015-16,12X692,12,18,Monroe Academy for Visual Arts & Design,3
682,2015-16,13K003,13,36,P.S. 003 The Bedford Village,21
683,2015-16,13K008,13,33,P.S. 008 Robert Fulton,38
684,2015-16,13K009,13,35,P.S. 009 Teunis G. Bergen,13
685,2015-16,13K011,13,35,P.S. 011 Purvis J. Behan,4
686,2015-16,13K020,13,35,P.S. 020 Clinton Hill,18
687,2015-16,13K044,13,36,P.S. 044 Marcus Garvey,15
688,2015-16,13K046,13,35,P.S. 046 Edward C. Blum,23
689,2015-16,13K054,13,33,P.S. 054 Samuel C. Barnes,17
690,2015-16,13K056,13,35,P.S. 056 Lewis H. Latimer,13
691,2015-16,13K067,13,35,P.S. 067 Charles A. Dorsey,2
692,2015-16,13K093,13,36,P.S. 093 William H. Prescott,16
693,2015-16,13K113,13,35,M.S. 113 Ronald Edmonds Learning Center,3
694,2015-16,13K133,13,39,P.S. 133 William A. Butler,33
695,2015-16,13K256,13,36,P.S. 256 Benjamin Banneker,0
696,2015-16,13K265,13,35,Dr. Susan S. McKinney Secondary School of the Arts,4
697,2015-16,13K266,13,39,M.S. K266 - Park Place Community Middle School,0
698,2015-16,13K270,13,35,P.S. 270 Johann DeKalb,0
699,2015-16,13K282,13,39,P.S. 282 Park Slope,1
700,2015-16,13K287,13,35,P.S. 287 Bailey K. Ashford,0
701,2015-16,13K301,13,36,Satellite East Middle School,1
702,2015-16,13K305,13,36,P.S. 305 Dr. Peter Ray,9
703,2015-16,13K307,13,33,P.S. 307 Daniel Hale Williams,32
704,2015-16,13K313,13,33,Dock Street School,0
705,2015-16,13K350,13,33,Urban Assembly School for Music and Art,1
706,2015-16,13K351,13,35,The Urban Assembly Unison School,1
707,2015-16,13K412,13,33,"Brooklyn Community High School of Communication, Arts and Media",3
708,2015-16,13K419,13,33,"Science Skills Center High School for Science, Technology and the Creative Arts",5
709,2015-16,13K430,13,35,Brooklyn Technical High School,9
710,2015-16,13K439,13,33,Brooklyn International High School,3
711,2015-16,13K483,13,33,The Urban Assembly School for Law and Justice,1
712,2015-16,13K492,13,35,Academy of Arts and Letters,0
713,2015-16,13K499,13,35,ACORN Community High School,3
714,2015-16,13K527,13,33,Urban Assembly Institute of Math and Science for Young Women,3
715,2015-16,13K553,13,36,Brooklyn Academy High School,1
716,2015-16,13K575,13,36,Bedford Stuyvesant Preparatory High School,1
717,2015-16,13K595,13,36,Bedford Academy High School,1
718,2015-16,13K596,13,33,M.S. 596 Peace Academy,1
719,2015-16,13K605,13,33,George Westinghouse Career and Technical Education High School,2
720,2015-16,13K616,13,33,Brooklyn High School for Leadership and Community Service,1
721,2015-16,13K670,13,35,Benjamin Banneker Academy,2
722,2015-16,13K674,13,33,"City Polytechnic High School of Engineering, Architecture, and Technology",1
723,2015-16,13K691,13,35,Fort Greene Preparatory Academy,1
724,2015-16,14K016,14,33,P.S. 016 Leonard Dunkly,3
725,2015-16,14K017,14,34,P.S. 017 Henry D. Woodworth,0
726,2015-16,14K018,14,34,P.S. 018 Edward Bush,0
727,2015-16,14K023,14,36,P.S. 023 Carter G. Woodson,15
728,2015-16,14K031,14,33,P.S. 031 Samuel F. Dupont,32
729,2015-16,14K034,14,33,P.S. 034 Oliver H. Perry,1
730,2015-16,14K050,14,34,J.H.S. 050 John D. Wells,1
731,2015-16,14K059,14,36,P.S. 059 William Floyd,2
732,2015-16,14K071,14,33,Juan Morel Campos Secondary School,6
733,2015-16,14K084,14,34,P.S. 084 Jose De Diego,3
734,2015-16,14K110,14,33,P.S. 110 The Monitor,1
735,2015-16,14K120,14,34,P.S. 120 Carlos Tapia,0
736,2015-16,14K126,14,33,John Ericsson Middle School 126,0
737,2015-16,14K132,14,34,P.S. 132 The Conselyea School,0
738,2015-16,14K147,14,34,P.S. 147 Isaac Remsen,4
739,2015-16,14K157,14,33,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,20
740,2015-16,14K196,14,34,P.S. 196 Ten Eyck,23
741,2015-16,14K250,14,34,P.S. 250 George H. Lindsay,28
742,2015-16,14K257,14,34,P.S. 257 John F. Hylan,34
743,2015-16,14K297,14,36,P.S. 297 Abraham Stockton,0
744,2015-16,14K318,14,33,I.S. 318 Eugenio Maria De Hostos,3
745,2015-16,14K319,14,34,P.S. 319,3
746,2015-16,14K322,14,36,Foundations Academy,1
747,2015-16,14K330,14,36,The School for the Urban Environment,0
748,2015-16,14K380,14,33,P.S. 380 John Wayne Elementary,38
749,2015-16,14K414,14,34,Brooklyn Arbor Elementary School,1
750,2015-16,14K449,14,34,"Brooklyn Latin School, The",1
751,2015-16,14K454,14,34,Green School: An Academy for Environmental Careers,2
752,2015-16,14K474,14,34,PROGRESS High School for Professional Careers,8
753,2015-16,14K477,14,34,School for Legal Studies,3
754,2015-16,14K478,14,34,"The High School for Enterprise, Business and Technology",2
755,2015-16,14K488,14,33,Brooklyn Preparatory High School,33
756,2015-16,14K558,14,33,Williamsburg High School for Architecture and Design,3
757,2015-16,14K561,14,33,Williamsburg Preparatory School,3
758,2015-16,14K577,14,34,Conselyea Preparatory School,0
759,2015-16,14K582,14,34,M.S. 582,1
760,2015-16,14K586,14,34,Lyons Community School,4
761,2015-16,14K610,14,33,Automotive High School,5
762,2015-16,14K614,14,34,Young Women's Leadership School of Brooklyn,5
763,2015-16,14K632,14,33,Frances Perkins Academy,2
764,2015-16,14K685,14,33,El Puente Academy for Peace and Justice,1
765,2015-16,15K001,15,38,P.S. 001 The Bergen,63
766,2015-16,15K010,15,38,"Magnet School of Math, Science and Design Technology",21
767,2015-16,15K015,15,38,P.S. 015 Patrick F. Daly,28
768,2015-16,15K024,15,38,P.S. 024,39
769,2015-16,15K029,15,39,P.S. 029 John M. Harrigan,44
770,2015-16,15K032,15,39,P.S. 032 Samuel Mills Sprole,44
771,2015-16,15K038,15,33,P.S. 038 The Pacific,24
772,2015-16,15K039,15,39,P.S. 039 Henry Bristow,1
773,2015-16,15K051,15,39,M.S. 51 William Alexander,2
774,2015-16,15K058,15,39,P.S. 058 The Carroll,2
775,2015-16,15K088,15,38,J.H.S. 088 Peter Rouget,1
776,2015-16,15K094,15,38,P.S. 094 The Henry Longfellow,3
777,2015-16,15K107,15,39,P.S. 107 John W. Kimball,29
778,2015-16,15K118,15,39,The Maurice Sendak Community School,10
779,2015-16,15K124,15,39,P.S. 124 Silas B. Dutcher,17
780,2015-16,15K130,15,39,P.S. 130 The Parkside,36
781,2015-16,15K131,15,39,P.S. 131 Brooklyn,2
782,2015-16,15K136,15,38,I.S. 136 Charles O. Dewey,7
783,2015-16,15K146,15,39,"The Brooklyn New School, P.S. 146",36
784,2015-16,15K154,15,39,The Windsor Terrace School,2
785,2015-16,15K169,15,38,P.S. 169 Sunset Park,73
786,2015-16,15K172,15,38,P.S. 172 Beacon School of Excellence,31
787,2015-16,15K230,15,39,P.S. 230 Doris L. Cohen,0
788,2015-16,15K261,15,33,P.S. 261 Philip Livingston,19
789,2015-16,15K295,15,38,P.S. 295,1
790,2015-16,15K321,15,39,P.S. 321 William Penn,67
791,2015-16,15K423,15,33,Brooklyn Frontiers High School,2
792,2015-16,15K429,15,33,Digital Arts and Cinema Technology High School,3
793,2015-16,15K442,15,39,M.S. 442 Carroll Gardens School for Innovation,1
794,2015-16,15K443,15,38,New Voices School of Academic & Creative Arts,0
795,2015-16,15K447,15,33,The Math & Science Exploratory School,2
796,2015-16,15K448,15,39,Brooklyn Secondary School for Collaborative Studies,8
797,2015-16,15K462,15,39,John Jay School for Law,4
798,2015-16,15K463,15,39,Secondary School for Journalism,2
799,2015-16,15K464,15,39,Park Slope Collegiate,2
800,2015-16,15K497,15,33,The Boerum Hill School for International Studies,3
801,2015-16,15K516,15,38,Sunset Park Avenues Elementary School,4
802,2015-16,15K519,15,33,Cobble Hill School of American Studies,1
803,2015-16,15K529,15,39,West Brooklyn Community High School,2
804,2015-16,15K592,15,33,Khalil Gibran International Academy,3
805,2015-16,15K656,15,33,Brooklyn High School of the Arts,3
806,2015-16,15K667,15,38,Sunset Park High School,3
807,2015-16,15K676,15,38,Red Hook Neighborhood School,12
808,2015-16,15K684,15,39,Millennium Brooklyn HS,1
809,2015-16,15K698,15,38,South Brooklyn Community High School,3
810,2015-16,15K821,15,38,Sunset Park Prep,2
811,2015-16,15K839,15,39,M.S. 839,0
812,2015-16,16K005,16,41,P.S. 005 Dr. Ronald Mcnair,13
813,2015-16,16K021,16,36,P.S. 021 Crispus Attucks,5
814,2015-16,16K025,16,36,P.S. 025 Eubie Blake School,1
815,2015-16,16K026,16,36,P.S. 026 Jesse Owens,14
816,2015-16,16K028,16,41,P.S. 028 The Warren Prep Academy,14
817,2015-16,16K035,16,36,M.S. 035 Stephen Decatur,1
818,2015-16,16K040,16,41,P.S. 040 George W. Carver,19
819,2015-16,16K057,16,36,J.H.S. 057 Whitelaw Reid,1
820,2015-16,16K081,16,36,P.S. 081 Thaddeus Stevens,19
821,2015-16,16K243,16,36,P.S. 243K- The Weeksville School,20
822,2015-16,16K262,16,36,P.S. 262 El Hajj Malik El Shabazz Elementary School,0
823,2015-16,16K267,16,36,"M.S. 267 Math, Science & Technology",1
824,2015-16,16K308,16,36,P.S. 308 Clara Cardwell,11
825,2015-16,16K309,16,41,P.S. 309 The George E. Wibecan Preparatory Academy,19
826,2015-16,16K335,16,36,P.S. 335 Granville T. Woods,1
827,2015-16,16K385,16,36,"School of Business, Finance and Entrepreneurship",1
828,2015-16,16K393,16,36,Frederick Douglass Academy IV Secondary School,1
829,2015-16,16K455,16,36,Boys and Girls High School,2
830,2015-16,16K498,16,41,Brooklyn High School for Law and Technology,4
831,2015-16,16K534,16,36,Upper School @ P.S. 25,2
832,2015-16,16K584,16,36,M.S. 584,0
833,2015-16,16K594,16,41,Gotham Professional Arts Academy,0
834,2015-16,16K627,16,36,Brighter Choice Community School,8
835,2015-16,16K628,16,36,Brooklyn Brownstone School,11
836,2015-16,16K636,16,36,Young Scholars' Academy for Discovery and Exploration,2
837,2015-16,16K669,16,36,Research and Service High School,2
838,2015-16,16K681,16,36,Madiba Prep Middle School,1
839,2015-16,16K688,16,36,The Brooklyn Academy of Global Finance,1
840,2015-16,16K765,16,36,Nelson Mandela High School,1
841,2015-16,17K002,17,40,Parkside Preparatory Academy,2
842,2015-16,17K006,17,40,Norma Adams Clemons Academy,38
843,2015-16,17K012,17,41,Dr. Jacqueline Peek-Davis School,0
844,2015-16,17K061,17,40,M.S. 061 Dr. Gladstone H. Atwell,2
845,2015-16,17K091,17,41,P.S. 091 The Albany Avenue School,2
846,2015-16,17K092,17,40,P.S. 092 Adrian Hegeman,26
847,2015-16,17K122,17,36,Pathways in Technology Early College High School (P-Tech),3
848,2015-16,17K138,17,36,P.S. 138 Brooklyn,21
849,2015-16,17K161,17,35,P.S. 161 The Crown,0
850,2015-16,17K167,17,35,P.S. 167 The Parkway,1
851,2015-16,17K181,17,45,P.S. 181 Brooklyn,3
852,2015-16,17K189,17,41,P.S. 189 The Bilingual Center,24
853,2015-16,17K191,17,41,P.S. 191 Paul Robeson,0
854,2015-16,17K221,17,35,P.S. 221 Toussaint L'Ouverture,17
855,2015-16,17K241,17,35,P.S. 241 Emma L. Johnston,1
856,2015-16,17K246,17,40,M.S. 246 Walt Whitman,1
857,2015-16,17K249,17,40,P.S. 249 The Caton,34
858,2015-16,17K289,17,36,P.S. 289 George V. Brower,13
859,2015-16,17K316,17,35,P.S. 316 Elijah Stroud,28
860,2015-16,17K334,17,36,Middle School for Academic and Social Excellence,0
861,2015-16,17K340,17,35,I.S. 340,2
862,2015-16,17K352,17,35,Ebbets Field Middle School,1
863,2015-16,17K353,17,35,Elijah Stroud Middle School,1
864,2015-16,17K354,17,36,The School of Integrated Learning,1
865,2015-16,17K375,17,35,P.S. 375 Jackie Robinson School,15
866,2015-16,17K382,17,40,Academy for College Preparation and Career Exploration: A College Board School,5
867,2015-16,17K394,17,36,M.S. K394,10
868,2015-16,17K397,17,40,P.S. 397 Foster-Laurie,0
869,2015-16,17K398,17,41,P.S. 398 Walter Weaver,27
870,2015-16,17K399,17,40,P.S. 399 Stanley Eugene Clark,1
871,2015-16,17K408,17,40,Academy of Hospitality and Tourism,1
872,2015-16,17K484,17,41,Ronald Edmonds Learning Center II,0
873,2015-16,17K489,17,35,W.E.B. Dubois Academic High School,2
874,2015-16,17K524,17,35,International High School at Prospect Heights,7
875,2015-16,17K528,17,35,The High School for Global Citizenship,2
876,2015-16,17K531,17,40,"School for Human Rights, The",3
877,2015-16,17K532,17,35,New Bridges Elementary,1
878,2015-16,17K533,17,40,School for Democracy and Leadership,1
879,2015-16,17K537,17,40,High School for Youth and Community Development at Erasmus,1
880,2015-16,17K539,17,40,High School for Service & Learning at Erasmus,3
881,2015-16,17K543,17,40,"Science, Technology and Research Early College High School at Erasmus",3
882,2015-16,17K546,17,40,High School for Public Service: Heroes of Tomorrow,31
883,2015-16,17K547,17,35,Brooklyn Academy of Science and the Environment,1
884,2015-16,17K548,17,35,Brooklyn School for Music & Theatre,3
885,2015-16,17K568,17,41,Brownsville Academy High School,2
886,2015-16,17K590,17,35,Medgar Evers College Preparatory School,4
887,2015-16,17K600,17,35,Clara Barton High School,1
888,2015-16,17K705,17,35,Brooklyn Arts and Science Elementary School,24
889,2015-16,17K722,17,41,New Heights Middle School,0
890,2015-16,17K745,17,40,Brooklyn Institute for Liberal Arts,1
891,2015-16,17K751,17,36,Academy for Health Careers,3
892,2015-16,17K770,17,41,P.S. 770 New American Academy,1
893,2015-16,18K066,18,42,P.S. 66,16
894,2015-16,18K068,18,46,I.S. 068 Isaac Bildersee,0
895,2015-16,18K114,18,46,P.S. 114 Ryder Elementary,0
896,2015-16,18K115,18,46,P.S. 115 Daniel Mucatel School,0
897,2015-16,18K135,18,41,P.S. 135 Sheldon A. Brookner,30
898,2015-16,18K208,18,45,P.S. 208 Elsa Ebeling,0
899,2015-16,18K211,18,46,I.S. 211 John Wilson,1
900,2015-16,18K219,18,41,P.S. 219 Kennedy-King,0
901,2015-16,18K233,18,42,P.S. 233 Langston Hughes,3
902,2015-16,18K235,18,41,P.S. 235 Janice Marie Knight School,1
903,2015-16,18K244,18,45,P.S. 244 Richard R. Green,36
904,2015-16,18K268,18,41,P.S. 268 Emma Lazarus,23
905,2015-16,18K272,18,46,P.S. 272 Curtis Estabrook,31
906,2015-16,18K276,18,46,P.S. 276 Louis Marshall,34
907,2015-16,18K279,18,46,P.S. 279 Herman Schreiber,0
908,2015-16,18K285,18,45,I.S. 285 Meyer Levin,2
909,2015-16,18K366,18,46,The Science And Medicine Middle School,0
910,2015-16,18K563,18,45,It Takes a Village Academy,2
911,2015-16,18K566,18,46,Brooklyn Generation School,1
912,2015-16,18K567,18,46,Brooklyn Theatre Arts High School,2
913,2015-16,18K569,18,45,Kurt Hahn Expeditionary Learning School,6
914,2015-16,18K576,18,46,Victory Collegiate High School,2
915,2015-16,18K578,18,46,Brooklyn Bridge Academy,2
916,2015-16,18K581,18,41,East Flatbush Community Research School,1
917,2015-16,18K588,18,41,Middle School for Art and Philosophy,1
918,2015-16,18K589,18,41,Arts & Media Preparatory Academy,5
919,2015-16,18K598,18,41,Middle School of Marketing and Legal Studies,0
920,2015-16,18K617,18,46,High School for Innovation in Advertising and Media,1
921,2015-16,18K629,18,45,Cultural Academy for the Arts and Sciences,3
922,2015-16,18K633,18,46,High School for Medical Professions,6
923,2015-16,18K635,18,46,Olympus Academy,1
924,2015-16,18K637,18,46,Academy for Conservation and the Environment,4
925,2015-16,18K642,18,46,Urban Action Academy,3
926,2015-16,18K673,18,41,East Brooklyn Community High School,3
927,2015-16,18K763,18,45,Brooklyn Science and Engineering Academy,1
928,2015-16,19K007,19,37,P.S. 007 Abraham Lincoln,12
929,2015-16,19K013,19,42,P.S. 013 Roberto Clemente,0
930,2015-16,19K065,19,37,P.S. 065,0
931,2015-16,19K089,19,37,P.S. 089 Cypress Hills,19
932,2015-16,19K108,19,37,P.S. 108 Sal Abbracciamento,9
933,2015-16,19K149,19,42,P.S. 149 Danny Kaye,0
934,2015-16,19K158,19,37,P.S. 158 Warwick,0
935,2015-16,19K159,19,42,P.S. 159 Isaac Pitkin,38
936,2015-16,19K171,19,37,I.S. 171 Abraham Lincoln,1
937,2015-16,19K174,19,42,P.S. 174 Dumont,0
938,2015-16,19K190,19,42,P.S. 190 Sheffield,1
939,2015-16,19K202,19,42,P.S. 202 Ernest S. Jenkyns,5
940,2015-16,19K213,19,42,P.S. 213 New Lots,17
941,2015-16,19K214,19,37,P.S. 214 Michael Friedsam,43
942,2015-16,19K218,19,42,J.H.S. 218 James P. Sinnott,4
943,2015-16,19K224,19,42,P.S. 224 Hale A. Woodruff,0
944,2015-16,19K273,19,42,P.S. 273 Wortman,18
945,2015-16,19K290,19,37,P.S. 290 Juan Morel Campos,23
946,2015-16,19K292,19,42,J.H.S. 292 Margaret S. Douglas,0
947,2015-16,19K306,19,42,P.S. 306 Ethan Allen,1
948,2015-16,19K311,19,42,Essence School,0
949,2015-16,19K325,19,42,The Fresh Creek School,0
950,2015-16,19K328,19,42,P.S. 328 Phyllis Wheatley,16
951,2015-16,19K345,19,37,P.S. 345 Patrolman Robert Bolden,6
952,2015-16,19K346,19,42,P.S. 346 Abe Stark,1
953,2015-16,19K364,19,42,I.S. 364 Gateway,2
954,2015-16,19K404,19,42,Academy for Young Writers,45
955,2015-16,19K409,19,42,East New York Family Academy,2
956,2015-16,19K422,19,46,Spring Creek Community School,1
957,2015-16,19K452,19,42,Frederick Douglass Academy VIII Middle School,1
958,2015-16,19K502,19,42,FDNY - Captain Vernon A. Richards High School for Fire and Life Safety,2
959,2015-16,19K504,19,42,High School for Civil Rights,1
960,2015-16,19K507,19,42,Performing Arts and Technology High School,3
961,2015-16,19K510,19,42,World Academy for Total Community Health High School,4
962,2015-16,19K557,19,42,Brooklyn Gardens Elementary School,1
963,2015-16,19K583,19,37,Multicultural High School,2
964,2015-16,19K615,19,37,Transit Tech Career and Technical Education High School,9
965,2015-16,19K618,19,37,Academy of Innovative Technology,2
966,2015-16,19K639,19,37,Brooklyn Lab School,2
967,2015-16,19K654,19,42,Van Siclen Community Middle School,2
968,2015-16,19K659,19,37,Cypress Hills Collegiate Preparatory School,2
969,2015-16,19K660,19,37,W. H. Maxwell Career and Technical Education High School,10
970,2015-16,19K661,19,37,Vista Academy,1
971,2015-16,19K662,19,37,Liberty Avenue Middle School,2
972,2015-16,19K663,19,42,School of the Future Brooklyn,2
973,2015-16,19K677,19,42,East New York Elementary School of Excellence,36
974,2015-16,19K678,19,42,East New York Middle School of Excellence,2
975,2015-16,19K683,19,42,"The School for Classics: An Academy of Thinkers, Writers and Performers",5
976,2015-16,19K760,19,37,Highland Park Community School,1
977,2015-16,19K764,19,37,The Urban Assembly School for Collaborative Healthcare,1
978,2015-16,20K030,20,43,P.S./I.S. 30 Mary White Ovington,18
979,2015-16,20K048,20,44,P.S. 048 Mapleton,28
980,2015-16,20K062,20,40,J.H.S. 062 Ditmas,5
981,2015-16,20K069,20,38,P.S. 69 Vincent D. Grippo School,0
982,2015-16,20K102,20,43,P.S. 102 The Bayview,1
983,2015-16,20K104,20,43,P.S./I.S. 104 The Fort Hamilton School,2
984,2015-16,20K105,20,38,P.S. 105 The Blythebourne,61
985,2015-16,20K112,20,43,P.S. 112 Lefferts Park,32
986,2015-16,20K127,20,43,P.S. 127 Mckinley Park,26
987,2015-16,20K160,20,44,P.S. 160 William T. Sampson,6
988,2015-16,20K163,20,43,P.S. 163 Bath Beach,1
989,2015-16,20K164,20,44,P.S. 164 Caesar Rodney,0
990,2015-16,20K170,20,43,Ralph A. Fabrizio School,0
991,2015-16,20K176,20,43,P.S. 176 Ovington,70
992,2015-16,20K179,20,39,P.S. 179 Kensington,3
993,2015-16,20K180,20,44,The SEEALL Academy,30
994,2015-16,20K185,20,43,P.S. 185 Walter Kassenbrock,32
995,2015-16,20K186,20,47,P.S. 186 Dr. Irving A Gladstone,46
996,2015-16,20K187,20,38,The Christa McAuliffe School\I.S. 187,6
997,2015-16,20K192,20,44,P.S. 192 - The Magnet School for Math and Science Inquiry,3
998,2015-16,20K200,20,43,P.S. 200 Benson School,0
999,2015-16,20K201,20,43,J.H.S. 201 The Dyker Heights,18
