cmplnt_num,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,jurisdiction_code,juris_desc,ky_cd,law_cat_cd,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,housing_psa,loc_of_occur_desc,station_name,transit_district,hadevelopt,parks_nm
980409612,28,MANHATTAN,2019-05-04T00:00:00.000,18:00:00,2019-05-04T00:00:00.000,18:50:00,COMPLETED,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO MAN NORTH,101.0,ASSAULT 3,OTHER,2019-05-04T00:00:00.000,65+,BLACK,M,45-64,BLACK,F,,,,,,
917781862,52,BRONX,2019-05-04T00:00:00.000,13:50:00,2019-05-04T00:00:00.000,13:50:00,COMPLETED,0.0,N.Y. POLICE DEPT,118,FELONY,DANGEROUS WEAPONS,PATROL BORO BRONX,793.0,WEAPONS POSSESSION 3,STREET,2019-05-04T00:00:00.000,,,,UNKNOWN,UNKNOWN,E,,FRONT OF,,,,
615688717,113,QUEENS,2019-05-03T00:00:00.000,22:20:00,2019-05-03T00:00:00.000,22:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,106,FELONY,FELONY ASSAULT,PATROL BORO QUEENS SOUTH,109.0,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE-HOUSE,2019-05-04T00:00:00.000,UNKNOWN,UNKNOWN,U,45-64,BLACK,M,,INSIDE,,,,
606550915,14,MANHATTAN,2019-05-03T00:00:00.000,11:52:00,2019-05-03T00:00:00.000,11:54:00,COMPLETED,3.0,PORT AUTHORITY,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO MAN SOUTH,113.0,"MENACING,UNCLASSIFIED",DRUG STORE,2019-05-03T00:00:00.000,18-24,BLACK,M,45-64,BLACK,M,,INSIDE,,,,
440858665,47,BRONX,2019-05-03T00:00:00.000,01:30:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,PATROL BORO BRONX,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - APT. HOUSE,2019-05-03T00:00:00.000,45-64,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F,,INSIDE,,,,
597121521,20,MANHATTAN,2019-05-02T00:00:00.000,15:15:00,2019-05-02T00:00:00.000,19:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,110,FELONY,GRAND LARCENY OF MOTOR VEHICLE,PATROL BORO MAN NORTH,441.0,"LARCENY,GRAND OF AUTO",STREET,2019-05-03T00:00:00.000,,,,65+,WHITE,F,,,,,,
932706616,18,MANHATTAN,2019-04-29T00:00:00.000,04:00:00,2019-04-29T00:00:00.000,04:10:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO MAN SOUTH,338.0,"LARCENY,PETIT FROM BUILDING,UN",FAST FOOD,2019-05-03T00:00:00.000,UNKNOWN,WHITE,M,45-64,WHITE,M,,INSIDE,,,,
558002470,42,BRONX,2019-05-02T00:00:00.000,14:40:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BRONX,338.0,"LARCENY,PETIT FROM BUILDING,UN",STREET,2019-05-02T00:00:00.000,,,,25-44,BLACK,F,,,,,,
426432440,104,QUEENS,2019-05-02T00:00:00.000,12:07:00,2019-05-02T00:00:00.000,12:13:00,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO QUEENS NORTH,638.0,"HARASSMENT,SUBD 3,4,5",STREET,2019-05-02T00:00:00.000,UNKNOWN,BLACK,U,45-64,WHITE,F,,,,,,
939597341,32,MANHATTAN,2019-05-02T00:00:00.000,11:09:00,2019-05-02T00:00:00.000,12:09:00,COMPLETED,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO MAN NORTH,101.0,ASSAULT 3,STREET,2019-05-02T00:00:00.000,45-64,BLACK,M,25-44,BLACK,M,,FRONT OF,,,,
364531205,104,QUEENS,2019-05-01T00:00:00.000,00:00:00,2019-05-01T00:00:00.000,01:00:00,ATTEMPTED,0.0,N.Y. POLICE DEPT,104,FELONY,RAPE,PATROL BORO QUEENS NORTH,159.0,"RAPE 1,ATTEMPT",RESIDENCE-HOUSE,2019-05-02T00:00:00.000,45-64,WHITE HISPANIC,M,45-64,WHITE HISPANIC,F,,INSIDE,,,,
339016257,52,BRONX,2019-02-24T00:00:00.000,18:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,233,MISDEMEANOR,SEX CRIMES,PATROL BORO BRONX,175.0,"SEXUAL ABUSE 3,2",HOSPITAL,2019-05-02T00:00:00.000,UNKNOWN,UNKNOWN,U,18-24,BLACK,F,,INSIDE,,,,
783957140,75,BROOKLYN,2019-05-01T00:00:00.000,20:40:00,2019-05-01T00:00:00.000,20:54:00,COMPLETED,0.0,N.Y. POLICE DEPT,111,FELONY,POSSESSION OF STOLEN PROPERTY,PATROL BORO BKLYN NORTH,494.0,"STOLEN PROPERTY 2,1,POSSESSION",STREET,2019-05-01T00:00:00.000,,,,UNKNOWN,UNKNOWN,D,,,,,,
299921872,17,MANHATTAN,2019-05-01T00:00:00.000,19:30:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,109,FELONY,GRAND LARCENY,PATROL BORO MAN SOUTH,443.0,"LARCENY,GRAND OF BICYCLE",STREET,2019-05-01T00:00:00.000,<18,BLACK HISPANIC,M,UNKNOWN,UNKNOWN,D,,,,,,
397566216,5,MANHATTAN,2019-05-01T00:00:00.000,13:00:00,,,COMPLETED,97.0,OTHER,361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,PATROL BORO MAN SOUTH,639.0,AGGRAVATED HARASSMENT 2,OTHER,2019-05-01T00:00:00.000,45-64,BLACK,F,25-44,BLACK,F,,INSIDE,,,,
739842563,47,BRONX,2019-05-01T00:00:00.000,08:20:00,2019-05-01T00:00:00.000,08:22:00,COMPLETED,0.0,N.Y. POLICE DEPT,233,MISDEMEANOR,SEX CRIMES,PATROL BORO BRONX,175.0,"SEXUAL ABUSE 3,2",BUS (NYC TRANSIT),2019-05-01T00:00:00.000,,,,<18,BLACK,F,,,,,,
197729683,104,QUEENS,2019-04-30T00:00:00.000,16:00:00,2019-05-01T00:00:00.000,12:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,121,FELONY,CRIMINAL MISCHIEF & RELATED OF,PATROL BORO QUEENS NORTH,267.0,"MISCHIEF, CRIMINAL 3 & 2, OF M",STREET,2019-05-01T00:00:00.000,,,,25-44,UNKNOWN,M,,FRONT OF,,,,
677121249,43,BRONX,2019-04-10T00:00:00.000,15:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",STREET,2019-05-01T00:00:00.000,<18,BLACK,M,<18,WHITE HISPANIC,M,,,,,,
872108787,62,BROOKLYN,2019-04-30T00:00:00.000,15:45:00,2019-04-30T00:00:00.000,16:12:00,ATTEMPTED,0.0,N.Y. POLICE DEPT,105,FELONY,ROBBERY,PATROL BORO BKLYN SOUTH,380.0,"ROBBERY,CAR JACKING",STREET,2019-04-30T00:00:00.000,25-44,WHITE,M,18-24,WHITE,F,,FRONT OF,,,,
236414174,77,BROOKLYN,2019-04-30T00:00:00.000,13:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BKLYN NORTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2019-04-30T00:00:00.000,45-64,BLACK,F,65+,BLACK,M,,INSIDE,,,,
304042713,67,BROOKLYN,2019-04-30T00:00:00.000,11:00:00,2019-04-30T00:00:00.000,11:05:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BKLYN SOUTH,321.0,"LARCENY,PETIT FROM AUTO",STREET,2019-04-30T00:00:00.000,,,,45-64,BLACK,M,,,,,,
416816274,67,BROOKLYN,2019-04-30T00:00:00.000,07:45:00,2019-04-30T00:00:00.000,08:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BKLYN SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",HOSPITAL,2019-04-30T00:00:00.000,,,,25-44,BLACK,M,,INSIDE,,,,
371706462,43,BRONX,2019-04-28T00:00:00.000,20:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2019-04-30T00:00:00.000,<18,BLACK,F,25-44,BLACK,F,,INSIDE,,,,
565257984,46,BRONX,2019-04-02T00:00:00.000,07:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,113,FELONY,FORGERY,PATROL BORO BRONX,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",RESIDENCE - APT. HOUSE,2019-04-30T00:00:00.000,,,,45-64,BLACK,M,,INSIDE,,,,
814321319,81,BROOKLYN,2014-03-01T00:00:00.000,16:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,116,FELONY,SEX CRIMES,PATROL BORO BKLYN NORTH,168.0,SODOMY 1,RESIDENCE - APT. HOUSE,2019-04-30T00:00:00.000,25-44,BLACK,M,18-24,BLACK,F,,INSIDE,,,,
470759977,66,BROOKLYN,2019-04-29T00:00:00.000,17:00:00,2019-04-29T00:00:00.000,18:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,109,FELONY,GRAND LARCENY,PATROL BORO BKLYN SOUTH,410.0,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",DRUG STORE,2019-04-29T00:00:00.000,UNKNOWN,UNKNOWN,U,18-24,WHITE,F,,,,,,
349874873,70,,2019-04-29T00:00:00.000,16:02:00,,,COMPLETED,,N.Y. POLICE DEPT,101,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,,,,,2019-04-29T00:00:00.000,<18,WHITE HISPANIC,M,<18,BLACK,M,,OUTSIDE,,,,
248216486,77,BROOKLYN,2019-04-29T00:00:00.000,15:55:00,2019-04-29T00:00:00.000,16:00:00,ATTEMPTED,0.0,N.Y. POLICE DEPT,106,FELONY,FELONY ASSAULT,PATROL BORO BKLYN NORTH,109.0,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,2019-04-29T00:00:00.000,,,,25-44,BLACK,M,,INSIDE,,,,
936207348,67,BROOKLYN,2019-04-29T00:00:00.000,14:34:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BKLYN SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",FAST FOOD,2019-04-29T00:00:00.000,UNKNOWN,WHITE HISPANIC,M,18-24,BLACK,F,,INSIDE,,,,
773225794,6,MANHATTAN,2019-04-29T00:00:00.000,13:56:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO MAN SOUTH,101.0,ASSAULT 3,OTHER,2019-04-29T00:00:00.000,UNKNOWN,BLACK,F,25-44,BLACK,M,,FRONT OF,,,,
635218177,40,BRONX,2019-04-29T00:00:00.000,02:30:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,359,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,PATROL BORO BRONX,748.0,"CONTEMPT,CRIMINAL",RESIDENCE - APT. HOUSE,2019-04-29T00:00:00.000,45-64,BLACK,M,45-64,BLACK,M,,INSIDE,,,,
768115090,49,BRONX,2019-04-28T00:00:00.000,21:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",STREET,2019-04-29T00:00:00.000,45-64,BLACK,F,45-64,BLACK,M,,FRONT OF,,,,
981565704,43,BRONX,2019-04-24T00:00:00.000,08:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",STREET,2019-04-29T00:00:00.000,25-44,BLACK HISPANIC,M,45-64,BLACK,M,,,,,,
554208051,26,MANHATTAN,2019-04-22T00:00:00.000,12:00:00,2019-04-28T00:00:00.000,12:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,PATROL BORO MAN NORTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",GROCERY/BODEGA,2019-04-29T00:00:00.000,,,,UNKNOWN,UNKNOWN,D,,FRONT OF,,,,
845051321,47,BRONX,2017-01-23T00:00:00.000,12:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BRONX,339.0,"LARCENY,PETIT FROM OPEN AREAS,",STREET,2019-04-29T00:00:00.000,,,,45-64,WHITE HISPANIC,F,,FRONT OF,,,,
948374528,14,MANHATTAN,2019-04-28T00:00:00.000,19:35:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,233,MISDEMEANOR,SEX CRIMES,PATROL BORO MAN SOUTH,175.0,"SEXUAL ABUSE 3,2",STREET,2019-04-28T00:00:00.000,UNKNOWN,BLACK,M,18-24,BLACK HISPANIC,F,,FRONT OF,,,,
442348228,73,BROOKLYN,2019-04-28T00:00:00.000,02:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO BKLYN NORTH,101.0,ASSAULT 3,STREET,2019-04-28T00:00:00.000,UNKNOWN,UNKNOWN,U,18-24,BLACK,M,,,,,,
700239850,77,,2019-04-28T00:00:00.000,01:45:00,,,COMPLETED,,N.Y. POLICE DEPT,101,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,,,,,2019-04-28T00:00:00.000,,,,25-44,BLACK,M,,OUTSIDE,,,,
943420242,18,MANHATTAN,2019-04-28T00:00:00.000,00:58:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO MAN SOUTH,101.0,ASSAULT 3,BAR/NIGHT CLUB,2019-04-28T00:00:00.000,25-44,BLACK,F,25-44,BLACK,F,,INSIDE,,,,
353485258,88,BROOKLYN,2019-04-27T00:00:00.000,16:45:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BKLYN NORTH,333.0,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,2019-04-27T00:00:00.000,45-64,BLACK,F,UNKNOWN,UNKNOWN,D,,INSIDE,,,,
838345296,45,BRONX,2019-04-27T00:00:00.000,12:27:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BRONX,637.0,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,2019-04-27T00:00:00.000,45-64,BLACK,M,45-64,BLACK,M,,INSIDE,,,,
957170600,44,BRONX,2019-04-27T00:00:00.000,08:30:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,107,FELONY,BURGLARY,PATROL BORO BRONX,221.0,"BURGLARY,RESIDENCE,DAY",RESIDENCE - APT. HOUSE,2019-04-27T00:00:00.000,,,,45-64,WHITE HISPANIC,M,,INSIDE,,,,
314495409,70,BROOKLYN,2019-04-27T00:00:00.000,04:40:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,113,FELONY,FORGERY,PATROL BORO BKLYN SOUTH,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",STREET,2019-04-27T00:00:00.000,25-44,BLACK,F,UNKNOWN,UNKNOWN,E,,,,,,
