,borough,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price,year
48,MANHATTAN,UPPER WEST SIDE (96-116),03 THREE FAMILY HOMES,1,3700000,3700000,3700000,3700000,2010
49,MANHATTAN,WASHINGTON HEIGHTS LOWER,01 ONE FAMILY HOMES,7,150000,432528,350000,1100000,2010
50,MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY HOMES,2,390000,967643,967643,1545286,2010
51,BRONX,BATHGATE,01 ONE FAMILY HOMES,5,150000,264306,287000,313300,2010
52,BRONX,BATHGATE,02 TWO FAMILY HOMES,7,155000,378805,320000,869000,2010
53,BRONX,BATHGATE,03 THREE FAMILY HOMES,5,152100,265223,179000,565015,2010
54,BRONX,BAYCHESTER,01 ONE FAMILY HOMES,71,150000,293498,303500,450000,2010
55,BRONX,BAYCHESTER,02 TWO FAMILY HOMES,60,150000,398600,415000,631315,2010
56,BRONX,BAYCHESTER,03 THREE FAMILY HOMES,18,161500,460400,475000,950000,2010
57,BRONX,BEDFORD PARK/NORWOOD,01 ONE FAMILY HOMES,8,172907,326079,332500,452489,2010
58,BRONX,BEDFORD PARK/NORWOOD,02 TWO FAMILY HOMES,19,229164,398958,400000,587507,2010
59,BRONX,BEDFORD PARK/NORWOOD,03 THREE FAMILY HOMES,9,295000,444333,418000,594000,2010
60,BRONX,BELMONT,01 ONE FAMILY HOMES,1,220000,220000,220000,220000,2010
61,BRONX,BELMONT,02 TWO FAMILY HOMES,13,190000,319526,326000,460000,2010
62,BRONX,BELMONT,03 THREE FAMILY HOMES,8,165728,364801,373000,586500,2010
63,BRONX,BRONX PARK,02 TWO FAMILY HOMES,1,325000,325000,325000,325000,2010
64,BRONX,BRONXDALE,01 ONE FAMILY HOMES,27,150000,309399,318000,475000,2010
65,BRONX,BRONXDALE,02 TWO FAMILY HOMES,42,230000,417560,399450,620000,2010
66,BRONX,BRONXDALE,03 THREE FAMILY HOMES,8,295000,512189,517800,700000,2010
67,BRONX,CASTLE HILL/UNIONPORT,01 ONE FAMILY HOMES,17,215000,334637,345000,419321,2010
68,BRONX,CASTLE HILL/UNIONPORT,02 TWO FAMILY HOMES,32,200000,397238,411000,568634,2010
69,BRONX,CASTLE HILL/UNIONPORT,03 THREE FAMILY HOMES,6,200000,402465,432396,525000,2010
70,BRONX,CITY ISLAND,01 ONE FAMILY HOMES,18,253000,494748,460750,910000,2010
71,BRONX,CITY ISLAND,02 TWO FAMILY HOMES,10,200000,426050,416250,615000,2010
72,BRONX,CITY ISLAND,03 THREE FAMILY HOMES,2,330000,460000,460000,590000,2010
73,BRONX,COUNTRY CLUB,01 ONE FAMILY HOMES,35,185000,435412,442900,940000,2010
74,BRONX,COUNTRY CLUB,02 TWO FAMILY HOMES,21,150000,476917,495000,875000,2010
75,BRONX,COUNTRY CLUB,03 THREE FAMILY HOMES,2,585680,600340,600340,615000,2010
76,BRONX,CROTONA PARK,02 TWO FAMILY HOMES,5,202800,322000,304200,430000,2010
77,BRONX,CROTONA PARK,03 THREE FAMILY HOMES,4,150000,407125,490250,498000,2010
78,BRONX,EAST TREMONT,01 ONE FAMILY HOMES,5,151000,289920,315000,350000,2010
79,BRONX,EAST TREMONT,02 TWO FAMILY HOMES,27,176000,378001,390000,617416,2010
80,BRONX,EAST TREMONT,03 THREE FAMILY HOMES,12,210000,401985,463712,583000,2010
81,BRONX,FIELDSTON,01 ONE FAMILY HOMES,14,200000,1239714,1154500,4150000,2010
82,BRONX,FORDHAM,01 ONE FAMILY HOMES,3,312700,346900,323000,405000,2010
83,BRONX,FORDHAM,02 TWO FAMILY HOMES,5,220500,385849,400000,508746,2010
84,BRONX,FORDHAM,03 THREE FAMILY HOMES,7,175000,318430,251245,510000,2010
85,BRONX,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY HOMES,2,310000,411638,411638,513276,2010
86,BRONX,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY HOMES,22,195000,385359,391000,644948,2010
87,BRONX,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY HOMES,9,230500,471328,450500,723599,2010
88,BRONX,HUNTS POINT,02 TWO FAMILY HOMES,7,261540,373108,320000,575000,2010
89,BRONX,HUNTS POINT,03 THREE FAMILY HOMES,5,300000,401800,420000,480000,2010
90,BRONX,KINGSBRIDGE HTS/UNIV HTS,01 ONE FAMILY HOMES,4,150000,304150,325800,415000,2010
91,BRONX,KINGSBRIDGE HTS/UNIV HTS,02 TWO FAMILY HOMES,13,167000,433768,370000,1200000,2010
92,BRONX,KINGSBRIDGE HTS/UNIV HTS,03 THREE FAMILY HOMES,2,599000,629500,629500,660000,2010
93,BRONX,KINGSBRIDGE/JEROME PARK,01 ONE FAMILY HOMES,12,300000,417806,430000,540000,2010
94,BRONX,KINGSBRIDGE/JEROME PARK,02 TWO FAMILY HOMES,9,405000,511714,515000,595000,2010
95,BRONX,KINGSBRIDGE/JEROME PARK,03 THREE FAMILY HOMES,3,170000,439797,520000,629391,2010
96,BRONX,MELROSE/CONCOURSE,01 ONE FAMILY HOMES,1,350000,350000,350000,350000,2010
97,BRONX,MELROSE/CONCOURSE,02 TWO FAMILY HOMES,14,210000,388256,432500,480000,2010
98,BRONX,MELROSE/CONCOURSE,03 THREE FAMILY HOMES,18,170000,443782,450500,950000,2010
99,BRONX,MORRIS PARK/VAN NEST,01 ONE FAMILY HOMES,32,165000,398120,389250,630000,2010
