,prop_id,ampsdistrict,inspection_id,season,round,date,begininspection,endinspection,inspection_year,inspector,overall_condition,cleanliness,inspectiontype,comments,closed,inspector2
57,X159,09,13373,Fall,2,1999-09-17,10:45 AM,11:17 AM,1999,32,A,A,PIP,,,
58,BZ377,18,43918,Spring,5,2006-05-10,12:23 PM,12:27 PM,2006,1,A,A,PIP,,,
59,RZ23,02,11224,Summer,1,1999-06-08,11:10 AM,11:32 AM,1999,33,A,A,PIP,,,
60,B036,02,36723,Spring,6,2005-05-16,11:09 AM,11:21 AM,2005,2,A,A,PIP,,,
61,QZ502,12,22453,Summer,5,2003-08-07,10:16 AM,10:21 AM,2003,3,A,A,PIP,,,
62,BZ309,05,28785,Spring,2,2004-03-19,12:12 PM,12:24 PM,2004,2,A,A,PIP,,,
63,X157,11,27603,Winter,4,2004-01-26,12:19 PM,12:30 PM,2003,5,A,A,PIP,,,
64,Q267,02,40357,Fall,6,2005-11-07,02:59 PM,03:01 PM,2005,5,A,A,PIP,,,
65,M009,12,52205,Summer,4,2007-07-23,11:16 AM,11:44 AM,2007,11,A,A,PIP,,,
66,M012,02,38442,Summer,5,2005-08-01,12:09 PM,12:19 PM,2005,1,A,A,PIP,,,
67,XZ55,02,17604,Summer,2,2003-06-20,01:37 PM,01:40 PM,2003,4,A,A,PIP,,,
68,BZ339,01,34731,Winter,5,2005-01-31,10:19 AM,10:35 AM,2004,5,A,A,PIP,,,
69,B242,15,6428,Fall,5,2000-11-01,10:22 AM,10:40 AM,2000,41,A,A,PIP,,,
70,MZ216,12,31478,Summer,4,2004-07-26,10:48 AM,10:50 AM,2004,1,A,A,PIP,,,
71,XZ267,11,549,Spring,4,2003-04-23,11:13 AM,11:16 AM,2003,44,A,A,PIP,,,
72,QZ66,04,2847,Winter,1,1999-12-07,12:13 PM,12:21 PM,1999,31,A,A,PIP,,,
73,M010-ZN17,13,25,Spring,2,2003-03-19,01:18 PM,02:10 PM,2003,4,A,A,PIP,,,
74,BZ142,13,27900,Winter,5,2004-02-10,09:55 AM,10:01 AM,2003,3,A,A,PIP,,,
75,B223PC,01,53886,Fall,5,2007-10-25,12:00 PM,12:21 PM,2007,3,A,A,PIP,,,
76,B111,06,2831,Winter,4,2003-01-27,01:00 PM,01:18 PM,2002,8,A,A,PIP,,,
77,XZ314,06,36757,Spring,6,2005-05-17,12:10 PM,12:29 PM,2005,5,A,A,PIP,,,
78,X001,07,10359,Spring,4,1999-04-15,10:29 AM,11:41 AM,1999,32,U,U,PIP,,,
79,XZ353,10,50020,Spring,3,2007-04-02,12:08 PM,12:15 PM,2007,3,A,A,PIP,,,
80,X203,09,17023,Spring,6,2003-05-22,11:16 AM,11:41 AM,2003,42,A,A,PIP,,,
81,R035,01,32613,Fall,2,2004-09-17,11:04 AM,11:30 AM,2004,48,A,A,PIP,,,
82,XZ70,01,41760,Winter,0,1905-01-13,12:39 PM,12:42 PM,1905,11,A,A,SNR,,,
83,XZ263,11,24484,Fall,2,2003-09-19,12:29 PM,12:35 PM,2003,3,A,A,PIP,,,
84,RZ03,02,38086,Summer,2,1905-07-16,02:18 PM,02:23 PM,1905,7,A,A,WEPIP,,,
85,M072-03,14,573,Spring,3,2003-03-31,11:45 AM,11:50 AM,2003,6,A,A,PIP,,,
86,Q124,05,36154,Spring,4,2005-04-15,12:06 PM,12:27 PM,2005,5,A,A,PIP,,,
