,yearmonth,incidentclassification,incidentborough,incidentcount,averageresponsetime
0,2009/07,All Fire/Emergency Incidents,Citywide,40850,04:27
1,2009/07,All Fire/Emergency Incidents,Manhattan,10709,04:32
2,2009/07,All Fire/Emergency Incidents,Bronx,8137,04:37
3,2009/07,All Fire/Emergency Incidents,Staten Island,2205,04:45
4,2009/07,All Fire/Emergency Incidents,Brooklyn,11505,04:01
5,2009/07,All Fire/Emergency Incidents,Queens,8294,04:43
6,2009/07,False Alarm,Citywide,2655,04:07
7,2009/07,False Alarm,Manhattan,474,04:07
8,2009/07,False Alarm,Bronx,755,04:26
9,2009/07,False Alarm,Staten Island,192,03:49
10,2009/07,False Alarm,Brooklyn,565,03:42
11,2009/07,False Alarm,Queens,669,04:11
12,2009/07,Medical Emergencies,Citywide,18606,04:12
13,2009/07,Medical Emergencies,Manhattan,4895,04:17
14,2009/07,Medical Emergencies,Bronx,3429,04:17
15,2009/07,Medical Emergencies,Staten Island,933,04:19
16,2009/07,Medical Emergencies,Brooklyn,5344,03:51
17,2009/07,Medical Emergencies,Queens,4005,04:30
18,2009/07,Medical False Alarm,Citywide,408,04:13
19,2009/07,Medical False Alarm,Manhattan,110,04:18
20,2009/07,Medical False Alarm,Bronx,75,04:00
21,2009/07,Medical False Alarm,Staten Island,10,04:10
22,2009/07,Medical False Alarm,Brooklyn,111,03:50
23,2009/07,Medical False Alarm,Queens,102,04:42
24,2009/07,NonMedical Emergencies,Citywide,15739,04:50
25,2009/07,NonMedical Emergencies,Manhattan,4446,04:51
26,2009/07,NonMedical Emergencies,Bronx,3150,05:04
27,2009/07,NonMedical Emergencies,Staten Island,877,05:24
28,2009/07,NonMedical Emergencies,Brooklyn,4395,04:20
29,2009/07,NonMedical Emergencies,Queens,2871,05:11
30,2009/07,NonStructural Fires,Citywide,1495,04:19
31,2009/07,NonStructural Fires,Manhattan,349,04:16
32,2009/07,NonStructural Fires,Bronx,296,04:32
33,2009/07,NonStructural Fires,Staten Island,103,04:38
34,2009/07,NonStructural Fires,Brooklyn,438,03:59
35,2009/07,NonStructural Fires,Queens,309,04:31
36,2009/07,Structural Fires,Citywide,1947,03:54
37,2009/07,Structural Fires,Manhattan,435,04:00
38,2009/07,Structural Fires,Bronx,432,03:59
39,2009/07,Structural Fires,Staten Island,90,04:34
40,2009/07,Structural Fires,Brooklyn,652,03:29
41,2009/07,Structural Fires,Queens,338,04:17
42,2009/08,All Fire/Emergency Incidents,Citywide,41723,04:30
43,2009/08,All Fire/Emergency Incidents,Manhattan,10836,04:38
44,2009/08,All Fire/Emergency Incidents,Bronx,8749,04:47
45,2009/08,All Fire/Emergency Incidents,Staten Island,2009,04:38
46,2009/08,All Fire/Emergency Incidents,Brooklyn,11749,04:01
47,2009/08,All Fire/Emergency Incidents,Queens,8380,04:44
48,2009/08,False Alarm,Citywide,2814,04:06
49,2009/08,False Alarm,Manhattan,514,04:17
50,2009/08,False Alarm,Bronx,779,04:21
51,2009/08,False Alarm,Staten Island,198,04:04
52,2009/08,False Alarm,Brooklyn,632,03:34
53,2009/08,False Alarm,Queens,691,04:11
54,2009/08,Medical Emergencies,Citywide,18409,04:13
55,2009/08,Medical Emergencies,Manhattan,4854,04:16
56,2009/08,Medical Emergencies,Bronx,3438,04:20
57,2009/08,Medical Emergencies,Staten Island,838,04:26
58,2009/08,Medical Emergencies,Brooklyn,5437,03:53
59,2009/08,Medical Emergencies,Queens,3842,04:30
60,2009/08,Medical False Alarm,Citywide,425,04:19
61,2009/08,Medical False Alarm,Manhattan,132,04:16
62,2009/08,Medical False Alarm,Bronx,84,04:20
63,2009/08,Medical False Alarm,Staten Island,15,04:44
64,2009/08,Medical False Alarm,Brooklyn,94,03:46
65,2009/08,Medical False Alarm,Queens,100,04:49
66,2009/08,NonMedical Emergencies,Citywide,16859,04:55
67,2009/08,NonMedical Emergencies,Manhattan,4621,05:02
68,2009/08,NonMedical Emergencies,Bronx,3786,05:17
69,2009/08,NonMedical Emergencies,Staten Island,834,04:56
70,2009/08,NonMedical Emergencies,Brooklyn,4571,04:19
71,2009/08,NonMedical Emergencies,Queens,3047,05:12
72,2009/08,NonStructural Fires,Citywide,1283,04:18
73,2009/08,NonStructural Fires,Manhattan,276,04:15
74,2009/08,NonStructural Fires,Bronx,230,04:41
75,2009/08,NonStructural Fires,Staten Island,44,05:01
76,2009/08,NonStructural Fires,Brooklyn,402,03:49
77,2009/08,NonStructural Fires,Queens,331,04:36
78,2009/08,Structural Fires,Citywide,1933,03:58
79,2009/08,Structural Fires,Manhattan,439,04:04
80,2009/08,Structural Fires,Bronx,432,04:17
81,2009/08,Structural Fires,Staten Island,80,04:32
82,2009/08,Structural Fires,Brooklyn,613,03:26
83,2009/08,Structural Fires,Queens,369,04:16
84,2009/09,All Fire/Emergency Incidents,Citywide,37082,04:27
85,2009/09,All Fire/Emergency Incidents,Manhattan,9822,04:37
86,2009/09,All Fire/Emergency Incidents,Bronx,7411,04:36
87,2009/09,All Fire/Emergency Incidents,Staten Island,1998,04:33
88,2009/09,All Fire/Emergency Incidents,Brooklyn,10398,03:58
89,2009/09,All Fire/Emergency Incidents,Queens,7453,04:43
90,2009/09,False Alarm,Citywide,2187,04:07
91,2009/09,False Alarm,Manhattan,373,04:20
92,2009/09,False Alarm,Bronx,563,04:20
93,2009/09,False Alarm,Staten Island,217,04:09
94,2009/09,False Alarm,Brooklyn,457,03:32
95,2009/09,False Alarm,Queens,577,04:11
96,2009/09,Medical Emergencies,Citywide,17073,04:15
97,2009/09,Medical Emergencies,Manhattan,4592,04:16
98,2009/09,Medical Emergencies,Bronx,3230,04:27
99,2009/09,Medical Emergencies,Staten Island,840,04:21
100,2009/09,Medical Emergencies,Brooklyn,4927,03:54
101,2009/09,Medical Emergencies,Queens,3484,04:34
102,2009/09,Medical False Alarm,Citywide,405,04:14
103,2009/09,Medical False Alarm,Manhattan,94,04:26
104,2009/09,Medical False Alarm,Bronx,92,03:57
105,2009/09,Medical False Alarm,Staten Island,13,05:12
106,2009/09,Medical False Alarm,Brooklyn,96,03:41
107,2009/09,Medical False Alarm,Queens,110,04:39
108,2009/09,NonMedical Emergencies,Citywide,14027,04:46
109,2009/09,NonMedical Emergencies,Manhattan,4018,05:00
110,2009/09,NonMedical Emergencies,Bronx,2840,04:55
111,2009/09,NonMedical Emergencies,Staten Island,761,04:56
112,2009/09,NonMedical Emergencies,Brooklyn,3880,04:11
113,2009/09,NonMedical Emergencies,Queens,2528,05:06
114,2009/09,NonStructural Fires,Citywide,1294,04:21
115,2009/09,NonStructural Fires,Manhattan,277,04:23
116,2009/09,NonStructural Fires,Bronx,237,04:40
117,2009/09,NonStructural Fires,Staten Island,64,04:16
118,2009/09,NonStructural Fires,Brooklyn,362,03:51
119,2009/09,NonStructural Fires,Queens,354,04:39
120,2009/09,Structural Fires,Citywide,2096,03:58
121,2009/09,Structural Fires,Manhattan,468,04:13
122,2009/09,Structural Fires,Bronx,449,04:00
123,2009/09,Structural Fires,Staten Island,103,04:16
124,2009/09,Structural Fires,Brooklyn,676,03:34
125,2009/09,Structural Fires,Queens,400,04:13
126,2009/10,All Fire/Emergency Incidents,Citywide,40974,04:30
127,2009/10,All Fire/Emergency Incidents,Manhattan,10563,04:34
128,2009/10,All Fire/Emergency Incidents,Bronx,8253,04:42
129,2009/10,All Fire/Emergency Incidents,Staten Island,2247,04:46
130,2009/10,All Fire/Emergency Incidents,Brooklyn,11521,04:01
131,2009/10,All Fire/Emergency Incidents,Queens,8390,04:51
132,2009/10,False Alarm,Citywide,2135,04:11
133,2009/10,False Alarm,Manhattan,375,04:17
134,2009/10,False Alarm,Bronx,544,04:22
135,2009/10,False Alarm,Staten Island,203,04:08
136,2009/10,False Alarm,Brooklyn,462,03:43
137,2009/10,False Alarm,Queens,551,04:21
138,2009/10,Medical Emergencies,Citywide,17377,04:17
139,2009/10,Medical Emergencies,Manhattan,4584,04:20
140,2009/10,Medical Emergencies,Bronx,3253,04:23
141,2009/10,Medical Emergencies,Staten Island,904,04:30
142,2009/10,Medical Emergencies,Brooklyn,5006,03:54
143,2009/10,Medical Emergencies,Queens,3630,04:37
144,2009/10,Medical False Alarm,Citywide,399,04:19
145,2009/10,Medical False Alarm,Manhattan,101,04:06
146,2009/10,Medical False Alarm,Bronx,92,04:34
147,2009/10,Medical False Alarm,Staten Island,12,04:31
148,2009/10,Medical False Alarm,Brooklyn,100,03:45
149,2009/10,Medical False Alarm,Queens,94,04:55
150,2009/10,NonMedical Emergencies,Citywide,17663,04:48
151,2009/10,NonMedical Emergencies,Manhattan,4721,04:49
152,2009/10,NonMedical Emergencies,Bronx,3645,05:05
153,2009/10,NonMedical Emergencies,Staten Island,989,05:11
154,2009/10,NonMedical Emergencies,Brooklyn,4893,04:14
155,2009/10,NonMedical Emergencies,Queens,3415,05:13
156,2009/10,NonStructural Fires,Citywide,1110,04:16
157,2009/10,NonStructural Fires,Manhattan,281,04:17
158,2009/10,NonStructural Fires,Bronx,191,04:26
159,2009/10,NonStructural Fires,Staten Island,47,04:27
160,2009/10,NonStructural Fires,Brooklyn,311,03:47
161,2009/10,NonStructural Fires,Queens,280,04:40
162,2009/10,Structural Fires,Citywide,2290,03:56
163,2009/10,Structural Fires,Manhattan,501,04:08
164,2009/10,Structural Fires,Bronx,528,04:02
165,2009/10,Structural Fires,Staten Island,92,04:14
166,2009/10,Structural Fires,Brooklyn,749,03:32
167,2009/10,Structural Fires,Queens,420,04:15
168,2009/11,All Fire/Emergency Incidents,Citywide,38197,04:29
169,2009/11,All Fire/Emergency Incidents,Manhattan,9820,04:37
170,2009/11,All Fire/Emergency Incidents,Bronx,7701,04:41
171,2009/11,All Fire/Emergency Incidents,Staten Island,2136,04:40
172,2009/11,All Fire/Emergency Incidents,Brooklyn,10861,04:01
173,2009/11,All Fire/Emergency Incidents,Queens,7679,04:45
174,2009/11,False Alarm,Citywide,1977,04:14
175,2009/11,False Alarm,Manhattan,353,04:25
176,2009/11,False Alarm,Bronx,508,04:28
177,2009/11,False Alarm,Staten Island,223,04:20
178,2009/11,False Alarm,Brooklyn,416,03:37
179,2009/11,False Alarm,Queens,477,04:21
180,2009/11,Medical Emergencies,Citywide,16751,04:18
181,2009/11,Medical Emergencies,Manhattan,4284,04:25
182,2009/11,Medical Emergencies,Bronx,3122,04:28
183,2009/11,Medical Emergencies,Staten Island,909,04:26
184,2009/11,Medical Emergencies,Brooklyn,4832,03:56
185,2009/11,Medical Emergencies,Queens,3604,04:32
186,2009/11,Medical False Alarm,Citywide,328,04:08
187,2009/11,Medical False Alarm,Manhattan,90,04:16
188,2009/11,Medical False Alarm,Bronx,60,04:02
189,2009/11,Medical False Alarm,Staten Island,17,03:30
190,2009/11,Medical False Alarm,Brooklyn,69,03:44
191,2009/11,Medical False Alarm,Queens,92,04:33
192,2009/11,NonMedical Emergencies,Citywide,15555,04:46
193,2009/11,NonMedical Emergencies,Manhattan,4250,04:51
194,2009/11,NonMedical Emergencies,Bronx,3298,05:00
195,2009/11,NonMedical Emergencies,Staten Island,790,05:02
196,2009/11,NonMedical Emergencies,Brooklyn,4443,04:13
197,2009/11,NonMedical Emergencies,Queens,2774,05:07
198,2009/11,NonStructural Fires,Citywide,1156,04:22
199,2009/11,NonStructural Fires,Manhattan,260,04:13
200,2009/11,NonStructural Fires,Bronx,167,04:49
201,2009/11,NonStructural Fires,Staten Island,100,04:38
202,2009/11,NonStructural Fires,Brooklyn,342,03:50
203,2009/11,NonStructural Fires,Queens,287,04:50
204,2009/11,Structural Fires,Citywide,2430,03:58
205,2009/11,Structural Fires,Manhattan,583,04:12
206,2009/11,Structural Fires,Bronx,546,04:00
207,2009/11,Structural Fires,Staten Island,97,04:32
208,2009/11,Structural Fires,Brooklyn,759,03:31
209,2009/11,Structural Fires,Queens,445,04:18
210,2009/12,All Fire/Emergency Incidents,Citywide,42260,04:37
211,2009/12,All Fire/Emergency Incidents,Manhattan,10794,04:44
212,2009/12,All Fire/Emergency Incidents,Bronx,8433,04:48
213,2009/12,All Fire/Emergency Incidents,Staten Island,2229,04:48
214,2009/12,All Fire/Emergency Incidents,Brooklyn,11953,04:09
215,2009/12,All Fire/Emergency Incidents,Queens,8851,04:56
216,2009/12,False Alarm,Citywide,1947,04:22
217,2009/12,False Alarm,Manhattan,400,04:36
218,2009/12,False Alarm,Bronx,425,04:38
219,2009/12,False Alarm,Staten Island,119,04:32
220,2009/12,False Alarm,Brooklyn,439,03:54
221,2009/12,False Alarm,Queens,564,04:20
222,2009/12,Medical Emergencies,Citywide,16706,04:26
223,2009/12,Medical Emergencies,Manhattan,4257,04:29
224,2009/12,Medical Emergencies,Bronx,3210,04:34
225,2009/12,Medical Emergencies,Staten Island,900,04:38
226,2009/12,Medical Emergencies,Brooklyn,4647,04:02
227,2009/12,Medical Emergencies,Queens,3692,04:42
228,2009/12,Medical False Alarm,Citywide,370,04:32
229,2009/12,Medical False Alarm,Manhattan,104,04:29
230,2009/12,Medical False Alarm,Bronx,51,04:55
231,2009/12,Medical False Alarm,Staten Island,14,05:38
232,2009/12,Medical False Alarm,Brooklyn,103,04:06
233,2009/12,Medical False Alarm,Queens,98,04:45
234,2009/12,NonMedical Emergencies,Citywide,19205,04:53
235,2009/12,NonMedical Emergencies,Manhattan,5017,05:00
236,2009/12,NonMedical Emergencies,Bronx,3937,05:03
237,2009/12,NonMedical Emergencies,Staten Island,1018,05:00
238,2009/12,NonMedical Emergencies,Brooklyn,5533,04:20
239,2009/12,NonMedical Emergencies,Queens,3700,05:19
240,2009/12,NonStructural Fires,Citywide,1358,04:16
241,2009/12,NonStructural Fires,Manhattan,366,04:13
242,2009/12,NonStructural Fires,Bronx,214,04:38
243,2009/12,NonStructural Fires,Staten Island,48,04:39
244,2009/12,NonStructural Fires,Brooklyn,415,03:47
245,2009/12,NonStructural Fires,Queens,315,04:38
246,2009/12,Structural Fires,Citywide,2674,04:04
247,2009/12,Structural Fires,Manhattan,650,04:14
248,2009/12,Structural Fires,Bronx,596,04:12
249,2009/12,Structural Fires,Staten Island,130,04:30
250,2009/12,Structural Fires,Brooklyn,816,03:38
251,2009/12,Structural Fires,Queens,482,04:19
252,2010/01,All Fire/Emergency Incidents,Citywide,40548,04:31
253,2010/01,All Fire/Emergency Incidents,Manhattan,10314,04:37
254,2010/01,All Fire/Emergency Incidents,Bronx,8411,04:43
255,2010/01,All Fire/Emergency Incidents,Staten Island,1993,04:40
256,2010/01,All Fire/Emergency Incidents,Brooklyn,11539,04:02
257,2010/01,All Fire/Emergency Incidents,Queens,8291,04:49
258,2010/01,False Alarm,Citywide,1725,04:19
259,2010/01,False Alarm,Manhattan,313,04:27
260,2010/01,False Alarm,Bronx,410,04:37
261,2010/01,False Alarm,Staten Island,126,04:08
262,2010/01,False Alarm,Brooklyn,366,03:51
263,2010/01,False Alarm,Queens,510,04:21
264,2010/01,Medical Emergencies,Citywide,16581,04:20
265,2010/01,Medical Emergencies,Manhattan,4097,04:23
