,yearmonth,incidentclassification,incidentborough,incidentcount,averageresponsetime
450,2010/05,NonStructural Fires,Citywide,1538,04:18
451,2010/05,NonStructural Fires,Manhattan,373,04:12
452,2010/05,NonStructural Fires,Bronx,267,04:40
453,2010/05,NonStructural Fires,Staten Island,80,04:33
454,2010/05,NonStructural Fires,Brooklyn,489,03:49
455,2010/05,NonStructural Fires,Queens,329,04:46
456,2010/05,Structural Fires,Citywide,2121,03:59
457,2010/05,Structural Fires,Manhattan,529,04:07
458,2010/05,Structural Fires,Bronx,437,04:07
459,2010/05,Structural Fires,Staten Island,101,04:34
460,2010/05,Structural Fires,Brooklyn,703,03:33
461,2010/05,Structural Fires,Queens,351,04:21
462,2010/06,All Fire/Emergency Incidents,Citywide,43778,04:34
463,2010/06,All Fire/Emergency Incidents,Manhattan,11634,04:39
464,2010/06,All Fire/Emergency Incidents,Bronx,8949,04:49
465,2010/06,All Fire/Emergency Incidents,Staten Island,2330,04:44
466,2010/06,All Fire/Emergency Incidents,Brooklyn,11839,04:07
467,2010/06,All Fire/Emergency Incidents,Queens,9026,04:49
468,2010/06,False Alarm,Citywide,2695,04:21
469,2010/06,False Alarm,Manhattan,497,04:25
470,2010/06,False Alarm,Bronx,780,04:38
471,2010/06,False Alarm,Staten Island,202,04:09
472,2010/06,False Alarm,Brooklyn,434,03:52
473,2010/06,False Alarm,Queens,782,04:21
474,2010/06,Medical Emergencies,Citywide,19256,04:16
475,2010/06,Medical Emergencies,Manhattan,5342,04:19
476,2010/06,Medical Emergencies,Bronx,3519,04:24
477,2010/06,Medical Emergencies,Staten Island,943,04:30
478,2010/06,Medical Emergencies,Brooklyn,5472,03:54
479,2010/06,Medical Emergencies,Queens,3980,04:33
480,2010/06,Medical False Alarm,Citywide,460,04:14
481,2010/06,Medical False Alarm,Manhattan,127,04:11
482,2010/06,Medical False Alarm,Bronx,83,04:25
483,2010/06,Medical False Alarm,Staten Island,19,04:22
484,2010/06,Medical False Alarm,Brooklyn,124,03:55
485,2010/06,Medical False Alarm,Queens,107,04:32
486,2010/06,NonMedical Emergencies,Citywide,17689,04:59
487,2010/06,NonMedical Emergencies,Manhattan,4820,05:01
488,2010/06,NonMedical Emergencies,Bronx,3853,05:15
489,2010/06,NonMedical Emergencies,Staten Island,967,05:02
490,2010/06,NonMedical Emergencies,Brooklyn,4650,04:28
491,2010/06,NonMedical Emergencies,Queens,3399,05:19
492,2010/06,NonStructural Fires,Citywide,1741,04:19
493,2010/06,NonStructural Fires,Manhattan,426,04:18
494,2010/06,NonStructural Fires,Bronx,312,04:30
495,2010/06,NonStructural Fires,Staten Island,106,04:51
496,2010/06,NonStructural Fires,Brooklyn,496,03:56
497,2010/06,NonStructural Fires,Queens,401,04:30
498,2010/06,Structural Fires,Citywide,1937,03:58
499,2010/06,Structural Fires,Manhattan,422,04:01
500,2010/06,Structural Fires,Bronx,402,04:06
501,2010/06,Structural Fires,Staten Island,93,04:50
502,2010/06,Structural Fires,Brooklyn,663,03:32
503,2010/06,Structural Fires,Queens,357,04:23
504,2010/07,All Fire/Emergency Incidents,Citywide,47698,04:40
505,2010/07,All Fire/Emergency Incidents,Manhattan,12273,04:41
506,2010/07,All Fire/Emergency Incidents,Bronx,9960,04:57
507,2010/07,All Fire/Emergency Incidents,Staten Island,2410,04:43
508,2010/07,All Fire/Emergency Incidents,Brooklyn,13355,04:13
509,2010/07,All Fire/Emergency Incidents,Queens,9700,04:56
510,2010/07,False Alarm,Citywide,2918,04:23
511,2010/07,False Alarm,Manhattan,544,04:33
512,2010/07,False Alarm,Bronx,796,04:33
513,2010/07,False Alarm,Staten Island,243,04:13
514,2010/07,False Alarm,Brooklyn,600,04:05
515,2010/07,False Alarm,Queens,735,04:24
516,2010/07,Medical Emergencies,Citywide,19900,04:19
