,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price
59,GLENDALE                 ,03 THREE FAMILY HOMES                      ,25,210000,670074,740000,926607
60,HAMMELS                  ,01 ONE FAMILY HOMES                        ,7,250000,309957,292792,400000
61,HAMMELS                  ,02 TWO FAMILY HOMES                        ,18,215000,452949,463250,603504
62,HAMMELS                  ,03 THREE FAMILY HOMES                      ,7,314340,527740,600000,649478
63,HILLCREST                ,01 ONE FAMILY HOMES                        ,27,370000,527269,518000,813700
64,HILLCREST                ,02 TWO FAMILY HOMES                        ,2,372500,401250,401250,430000
65,HOLLIS                   ,01 ONE FAMILY HOMES                        ,161,200000,408397,405000,795000
66,HOLLIS                   ,02 TWO FAMILY HOMES                        ,90,155000,456221,432500,720000
67,HOLLIS                   ,03 THREE FAMILY HOMES                      ,9,560000,700592,755000,794235
68,HOLLIS HILLS             ,01 ONE FAMILY HOMES                        ,17,440000,725076,695000,1525000
69,HOLLISWOOD               ,01 ONE FAMILY HOMES                        ,37,461000,746050,732500,1560000
70,HOLLISWOOD               ,02 TWO FAMILY HOMES                        ,2,499000,689500,689500,880000
71,HOWARD BEACH             ,01 ONE FAMILY HOMES                        ,71,165000,562207,572400,1480000
72,HOWARD BEACH             ,02 TWO FAMILY HOMES                        ,34,175000,558633,570000,753382
73,HOWARD BEACH             ,03 THREE FAMILY HOMES                      ,2,525000,637500,637500,750000
74,JACKSON HEIGHTS          ,01 ONE FAMILY HOMES                        ,89,200000,539703,530000,995000
75,JACKSON HEIGHTS          ,02 TWO FAMILY HOMES                        ,98,150000,634882,647073,1100000
76,JACKSON HEIGHTS          ,03 THREE FAMILY HOMES                      ,41,190722,784757,799326,1094618
77,JAMAICA                  ,01 ONE FAMILY HOMES                        ,37,165000,383695,367000,750000
78,JAMAICA                  ,02 TWO FAMILY HOMES                        ,43,230000,509552,525000,725000
79,JAMAICA                  ,03 THREE FAMILY HOMES                      ,17,375000,731747,765000,977520
80,JAMAICA BAY              ,01 ONE FAMILY HOMES                        ,6,290000,367878,337500,550000
81,JAMAICA BAY              ,02 TWO FAMILY HOMES                        ,1,606709,606709,606709,606709
82,JAMAICA ESTATES          ,01 ONE FAMILY HOMES                        ,35,230366,780502,780000,1125000
83,JAMAICA ESTATES          ,02 TWO FAMILY HOMES                        ,1,800000,800000,800000,800000
84,JAMAICA ESTATES          ,03 THREE FAMILY HOMES                      ,6,832928,858059,859403,875000
85,JAMAICA HILLS            ,01 ONE FAMILY HOMES                        ,26,375000,523297,480803,800000
86,JAMAICA HILLS            ,02 TWO FAMILY HOMES                        ,30,300000,614884,648087,875000
87,JAMAICA HILLS            ,03 THREE FAMILY HOMES                      ,4,523000,709500,727500,860000
88,KEW GARDENS              ,01 ONE FAMILY HOMES                        ,13,430000,724568,610000,1380000
89,KEW GARDENS              ,02 TWO FAMILY HOMES                        ,9,500500,755000,633266,1215000
90,KEW GARDENS              ,03 THREE FAMILY HOMES                      ,2,450000,477500,477500,505000
91,LAURELTON                ,01 ONE FAMILY HOMES                        ,121,163000,402037,413744,668330
92,LAURELTON                ,02 TWO FAMILY HOMES                        ,59,200000,482862,503862,700000
93,LITTLE NECK              ,01 ONE FAMILY HOMES                        ,75,285000,780915,710000,1934750
94,LITTLE NECK              ,02 TWO FAMILY HOMES                        ,14,600000,1034753,983500,2200000
95,LONG ISLAND CITY         ,01 ONE FAMILY HOMES                        ,8,275000,549063,417500,1400000
