,uniqueid,dateofbite,species,breed,age,gender,spayneuter,borough,zipcode
63,64,2015-02-15T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,False,Brooklyn,11207.0
64,65,2015-02-12T00:00:00.000,DOG,"Mastiff, Old English",,U,False,Brooklyn,11231.0
65,66,2015-02-18T00:00:00.000,DOG,Yorkshire Terrier,3,M,False,Brooklyn,11233.0
66,67,2015-02-17T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,5,M,False,Brooklyn,11207.0
67,68,2015-02-19T00:00:00.000,DOG,SPRINGER SPANIEL,7,U,True,Brooklyn,11213.0
68,69,2015-02-21T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,11217.0
69,70,2015-02-06T00:00:00.000,DOG,Shiba Inu,3,M,False,Brooklyn,
70,71,2015-02-12T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,11224.0
71,72,2015-02-22T00:00:00.000,DOG,Pit Bull,10,M,True,Brooklyn,11235.0
72,73,2015-02-24T00:00:00.000,DOG,Pit Bull,1,F,False,Brooklyn,11215.0
73,74,2015-02-24T00:00:00.000,DOG,Pit Bull,10,F,True,Brooklyn,11210.0
74,75,2015-02-24T00:00:00.000,DOG,WESTIE,,U,False,Brooklyn,11234.0
75,76,2015-02-22T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,
76,77,2015-02-21T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,11231.0
77,78,2015-02-26T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,11206.0
78,79,2015-02-22T00:00:00.000,DOG,FOX HOUND,3,F,True,Brooklyn,11209.0
79,80,2015-02-23T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,
80,81,2015-02-26T00:00:00.000,DOG,Pit Bull,1,M,False,Brooklyn,11226.0
81,82,2015-02-28T00:00:00.000,DOG,Weimaraner,11,M,True,Brooklyn,11230.0
82,83,2015-02-26T00:00:00.000,DOG,German Shepherd,,U,False,Brooklyn,11220.0
83,84,2015-02-01T00:00:00.000,DOG,Rottweiler,,U,False,Brooklyn,11215.0
84,85,2015-03-01T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,6,F,True,Brooklyn,11225.0
85,86,2015-02-28T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,False,Brooklyn,11228.0
86,87,2015-02-10T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11221.0
87,88,2015-03-03T00:00:00.000,DOG,,,U,False,Brooklyn,11235.0
88,89,2015-03-04T00:00:00.000,DOG,"Jindo Dog,",,M,True,Brooklyn,11215.0
89,90,2015-03-06T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,10,F,False,Brooklyn,11206.0
90,91,2015-03-07T00:00:00.000,DOG,"Bull Dog, English",2,M,True,Brooklyn,11201.0
91,92,2015-02-27T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,3,M,False,Brooklyn,11206.0
92,93,2015-03-07T00:00:00.000,DOG,BULLDOG/SHARPEI,11,M,True,Brooklyn,11233.0
93,94,2015-03-08T00:00:00.000,DOG,Shih Tzu,4,M,False,Brooklyn,11234.0
94,95,2015-03-10T00:00:00.000,DOG,COCKER/CORGI X,,M,False,Brooklyn,11201.0
95,96,2015-03-06T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,
96,97,2015-03-12T00:00:00.000,DOG,Jack Russ,7M,M,False,Brooklyn,11208.0
97,98,2015-03-12T00:00:00.000,DOG,Shih Tzu,,U,False,Brooklyn,11217.0
98,99,2015-02-26T00:00:00.000,DOG,Pit Bull,2,M,False,Brooklyn,11216.0
99,100,2015-03-13T00:00:00.000,DOG,Pug,6,M,True,Brooklyn,11231.0
100,101,2015-03-15T00:00:00.000,DOG,Yorkshire Terrier,4,M,False,Brooklyn,11205.0
101,102,2015-03-14T00:00:00.000,DOG,Chow Chow,3,M,False,Brooklyn,11234.0
102,103,2015-03-15T00:00:00.000,DOG,American Staffordshire Terrier,8,M,True,Brooklyn,11230.0
103,104,2015-03-14T00:00:00.000,DOG,SHEPHERD MIX,5,M,True,Brooklyn,11229.0
104,105,2015-03-16T00:00:00.000,DOG,Maltese,7,M,True,Brooklyn,11221.0
105,106,2015-03-18T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,5,M,True,Brooklyn,11207.0
106,107,2015-03-16T00:00:00.000,DOG,Yorkshire Terrier,1,M,False,Brooklyn,11221.0
107,108,2015-03-14T00:00:00.000,DOG,Cocker Spaniel,,U,False,Brooklyn,11213.0
108,109,2015-03-16T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,True,Brooklyn,11234.0
109,110,2015-03-16T00:00:00.000,DOG,Pit Bull,,F,True,Brooklyn,11223.0
110,111,2015-03-17T00:00:00.000,DOG,"Collie, Border",,U,False,Brooklyn,
111,112,2015-03-09T00:00:00.000,DOG,Miniature Pinscher,,M,False,Brooklyn,11235.0
112,113,2015-03-22T00:00:00.000,DOG,Shih Tzu,2,M,False,Brooklyn,11223.0
113,114,2015-03-21T00:00:00.000,DOG,Doberman Pinscher,8,F,False,Brooklyn,11204.0
114,115,2015-03-22T00:00:00.000,DOG,Shih Tzu,7,M,True,Brooklyn,11208.0
115,116,2015-03-22T00:00:00.000,DOG,German Shepherd,,U,False,Brooklyn,11217.0
116,117,2015-03-21T00:00:00.000,DOG,"Bull Dog, French",6,M,True,Brooklyn,11217.0
117,118,2015-02-02T00:00:00.000,DOG,Pekingese,4,M,False,Brooklyn,11238.0
