,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price
37,ELMHURST                 ,01 ONE FAMILY HOMES                        ,136,225000,578064,557500,1189900
38,ELMHURST                 ,02 TWO FAMILY HOMES                        ,145,212666,686810,690000,1150000
39,ELMHURST                 ,03 THREE FAMILY HOMES                      ,109,150000,821934,840000,1325000
40,FAR ROCKAWAY             ,01 ONE FAMILY HOMES                        ,128,182500,478014,440000,1210000
41,FAR ROCKAWAY             ,02 TWO FAMILY HOMES                        ,209,170000,508832,525000,795000
42,FAR ROCKAWAY             ,03 THREE FAMILY HOMES                      ,71,317500,626345,650000,930000
43,FLORAL PARK              ,01 ONE FAMILY HOMES                        ,132,375000,559340,546500,885000
44,FLORAL PARK              ,02 TWO FAMILY HOMES                        ,5,475000,607500,630000,700000
45,FLORAL PARK              ,03 THREE FAMILY HOMES                      ,1,275000,275000,275000,275000
46,FLUSHING-NORTH           ,01 ONE FAMILY HOMES                        ,564,170000,660272,625000,3580000
47,FLUSHING-NORTH           ,02 TWO FAMILY HOMES                        ,296,177000,737016,742830,1480000
48,FLUSHING-NORTH           ,03 THREE FAMILY HOMES                      ,61,189494,810007,835000,1221900
49,FLUSHING-SOUTH           ,01 ONE FAMILY HOMES                        ,232,178050,604336,560000,2100000
50,FLUSHING-SOUTH           ,02 TWO FAMILY HOMES                        ,69,338000,691274,685000,1200000
51,FLUSHING-SOUTH           ,03 THREE FAMILY HOMES                      ,11,325000,761547,760000,987020
52,FOREST HILLS             ,01 ONE FAMILY HOMES                        ,153,184824,902347,730000,3400000
53,FOREST HILLS             ,02 TWO FAMILY HOMES                        ,20,300000,747495,714500,1600000
54,FOREST HILLS             ,03 THREE FAMILY HOMES                      ,2,845000,847500,847500,850000
55,FRESH MEADOWS            ,01 ONE FAMILY HOMES                        ,83,345000,671335,678000,1235000
56,FRESH MEADOWS            ,02 TWO FAMILY HOMES                        ,24,300000,723146,699000,1055000
57,GLEN OAKS                ,01 ONE FAMILY HOMES                        ,21,285000,525729,525000,699300
58,GLEN OAKS                ,02 TWO FAMILY HOMES                        ,7,305000,679853,629000,1050000
59,GLENDALE                 ,01 ONE FAMILY HOMES                        ,81,200000,505505,495000,929000
60,GLENDALE                 ,02 TWO FAMILY HOMES                        ,149,180000,588604,592250,992793
61,GLENDALE                 ,03 THREE FAMILY HOMES                      ,20,360000,736871,750000,934500
62,HAMMELS                  ,01 ONE FAMILY HOMES                        ,18,175000,308040,280000,503500
63,HAMMELS                  ,02 TWO FAMILY HOMES                        ,40,202000,516672,515133,925000
64,HAMMELS                  ,03 THREE FAMILY HOMES                      ,22,431333,629252,664000,780000
65,HILLCREST                ,01 ONE FAMILY HOMES                        ,27,325000,605800,593000,1060900
66,HILLCREST                ,02 TWO FAMILY HOMES                        ,6,500000,577833,570000,675000
67,HOLLIS                   ,01 ONE FAMILY HOMES                        ,337,150000,443549,445000,1170000
68,HOLLIS                   ,02 TWO FAMILY HOMES                        ,136,150000,547778,571200,800000
69,HOLLIS                   ,03 THREE FAMILY HOMES                      ,19,605000,790081,810000,970000
70,HOLLIS HILLS             ,01 ONE FAMILY HOMES                        ,35,555000,731771,708000,907250
71,HOLLISWOOD               ,01 ONE FAMILY HOMES                        ,36,380000,820889,762500,1575000
72,HOLLISWOOD               ,02 TWO FAMILY HOMES                        ,2,710000,850000,850000,990000
73,HOLLISWOOD               ,03 THREE FAMILY HOMES                      ,2,700000,755000,755000,810000
74,HOWARD BEACH             ,01 ONE FAMILY HOMES                        ,109,220000,626167,640000,1300000
75,HOWARD BEACH             ,02 TWO FAMILY HOMES                        ,61,200000,646953,670000,884000
76,HOWARD BEACH             ,03 THREE FAMILY HOMES                      ,7,485000,705714,730000,825000
77,JACKSON HEIGHTS          ,01 ONE FAMILY HOMES                        ,157,150000,587887,585000,999000
78,JACKSON HEIGHTS          ,02 TWO FAMILY HOMES                        ,165,150000,698259,720000,1350000
79,JACKSON HEIGHTS          ,03 THREE FAMILY HOMES                      ,63,175000,816215,810000,1650000
80,JAMAICA                  ,01 ONE FAMILY HOMES                        ,68,155000,513633,481500,990000
81,JAMAICA                  ,02 TWO FAMILY HOMES                        ,93,156000,640787,650000,1100000
82,JAMAICA                  ,03 THREE FAMILY HOMES                      ,13,530000,833174,875000,945000
83,JAMAICA BAY              ,01 ONE FAMILY HOMES                        ,5,340000,458000,480000,500000
84,JAMAICA BAY              ,02 TWO FAMILY HOMES                        ,5,509000,588800,550000,700000
85,JAMAICA ESTATES          ,01 ONE FAMILY HOMES                        ,59,250000,962043,880000,2225000
86,JAMAICA ESTATES          ,02 TWO FAMILY HOMES                        ,6,580000,805500,865000,893000
87,JAMAICA ESTATES          ,03 THREE FAMILY HOMES                      ,2,700000,848943,848943,997885
88,JAMAICA HILLS            ,01 ONE FAMILY HOMES                        ,43,165592,587184,583000,800000
89,JAMAICA HILLS            ,02 TWO FAMILY HOMES                        ,32,550000,703819,695000,900000
90,JAMAICA HILLS            ,03 THREE FAMILY HOMES                      ,8,485000,776250,815000,910000
91,KEW GARDENS              ,01 ONE FAMILY HOMES                        ,31,340000,764603,738000,1650000
92,KEW GARDENS              ,02 TWO FAMILY HOMES                        ,21,302000,665771,690000,962500
93,KEW GARDENS              ,03 THREE FAMILY HOMES                      ,8,400000,830250,933500,999999
94,LAURELTON                ,01 ONE FAMILY HOMES                        ,249,156000,430175,440000,690000
95,LAURELTON                ,02 TWO FAMILY HOMES                        ,92,225000,528396,532500,800000
96,LAURELTON                ,03 THREE FAMILY HOMES                      ,5,365000,495328,503000,618000
97,LITTLE NECK              ,01 ONE FAMILY HOMES                        ,111,217500,794049,715000,2575000
98,LITTLE NECK              ,02 TWO FAMILY HOMES                        ,22,280000,841476,824250,1476462
99,LITTLE NECK              ,03 THREE FAMILY HOMES                      ,2,795500,952750,952750,1110000
100,LONG ISLAND CITY         ,01 ONE FAMILY HOMES                        ,10,300000,576630,530000,1050000
101,LONG ISLAND CITY         ,02 TWO FAMILY HOMES                        ,35,250000,730271,685000,1625000
102,LONG ISLAND CITY         ,03 THREE FAMILY HOMES                      ,15,670000,833800,807500,1200000
103,MASPETH                  ,01 ONE FAMILY HOMES                        ,137,180000,513440,500000,1600000
104,MASPETH                  ,02 TWO FAMILY HOMES                        ,154,200000,624884,625000,1250000
105,MASPETH                  ,03 THREE FAMILY HOMES                      ,22,249500,749314,770000,999000
106,MIDDLE VILLAGE           ,01 ONE FAMILY HOMES                        ,159,170000,540212,530000,1315000
107,MIDDLE VILLAGE           ,02 TWO FAMILY HOMES                        ,79,175000,622330,610000,987702
108,MIDDLE VILLAGE           ,03 THREE FAMILY HOMES                      ,28,315000,753609,760000,1141000
109,NEPONSIT                 ,01 ONE FAMILY HOMES                        ,18,225000,1044933,837500,3700000
110,NEPONSIT                 ,02 TWO FAMILY HOMES                        ,2,650000,865000,865000,1080000
111,OAKLAND GARDENS          ,01 ONE FAMILY HOMES                        ,57,400000,719538,699000,1800000
112,OAKLAND GARDENS          ,02 TWO FAMILY HOMES                        ,13,200000,882871,960000,1130000
113,OAKLAND GARDENS          ,03 THREE FAMILY HOMES                      ,2,840000,852500,852500,865000
114,OZONE PARK               ,01 ONE FAMILY HOMES                        ,212,150000,439442,439950,850000
115,OZONE PARK               ,02 TWO FAMILY HOMES                        ,280,150000,572625,584000,1080000
116,OZONE PARK               ,03 THREE FAMILY HOMES                      ,29,330000,634011,650000,857000
117,QUEENS VILLAGE           ,01 ONE FAMILY HOMES                        ,473,150000,449115,450000,860000
118,QUEENS VILLAGE           ,02 TWO FAMILY HOMES                        ,127,250000,556937,565000,812000
119,QUEENS VILLAGE           ,03 THREE FAMILY HOMES                      ,6,399990,623915,630000,768500
120,REGO PARK                ,01 ONE FAMILY HOMES                        ,77,300000,635596,593000,999900
121,REGO PARK                ,02 TWO FAMILY HOMES                        ,31,250000,776838,670000,2300000
122,REGO PARK                ,03 THREE FAMILY HOMES                      ,11,400000,776300,860000,1200000
123,RICHMOND HILL            ,01 ONE FAMILY HOMES                        ,392,200000,488260,475250,1250000
124,RICHMOND HILL            ,02 TWO FAMILY HOMES                        ,404,166650,609306,620000,2500000
125,RICHMOND HILL            ,03 THREE FAMILY HOMES                      ,80,445000,723667,735000,921516
126,RIDGEWOOD                ,01 ONE FAMILY HOMES                        ,27,155000,429711,442000,735000
127,RIDGEWOOD                ,02 TWO FAMILY HOMES                        ,156,177000,595582,607350,980000
128,RIDGEWOOD                ,03 THREE FAMILY HOMES                      ,39,405000,686800,680000,1100000
129,ROCKAWAY PARK            ,01 ONE FAMILY HOMES                        ,8,240000,446188,396000,767500
130,ROCKAWAY PARK            ,02 TWO FAMILY HOMES                        ,20,350000,599770,594300,940000
131,ROCKAWAY PARK            ,03 THREE FAMILY HOMES                      ,15,150000,565533,660000,750000
132,ROSEDALE                 ,01 ONE FAMILY HOMES                        ,322,160000,454084,445000,790000
133,ROSEDALE                 ,02 TWO FAMILY HOMES                        ,233,300000,588396,610000,815000
134,ROSEDALE                 ,03 THREE FAMILY HOMES                      ,13,320000,528871,530000,680000
135,SO. JAMAICA-BAISLEY PARK ,01 ONE FAMILY HOMES                        ,598,150000,384426,375000,785000
136,SO. JAMAICA-BAISLEY PARK ,02 TWO FAMILY HOMES                        ,270,150000,539358,566750,890000
137,SO. JAMAICA-BAISLEY PARK ,03 THREE FAMILY HOMES                      ,2,357000,451000,451000,545000
138,SOUTH JAMAICA            ,01 ONE FAMILY HOMES                        ,423,150000,400398,390000,840000
139,SOUTH JAMAICA            ,02 TWO FAMILY HOMES                        ,395,153000,520177,550000,795000
140,SOUTH JAMAICA            ,03 THREE FAMILY HOMES                      ,41,300000,563950,590000,835000
141,SOUTH OZONE PARK         ,01 ONE FAMILY HOMES                        ,405,165000,461170,450500,985000
142,SOUTH OZONE PARK         ,02 TWO FAMILY HOMES                        ,293,230000,597374,605000,845000
143,SOUTH OZONE PARK         ,03 THREE FAMILY HOMES                      ,13,375000,590669,604000,750000
144,SPRINGFIELD GARDENS      ,01 ONE FAMILY HOMES                        ,392,150000,424567,411000,1275000
145,SPRINGFIELD GARDENS      ,02 TWO FAMILY HOMES                        ,288,170000,555555,584000,715000
146,SPRINGFIELD GARDENS      ,03 THREE FAMILY HOMES                      ,1,650000,650000,650000,650000
147,ST. ALBANS               ,01 ONE FAMILY HOMES                        ,513,150000,419816,416000,990000
148,ST. ALBANS               ,02 TWO FAMILY HOMES                        ,193,250000,514794,535000,700000
149,ST. ALBANS               ,03 THREE FAMILY HOMES                      ,9,520000,672349,665000,790500
150,SUNNYSIDE                ,01 ONE FAMILY HOMES                        ,24,330000,606229,600000,821000
151,SUNNYSIDE                ,02 TWO FAMILY HOMES                        ,49,200000,708742,705000,960000
152,SUNNYSIDE                ,03 THREE FAMILY HOMES                      ,9,617500,794333,799000,900500
153,WHITESTONE               ,01 ONE FAMILY HOMES                        ,163,154000,785225,670000,2404000
154,WHITESTONE               ,02 TWO FAMILY HOMES                        ,58,260000,734300,745000,1330000
155,WHITESTONE               ,03 THREE FAMILY HOMES                      ,8,650000,807500,850000,930000
156,WOODHAVEN                ,01 ONE FAMILY HOMES                        ,211,185000,453032,440000,875000
157,WOODHAVEN                ,02 TWO FAMILY HOMES                        ,210,219000,611606,610000,850000
158,WOODHAVEN                ,03 THREE FAMILY HOMES                      ,47,189100,673903,689000,850000
159,WOODSIDE                 ,01 ONE FAMILY HOMES                        ,40,250000,614678,590000,1300000
160,WOODSIDE                 ,02 TWO FAMILY HOMES                        ,85,300000,727612,750000,990000
161,WOODSIDE                 ,03 THREE FAMILY HOMES                      ,32,170423,831220,862000,1250000
