,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price
0,AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        ,2,475000,488000,488000,501000
1,AIRPORT LA GUARDIA       ,03 THREE FAMILY HOMES                      ,1,825000,825000,825000,825000
2,ARVERNE                  ,01 ONE FAMILY HOMES                        ,93,150000,316933,335629,600000
3,ARVERNE                  ,02 TWO FAMILY HOMES                        ,218,155000,472534,484500,700000
4,ARVERNE                  ,03 THREE FAMILY HOMES                      ,24,355000,511327,514000,690000
5,ASTORIA                  ,01 ONE FAMILY HOMES                        ,80,260000,598629,567500,1375000
6,ASTORIA                  ,02 TWO FAMILY HOMES                        ,172,227500,750228,749250,1650000
7,ASTORIA                  ,03 THREE FAMILY HOMES                      ,81,200000,822494,830000,1300000
8,BAYSIDE                  ,01 ONE FAMILY HOMES                        ,312,150000,692745,652500,2500000
9,BAYSIDE                  ,02 TWO FAMILY HOMES                        ,136,194321,772739,770000,1602000
10,BAYSIDE                  ,03 THREE FAMILY HOMES                      ,21,160000,772780,850000,1058000
11,BEECHHURST               ,01 ONE FAMILY HOMES                        ,38,304435,882255,888000,1832850
12,BEECHHURST               ,02 TWO FAMILY HOMES                        ,2,760000,888800,888800,1017600
13,BELLE HARBOR             ,01 ONE FAMILY HOMES                        ,27,305000,970241,800000,3400000
14,BELLE HARBOR             ,02 TWO FAMILY HOMES                        ,27,550000,840322,829000,1400500
15,BELLE HARBOR             ,03 THREE FAMILY HOMES                      ,2,680000,765000,765000,850000
16,BELLEROSE                ,01 ONE FAMILY HOMES                        ,139,345000,537205,535000,850000
17,BELLEROSE                ,02 TWO FAMILY HOMES                        ,33,397500,603041,580000,900000
18,BRIARWOOD                ,01 ONE FAMILY HOMES                        ,19,400500,661709,600000,1908000
19,BRIARWOOD                ,02 TWO FAMILY HOMES                        ,11,565873,700219,683000,860000
20,BRIARWOOD                ,03 THREE FAMILY HOMES                      ,6,625000,722667,752500,800000
21,BROAD CHANNEL            ,01 ONE FAMILY HOMES                        ,17,182396,330988,301000,595000
22,BROAD CHANNEL            ,02 TWO FAMILY HOMES                        ,1,560000,560000,560000,560000
23,CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES                        ,155,155000,438167,449000,629000
24,CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES                        ,18,343000,503572,515000,600000
25,COLLEGE POINT            ,01 ONE FAMILY HOMES                        ,96,150000,539937,532500,900000
26,COLLEGE POINT            ,02 TWO FAMILY HOMES                        ,157,300000,722584,680000,9000000
27,COLLEGE POINT            ,03 THREE FAMILY HOMES                      ,24,300000,696921,713750,990000
28,CORONA                   ,01 ONE FAMILY HOMES                        ,74,350000,567451,543500,1090000
29,CORONA                   ,02 TWO FAMILY HOMES                        ,235,151413,733525,737000,2930000
30,CORONA                   ,03 THREE FAMILY HOMES                      ,160,150000,810687,850000,1175000
31,DOUGLASTON               ,01 ONE FAMILY HOMES                        ,58,240000,966871,812500,2600000
32,DOUGLASTON               ,02 TWO FAMILY HOMES                        ,13,616875,817357,790000,950000
33,DOUGLASTON               ,03 THREE FAMILY HOMES                      ,1,290000,290000,290000,290000
34,EAST ELMHURST            ,01 ONE FAMILY HOMES                        ,87,204000,566347,557940,1200000
35,EAST ELMHURST            ,02 TWO FAMILY HOMES                        ,149,191000,712921,735000,985000
36,EAST ELMHURST            ,03 THREE FAMILY HOMES                      ,40,350500,809066,820000,1100000
