,street_1,street_2,curb_cut,slope_inch,ramp_width,lip_bump_measurement_in_inches,object_barriers,barriers_above,crumbling_concrete,center_cut,detectable_warnings,no_curb_cut,led_to_pot_hole
736,Broadway,91st ,NW1,0.6,44.0,0.5,,,,,YES,,
737,Broadway,91st ,NW2,3.6,46.0,,,,YES,,YES,,
738,Broadway,91st ,NE1,1.4,63.0,2,,,YES,,YES,,YES
739,Broadway,91st ,NE2,1,48.0,1,,,YES,,STRIPES,,
740,Broadway,91st ,SW1,1.9,48.0,,,,YES,,STRIPES,,
741,Broadway,91st ,SW2,0.9,41.5,1,,,YES,,STRIPES,,
742,Broadway,91st ,SE1,1.3,48.0,,,,,,YES,,
743,Broadway,91st ,SE2,1.3,48.0,,WATER,,,,YES,,
744,Broadway,91st ,M1,0.7,68.0,,LIGHT POLE,,,,NO,,
745,Broadway,91st ,M2,0.7,68.0,,LIGHT POLE,,,,NO,,
746,Broadway,91st ,M3,0.4,68.0,,LIGHT POLE,,,,NO,,
747,Broadway,91st ,M4,0.4,68.0,,LIGHT POLE,,,,NO,,
748,Broadway,92nd ,NW1,,,,,,,,,,
749,Broadway,92nd ,NW2,,,,,,,,,,
750,Broadway,92nd ,NE1,,,,,,,,,,
751,Broadway,92nd ,NE2,,,,,,,,,,
752,Broadway,92nd ,SW1,,,,,,,,,,
753,Broadway,92nd ,SW2,,,,,,,,,,
754,Broadway,92nd ,SE1,,,,,,,,,,
755,Broadway,92nd ,SE2,,,,,,,,,,
756,Broadway,92nd ,M1,,,,,,,,,,
757,Broadway,92nd ,M2,,,,,,,,,,
758,Broadway,92nd ,M3,,,,,,,,,,
759,Broadway,92nd ,M4,,,,,,,,,,
760,Broadway,93rd ,NW1,,,,,,,,,,
761,Broadway,93rd ,NW2,,,,,,,,,,
762,Broadway,93rd ,NE1,,,,,,,,,,
763,Broadway,93rd ,NE2,,,,,,,,,,
764,Broadway,93rd ,SW1,,,,,,,,,,
765,Broadway,93rd ,SW2,,,,,,,,,,
766,Broadway,93rd ,SE1,,,,,,,,,,
767,Broadway,93rd ,SE2,,,,,,,,,,
768,Broadway,93rd ,M1,,,,,,,,,,
769,Broadway,93rd ,M2,,,,,,,,,,
770,Broadway,93rd ,M3,,,,,,,,,,
771,Broadway,93rd ,M4,,,,,,,,,,
772,Broadway,94th ,NW1,,,,,,,,,,
773,Broadway,94th ,NW2,,,,,,,,,,
774,Broadway,94th ,NE1,,,,,,,,,,
775,Broadway,94th ,NE2,,,,,,,,,,
776,Broadway,94th ,SW1,,,,,,,,,,
777,Broadway,94th ,SW2,,,,,,,,,,
778,Broadway,94th ,SE1,,,,,,,,,,
779,Broadway,94th ,SE2,,,,,,,,,,
780,Broadway,94th ,M1,,,,,,,,,,
781,Broadway,94th ,M2,,,,,,,,,,
782,Broadway,94th ,M3,,,,,,,,,,
783,Broadway,94th ,M4,,,,,,,,,,
784,Broadway,95th ,NW1,,,,,,,,,,
785,Broadway,95th ,NW2,,,,,,,,,,
786,Broadway,95th ,NE1,,,,,,,,,,
787,Broadway,95th ,NE2,,,,,,,,,,
788,Broadway,95th ,SW1,,,,,,,,,,
789,Broadway,95th ,SW2,,,,,,,,,,
790,Broadway,95th ,SE1,,,,,,,,,,
791,Broadway,95th ,SE2,,,,,,,,,,
792,Broadway,95th ,M1,,,,,,,,,,
793,Broadway,95th ,M2,,,,,,,,,,
794,Broadway,95th ,M3,,,,,,,,,,
795,Broadway,95th ,M4,,,,,,,,,,
796,Broadway,96th ,NW1,,,,,,,,,,
797,Broadway,96th ,NW2,,,,,,,,,,
798,Broadway,96th ,NE1,,,,,,,,,,
799,Broadway,96th ,NE2,,,,,,,,,,
800,Broadway,96th ,SW1,,,,,,,,,,
801,Broadway,96th ,SW2,,,,,,,,,,
802,Broadway,96th ,SE1,,,,,,,,,,
803,Broadway,96th ,SE2,,,,,,,,,,
804,Broadway,96th ,M1,,,,,,,,,,
805,Broadway,96th ,M2,,,,,,,,,,
806,Broadway,96th ,M3,,,,,,,,,,
807,Broadway,96th ,M4,,,,,,,,,,
808,Broadway,97th ,NW1,,,,,,,,,,
809,Broadway,97th ,NW2,,,,,,,,,,
810,Broadway,97th ,NE1,,,,,,,,,,
811,Broadway,97th ,NE2,,,,,,,,,,
812,Broadway,97th ,SW1,,,,,,,,,,
813,Broadway,97th ,SW2,,,,,,,,,,
814,Broadway,97th ,SE1,,,,,,,,,,
815,Broadway,97th ,SE2,,,,,,,,,,
816,Broadway,97th ,M1,,,,,,,,,,
817,Broadway,97th ,M2,,,,,,,,,,
818,Broadway,97th ,M3,,,,,,,,,,
819,Broadway,97th ,M4,,,,,,,,,,
820,Broadway,98th ,NW1,,,,,,,,,,
821,Broadway,98th ,NW2,,,,,,,,,,
822,Broadway,98th ,NE1,,,,,,,,,,
823,Broadway,98th ,NE2,,,,,,,,,,
824,Broadway,98th ,SW1,,,,,,,,,,
825,Broadway,98th ,SW2,,,,,,,,,,
826,Broadway,98th ,SE1,,,,,,,,,,
827,Broadway,98th ,SE2,,,,,,,,,,
828,Broadway,98th ,M1,,,,,,,,,,
829,Broadway,98th ,M2,,,,,,,,,,
830,Broadway,98th ,M3,,,,,,,,,,
831,Broadway,98th ,M4,,,,,,,,,,
832,Broadway,99th ,NW1,,,,,,,,,,
833,Broadway,99th ,NW2,,,,,,,,,,
834,Broadway,99th ,NE1,,,,,,,,,,
835,Broadway,99th ,NE2,,,,,,,,,,
836,Broadway,99th ,SW1,,,,,,,,,,
837,Broadway,99th ,SW2,,,,,,,,,,
838,Broadway,99th ,SE1,,,,,,,,,,
839,Broadway,99th ,SE2,,,,,,,,,,
840,Broadway,99th ,M1,,,,,,,,,,
841,Broadway,99th ,M2,,,,,,,,,,
842,Broadway,99th ,M3,,,,,,,,,,
843,Broadway,99th ,M4,,,,,,,,,,
844,Broadway,100th ,NW1,,,,,,,,,,
845,Broadway,100th ,NW2,,,,,,,,,,
846,Broadway,100th ,NE1,,,,,,,,,,
847,Broadway,100th ,NE2,,,,,,,,,,
848,Broadway,100th ,SW1,,,,,,,,,,
849,Broadway,100th ,SW2,,,,,,,,,,
850,Broadway,100th ,SE1,,,,,,,,,,
851,Broadway,100th ,SE2,,,,,,,,,,
852,Broadway,100th ,M1,,,,,,,,,,
853,Broadway,100th ,M2,,,,,,,,,,
854,Broadway,100th ,M3,,,,,,,,,,
855,Broadway,100th ,M4,,,,,,,,,,
856,Broadway,101st ,NW1,,,,,,,,,,
857,Broadway,101st ,NW2,,,,,,,,,,
858,Broadway,101st ,NE1,,,,,,,,,,
859,Broadway,101st ,NE2,,,,,,,,,,
860,Broadway,101st ,SW1,,,,,,,,,,
861,Broadway,101st ,SW2,,,,,,,,,,
862,Broadway,101st ,SE1,,,,,,,,,,
863,Broadway,101st ,SE2,,,,,,,,,,
864,Broadway,101st ,M1,,,,,,,,,,
865,Broadway,101st ,M2,,,,,,,,,,
866,Broadway,101st ,M3,,,,,,,,,,
867,Broadway,101st ,M4,,,,,,,,,,
868,Broadway,102nd ,NW1,,,,,,,,,,
869,Broadway,102nd ,NW2,,,,,,,,,,
870,Broadway,102nd ,NE1,,,,,,,,,,
871,Broadway,102nd ,NE2,,,,,,,,,,
872,Broadway,102nd ,SW1,,,,,,,,,,
873,Broadway,102nd ,SW2,,,,,,,,,,
874,Broadway,102nd ,SE1,,,,,,,,,,
875,Broadway,102nd ,SE2,,,,,,,,,,
876,Broadway,102nd ,M1,,,,,,,,,,
877,Broadway,102nd ,M2,,,,,,,,,,
878,Broadway,102nd ,M3,,,,,,,,,,
879,Broadway,102nd ,M4,,,,,,,,,,
880,Broadway,103rd ,NW1,,,,,,,,,,
881,Broadway,103rd ,NW2,,,,,,,,,,
882,Broadway,103rd ,NE1,,,,,,,,,,
883,Broadway,103rd ,NE2,,,,,,,,,,
884,Broadway,103rd ,SW1,,,,,,,,,,
885,Broadway,103rd ,SW2,,,,,,,,,,
886,Broadway,103rd ,SE1,,,,,,,,,,
887,Broadway,103rd ,SE2,,,,,,,,,,
888,Broadway,103rd ,M1,,,,,,,,,,
889,Broadway,103rd ,M2,,,,,,,,,,
890,Broadway,103rd ,M3,,,,,,,,,,
891,Broadway,103rd ,M4,,,,,,,,,,
892,Broadway,104th ,NW1,,,,,,,,,,
893,Broadway,104th ,NW2,,,,,,,,,,
894,Broadway,104th ,NE1,,,,,,,,,,
895,Broadway,104th ,NE2,,,,,,,,,,
896,Broadway,104th ,SW1,,,,,,,,,,
897,Broadway,104th ,SW2,,,,,,,,,,
898,Broadway,104th ,SE1,,,,,,,,,,
899,Broadway,104th ,SE2,,,,,,,,,,
900,Broadway,104th ,M1,,,,,,,,,,
901,Broadway,104th ,M2,,,,,,,,,,
902,Broadway,104th ,M3,,,,,,,,,,
903,Broadway,104th ,M4,,,,,,,,,,
904,Broadway,105th ,NW1,2,46.0,0.5,,,,,Nogrooves,,
905,Broadway,105th ,NW2,2,40.0,,,,,,Nogrooves,,
906,Broadway,105th ,NE1,1.2,46.0,1.5,,,,,Nogrooves,,
907,Broadway,105th ,NE2,2,52.0,,,,,,Nogrooves,,
908,Broadway,105th ,SW1,1,40.0,,pooling,,,,Nogrooves,,
909,Broadway,105th ,SW2,2,43.0,,,,,,Nogrooves,,
910,Broadway,105th ,SE1,1,33.0,0.5,,,,,Nogrooves,,
911,Broadway,105th ,SE2,2,36.0,0,,,,,Nogrooves,,
912,Broadway,105th ,M1,1,46.0,,,,,,Nobrick,,
913,Broadway,105th ,M2,0.5,46.0,,,,,,Nobrick,,
914,Broadway,105th ,M3,0.5,50.0,,,,,,Nobrick,,
915,Broadway,105th ,M4,1.5,57.0,,,,,,Nobrick,,
916,Broadway,106th ,NW1,2.2,44.0,0.5,,,Yes,,Yes,,
917,Broadway,106th ,NW2,1.2,42.0,,,,,,Yes,,
918,Broadway,106th ,NE1,2.4,50.0,,,,,,Nogrooves,,
919,Broadway,106th ,NE2,1.8,46.0,,,,,,Nogrooves,,
920,Broadway,106th ,SW1,1.8,38.0,1,,,Yes,,Nogrooves,,
921,Broadway,106th ,SW2,2.1,40.0,1,,,Yes,,Nogrooves,,
922,Broadway,106th ,SE1,1,43.0,1,pooling,,,,Nogrooves,,
923,Broadway,106th ,SE2,1,44.0,,pooling,,,,Nogrooves,,
924,Broadway,106th ,M1,1,56.0,,,,,,Nobrick,,
925,Broadway,106th ,M2,1,56.0,,,,,,Nobrick,,
926,Broadway,106th ,M3,1,56.0,0.5,,,,,Nobrick,,
927,Broadway,106th ,M4,1,53.0,0.5,,,,,Nobrick,,
928,Broadway,107th ,NW1,2.6,48.0,,pooling,,,,Nobrick,,
929,Broadway,107th ,NW2,N/A,,,,,,,,,
930,Broadway,107th ,NE1,0.5,49.0,,,,,,Nogrooves,,
931,Broadway,107th ,NE2,1.2,53.0,,,,,,Nogrooves,,
932,Broadway,107th ,SW1,1.8,74.0,,pooling,,,,Nobrick,,
933,Broadway,107th ,SW2,N/A,,,,,,,,,
934,Broadway,107th ,SE1,2.2,43.0,,,,,,Nogrooves,,
935,Broadway,107th ,SE2,1.2,42.0,,,,,,Nogrooves,,
936,Broadway,107th ,M1,2.5,54.0,,pooling,,,,Nobrick,,
937,Broadway,107th ,M2,1,60.0,,pooling,,,,Nobrick,,
938,Broadway,107th ,M3,1,60.0,1,,,,,Nobrick,,
939,Broadway,107th ,M4,0.5,56.0,,,,,,Nobrick,,
940,Broadway,108th ,NW1,1.2,42.0,,,,,,Nogrooves,,
941,Broadway,108th ,NW2,2.4,50.0,,,,,,Nogrooves,,
942,Broadway,108th ,NE1,2.5,39.0,0.5,,,,,Nogrooves,,
943,Broadway,108th ,NE2,2.5,36.0,,,,,,Nogrooves,,
944,Broadway,108th ,SW1,1.5,40.0,,,,,,Nogrooves,,
945,Broadway,108th ,SW2,2.2,56.0,1,,,,,Nogrooves,,
946,Broadway,108th ,SE1,2.4,39.0,0.5,,,,,Nogrooves,,
947,Broadway,108th ,SE2,1.2,42.0,,,,,,Nogrooves,,
948,Broadway,108th ,M1,0.5,50.0,,,,,,Nobrick,,
949,Broadway,108th ,M2,1,36.0,,,,,,Nobrick,,
950,Broadway,108th ,M3,2,54.0,0.5,,,,,Nobrick,,
951,Broadway,108th ,M4,2.5,53.0,,,,,,Nobrick,,
952,Broadway,109th ,NW1,1.2,44.0,,pooling,,,,Nogrooves,,
953,Broadway,109th ,NW2,1.5,34.0,1,,,,,Nogrooves,,
954,Broadway,109th ,NE1,1.5,46.0,1,,,,,Nogrooves,,
955,Broadway,109th ,NE2,1.5,50.0,,,,,,Nogrooves,,
956,Broadway,109th ,SW1,1,47.0,,,,X,,Nogrooves,,
957,Broadway,109th ,SW2,1,43.0,,garbage cans,,,,Nogrooves,,
958,Broadway,109th ,SE1,2.5,37.0,,,,,,Nogrooves,,
959,Broadway,109th ,SE2,1.8,43.0,,,,,,Nogrooves,,
960,Broadway,109th ,M1,1,47.0,,,,,,Nobrick,,
961,Broadway,109th ,M2,1,46.0,,pooling,,,,Nobrick,,
962,Broadway,109th ,M3,1,40.0,,,,,,Nobrick,,
963,Broadway,109th ,M4,2,40.0,,,,,,Nobrick,,
964,Broadway,110th ,NW1,5.4,54.0,2,,,,,Nogrooves,,
965,Broadway,110th ,NW2,3.5,64.0,,,,,,Nogrooves,,
966,Broadway,110th ,NE1,1,53.0,,,,,,Nogrooves,,
967,Broadway,110th ,NE2,1.8,58.0,,,,,,Nogrooves,,
968,Broadway,110th ,SW1,1.4,53.0,,,,,,Nogrooves,,
969,Broadway,110th ,SW2,1,46.0,,pooling,,,,Nogrooves,,
970,Broadway,110th ,SE1,,,,,,,,Nogrooves,X,
971,Broadway,110th ,SE2,1.8,46.0,,pooling,,,,Nogrooves,,
972,Broadway,110th ,M1,1.5,70.0,,,,,,Nobrick,,
973,Broadway,110th ,M2,1,50.0,,,,,,Nobrick,,
974,Broadway,110th ,M3,1,53.0,,,,,,Nobrick,,
975,Broadway,110th ,M4,1,49.0,,,,,,Nobrick,,
976,Broadway,111th ,NW1,1.5,51.0,,TRASH CANS,,,,YES,,
977,Broadway,111th ,NW2,2,51.0,,,,,,YES,,
978,Broadway,111th ,NE1,1.25,51.0,,,,,,STRIPES,,
979,Broadway,111th ,NE2,2,47.0,0.5,,,YES,,YES,,YES
980,Broadway,111th ,SW1,1,58.0,,,,YES,,STRIPES,,YES
981,Broadway,111th ,SW2,1,67.0,,,,YES,,STRIPES,,
982,Broadway,111th ,SE1,2,49.0,,,,,,YES,,
983,Broadway,111th ,SE2,1,48.0,,A LOT OF BUILT UP WATER,,,,YES,,
984,Broadway,111th ,M1,3,81.0,,TEMPORARY POLICE BARRIERS,,,,NO,,
985,Broadway,111th ,M2,2,81.0,,TEMPORARY POLICE BARRIERS,,,,NO,,
986,Broadway,111th ,M3,0,74.0,,,,,,NO,,
987,Broadway,111th ,M4,0.5,71.0,3,,,,,NO,,
988,Broadway,112th ,NW1,1,41.0,,TEMPORARY BLOCADE DUE TP SIDEWALK CLOSURE,,YES,,GROOVES,,
989,Broadway,112th ,NW2,3,51.0,,,,,,GROOVES,,
990,Broadway,112th ,NE1,,,,,,,,,,YES
991,Broadway,112th ,NE2,2,61.0,,,,YES,,GROOVES,,
992,Broadway,112th ,SW1,2.5,48.0,1.15,,,,,GROOVES,,
993,Broadway,112th ,SW2,2,56.0,,,,,,GROOVES,,YES
994,Broadway,112th ,SE1,2,46.0,1,,,YES,,,,
995,Broadway,112th ,SE2,1.25,76.0,,,,,,GROOVES,,
996,Broadway,112th ,M1,1,69.0,,,,,,,,
997,Broadway,112th ,M2,1,79.0,,,,,,,,
998,Broadway,112th ,M3,1.5,78.0,,,,,,,,
999,Broadway,112th ,M4,2,74.0,1,,,YES,,,,
