,street_1,street_2,curb_cut,slope_inch,ramp_width,lip_bump_measurement_in_inches,object_barriers,barriers_above,crumbling_concrete,center_cut,detectable_warnings,no_curb_cut,led_to_pot_hole
78,Broadway,23rd ,SE1,4,93.0,1.5,,,YES,,,,
79,Broadway,23rd ,SE2,4,93.0,0.2,,,YES,,,,
80,Broadway,24th ,NW1,,,,,,,,,,
81,Broadway,24th ,NW2,,,,,,,,,,
82,Broadway,24th ,NE1,,,,,,,,,,
83,Broadway,24th ,NE2,,,,,,,,,,
84,Broadway,24th ,SW1,,,,,,,,,,
85,Broadway,24th ,SW2,,,,,,,,,,
86,Broadway,24th ,SE1,,,,,,,,,,
87,Broadway,24th ,SE2,,,,,,,,,,
88,Broadway,25th ,NW1,1.625,85.0,,,,YES,,NO,,
89,Broadway,25th ,NW2,,,,,,,,,YES,
90,Broadway,25th ,NE1,,,,,,,,,YES,
91,Broadway,25th ,NE2,,,,,,,,,YES,
92,Broadway,25th ,SW1,7.9,85.0,1.8,STREET LIGHT,,YES,,NO,,
93,Broadway,25th ,SW2,,,,,,,YES,,,
94,Broadway,25th ,SE1,2.625,,,GARBAGE TRASH CAN,,,YES,,,
95,Broadway,25th ,SE2,,,,,,,,,,
96,Broadway,26th ,NW1,4.875,48.0,,,,,,,,
97,Broadway,26th ,NW2,3.625,48.5,,,,,,,,
98,Broadway,26th ,NE1,2,59.0,,SEWER,,,YES,,,
99,Broadway,26th ,NE2,,,,,,,,,,
100,Broadway,26th ,SW1,2.5,64.0,,METAL PLATE,,,,,,
101,Broadway,26th ,SW2,2.625,59.375,,SEWER,,,,,,
102,Broadway,26th ,SE1,3.125,54.5,,TRASH CAN,,,,,,
103,Broadway,26th ,SE2,2.75,53.0,,TRASH CAN,,YES,,,,
104,Broadway,27th ,NW1,3,49.0,,,,,,NO,,
105,Broadway,27th ,NW2,2,46.0,1.5,,,,,NO,,
106,Broadway,27th ,NE1,2,51.0,2.25,,SEWER,YES,,NO,,
107,Broadway,27th ,NE2,1.5,48.0,,,CRACK,YES,,NO,,
108,Broadway,27th ,SW1,2.2,46.0,,,,,,NO,,
109,Broadway,27th ,SW2,2.6,48.0,,,,,YES,NO,,
110,Broadway,27th ,SE1,,,,,,,,,,
111,Broadway,27th ,SE2,1.25,68.0,,,SEWER,YES,,NO,,
112,Broadway,28th ,NW1,,,,,,,,,,
113,Broadway,28th ,NW2,,,,,,,,,,
114,Broadway,28th ,NE1,,,,,,,,,,
115,Broadway,28th ,NE2,,,,,,,,,,
116,Broadway,28th ,SW1,,,,,,,,,,
117,Broadway,28th ,SW2,,,,,,,,,,
118,Broadway,28th ,SE1,,,,,,,,,,
119,Broadway,28th ,SE2,,,,,,,,,,
120,Broadway,29th ,NW1,,,,,,,,,,
121,Broadway,29th ,NW2,,,,,,,,,,
122,Broadway,29th ,NE1,,,,,,,,,,
123,Broadway,29th ,NE2,,,,,,,,,,
124,Broadway,29th ,SW1,,,,,,,,,,
125,Broadway,29th ,SW2,,,,,,,,,,
126,Broadway,29th ,SE1,,,,,,,,,,
127,Broadway,29th ,SE2,,,,,,,,,,
128,Broadway,30th ,NW1,,,,,,,,,,
129,Broadway,30th ,NW2,,,,,,,,,,
130,Broadway,30th ,NE1,,,,,,,,,,
131,Broadway,30th ,NE2,,,,,,,,,,
132,Broadway,30th ,SW1,,,,,,,,,,
133,Broadway,30th ,SW2,,,,,,,,,,
134,Broadway,30th ,SE1,,,,,,,,,,
135,Broadway,30th ,SE2,,,,,,,,,,
136,Broadway,31st ,NW1,1,36.0,1,,,YES,,NO,,
137,Broadway,31st ,NW2,2,36.0,1.5,,,YES,,NO,,
138,Broadway,31st ,NE1,2.75,36.0,,,,,,NO,,
139,Broadway,31st ,NE2,2.5,36.0,,,,,,NO,,
140,Broadway,31st ,SW1,4,36.0,,,,YES,,NO,,YES
141,Broadway,31st ,SW2,4.5,36.0,,,,,,NO,,
142,Broadway,31st ,SE1,,,,,,,,,NONE,
143,Broadway,31st ,SE2,,,,,,,,,NONE,
144,Broadway,32nd ,NW1,1,36.0,YES,,,,,NO,,
145,Broadway,32nd ,NW2,1,36.0,YES,,,,,NO,,
146,Broadway,32nd ,NE1,1,36.0,1,,,,,NO,,
147,Broadway,32nd ,NE2,2,36.0,0.5,,,,,NO,,
148,Broadway,32nd ,SW1,1,36.0,0.5,,,,YES,NO,,
149,Broadway,32nd ,SW2,,,,,,,,,,
150,Broadway,32nd ,SE1,2.5,36.0,NO,,,,YES,NO,,
151,Broadway,32nd ,SE2,,,,,,,,,,
152,Broadway,33rd ,NW1,2,36.0,NO,,,,YES,NO,,
153,Broadway,33rd ,NW2,CENTER CUT,,,,,,,,,
154,Broadway,33rd ,NE1,,,,,,,,,NONE,
155,Broadway,33rd ,NE2,2,36.0,YES,,,,,NO,,
156,Broadway,33rd ,SW1,2,36.0,NO (1.5),,,,YES,NO,,
157,Broadway,33rd ,SW2,CENTER CUT,,,,,,,,,
158,Broadway,33rd ,SE1,2,36.0,NO,,,,,NO,,YES
159,Broadway,33rd ,SE2,2,36.0,YES,,,,,NO,,YES
160,Broadway,34th ,NW1,2,48.0,,,,,YES,NO,,
161,Broadway,34th ,NW2,,,,,,,,,,
162,Broadway,34th ,NE1,2,48.0,1,,,,YES,NO,,
163,Broadway,34th ,NE2,,,,,,,,,,
164,Broadway,34th ,SW1,1.15,48.0,,,,,YES,NO,,
165,Broadway,34th ,SW2,,,,,,,,,,
166,Broadway,34th ,SE1,2,48.0,1,,,YES,YES,NO,,YES
167,Broadway,34th ,SE2,,,,,,,,,,
168,Broadway,35th ,NW1,2,48.0,,,,YES,,,,
169,Broadway,35th ,NW2,2,48.0,,,,,,,,
170,Broadway,35th ,NE1,2,48.0,,,,,,,,
171,Broadway,35th ,NE2,2,48.0,,,,,,,,
172,Broadway,35th ,SW1,,,,,,,,,YES,
173,Broadway,35th ,SW2,,,,,,,,,,
174,Broadway,35th ,SE1,2,48.0,,,,,YES,,,
175,Broadway,35th ,SE2,,,,,,,,,,
176,Broadway,36th ,NW1,,,,,,,,,,
177,Broadway,36th ,NW2,,,,,,,,,,
178,Broadway,36th ,NE1,,,,,,,,,,
179,Broadway,36th ,NE2,,,,,,,,,,
180,Broadway,36th ,SW1,,,,,,,,,,
181,Broadway,36th ,SW2,,,,,,,,,,
182,Broadway,36th ,SE1,,,,,,,,,,
183,Broadway,36th ,SE2,,,,,,,,,,
184,Broadway,37th ,NW1,,,,,,,,,,
185,Broadway,37th ,NW2,,,,,,,,,,
186,Broadway,37th ,NE1,,,,,,,,,,
187,Broadway,37th ,NE2,,,,,,,,,,
188,Broadway,37th ,SW1,,,,,,,,,,
189,Broadway,37th ,SW2,,,,,,,,,,
190,Broadway,37th ,SE1,,,,,,,,,,
191,Broadway,37th ,SE2,,,,,,,,,,
192,Broadway,38th ,NW1,,,,,,,,,,
193,Broadway,38th ,NW2,,,,,,,,,,
194,Broadway,38th ,NE1,,,,,,,,,,
195,Broadway,38th ,NE2,,,,,,,,,,
196,Broadway,38th ,SW1,,,,,,,,,,
197,Broadway,38th ,SW2,,,,,,,,,,
198,Broadway,38th ,SE1,,,,,,,,,,
199,Broadway,38th ,SE2,,,,,,,,,,
200,Broadway,39th ,NW1,,,,,,,,,,
201,Broadway,39th ,NW2,,,,,,,,,,
202,Broadway,39th ,NE1,,,,,,,,,,
203,Broadway,39th ,NE2,,,,,,,,,,
204,Broadway,39th ,SW1,,,,,,,,,,
205,Broadway,39th ,SW2,,,,,,,,,,
206,Broadway,39th ,SE1,,,,,,,,,,
207,Broadway,39th ,SE2,,,,,,,,,,
208,Broadway,40th ,NW1,,,,,,,,,,
209,Broadway,40th ,NW2,,,,,,,,,,
210,Broadway,40th ,NE1,,,,,,,,,,
211,Broadway,40th ,NE2,,,,,,,,,,
212,Broadway,40th ,SW1,,,,,,,,,,
213,Broadway,40th ,SW2,,,,,,,,,,
214,Broadway,40th ,SE1,,,,,,,,,,
215,Broadway,40th ,SE2,,,,,,,,,,
216,Broadway,41st ,NW1,,,,,,,,,,
217,Broadway,41st ,NW2,,,,,,,,,,
218,Broadway,41st ,NE1,,,,,,,,,,
219,Broadway,41st ,NE2,,,,,,,,,,
220,Broadway,41st ,SW1,,,,,,,,,,
221,Broadway,41st ,SW2,,,,,,,,,,
222,Broadway,41st ,SE1,,,,,,,,,,
223,Broadway,41st ,SE2,,,,,,,,,,
224,Broadway,42nd ,NW1,,,,,,,,,,
225,Broadway,42nd ,NW2,1,60.0,,,,,,YES,,
226,Broadway,42nd ,NE1,1,98.0,NO,,,,YES,YES,,
227,Broadway,42nd ,NE2,CENTER CUT,,,,,,,,,
228,Broadway,42nd ,SW1,1,47.0,2,,BROKEN CONE,,,NO,,
229,Broadway,42nd ,SW2,1.3,47.0,1,,,,,NO,,
230,Broadway,42nd ,SE1,3,47.0,0.5,WATER,,,YES,YES,,
231,Broadway,42nd ,SE2,CENTER CUT,,,,,,,,,
232,Broadway,43rd ,NW1,,,,,,,,,,
233,Broadway,43rd ,NW2,,,,,,,,,,
234,Broadway,43rd ,NE1,1,120.0,NO,,,,,,NO,
235,Broadway,43rd ,NE2,,,,,,,,,,
236,Broadway,43rd ,SW1,,,,,,,,,,
237,Broadway,43rd ,SW2,,,,,,,,,,
238,Broadway,43rd ,SE1,1.75,120.0,NO,,,,,YES,NO,
239,Broadway,43rd ,SE2,,,,,,,,,,
240,Broadway,44th ,NW1,,,,,,,,,,
241,Broadway,44th ,NW2,,,,,,,,,,
242,Broadway,44th ,NE1,4.75,,,,,,,,,
243,Broadway,44th ,NE2,,,,,,,,,,
244,Broadway,44th ,SW1,,,,,,,,,,
245,Broadway,44th ,SW2,,,,,,,,,,
246,Broadway,44th ,SE1,2,120.0,NO,,,,YES,YES,,
247,Broadway,44th ,SE2,CENTER CUT,,,,,,,,,
248,Broadway,45th ,NW1,2.25,36.0,,,,YES,YES,NO,,
249,Broadway,45th ,NW2,CENTER CUT,,,,,,,NO,,
250,Broadway,45th ,NE1,2,47.0,,,,,,WORN OUT,,
251,Broadway,45th ,NE2,1,47.0,,,,,,WORN OUT,,
252,Broadway,45th ,SW1,2,45.0,,LAMP POST BASE ,,,,NO,,
253,Broadway,45th ,SW2,1,57.0,,,,,,NO,,
254,Broadway,45th ,SE1,,,2,,,,,NO,,
255,Broadway,45th ,SE2,,,2,,,,,NO,,
256,Broadway,46th ,NW1,NO NW1,,,,,,,,,
257,Broadway,46th ,NW2,1.2,119.0,,,,,,YES,,
258,Broadway,46th ,NE1,NO NE1,,,,,,,,,
259,Broadway,46th ,NE2,NO NE2,,,,,,,,,
260,Broadway,46th ,SW1,NO SW1,,,,,,,,,
261,Broadway,46th ,SW2,3,108.0,,,,,,NO,,
262,Broadway,46th ,SE1,1.75,43.0,,,,,,NO,,
263,Broadway,46th ,SE2,NO SE2,,,,,,,,,
264,Broadway,47th ,NW1,2,70.0,,,,,,NO,,
265,Broadway,47th ,NW2,2,68.0,,METAL PLATE W/ HOLE ,,,,MO,,
266,Broadway,47th ,NE1,2,27.0,,BIG PLASTIC BARREL,,,,NO,,
267,Broadway,47th ,NE2,1,75.0,,,,,,,,
268,Broadway,47th ,SW1,NO SW1,,,,,,,,,
269,Broadway,47th ,SW2,1,60.0,,,,,,YES,,
270,Broadway,47th ,SE1,NO SE1,,,,,,,,,
271,Broadway,47th ,SE2,2,45.0,,,,,,YES,,
272,Broadway,48th ,NW1,3,66.0,,,,,,NO,,
273,Broadway,48th ,NW2,2,48.0,1,,,YES,,NO,,
274,Broadway,48th ,NE1,3,28.0,1,,,YES,,NO,,
275,Broadway,48th ,NE2,2,52.0,,,,,,NO,,
276,Broadway,48th ,SW1,1,58.0,,,,,,NO,,
277,Broadway,48th ,SW2,2.5,55.0,,,,,,NO,,
278,Broadway,48th ,SE1,2,36.0,,,,,,YES,,
279,Broadway,48th ,SE2,2.5,36.0,,BROKEN TRUNCATED DOMES ,,,,YES,,
280,Broadway,49th ,NW1,2.5,51.0,0.5,,,,,NO,,
281,Broadway,49th ,NW2,3,58.0,,,,,,NO,,
282,Broadway,49th ,NE1,2,49.0,0.5,,,,,NO,,
283,Broadway,49th ,NE2,3,57.0,,,,,,NO,,
284,Broadway,49th ,SW1,1.5,47.5,,,,,,NO,,
285,Broadway,49th ,SW2,1,47.0,0.5,,,CRUMBLING ASPHALT ,,NO,,
286,Broadway,49th ,SE1,1,46.0,,SWAMPLIKE CONDITIONS ,,,,NO,,
287,Broadway,49th ,SE2,1.5,61.0,,,,,,NO,,
288,Broadway,50th ,NW1,,,7,,,,,NO,NONE,
289,Broadway,50th ,NW2,2,51.0,,,,,,NO,,
290,Broadway,50th ,NE1,4,48.0,1,,,,,YES,,
291,Broadway,50th ,NE2,3,48.0,1.75,,,,,YES,,
292,Broadway,50th ,SW1,1,57.0,1,,,,,NO,,
293,Broadway,50th ,SW2,1,52.0,,,,,,NO,,
294,Broadway,50th ,SE1,,,1.5,,,,,NO,NONE,
295,Broadway,50th ,SE2,,,2.75,,,,,NO,NONE,
296,Broadway,51st ,NW1,2,72.0,,,,,YES,,,
297,Broadway,51st ,NW2,NO CURB CUT,,,,,,,NO,,
298,Broadway,51st ,NE1,2,66.0,5,,,,YES,,,
299,Broadway,51st ,NE2,NO CURB CUT,,,,,,,,,
300,Broadway,51st ,SW1,2,61.0,1,,,,YES,NO,,
301,Broadway,51st ,SW2,NO CURB CUT,,,,,,,NO,,
302,Broadway,51st ,SE1,2,58.0,,,,,,NO,,
303,Broadway,51st ,SE2,,,1.5,,,,,NO,NONE,
304,Broadway,52nd ,NW1,1.75,35.0,0.2,DRAIN,,YES,,NO,,
305,Broadway,52nd ,NW2,1.2,65.0,0,DRAIN ,,,,NO,,
306,Broadway,52nd ,NE1,2.5,40.0,1,NO,,,,YES,,
307,Broadway,52nd ,NE2,2.5,41.5,1.5,NO,,YES,,YES,,
308,Broadway,52nd ,SW1,2.58,,0.25,CRACK,TRASH,YES,,STRIPED ,,
309,Broadway,52nd ,SW2,2.5,,4,CRACK,,YES,,STRIPED ,,
310,Broadway,52nd ,SE1,0.5,51.0,1.5,,,YES,,STRIPED ,,YES
311,Broadway,52nd ,SE2,1.75,51.5,1,BROKEN ROAD,,,,STRIPED ,,
312,Broadway,53rd ,NW1,4,49.0,0.2,NO,NO ,YES,,STRIPED ,,
313,Broadway,53rd ,NW2,3,50.0,0.33,SEWER,SEWER,,,STRIPED ,,
314,Broadway,53rd ,NE1,1.75,49.0,0.25,BROKEN ROAD,SEWER,YES,,STRIPED ,,
315,Broadway,53rd ,NE2,3,58.0,1,NO,BIG LIP,,,STRIPED ,,
316,Broadway,53rd ,SW1,2.75,50.2,0.25,SEWER,NO ,,,STRIPED ,,
317,Broadway,53rd ,SW2,2,50.0,0.2,NO,NO ,,,STRIPED ,,
318,Broadway,53rd ,SE1,1.5,56.0,0.2,NP,DRAIN ,YES,,STRIPED ,,
319,Broadway,53rd ,SE2,1.5,51.0,1.5,NP,,,,STRIPED ,,
320,Broadway,54th ,NW1,1.752,48.0,,NO,,,,YES,,
321,Broadway,54th ,NW2,1.5,48.0,,,,,,YES,,
322,Broadway,54th ,NE1,1,49.0,1,,,,,STRIPED,,
323,Broadway,54th ,NE2,1.75,48.0,0.25,,,,,STRIPED,,
324,Broadway,54th ,SW1,1,50.0,,,,,,STRIPED,,
325,Broadway,54th ,SW2,2,50.0,,,,YES,,STRIPED,,
326,Broadway,54th ,SE1,1,44.0,0.4,,,,,STRIPED,,
327,Broadway,54th ,SE2,1.75,48.0,0.4,,BROKEN ROAD,,,STRIPED,,
328,Broadway,55th ,NW1,1,48.0,1,,WATER BUILDUP ,,,YES,,
329,Broadway,55th ,NW2,3,50.0,NO,NO,NO,,,YES,,
330,Broadway,55th ,NE1,2.5,63.0,NO,NO,NO,,,STRIPED,,
331,Broadway,55th ,NE2,2.5,55.0,1,NO,NO,,,STRIPED,,
332,Broadway,55th ,SW1,2,37.0,0.5,NO,NO,,,NO,,
333,Broadway,55th ,SW2,2.5,37.0,1.5,NO,NO,YES,,NO,,
334,Broadway,55th ,SE1,1,71.0,NO,NO,NO,YES,YES,STRIPED,,
335,Broadway,55th ,SE2,CENTER CUT,,,,,,,,,
336,Broadway,56th ,NW1,1,103.0,NO,NO,NO,,YES,STRIPED,,
337,Broadway,56th ,NW2,CENTER CUT,,,,,,,,,
338,Broadway,56th ,NE1,1,53.0,0.5,,,,,,,
339,Broadway,56th ,NE2,1,55.0,NO,,,,,,,
340,Broadway,56th ,SW1,2,48.0,NO,,,,,,,
341,Broadway,56th ,SW2,2,47.0,NO,,,,,,,
342,Broadway,56th ,SE1,1.5,85.0,0.5,,,,YES,,,
343,Broadway,56th ,SE2,CENTER CUT,,,,,,,,,
344,Broadway,56th ,M1,FLAT,119.0,,,,,,,,
345,Broadway,56th ,M2,,,,,,,,,,
346,Broadway,56th ,M3,FLAT ,119.0,NO ,NO ,NO ,MISSING TILES ,,NO ,,YES 
347,Broadway,56th ,M4,,,,,,,,,,
348,Broadway,57th ,NW1,1,90.0,NO,NO,NO,,YES,NO,,
349,Broadway,57th ,NW2,CENTER CUT,,,,,,,,,
350,Broadway,57th ,NE1,2,53.0,NO,NO,NO,YES,,YES,,
351,Broadway,57th ,NE2,1,55.0,NO,NO,NO,,,STRIPED,,
352,Broadway,57th ,SW1,2,49.0,NO,NO,NO,,,STRIPED,,
353,Broadway,57th ,SW2,1.5,46.0,NO,NO,NO,,,STRIPED,,
354,Broadway,57th ,SE1,2,51.0,NO,NO,NO,,,STRIPED,,
355,Broadway,57th ,SE2,1.5,57.0,NO,NO,NO,,,STRIPED,,
356,Broadway,57th ,M1,FLAT,119.0,,NO,NO,,,NO,,
357,Broadway,57th ,M2,,,,,,,,,,
358,Broadway,57th ,M3,FLAT ,119.0,,,,MISSING TILES ,,,,
359,Broadway,57th ,M4,,,,,,,,,,
360,Broadway,58th ,NW1,,,,,,,,,,
361,Broadway,58th ,NW2,1.2,68.5,NO,NO,NO,,,,,
362,Broadway,58th ,NE1,,,,,,,,,,
363,Broadway,58th ,NE2,1.5,50.0,2,NO,NO,,,,,
364,Broadway,58th ,SW1,2.25,56.0,0.75,,,,,,,
365,Broadway,58th ,SW2,3.5,64.0,NO,NO,YES,YES,,YES,,
366,Broadway,58th ,SE1,1.7,59.0,NO,NO,NO,,,,,
367,Broadway,58th ,SE2,1,79.0,NO,NO,NO,,,,,
368,Broadway,59th ,NW1,,,,,,,,,,
369,Broadway,59th ,NW2,3.5,59.3,0,NO,NO,,,,,
370,Broadway,59th ,NE1,2,59.0,0,,,,,,,
371,Broadway,59th ,NE2,,,,,,,,,,
372,Broadway,59th ,SW1,,,,,,,,,,
373,Broadway,59th ,SW2,,,,,,,,,,
374,Broadway,59th ,SE1,,,,,,,,,,
375,Broadway,59th ,SE2,,,,,,,,,,
376,Broadway,60th ,NW1,1,59.0,NO,,,,,YES,,
377,Broadway,60th ,NW2,1,60.0,1,,,ASPHALT ,,YES,,
378,Broadway,60th ,NE1,NO CURB CUT,,,,,,,,,
379,Broadway,60th ,NE2,,,,,,,,,,
380,Broadway,60th ,SW1,NO CURB CUT,,,,,,,,,
381,Broadway,60th ,SW2,3,60.0,1,,,,,NO,,
382,Broadway,60th ,SE1,,,,,,,,,,
383,Broadway,60th ,SE2,,,,,,,,,,
384,Broadway,60th ,M1,0.25,72.0,,,,,,NO,,
385,Broadway,60th ,M2,0.25,72.0,,,,,,NO,,
386,Broadway,60th ,M3,0.25,72.0,,,,,,NO,,
387,Broadway,60th ,M4,0.25,72.0,0.5,,,,,NO,,
388,Broadway,61st ,NW1,NO CURB CUT,,1,,,,,,,
389,Broadway,61st ,NW2,1,86.0,,,,ASPHALT,,,,
390,Broadway,61st ,NE1,3.75,48.0,5,,BROKEN ASPHALT,,,ERODED,,
391,Broadway,61st ,NE2,3.75,48.0,5,,BROKEN ASPHALT,,,LOOSE,,
392,Broadway,61st ,SW1,0.25,60.0,,,,,,YES,,
393,Broadway,61st ,SW2,1,96.0,1,,CEMENT INTO ST,,,NO,,
394,Broadway,61st ,SE1,NO CURB CUT,,,,,,,,,
395,Broadway,61st ,SE2,3,68.0,1,,BROKEN ASHPHALT ,,,NO,,
396,Broadway,61st ,M1,0.25,60.0,0.5,,,,,BRICK,,
397,Broadway,61st ,M2,0.25,60.0,0.5,,,,,BRICK,,
398,Broadway,61st ,M3,0.25,60.0,0.5,,,,,BRICK,,
399,Broadway,61st ,M4,0.25,60.0,0.5,,,,,NO,,
400,Broadway,62nd ,NW1,2,36.0,0.52,LIGHT POLE,,,,NO,,
401,Broadway,62nd ,NW2,1,47.0,1,,,ASPHALT,,NO,,
402,Broadway,62nd ,NE1,1,48.0,,,,,,NO,,
403,Broadway,62nd ,NE2,3,48.0,0.5,,,,,NO,,
404,Broadway,62nd ,SW1,1,56.0,1.5,,,ASPHALT,,NO,,
405,Broadway,62nd ,SW2,0.5,72.0,0.5,CANT SEE PEDESTRAIN ,CEMENT ,ASPHALT,,NO,,
406,Broadway,62nd ,SE1,0.5,48.0,0.5,,,,,YES,,
407,Broadway,62nd ,SE2,0.5,48.0,0.25,,,ASPHALT,,YES,,
408,Broadway,62nd ,M1,0.25,60.0,0.5,,,,,BRICK,,
409,Broadway,62nd ,M2,0.25,60.0,0.5,,,,,BRICK,,
410,Broadway,62nd ,M3,0.25,60.0,0.5,,,,,BRICK,,
411,Broadway,62nd ,M4,0.25,60.0,0.5,,,,,BRICK,,
412,Broadway,63rd ,NW1,0.5,60.0,1.5,,,,,,,
413,Broadway,63rd ,NW2,0.5,60.0,NO,,,,,,,
414,Broadway,63rd ,NE1,0.5,48.0,NO,,,STRUT ,,,,
415,Broadway,63rd ,NE2,0.5,48.0,NO,,,STRUT ,,,,
416,Broadway,63rd ,SW1,0.2,48.0,0.5,,,CURB,,,,
417,Broadway,63rd ,SW2,0.25,39.0,NO,,,CURB ,,,,
418,Broadway,63rd ,SE1,1,36.0,0.25,,,,,,,
419,Broadway,63rd ,SE2,3,48.0,0.5,,,CURB STRUTED ,,,,
420,Broadway,63rd ,M1,0.25,36.0,0.5,,,,,,,
421,Broadway,63rd ,M2,0.25,36.0,0.5,,,,,,,
422,Broadway,63rd ,M3,0.25,36.0,0.5,,,,,,,
423,Broadway,63rd ,M4,0.25,36.0,0.5,,,,,,,
424,Broadway,64th ,NW1,NO CORNER,,,,,,,,,
425,Broadway,64th ,NW2,NO CORNER,,,,,,,,,
426,Broadway,64th ,NE1,NO CURB CUT,,,,,,,,,
427,Broadway,64th ,NE2,1,60.0,0.25,,,,,NO,,
428,Broadway,64th ,SW1,1,76.0,,,,,,NO,,
429,Broadway,64th ,SW2,,,0.75,,,,,NO,,
430,Broadway,64th ,SE1,0.25,46.0,,,,CURB ST,,YES,,
431,Broadway,64th ,SE2,0.25,46.0,,,,,,YES,,
432,Broadway,65th ,NW1,1,48.0,0.25,,,,,YES,,
433,Broadway,65th ,NW2,0.25,42.0,0.25,,,,,YES,,
434,Broadway,65th ,NE1,0.5,60.0,EVEN,,,,,,,
435,Broadway,65th ,NE2,0.5,5.0,,,,,,,,
436,Broadway,65th ,SW1,NO CORNER,48.0,EVEN,,,,,YES,,
437,Broadway,65th ,SW2,0.25,48.0,,,,,,,,
438,Broadway,65th ,SE1,0.25,41.0,2,,,YES,,,,
439,Broadway,65th ,SE2,0.75,41.0,,,,YES,,,,
440,Broadway,65th ,M1,0.25,60.0,,,BROKEN METAL EDGE,YES,,BRICK,,
441,Broadway,65th ,M2,0.5,60.0,,,,YES,,BRICK,,
442,Broadway,65th ,M3,0.25,48.0,0.25,,,YES,,BROKEN ,,
443,Broadway,65th ,M4,0.25,48.0,0.25,,,YES,,BROKEN ,,
444,Broadway,66th ,NW1,2,48.0,1,,,YES,,NO,,
445,Broadway,66th ,NW2,2,48.0,0.5,,,YES,,NO,,
446,Broadway,66th ,NE1,1.1,48.0,1,,,YES,,YES,,
447,Broadway,66th ,NE2,3,48.0,0.25,,,YES,,YES,,
448,Broadway,66th ,SW1,1.5,42.0,0.5,,,,,YES,,
449,Broadway,66th ,SW2,0.5,42.0,0.25,,,,,YES,,
450,Broadway,66th ,SE1,0.5,72.0,1,,,,,YES,,
451,Broadway,66th ,SE2,0.5,72.0,1,,,,,YES,,
452,Broadway,66th ,M1,,72.0,0.5,,,,,YES,,
453,Broadway,66th ,M2,0.5,72.0,0.25,,,,,YES,,
454,Broadway,66th ,M3,0.25,60.0,0.5,,,,,YES,,
455,Broadway,66th ,M4,0.5,60.0,0.5,,,,,YES,,
456,Broadway,67th ,NW1,1,4.0,EVEN,,,,,YES,,
457,Broadway,67th ,NW2,1,4.0,0.25,,,,,YES,,
458,Broadway,67th ,NE1,0.5,48.0,0.5,,,,,YES,,
459,Broadway,67th ,NE2,0.5,48.0,0.5,,,,,YES,,
460,Broadway,67th ,SW1,2.75,40.0,0.25,,,,,YES,,
461,Broadway,67th ,SW2,2.25,48.0,1,,,,,NO,,
462,Broadway,67th ,SE1,2.25,48.0,0.5,,,,,NO,,
463,Broadway,67th ,SE2,0.5,42.0,0.5,,,,,NO,,
464,Broadway,67th ,M1,0.5,60.0,,,,,,,,
465,Broadway,67th ,M2,,60.0,0.24,,,,,,,
466,Broadway,67th ,M3,0.5,60.0,0.5,,,,,BRICKS,,
467,Broadway,67th ,M4,0.5,60.0,0.25,,,,,BRICKS,,
468,Broadway,68th ,NW1,1,47.5,1,WATER GATHERED ,,,,STRIPED,,
469,Broadway,68th ,NW2,1,77.0,0.5,,,,,STRIPED,,
470,Broadway,68th ,NE1,3.5,35.0,0,,,YES,,STRIPED,,DRAIN
471,Broadway,68th ,NE2,3,40.0,1,,,YES,,STRIPED,,DRAIN
472,Broadway,68th ,SW1,2,48.0,2,,,,,STRIPED,,12'' 
473,Broadway,68th ,SW2,2,50.0,0.24,,,,,STRIPED,,34''
474,Broadway,68th ,SE1,2,49.0,1.5,,,,,STRIPED,,
475,Broadway,68th ,SE2,2.5,49.0,1,,,,,STRIPED,,
476,Broadway,68th ,M1,1,53.0,0,,,,,,,
477,Broadway,68th ,M2,1,53.0,0,,,,,BRICKS,,
478,Broadway,68th ,M3,1,53.0,0,,,,,,,
479,Broadway,68th ,M4,1,53.0,0,,,,,,,
480,Broadway,69th ,NW1,1,94.0,,,,YES,YES,STRIPES,,
481,Broadway,69th ,NW2,CENTER CUT,,,,,,,,,
482,Broadway,69th ,NE1,2,68.0,0.5,ASPHALT UNEVEN,,YES,YES,STRIPES,,
483,Broadway,69th ,NE2,CENTER CUT,,,,,,,,,
484,Broadway,69th ,SW1,1,74.0,,BUILDING SCAFFOLDING,,,,STRIPES,,
485,Broadway,69th ,SW2,2,65.0,2,,,YES,,STRIPES,,
486,Broadway,69th ,SE1,1,57.0,0.5,,,YES,,STRIPES,,
487,Broadway,69th ,SE2,1,67.0,,,"TRASH CAN, GARBAGE",,,STRIPES,,
488,Broadway,69th ,M1,0.02,80.0,,,,,,BRICK,,
489,Broadway,69th ,M2,0.02,88.0,,NY TRAFFIC COVERING,,,,BRICK,,
490,Broadway,69th ,M3,2,70.0,1.5,,,,,BRICK,,
491,Broadway,69th ,M4,2,70.0,,,,,,BRICK,,
492,Broadway,70th ,NW1,5,46.0,1,,,,,STRIPES,,
493,Broadway,70th ,NW2,1,49.0,0.02,,,YES,,STRIPES,,
494,Broadway,70th ,NE1,2,48.0,,,,,,,,
495,Broadway,70th ,NE2,2,48.0,,,,,,STRIPES,,
496,Broadway,70th ,SW1,5,74.0,2,,,YES,,STRIPES,,
497,Broadway,70th ,SW2,2,74.0,0.2,,,,,STRIPES,,
498,Broadway,70th ,SE1,3,41.0,1.5,,,YES,,NO,,
