,im_incident_key,fire_box,incident_type_desc,incident_date_time,arrival_date_time,units_onscene,last_unit_cleared_date_time,highest_level_desc,total_incident_duration,action_taken1_desc,action_taken2_desc,action_taken3_desc,property_use_desc,street_highway,zip_code,borough_desc,floor,co_detector_present_desc,story_fire_origin_count,fire_spread_desc,detector_presence_desc,aes_presence_desc,standpipe_sys_present_flag
521,63474953,1379,611 - Dispatched & canceled en route,2018-06-30 18:01:18,,,2018-06-30 18:08:14,11 - First Alarm,416,93 - Cancelled en route,,,UUU - Undetermined,E268,11694,5 - Queens,,,,,,,
522,63474946,548,"160 - Special outside fire, other",2018-06-30 17:59:34,2018-06-30 18:04:43,1.0,2018-06-30 18:15:15,11 - First Alarm,941,21 - Search,,,419 - 1 or 2 family dwelling,DEGRAW ST,11217,4 - Brooklyn,1,,,,,,
523,63474943,3760,622 - No incident found on arrival at dispatch address,2018-06-30 17:59:22,2018-06-30 18:08:03,1.0,2018-06-30 18:14:12,11 - First Alarm,890,86 - Investigate,,,"962 - Residential street, road or residential driveway",W 239 ST,10463,2 - Bronx,,,,,,,
524,63474944,8637,"510 - Person in distress, other",2018-06-30 17:59:09,2018-06-30 18:02:56,4.0,2018-06-30 18:21:49,11 - First Alarm,1360,86 - Investigate,55 - Establish safe area,,429 - Multifamily dwelling,NY-BREWER BLVD,11434,5 - Queens,7,,,,,,
525,63474939,3220,"300 - Rescue, EMS incident, other",2018-06-30 17:59:06,2018-06-30 18:03:22,1.0,2018-06-30 18:19:21,11 - First Alarm,1215,"00 - Action taken, other",,,UUU - Undetermined,WHITE PLAINS RD,10462,2 - Bronx,,,,,,,
526,63474933,4723,"300 - Rescue, EMS incident, other",2018-06-30 17:58:01,2018-06-30 18:02:02,1.0,2018-06-30 18:27:51,11 - First Alarm,1790,"00 - Action taken, other",,,UUU - Undetermined,RICHMAN PLZ,10453,2 - Bronx,,,,,,,
527,63474928,1312,353 - Removal of victim(s) from stalled elevator,2018-06-30 17:57:15,2018-06-30 18:02:21,1.0,2018-06-30 18:38:03,11 - First Alarm,2448,64 - Shut down system,,,429 - Multifamily dwelling,4 AVE,11215,4 - Brooklyn,3,,,,,,
528,63474918,3773,"300 - Rescue, EMS incident, other",2018-06-30 17:56:23,2018-06-30 18:00:29,1.0,2018-06-30 18:13:04,11 - First Alarm,1001,"00 - Action taken, other",,,UUU - Undetermined,ROSEDALE AVE,10312,3 - Staten Island,,,,,,,
529,63474917,3722,522 - Water or steam leak,2018-06-30 17:55:49,2018-06-30 18:10:52,1.0,2018-06-30 18:20:41,11 - First Alarm,1492,64 - Shut down system,,,429 - Multifamily dwelling,EXTERIOR ST,10463,2 - Bronx,,,,,,,
530,63474914,3514,"300 - Rescue, EMS incident, other",2018-06-30 17:55:42,2018-06-30 17:59:27,1.0,2018-06-30 18:19:56,11 - First Alarm,1454,"00 - Action taken, other",,,UUU - Undetermined,BEDFORD PARK BLVD,10458,2 - Bronx,,,,,,,
531,63474919,1579,"300 - Rescue, EMS incident, other",2018-06-30 17:55:30,2018-06-30 18:00:18,1.0,2018-06-30 18:21:30,11 - First Alarm,1560,"00 - Action taken, other",,,UUU - Undetermined,DEFAULT RECORD FOR SF,10031,1 - Manhattan,,,,,,,
532,63474912,1066,"300 - Rescue, EMS incident, other",2018-06-30 17:55:20,2018-06-30 18:00:08,1.0,2018-06-30 18:11:40,11 - First Alarm,980,"00 - Action taken, other",,,UUU - Undetermined,STERLING PL,11238,4 - Brooklyn,,,,,,,
533,63474913,440,736 - CO detector activation due to malfunction,2018-06-30 17:54:56,2018-06-30 18:00:16,2.0,2018-06-30 18:13:42,11 - First Alarm,1126,"00 - Action taken, other",,,UUU - Undetermined,FDR DR                W,10009,1 - Manhattan,,,,,,,
534,63474903,6587,522 - Water or steam leak,2018-06-30 17:53:24,2018-06-30 17:58:06,1.0,2018-06-30 18:10:38,11 - First Alarm,1034,64 - Shut down system,,,419 - 1 or 2 family dwelling,77 RD,11367,5 - Queens,1,,,,,,
535,63474892,4978,412 - Gas leak (natural gas or LPG),2018-06-30 17:52:12,2018-06-30 17:56:44,5.0,2018-06-30 18:06:24,11 - First Alarm,852,44 - Hazardous materials leak control & containment,64 - Shut down system,82 - Notify other agencies.,429 - Multifamily dwelling,HENRYHUDSON PKWY      W,10463,2 - Bronx,10,,,,,,
536,63474882,877,"300 - Rescue, EMS incident, other",2018-06-30 17:51:20,2018-06-30 17:53:46,1.0,2018-06-30 18:11:50,11 - First Alarm,1230,"00 - Action taken, other",,,UUU - Undetermined,PATCHEN AVE,11221,4 - Brooklyn,,,,,,,
537,63474877,599,511 - Lock-out,2018-06-30 17:50:14,2018-06-30 17:57:40,1.0,2018-06-30 17:57:42,11 - First Alarm,448,"00 - Action taken, other",,,429 - Multifamily dwelling,W 27 ST,10001,1 - Manhattan,na,,,,,,
538,63474876,1614,522 - Water or steam leak,2018-06-30 17:50:10,2018-06-30 17:50:44,1.0,2018-06-30 18:19:23,11 - First Alarm,1753,64 - Shut down system,,,429 - Multifamily dwelling,W 143 ST,10030,1 - Manhattan,4,,,,,,
539,63474869,8557,"300 - Rescue, EMS incident, other",2018-06-30 17:49:29,2018-06-30 17:54:00,1.0,2018-06-30 18:25:48,11 - First Alarm,2179,"00 - Action taken, other",,,UUU - Undetermined,89 ST,11421,5 - Queens,,,,,,,
540,63474871,1920,511 - Lock-out,2018-06-30 17:49:05,2018-06-30 17:53:50,1.0,2018-06-30 17:59:58,11 - First Alarm,653,52 - Forcible entry,,,429 - Multifamily dwelling,FOUNTAIN AVE,11208,4 - Brooklyn,,,,,,,
541,63474861,7328,"300 - Rescue, EMS incident, other",2018-06-30 17:48:01,2018-06-30 17:51:53,1.0,2018-06-30 18:04:46,11 - First Alarm,1005,"00 - Action taken, other",,,UUU - Undetermined,39 AVE,11377,5 - Queens,,,,,,,
542,63474858,546,"300 - Rescue, EMS incident, other",2018-06-30 17:47:49,2018-06-30 17:53:02,1.0,2018-06-30 18:00:34,11 - First Alarm,765,"00 - Action taken, other",,,UUU - Undetermined,UNION ST,11231,4 - Brooklyn,,,,,,,
543,63474860,8843,735A - Unwarranted alarm/defective condition of alarm system,2018-06-30 17:47:32,2018-06-30 17:51:53,6.0,2018-06-30 18:08:52,11 - First Alarm,1280,86 - Investigate,,,UUU - Undetermined,DEFAULT RECORD FOR SF,10469,2 - Bronx,,,,,,,
544,63474855,171,735A - Unwarranted alarm/defective condition of alarm system,2018-06-30 17:46:41,2018-06-30 17:52:34,2.0,2018-06-30 18:24:17,11 - First Alarm,2256,86 - Investigate,,,UUU - Undetermined,WALKER ST,10013,1 - Manhattan,,,,,,,
545,63474852,739,"300 - Rescue, EMS incident, other",2018-06-30 17:45:44,2018-06-30 17:48:37,1.0,2018-06-30 18:05:58,11 - First Alarm,1214,"00 - Action taken, other",,,UUU - Undetermined,HART ST,11237,4 - Brooklyn,,,,,,,
546,63474850,1634,"300 - Rescue, EMS incident, other",2018-06-30 17:44:08,2018-06-30 17:47:07,1.0,2018-06-30 18:04:18,11 - First Alarm,1210,"00 - Action taken, other",,,UUU - Undetermined,E 95 ST,11212,4 - Brooklyn,,,,,,,
547,63474845,9876,"331 - Lock-in (if lock out , use 511 )",2018-06-30 17:42:04,2018-06-30 17:48:07,1.0,2018-06-30 17:59:43,11 - First Alarm,1059,"70 - Assistance, other",,,599 - Business office,161 ST,11433,5 - Queens,1,,,,,,
548,63474844,1790,"300 - Rescue, EMS incident, other",2018-06-30 17:41:46,2018-06-30 17:46:04,1.0,2018-06-30 18:11:20,11 - First Alarm,1774,"00 - Action taken, other",,,UUU - Undetermined,149 AVE,11414,5 - Queens,,,,,,,
549,63474842,768,735A - Unwarranted alarm/defective condition of alarm system,2018-06-30 17:40:17,2018-06-30 17:47:04,3.0,2018-06-30 18:01:43,11 - First Alarm,1286,86 - Investigate,,,UUU - Undetermined,BRYANT PARK,10018,1 - Manhattan,,,,,,,
550,63474837,2487,"520 - Water problem, other",2018-06-30 17:40:01,2018-06-30 17:44:36,2.0,2018-06-30 18:06:05,11 - First Alarm,1564,64 - Shut down system,45 - Remove hazard,,"962 - Residential street, road or residential driveway",STRATFORD RD,11218,4 - Brooklyn,,,,,,,
551,63474835,1468,412 - Gas leak (natural gas or LPG),2018-06-30 17:39:47,2018-06-30 17:44:51,3.0,2018-06-30 17:57:29,11 - First Alarm,1062,44 - Hazardous materials leak control & containment,64 - Shut down system,82 - Notify other agencies.,429 - Multifamily dwelling,7 AVE,10027,1 - Manhattan,,,,,,,
552,63474832,5245,"520 - Water problem, other",2018-06-30 17:38:02,2018-06-30 17:56:23,1.0,2018-06-30 18:04:08,11 - First Alarm,1566,"00 - Action taken, other",,,"962 - Residential street, road or residential driveway",181 ST,11423,5 - Queens,,,,,,,
553,63474829,4452,324 - Motor vehicle accident with no injuries.,2018-06-30 17:36:22,2018-06-30 17:39:44,1.0,2018-06-30 17:49:23,11 - First Alarm,781,31 - Provide first aid & check for injuries,82 - Notify other agencies.,,963 - Street or road in commercial area,NORTHERN BLVD,11354,5 - Queens,,,,,,,
