,x,y,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,combination_of_primary_and,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geocoded_column,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,age,primary_fur_color,highlight_fur_color,location,above_ground_sighter,other_interactions,other_activities,color_notes,specific_location,:@computed_region_efsh_h5xi
317,-73.9743990576746,40.7768690723163,12A-PM-1013-04,12A,PM,10132018,4,Gray+Cinnamon,False,True,False,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9743990576746, 40.7768690723163]}",19,4,19,13,,Gray,Cinnamon,Above Ground,1,,chasing #3,,,
318,-73.9659034359706,40.7797516688844,19F-AM-1007-02,19F,AM,10072018,2,Cinnamon+Gray,False,False,False,True,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9659034359706, 40.77975166888441]}",19,4,19,13,Adult,Cinnamon,Gray,Above Ground,8,,,,,
319,-73.9684376038582,40.7824275067237,20C-PM-1018-09,20C,PM,10182018,9,Cinnamon+,True,False,False,False,True,False,False,False,False,False,True,False,False,"{'type': 'Point', 'coordinates': [-73.9684376038582, 40.7824275067237]}",19,4,19,13,Adult,Cinnamon,,Ground Plane,FALSE,,,,,
320,-73.9694288806212,40.7842952265291,22A-PM-1017-01,22A,PM,10172018,1,Gray+,False,False,True,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9694288806212, 40.7842952265291]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
321,-73.9546042927016,40.7898133734952,33I-PM-1006-07,33I,PM,10062018,7,Gray+,True,False,False,False,False,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9546042927016, 40.7898133734952]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
322,-73.9573469787503,40.7944044592573,36E-AM-1013-03,36E,AM,10132018,3,Gray+White,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9573469787503, 40.7944044592573]}",19,4,19,13,Adult,Gray,White,Ground Plane,FALSE,indifferent (moving very fast),,,,
323,-73.9587879699956,40.7908135158551,32F-AM-1012-01,32F,AM,10122018,1,Gray+Cinnamon,False,False,False,False,True,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9587879699956, 40.7908135158551]}",19,4,19,13,,Gray,Cinnamon,Ground Plane,FALSE,,made a back-door escape from dog off-leash,,,
324,-73.9630990823243,40.7885764284016,28D-AM-1012-02,28D,AM,10122018,2,Black+,False,False,False,True,True,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9630990823243, 40.7885764284016]}",19,4,19,13,Adult,Black,,Ground Plane,FALSE,,,,,
325,-73.9699843570636,40.7729480440312,10G-AM-1006-01,10G,AM,10062018,1,Gray+,False,False,True,False,False,False,False,False,False,True,False,True,False,"{'type': 'Point', 'coordinates': [-73.96998435706361, 40.7729480440312]}",19,4,19,13,Adult,Gray,,Above Ground,80,,,,,
326,-73.9534306291679,40.7959052073753,39G-PM-1013-07,39G,PM,10132018,7,Gray+Cinnamon,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9534306291679, 40.7959052073753]}",19,4,19,13,Adult,Gray,Cinnamon,Ground Plane,FALSE,,,,,
