,bn,school_year,start_date,overall_rating,indicator_1_1,indicator_1_2,indicator_1_3,indicator_1_4,indicator_1_5,indicator_1_6,indicator_1_7,indicatoroverall_1,indicator_2_1,indicator_2_2,indicator_2_3,indicator_2_4,indicator_2_5,indicator_2_6,indicator_2_7,indicatoroverall_2,indicator_3_1,indicator_3_2,indicator_3_3,indicator_3_4,indicator_3_5,indicator_3_6,indicator_3_7,indicator_3_8,indicatoroverall_3,indicator_4_1,indicator_4_2,indicator_4_3,indicator_4_4,indicator_4_5,indicator_4_6,indicator_4_7,indicatoroverall_4,indicator_5_1,indicator_5_2,indicator_5_3,indicator_5_4,indicator_5_5,indicator_5_6,indicator_5_7,indicatoroverall_5
580,X296,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,P,P,P,U,U,No Data,No Data,No Data,P,P,U,P,U,P,No Data,No Data,P,P,U,P,P,P,U,P,P,P,P,P,P,P,WD,P,P,P,U,P,U,U,No Data,No Data,No Data,U
581,M212,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
582,M234,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,P,P,U,U,U,No Data,No Data,No Data,U,P,P,WD,WD,P,No Data,No Data,P,P,P,P,P,P,WD,WD,WD,P,P,P,P,WD,WD,WD,P,P,U,U,U,U,No Data,No Data,No Data,U
583,M290,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
584,M361,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,P,WD,WD,No Data,No Data,P,P,P,WD,WD,P,WD,P,P,P,P,P,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
585,Q026,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,P,WD,WD,P,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,WD,WD,WD,WD,WD,WD,P,WD,No Data,No Data,No Data,WD
586,R030,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,WD,WD,No Data,No Data,P,P,P,P,P,P,WD,WD,WD,P,P,P,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
587,R042,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,P,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
588,M001,2006-07-01T00:00:00.000,2007-01-17T00:00:00.000,WD,WD,P,P,P,No Data,No Data,No Data,P,WD,P,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,P,WD,No Data,No Data,No Data,P
589,M033,2006-07-01T00:00:00.000,2007-01-17T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
