,bn,school_year,start_date,overall_rating,indicator_1_1,indicator_1_2,indicator_1_3,indicator_1_4,indicator_1_5,indicator_1_6,indicator_1_7,indicatoroverall_1,indicator_2_1,indicator_2_2,indicator_2_3,indicator_2_4,indicator_2_5,indicator_2_6,indicator_2_7,indicatoroverall_2,indicator_3_1,indicator_3_2,indicator_3_3,indicator_3_4,indicator_3_5,indicator_3_6,indicator_3_7,indicator_3_8,indicatoroverall_3,indicator_4_1,indicator_4_2,indicator_4_3,indicator_4_4,indicator_4_5,indicator_4_6,indicator_4_7,indicatoroverall_4,indicator_5_1,indicator_5_2,indicator_5_3,indicator_5_4,indicator_5_5,indicator_5_6,indicator_5_7,indicatoroverall_5
560,K098,2006-07-01T00:00:00.000,2007-01-11T00:00:00.000,P,P,P,U,U,No Data,No Data,No Data,P,P,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
561,R460,2006-07-01T00:00:00.000,2007-01-11T00:00:00.000,WD,P,P,P,P,No Data,No Data,No Data,P,WD,P,P,WD,P,No Data,No Data,P,WD,P,WD,WD,WD,P,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
562,K229,2006-07-01T00:00:00.000,2007-01-12T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,P,No Data,No Data,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
563,R001,2006-07-01T00:00:00.000,2007-01-12T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,P,WD,P,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
564,R016,2006-07-01T00:00:00.000,2007-01-12T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,WD,WD,P,P,No Data,No Data,P,WD,P,P,P,P,WD,P,WD,P,WD,P,WD,P,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
565,R052,2006-07-01T00:00:00.000,2007-01-12T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
566,R057,2006-07-01T00:00:00.000,2007-01-12T00:00:00.000,P,WD,P,WD,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,WD,WD,P,WD,WD,P,P,P,WD,WD,P,WD,P,WD,P,WD,WD,P,P,No Data,No Data,No Data,P
567,K100,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,P,P,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
568,K153,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,WD,P,No Data,No Data,P,WD,P,P,WD,P,P,P,WD,P,P,P,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
569,Q196,2007-08-01T00:00:00.000,2007-09-26T00:00:00.000,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,O,WD,O,WD,WD,No Data,WD,O,O,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD
570,K160,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
571,K163,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
572,K329,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,P,P,P,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
573,M002,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
574,M011,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
575,M020,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,WD,P,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
576,M041,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
577,M089,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,P,P,P,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
578,M142,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
579,M198,2006-07-01T00:00:00.000,2007-01-16T00:00:00.000,P,P,U,U,U,No Data,No Data,No Data,U,P,P,WD,WD,P,No Data,No Data,P,P,P,P,P,P,P,WD,WD,P,P,P,WD,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
