cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,housing_psa,x_coord_cd,y_coord_cd,latitude,longitude,lat_lon,patrol_boro,vic_age_group,vic_race,vic_sex,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,loc_of_occur_desc,susp_race,susp_sex,susp_age_group,transit_district,station_name,hadevelopt
542717960,2010-05-01T00:00:00.000,01:25:00,75.0,2010-05-01T00:00:00.000,118,DANGEROUS WEAPONS,793.0,WEAPONS POSSESSION 3,COMPLETED,FELONY,BROOKLYN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1013744.0,185150.0,40.674829815,-73.893672845,"{'latitude': '40.674829815', 'longitude': '-73.893672845'}",PATROL BORO BKLYN NORTH,,UNKNOWN,E,17214.0,45.0,2.0,37.0,47.0,,,,,,,,,
413882557,2010-12-08T00:00:00.000,01:25:00,48.0,2010-12-08T00:00:00.000,117,DANGEROUS DRUGS,503.0,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1016293.0,250009.0,40.852841995,-73.88417431,"{'latitude': '40.852841995', 'longitude': '-73.88417431'}",PATROL BORO BRONX,,UNKNOWN,E,10936.0,35.0,5.0,22.0,31.0,,,FRONT OF,,,,,,
309305245,2008-01-10T00:00:00.000,22:11:00,73.0,2008-01-12T00:00:00.000,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1008219.0,186183.0,40.677681849,-73.913587294,"{'latitude': '40.677681849', 'longitude': '-73.913587294'}",PATROL BORO BKLYN NORTH,,UNKNOWN,E,13516.0,55.0,2.0,17.0,46.0,,,,,,,,,
485542623,2006-06-12T00:00:00.000,20:45:00,52.0,2006-06-12T00:00:00.000,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,,N.Y. POLICE DEPT,,NA,NA,1012901.0,254530.0,40.865262434,-73.896416174,"{'latitude': '40.865262434', 'longitude': '-73.896416174'}",,UNKNOWN,WHITE HISPANIC,F,11606.0,24.0,5.0,29.0,34.0,,,OUTSIDE,,,,,,
635427425,2010-12-04T00:00:00.000,13:49:00,47.0,2010-12-04T00:00:00.000,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1021345.0,259219.0,40.878100847,-73.865861686,"{'latitude': '40.878100847', 'longitude': '-73.865861686'}",PATROL BORO BRONX,,UNKNOWN,E,11605.0,29.0,5.0,2.0,30.0,,,FRONT OF,,,,,,
448698437,2007-02-07T00:00:00.000,12:40:00,48.0,2007-02-07T00:00:00.000,117,DANGEROUS DRUGS,503.0,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,BRONX,GAS STATION,N.Y. POLICE DEPT,0.0,NA,NA,1019236.0,245262.0,40.839801716,-73.873560908,"{'latitude': '40.839801716', 'longitude': '-73.873560908'}",PATROL BORO BRONX,,UNKNOWN,E,11269.0,35.0,5.0,22.0,31.0,,,,,,,,,
871212872,2006-04-29T00:00:00.000,22:30:00,47.0,2006-04-29T00:00:00.000,341,PETIT LARCENY,321.0,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO BRONX,25-44,BLACK,M,,,,,,2006-04-29T00:00:00.000,22:31:00,FRONT OF,,,,,,
474564346,2006-04-27T00:00:00.000,12:30:00,62.0,2006-04-27T00:00:00.000,112,THEFT-FRAUD,739.0,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BROOKLYN,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO BKLYN SOUTH,25-44,WHITE,F,,,,,,2006-04-27T00:00:00.000,16:00:00,INSIDE,,,,,,
366934761,2007-05-12T00:00:00.000,14:30:00,52.0,2007-05-29T00:00:00.000,109,GRAND LARCENY,419.0,"LARCENY,GRAND FROM PERSON,UNCL",COMPLETED,FELONY,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1013049.0,253439.0,40.86226749,-73.895885781,"{'latitude': '40.86226749', 'longitude': '-73.895885781'}",PATROL BORO BRONX,25-44,WHITE HISPANIC,F,10936.0,24.0,5.0,22.0,34.0,,,,,,,,,
517611321,2006-04-18T00:00:00.000,10:48:00,10.0,2006-04-19T00:00:00.000,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,MANHATTAN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO MAN SOUTH,,UNKNOWN,E,,,,,,2006-04-19T00:00:00.000,01:45:00,FRONT OF,,,,,,
396544233,2010-12-09T00:00:00.000,20:00:00,10.0,2010-12-11T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,983996.0,209593.0,40.7419692,-74.000918065,"{'latitude': '40.7419692', 'longitude': '-74.000918065'}",PATROL BORO MAN SOUTH,45-64,WHITE,M,12074.0,12.0,4.0,10.0,6.0,,,FRONT OF,,,,,,
240003077,2011-11-30T00:00:00.000,07:00:00,41.0,2011-11-30T00:00:00.000,341,PETIT LARCENY,321.0,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1012526.0,239063.0,40.822811283,-73.897837171,"{'latitude': '40.822811283', 'longitude': '-73.897837171'}",PATROL BORO BRONX,45-64,BLACK,M,10937.0,8.0,5.0,43.0,24.0,2011-11-30T00:00:00.000,12:00:00,FRONT OF,,,,,,
752107101,2010-11-04T00:00:00.000,21:50:00,52.0,2010-11-04T00:00:00.000,348,VEHICLE AND TRAFFIC LAWS,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",COMPLETED,MISDEMEANOR,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1011207.0,252824.0,40.860585317,-73.902547546,"{'latitude': '40.860585317', 'longitude': '-73.902547546'}",PATROL BORO BRONX,,UNKNOWN,E,11606.0,24.0,5.0,29.0,34.0,,,,,,,,,
