,nyc_cooling_tower,bin,address,borough,zip,intended_use,make,model,serial_number,cooling_capacity,cooling_capacity_1,date_registered,latitude,longitude,deleted,location_1,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,date_commissioned,community_board,council_district,census_tract,bbl,nta
256,1000000668,4077469,69-40 AUSTIN STREET,QUEENS,11375,NULL,MARLEY,MD5008NAD1SAF,MD-10059157-B1,236400.0,BTU/HR,2015-08-20T00:00:00.000,40.721009,-73.847789,No,"{'latitude': '40.721009', 'longitude': '-73.847789'}",14786.0,40,3,28,70,2013-02-27T00:00:00.000,6.0,29.0,711.0,4032340150.0,Forest Hills                                                               
257,1000000830,1035405,250 PARK AVENUE,MANHATTAN,10177,NULL,MARLEY,NC8407TAN,10015358-A3,500.0,,2015-08-21T00:00:00.000,40.755164,-73.976001,No,"{'latitude': '40.755164', 'longitude': '-73.976001'}",12079.0,11,4,51,10,2010-03-01T00:00:00.000,5.0,4.0,94.0,1012820034.0,Midtown-Midtown South                                                      
258,1000000690,1042055,140 E 63RD ST,MANHATTAN,10065,NULL,BALTIMORE AIRCOIL COMPANY (BAC),VTL-072,U95845516,864000.0,BTU/HR,2015-08-20T00:00:00.000,40.7644,-73.9662,No,"{'latitude': '40.7644', 'longitude': '-73.9662'}",10090.0,23,4,51,11,,8.0,4.0,11402.0,1013977505.0,Upper East Side-Carnegie Hill                                              
259,1000001001,4462481,8000 UTOPIA PKWY,QUEENS,11432,NULL,BALTIMORE AIRCOIL COMPANY (BAC),VTI-375-PMFXR,921101165,6750000.0,,2015-08-24T00:00:00.000,40.725601,-73.791694,No,"{'latitude': '40.725601', 'longitude': '-73.791694'}",24340.0,25,3,24,65,,8.0,24.0,1267.0,4070210001.0,Pomonok-Flushing Heights-Hillcrest                                         
260,1000001145,1008209,610 BROADWAY,MANHATTAN,10012,NULL,BALTIMORE AIRCOIL COMPANY (BAC),15250-2,U040065001,500.0,REFRIGERATION TONS,2015-08-24T00:00:00.000,40.725553,-73.996136,No,"{'latitude': '40.725553', 'longitude': '-73.996136'}",12075.0,57,4,32,5,,2.0,1.0,5502.0,1005220001.0,West Village                                                               
261,1000000104,1028172,56 W 66TH ST,MANHATTAN,10023,NULL,EVAPCO,LPT-519D,11-406603 & 04,1595000.0,,2015-08-13T00:00:00.000,40.773027,-73.980807,No,"{'latitude': '40.773027', 'longitude': '-73.980807'}",12420.0,20,4,19,12,,7.0,6.0,149.0,1011180052.0,Lincoln Square                                                             
262,1000000256,1016152,230 PARK AVENUE SOUTH,MANHATTAN,10003,NULL,MARLEY,NC8306H2BGK-05,NC-250809-A1,1300.0,REFRIGERATION TONS,2015-08-18T00:00:00.000,40.737701,-73.988763,No,"{'latitude': '40.737701', 'longitude': '-73.988763'}",11724.0,11,4,50,7,,5.0,2.0,52.0,1008470040.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
263,1000000963,1013565,345 WEST 35 STREET,MANHATTAN,10001,NULL,EVAPCO,AT- 19-99,10-395711,150.0,REFRIGERATION TONS,2015-08-21T00:00:00.000,40.753766,-73.994557,No,"{'latitude': '40.753766', 'longitude': '-73.994557'}",12080.0,12,4,10,8,2012-02-13T00:00:00.000,4.0,3.0,111.0,1007590014.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
264,1000001019,1017597,275 MADISON AVE,MANHATTAN,10016,NULL,MARLEY,2031000192,NC7022CS,1500.0,REFRIGERATION TONS,2015-08-24T00:00:00.000,40.751198,-73.979976,No,"{'latitude': '40.751198', 'longitude': '-73.979976'}",12078.0,71,4,51,9,,6.0,4.0,82.0,1008690054.0,Murray Hill-Kips Bay                                                       
265,1000000503,3000261,375 PEARL STREET,BROOKLYN,11201,NULL,NULL,VT0-166-MMAX,UO13051601,166000.0,,2015-08-19T00:00:00.000,40.692788,-73.987902,No,"{'latitude': '40.692788', 'longitude': '-73.987902'}",16865.0,68,2,38,54,,2.0,33.0,11.0,3001400106.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
266,1000000277,1001018,40 WALL STREET,MANHATTAN,10005,NULL,MARLEY,564CS,12-45-64,36000000.0,REFRIGERATION TONS,2015-08-18T00:00:00.000,40.706976,-74.00972,No,"{'latitude': '40.706976', 'longitude': '-74.00972'}",11726.0,56,4,32,1,,1.0,1.0,7.0,1000430002.0,Battery Park City-Lower Manhattan                                          
267,1000000485,1042818,190 EAST 72ND STREET,MANHATTAN,10021,NULL,MARLEY,NULL,NC808490-82,500.0,REFRIGERATION TONS,2015-08-19T00:00:00.000,40.769534,-73.961255,No,"{'latitude': '40.769534', 'longitude': '-73.961255'}",12083.0,23,4,51,11,,8.0,4.0,128.0,1014060041.0,Upper East Side-Carnegie Hill                                              
