region,name,phone_number,locations,location_1,borough,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,notes,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
3,Educational Services,718-557-2567,"Bellerose, Briarwood, Far Rockaway,  Glendale, Hollis, Jamaica, Kew Gardens, Laurelton, Ozone Park, Queens Village, Richmond Hill,  Ridgewood, Rochdale Village, Rockaway, Rosedale, South Jamaica, South Ozone Park, St. Albans","{'human_address': '{""address"": ""90 01 Sutphin Boulevard"", ""city"": """", ""state"": """", ""zip"": """"}'}",4,11435.0,40.70284,-73.808352,12.0,24.0,240.0,4206785.0,4096770016.0,Jamaica                                                                    ,,,,,,
7,Brooklyn Adult Learning Center(BALC),718-789-2223,"Bedford-Stuyvesant, Bushwick, Clinton Hill, Crown Heights, East New York,  Flatbush, Fort Greene,  Greenpoint, Prospect Heights,  Ridgewood, Williamsburg","{'latitude': '32.256999', 'longitude': '-101.442835', 'human_address': '{""address"": ""850 Kent Avenue"", ""city"": """", ""state"": """", ""zip"": """"}'}",3,11205.0,40.695417,-73.959571,3.0,33.0,1237.0,3054671.0,3018970013.0,Bedford                                                                    ,12061.0,,,,,
4,Alternative Education Complex,212-868-1650,"Manhattan, below 119th Street","{'latitude': '40.726184', 'longitude': '-73.691826', 'human_address': '{""address"": ""500 8th Avenue"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",1,10018.0,40.752943,-73.992904,5.0,3.0,109.0,1014421.0,1007850001.0,Midtown-Midtown South                                                      ,16515.0,"entrance at 269 West 35th Street, 10th floor",,,,
6,P.S. 13,718-240-2770,"Bay Ridge, Bensonhurst, Borough Park, Canarsie, Coney Island, Crown Heights, East Flatbush, East New York, Flatbush, Midwood, Ocean Hill- Brownsville, Sheepshead Bay, Sunset Park","{'latitude': '40.10846', 'longitude': '-74.122193', 'human_address': '{""address"": ""557 nbsp;Pennsylvania Avenue"", ""city"": """", ""state"": """", ""zip"": """"}'}",3,,,,,,,,,,28389.0,,,,,
2,Queens Adult Learning Center(QALC),718-361-9480,"Astoria, Elmhurst, Flushing, Jackson Heights, Long Island City, Sunnyside","{'latitude': '41.32163', 'longitude': '-72.940747', 'human_address': '{""address"": ""42 15 Crescent Street"", ""city"": """", ""state"": """", ""zip"": """"}'}",4,11101.0,40.750167,-73.940947,2.0,26.0,19.0,4005057.0,4004230005.0,Hunters Point-Sunnyside-West Maspeth                                       ,13460.0,,,,,
8,Brooklyn Adult Learning Center,718-638-2635,Bedford-Stuyvesant and Staten Island,"{'latitude': '40.792158', 'longitude': '-73.219441', 'human_address': '{""address"": ""475 Nostrand Avenue"", ""city"": """", ""state"": """", ""zip"": """"}'}",3,11216.0,40.681233,-73.949737,3.0,36.0,249.0,3053020.0,3018440001.0,Bedford                                                                    ,21178.0,718-638-2635,,,,
1,Bronx Adult Learning Center(BxALC),718-863-4057,"Fordham, Hunts Point, Morrisania, Mott Haven, Norwood, Parkchester, Wakefield, West Bronx, West Farms,","{'latitude': '40.832042', 'longitude': '-73.827404', 'human_address': '{""address"": ""3450 East Tremont Avenue"", ""city"": """", ""state"": """", ""zip"": """"}'}",2,10465.0,40.832117,-73.82749,10.0,13.0,166.0,2079386.0,2055310021.0,Schuylerville-Throgs Neck-Edgewater Park                                   ,11274.0,,43.0,5.0,12.0,28.0
OACE Central Office,Brooklyn Adult Learning Center,718-638-2635,,"{'latitude': '40.792158', 'longitude': '-73.219441', 'human_address': '{""address"": ""475 Nostrand Avenue"", ""city"": """", ""state"": """", ""zip"": """"}'}",3,11216.0,40.681233,-73.949737,3.0,36.0,249.0,3053020.0,3018440001.0,Bedford                                                                    ,21178.0,718-638-2635,,,,
5,Mid-Manhattan Adult Learning CenterÂ (MMALC),212-666-1919,"Manhattan, 119th Street and above","{'latitude': '40.959718', 'longitude': '-73.720138', 'human_address': '{""address"": ""212 West 120th Street"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",1,10027.0,40.806063,-73.95134,10.0,9.0,220.0,1058447.0,1019250019.0,Central Harlem South                                                       ,24541.0,,,,,
