,school_dbn,community_school_district,city_council_district,school_name,of_teachers_assigned_to_teach_health
835,16K627,16,36,Brighter Choice Community School,8
836,16K628,16,36,Brooklyn Brownstone School,11
837,16K636,16,36,Young Scholars' Academy for Discovery and Exploration,2
838,16K669,16,36,Research and Service High School,2
839,16K681,16,36,Madiba Prep Middle School,1
840,16K688,16,36,The Brooklyn Academy of Global Finance,1
841,16K765,16,36,Nelson Mandela High School,1
842,17K002,17,40,Parkside Preparatory Academy,2
843,17K006,17,40,Norma Adams Clemons Academy,38
844,17K012,17,41,Dr. Jacqueline Peek-Davis School,0
845,17K061,17,40,M.S. 061 Dr. Gladstone H. Atwell,2
846,17K091,17,41,P.S. 091 The Albany Avenue School,2
847,17K092,17,40,P.S. 092 Adrian Hegeman,26
848,17K122,17,36,Pathways in Technology Early College High School (P-Tech),3
849,17K138,17,36,P.S. 138 Brooklyn,21
850,17K161,17,35,P.S. 161 The Crown,0
851,17K167,17,35,P.S. 167 The Parkway,1
852,17K181,17,45,P.S. 181 Brooklyn,3
853,17K189,17,41,P.S. 189 The Bilingual Center,24
854,17K191,17,41,P.S. 191 Paul Robeson,0
855,17K221,17,35,P.S. 221 Toussaint L'Ouverture,17
856,17K241,17,35,P.S. 241 Emma L. Johnston,1
857,17K246,17,40,M.S. 246 Walt Whitman,1
858,17K249,17,40,P.S. 249 The Caton,34
859,17K289,17,36,P.S. 289 George V. Brower,13
860,17K316,17,35,P.S. 316 Elijah Stroud,28
861,17K334,17,36,Middle School for Academic and Social Excellence,0
862,17K340,17,35,I.S. 340,2
863,17K352,17,35,Ebbets Field Middle School,1
864,17K353,17,35,Elijah Stroud Middle School,1
865,17K354,17,36,The School of Integrated Learning,1
866,17K375,17,35,P.S. 375 Jackie Robinson School,15
867,17K382,17,40,Academy for College Preparation and Career Exploration: A College Board School,5
868,17K394,17,36,M.S. K394,10
869,17K397,17,40,P.S. 397 Foster-Laurie,0
870,17K398,17,41,P.S. 398 Walter Weaver,27
871,17K399,17,40,P.S. 399 Stanley Eugene Clark,1
872,17K408,17,40,Academy of Hospitality and Tourism,1
873,17K484,17,41,Ronald Edmonds Learning Center II,0
874,17K489,17,35,W.E.B. Dubois Academic High School,2
875,17K524,17,35,International High School at Prospect Heights,7
876,17K528,17,35,The High School for Global Citizenship,2
877,17K531,17,40,"School for Human Rights, The",3
878,17K532,17,35,New Bridges Elementary,1
879,17K533,17,40,School for Democracy and Leadership,1
880,17K537,17,40,High School for Youth and Community Development at Erasmus,1
881,17K539,17,40,High School for Service & Learning at Erasmus,3
882,17K543,17,40,"Science, Technology and Research Early College High School at Erasmus",3
883,17K546,17,40,High School for Public Service: Heroes of Tomorrow,31
884,17K547,17,35,Brooklyn Academy of Science and the Environment,1
885,17K548,17,35,Brooklyn School for Music & Theatre,3
886,17K568,17,41,Brownsville Academy High School,2
887,17K590,17,35,Medgar Evers College Preparatory School,4
888,17K600,17,35,Clara Barton High School,1
889,17K705,17,35,Brooklyn Arts and Science Elementary School,24
890,17K722,17,41,New Heights Middle School,0
891,17K745,17,40,Brooklyn Institute for Liberal Arts,1
892,17K751,17,36,Academy for Health Careers,3
893,17K770,17,41,P.S. 770 New American Academy,1
894,18K066,18,42,P.S. 66,16
895,18K068,18,46,I.S. 068 Isaac Bildersee,0
896,18K114,18,46,P.S. 114 Ryder Elementary,0
897,18K115,18,46,P.S. 115 Daniel Mucatel School,0
898,18K135,18,41,P.S. 135 Sheldon A. Brookner,30
899,18K211,18,46,I.S. 211 John Wilson,1
900,18K219,18,41,P.S. 219 Kennedy-King,0
901,18K233,18,42,P.S. 233 Langston Hughes,3
902,18K235,18,41,P.S. 235 Janice Marie Knight School,1
903,18K244,18,45,P.S. 244 Richard R. Green,36
904,18K268,18,41,P.S. 268 Emma Lazarus,23
905,18K272,18,46,P.S. 272 Curtis Estabrook,31
906,18K276,18,46,P.S. 276 Louis Marshall,34
907,18K279,18,46,P.S. 279 Herman Schreiber,0
908,18K285,18,45,I.S. 285 Meyer Levin,2
909,18K366,18,46,The Science And Medicine Middle School,0
910,18K563,18,45,It Takes a Village Academy,2
911,18K566,18,46,Brooklyn Generation School,1
912,18K567,18,46,Brooklyn Theatre Arts High School,2
913,18K569,18,45,Kurt Hahn Expeditionary Learning School,6
914,18K576,18,46,Victory Collegiate High School,2
915,18K578,18,46,Brooklyn Bridge Academy,2
916,18K581,18,41,East Flatbush Community Research School,1
917,18K588,18,41,Middle School for Art and Philosophy,1
918,18K589,18,41,Arts & Media Preparatory Academy,5
919,18K598,18,41,Middle School of Marketing and Legal Studies,0
920,18K617,18,46,High School for Innovation in Advertising and Media,1
921,18K629,18,45,Cultural Academy for the Arts and Sciences,3
922,18K633,18,46,High School for Medical Professions,6
923,18K635,18,46,Olympus Academy,1
924,18K637,18,46,Academy for Conservation and the Environment,4
925,18K642,18,46,Urban Action Academy,3
926,18K673,18,41,East Brooklyn Community High School,3
927,18K763,18,45,Brooklyn Science and Engineering Academy,1
928,19K007,19,37,P.S. 007 Abraham Lincoln,12
929,19K013,19,42,P.S. 013 Roberto Clemente,0
930,19K065,19,37,P.S. 065,0
931,19K089,19,37,P.S. 089 Cypress Hills,19
932,19K108,19,37,P.S. 108 Sal Abbracciamento,9
933,19K149,19,42,P.S. 149 Danny Kaye,0
934,19K158,19,37,P.S. 158 Warwick,0
935,19K159,19,42,P.S. 159 Isaac Pitkin,38
936,19K171,19,37,I.S. 171 Abraham Lincoln,1
937,19K174,19,42,P.S. 174 Dumont,0
938,19K190,19,42,P.S. 190 Sheffield,1
939,19K202,19,42,P.S. 202 Ernest S. Jenkyns,5
940,19K213,19,42,P.S. 213 New Lots,17
941,19K214,19,37,P.S. 214 Michael Friedsam,43
942,19K218,19,42,J.H.S. 218 James P. Sinnott,4
943,19K224,19,42,P.S. 224 Hale A. Woodruff,0
944,19K273,19,42,P.S. 273 Wortman,18
945,19K290,19,37,P.S. 290 Juan Morel Campos,23
946,19K292,19,42,J.H.S. 292 Margaret S. Douglas,0
947,19K306,19,42,P.S. 306 Ethan Allen,1
948,19K311,19,42,Essence School,0
949,19K325,19,42,The Fresh Creek School,0
950,19K328,19,42,P.S. 328 Phyllis Wheatley,16
951,19K345,19,37,P.S. 345 Patrolman Robert Bolden,6
952,19K346,19,42,P.S. 346 Abe Stark,1
953,19K364,19,42,I.S. 364 Gateway,2
954,19K404,19,42,Academy for Young Writers,45
955,19K409,19,42,East New York Family Academy,2
956,19K422,19,46,Spring Creek Community School,1
957,19K452,19,42,Frederick Douglass Academy VIII Middle School,1
958,19K502,19,42,FDNY - Captain Vernon A. Richards High School for Fire and Life Safety,2
959,19K504,19,42,High School for Civil Rights,1
960,19K507,19,42,Performing Arts and Technology High School,3
961,19K510,19,42,World Academy for Total Community Health High School,4
962,19K557,19,42,Brooklyn Gardens Elementary School,1
963,19K583,19,37,Multicultural High School,2
964,19K615,19,37,Transit Tech Career and Technical Education High School,9
965,19K618,19,37,Academy of Innovative Technology,2
966,19K639,19,37,Brooklyn Lab School,2
967,19K654,19,42,Van Siclen Community Middle School,2
968,19K659,19,37,Cypress Hills Collegiate Preparatory School,2
969,19K660,19,37,W. H. Maxwell Career and Technical Education High School,10
970,19K661,19,37,Vista Academy,1
971,19K662,19,37,Liberty Avenue Middle School,2
972,19K663,19,42,School of the Future Brooklyn,2
973,21K329,21,47,P.S. 329 Surfside,25
974,19K677,19,42,East New York Elementary School of Excellence,36
975,19K678,19,42,East New York Middle School of Excellence,2
976,19K683,19,42,"The School for Classics: An Academy of Thinkers, Writers and Performers",5
977,19K760,19,37,Highland Park Community School,1
978,19K764,19,37,The Urban Assembly School for Collaborative Healthcare,1
979,20K030,20,43,P.S./I.S. 30 Mary White Ovington,18
980,20K048,20,44,P.S. 048 Mapleton,28
981,20K062,20,40,J.H.S. 062 Ditmas,5
982,20K069,20,38,P.S. 69 Vincent D. Grippo School,0
983,20K102,20,43,P.S. 102 The Bayview,1
984,20K104,20,43,P.S./I.S. 104 The Fort Hamilton School,2
985,20K105,20,38,P.S. 105 The Blythebourne,61
986,20K112,20,43,P.S. 112 Lefferts Park,32
987,20K127,20,43,P.S. 127 Mckinley Park,26
988,20K160,20,44,P.S. 160 William T. Sampson,6
989,20K163,20,43,P.S. 163 Bath Beach,1
990,20K164,20,44,P.S. 164 Caesar Rodney,0
991,20K170,20,43,Ralph A. Fabrizio School,0
992,20K176,20,43,P.S. 176 Ovington,70
993,20K179,20,39,P.S. 179 Kensington,3
994,20K180,20,44,The SEEALL Academy,30
995,20K185,20,43,P.S. 185 Walter Kassenbrock,32
996,20K186,20,47,P.S. 186 Dr. Irving A Gladstone,46
997,20K187,20,38,The Christa McAuliffe School\I.S. 187,6
998,20K192,20,44,P.S. 192 - The Magnet School for Math and Science Inquiry,3
999,20K200,20,43,P.S. 200 Benson School,0
